source_id,qa_response
14300,"Automotive technicians are paid in several ways: an hourly wage, commission-based systems such as flat-rate/flag-rate, or a mix of hourly and commission pay."
14323,"Grill a porterhouse by setting up a three-zone fire: pour lit coals in, rake them into a double layer on the far side, a single layer in the center, and leave the section nearest you coal-free (or create the same three zones on a gas grill). Replace the grate, let it heat, then clean and oil it before putting the steak on to cook."
14353,"Lay the quilt flat.  
1. Fold the lower-right corner up to the center on the bias.  
2. Fold the lower-left corner up to the center on the bias.  
3. Fold the upper-left corner down to the center on the bias.  
4. Fold the upper-right corner down to the center on the bias."
14355,"A Water Pik:
• Shoots a focused water stream that removes germs, plaque and food where a toothbrush can’t reach.  
• Massages and stimulates gum tissue, helping lower the risk of gingivitis.  
• Overall supports healthier teeth, gums and mouth."
14360,"Open Start → Settings → System → Default apps.  
Under “Web browser,” click the current browser, then select the one you want (e.g., Chrome or Firefox). This sets it as the default in Windows."
14366,"Dispose of a worn U.S. flag by burning it respectfully: fold it into the customary triangle, conduct a brief ceremony, burn the flag (or at least its blue field) in a peaceful manner, then bury the ashes."
14375,"Prick the bratwurst, then simmer them 15-20 min in a pot of beer, onions (and butter, seasonings). Meanwhile preheat an outdoor grill to medium-high and oil the grate. Lift the brats from the beer, grill 5-10 min (up to 14 min), turning to brown all sides. Serve with the beer-onion mixture."
14390,"IBS symptoms  
• Diarrhea (sometimes violent)  
• Constipation, or constipation alternating with diarrhea  
• Lower-belly pain/cramps that worsen after meals and ease after a bowel movement  
• Excess gas/bloating  

Likely causes (exact cause unknown)  
• Abnormal GI tract motility (colon/small-intestine movements too fast, slow, or strong)  
• Abnormal brain–gut or nervous-system signals with heightened pain sensitivity  
• Food intolerances/sensitivities, possibly from poor absorption of certain sugars or acids"
14392,"Essential amino acids cannot be made by the body and therefore must be obtained from the diet, whereas nonessential amino acids can be synthesized by the body, so they do not have to come from dietary sources."
14394,"Indiana’s typical weather features long, warm, humid, and wet summers; chilly, windy winters with snowfall; partly-cloudy skies year-round; and temperatures that generally range between about 22 °F and 85 °F."
14396,"Open iTunes, connect the iPhone, select the iPhone under “Devices,” choose “Books” (or “Audiobooks”), tick “Sync Audiobooks” and select the titles (or “All Audiobooks”), then click Apply/Sync; once syncing finishes, the audiobooks are transferred."
