source_id,summary
15599,"Blue Bell ice cream has temporarily closed its Broken Arrow, Oklahoma plant due to listeria contamination found in a serving of ice cream from that plant. The CDC has warned consumers not to eat Blue Bell products made at this plant, specifically 3-ounce servings marked with certain codes. Blue Bell has recalled other products as a precaution. This is the third action taken by Blue Bell in response to a listeria outbreak at a Kansas hospital. The CDC is investigating whether the infections are related to Blue Bell products. Five people were infected and three died in Kansas, with four of them having consumed Blue Bell ice cream. Blue Bell's CEO expressed concern and commitment to improving safety. The CDC advises checking freezers for recalled products and discarding them. This is Blue Bell's first product recall in its 108-year history. Listeriosis primarily affects vulnerable populations and can be serious or fatal."
15601,"The passage discusses a flawed article by Rolling Stone about a purported gang rape at the University of Virginia, which was criticized for failures in reporting, editing, and fact-checking. The magazine apologized for the errors. The discussion then turns to the potential for defamation lawsuits by UVA or the Phi Kappa Psi fraternity. Key points include:

- The article is considered false and defamatory, which are necessary elements for a libel case.
- UVA, as a public university, cannot sue for defamation.
- Fraternities, as groups, generally cannot sue for defamation unless the defamatory statement is about a small group and easily imputed to all members.
- Phi Kappa Psi might argue it fits the ""small group"" exception, but Rolling Stone's lawyers could counter that the group is too large and fluid.
- Other fraternities on campus would likely face more challenges in bringing a lawsuit.
- Successful defamation cases typically require showing financial harm, making this case potentially rare and complex."
15604,"The passage is a critique of Rand Paul's presidential campaign by Georgia State Senator Georgia Davis Powers. Here are the core pieces of information:

- Powers was the first woman and first person of color elected to the Kentucky State Senate in 1967.
- She criticizes Rand Paul, a Republican U.S. Senator from Kentucky, for his stances on civil rights, voting rights, and other issues.
- Powers argues that Paul's policies do not align with his message of inclusion and that he has a history of questioning landmark civil rights and voting rights legislation.
- She mentions specific issues where she disagrees with Paul, including his views on the Civil Rights Act, the Department of Education, women's choices, DREAMers, and the Voting Rights Act.
- Powers concludes that Paul's views are outdated and that the American people deserve better."
15613,"Mary Kay Letourneau, a former teacher, had a relationship with her 13-year-old student, Vili Fualaau, in 1996, which resulted in her imprisonment. They are now married with two teenage daughters. Letourneau, 53, and Fualaau, 31, will discuss their relationship and future plans, including Letourneau's intention to teach again and have her sex offender status removed, in an interview with Barbara Walters on ABC's ""20/20."" Fualaau will also discuss his struggles with alcoholism and depression."
15616,"Kanye West settled a lawsuit with paparazzi photographer Daniel Ramos, who sued after West assaulted him in 2013. West pleaded no contest to misdemeanor battery and received probation. The civil suit, which sought damages, was dismissed after a settlement that included an apology from West. The incident occurred at Los Angeles International Airport, where West tried to wrestle Ramos' camera."
15617,"B.B. King, an 89-year-old blues legend, was briefly hospitalized due to dehydration caused by his Type II diabetes. He was released the same day and returned home to rest. King, known for hits like ""The Thrill Is Gone"" and ""There Must be a Better World Somewhere,"" has been inducted into the Rock and Roll Hall of Fame and has 30 Grammy nominations. He is famous for his Gibson guitars, which he names Lucille. Last year, he had to cancel a tour due to dehydration and exhaustion."
15623,"Chris Copeland of the Indiana Pacers was stabbed early Wednesday morning after leaving the 1OAK nightclub in New York. The incident occurred in front of the Fulton Houses project down the street from the club. Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, were arrested later for obstruction and other charges but were not involved in the stabbing. Copeland and a female companion, Katrine Saltara, were stabbed by a 22-year-old Brooklyn man. Copeland suffered a knife wound to his left elbow and abdomen and was in stable condition. Saltara and another woman were also injured. The suspect was arrested, and charges are pending. The Hawks players were arrested for interfering with police at the scene."
15627,"The passage discusses the creation of a hologram-like digital embodiment of the late Tejano singer Selena, called ""Selena the One."" Key points include:

- The project is being developed by Selena's family and Acrovirt LLC, a Nevada-based tech company.
- The digital Selena will sing, dance, and interact with fans, aiming to introduce her to new fans and continue her legacy.
- The technology will allow the digital embodiment to learn and react autonomously.
- Selena the One will release new songs, collaborate with current artists, and go on tour in 2018.
- An Indiegogo campaign will launch on April 16 to support the project, with a goal of raising $500,000.
- The commemorative Fiesta de la Flor in Corpus Christi, Texas, celebrating Selena's life, is scheduled for April 17 and 18."
15628,"An Alaska Airlines flight from Seattle to Los Angeles had to make an emergency landing after the pilot heard unusual banging from the cargo hold. A ramp agent from Menzies Aviation, a contractor for Alaska Airlines, was found asleep in the cargo hold. The man was not in danger as the cargo hold is pressurized and temperature controlled, and the plane was only in the air for 14 minutes. Passengers heard the banging and screams for help. A federal air marshal responded to the situation. The ramp agent was taken to a hospital as a precaution but was later discharged. The flight eventually reached Los Angeles with a delay."
15634,"Emy Afalava, a decorated veteran born in American Samoa, a U.S. territory since 1900, is denied U.S. citizenship and the right to vote despite being subject to American law his whole life. This is due to a federal government stance that contradicts the Fourteenth Amendment. Afalava and other American Samoans are suing in federal court to gain citizenship. The U.S. has historically granted citizenship to those born on its soil, with exceptions based on racial discrimination, such as the Dred Scott case and the treatment of Puerto Ricans like Isabel Gonzalez. The lawsuit aims to end this discrimination and grant American Samoans full citizenship."
15638,"The passage discusses the journey of sisters Iman and Siham Hashi, known as Faarrow, who were born in Mogadishu, Somalia, but fled to Canada as refugees in 1991 due to war. They discovered a passion for music during their teens and are now based in Los Angeles working on their debut album. Their musical influences include Michael Jackson, Lionel Richie, the Spice Girls, Mariah Carey, and Whitney Houston. They are working with producer Elijah Kelley and their sound is described as a fusion of pop, hip hop, and African percussion. The sisters also engage in humanitarian work with the UNHCR, advocating for refugees and running a socially conscious fashion brand called ""Wish Creatively."" They aim to release their debut album soon and continue to inspire others through their music and advocacy."
15651,"Pope Francis faced a dilemma on whether to use the word ""genocide"" to describe the 1915 Armenian killings during a special Mass in Rome. He quoted a document from Pope John Paul II that referred to the event as ""the first genocide of the 20th century."" This approach maintained the Vatican's emphasis on continuity while avoiding direct confrontation with Turkey, a key ally against ISIS. Turkey, however, recalled its Vatican ambassador and summoned the Vatican's ambassador for a meeting, expressing displeasure with the Pope's remarks. Pope Francis is known for his diplomatic and merciful approach, but he also engages in geopolitics and can be blunt in his statements."
15652,"The passage announces that during National Park Week, April 18 through April 26, 128 fee-charging U.S. national parks, such as Yellowstone and Yosemite, will be free to enter on Saturday and Sunday. This event is hosted by the National Park Service and the National Park Foundation, and offers various activities like astronomy parties, historical programs, Earth Day celebrations, and Junior Ranger activities. Visitors can find nearby parks and more information at FindYourPark.com and nationalparkweek.org, and are encouraged to share their experiences using the hashtag #FindYourPark."
