source_id,summary
14-0,"**Summary:**

- Militants armed with guns and grenades attacked Sardar Daud hospital in Kabul, detonating explosives at the gate and opening fire on staff and patients.
- Four attackers were killed by commandos who landed on the hospital roof after several hours of fighting.
- The so-called Islamic State (IS) group claimed responsibility, while the Taliban denied involvement.
- Over 50 people were wounded, and the attack began at 09:00 local time.
- This is the first time IS has directly engaged with security forces in the capital, suggesting they have expanded their resources and military training.
- IS has previously targeted civilian gatherings and Shia Muslims, and has been active in the east of Afghanistan near the Pakistan border.
- The government claims to have rooted out IS from some bases but not from mountainous areas they control.
- The attack marks a change in IS's approach, using tactics more commonly associated with the Taliban.
- IS has carried out several attacks in Afghanistan and Pakistan since 2015, including suicide bombings and attacks on mosques and the Supreme Court.
- The Taliban has also been carrying out attacks, including a series of suicide attacks in Kabul last week."
14-1,"The passage discusses the 2014 Man Booker Prize, which is open to all authors writing in English. The favorite to win is Amitav Ghosh's ""The Lives of Others,"" a novel set in 1960s Calcutta. The shortlist includes works by Howard Jacobson, Ali Smith, Joshua Ferris, Karen Joy Fowler, and Richard Flanagan. The winner will be announced at London's Guildhall on Tuesday night. The judging panel is chaired by AC Grayling and includes Sarah Churchwell, Jonathan Bate, Daniel Glaser, Alastair Niven, and Erica Wagner. The ceremony will be covered by the BBC News Channel and BBC Arts."
14-2,"Mark Carney, the Governor of the Bank of England, surprised many by announcing a one-year extension of his term, rather than the full eight years or leaving as originally planned. The decision was influenced by personal reasons, including his daughters' educational schedules, and the desire to return to Canada. He also considered the economic uncertainty due to Brexit and the need for stability during the negotiations."
14-3,"Adrian Gill, a renowned journalist and writer, passed away after being diagnosed with multiple cancers. He was known for his wit, intelligence, and fearless writing style. Gill had a controversial career, often causing controversy with his articles. He was a long-time contributor to the Sunday Times, where he was described as the ""heart and soul"" of the paper. Gill was also known for his dyslexia, which he overcame to become a successful writer. He was married twice and had four children."
14-4,"The passage describes various cyber warfare groups involved in the Ukraine conflict. The Ukrainian Cyber Troops, led by Yevhen Dokukin, have hacked into Russian government servers and disrupted separatist funding. They also use DDoS attacks and CCTV monitoring. Cyber Berkut, an anti-Western group, has targeted Ukrainian government websites and claimed to have leaked documents detailing US military assistance to Ukraine. Anonymous International, a Russian activist group, has published leaked documents from the Kremlin and focuses on Russia's domestic affairs."
5-0,"The passage discusses former Manchester City player James Milner, who played 61 times for England, including appearances in two World Cups and two European Championships. He played only three minutes at Euro 2016. Milner also holds the record for the most capped England Under-21 player, with 46 appearances. He scored his only international goal in a 5-0 victory over Moldova in a 2014 World Cup qualifier."
5-1,"Brad Wilk is a drummer best known for his work with Rage Against the Machine (1991-2000, 2007-2011) and Audioslave (2001-2007). He started his career with the band Greta in 1990 and co-founded Rage with Tom Morello and Zack de la Rocha in 1991. As of 2016, he is playing in the band Prophets of Rage with Commerford, Morello, Chuck D, B-Real, and DJ Lord. Rage is a German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke, the interim manager of Kilmarnock, has been appointed permanently after signing a three-year deal. He previously served as assistant manager to Allan Johnston before taking over the team in February after Johnston's departure. Locke has led the team to six wins and one loss in his seven games in charge."
5-3,"Rupert Murdoch is the current chairman and acting CEO of Fox News. He is the younger son of media mogul Rupert Murdoch and is an Australian, British, and American businessman. Murdoch serves as the CEO of 21st Century Fox and chairman of Sky plc. He had full control as chairman and CEO of News Corporation, which is now the world's second-largest media conglomerate."
15-0,"Veteran actor Robert Hardy, known for roles in ""All Creatures Great and Small"" and portrayals of Winston Churchill, is selling his extensive collection of antiques in a £100,000 auction. The collection includes over 200 items, such as a diorama of the Battle of Agincourt, early Victorian furniture, a longbow, and various paintings and books. The auction, set for Saturday, is being held by Dominic Winter Auctioneers in South Cerney, Gloucestershire. Hardy, who is 89, is downsizing his home and is sad to part with his collection but hopes it brings joy to new owners."
15-1,"Veteran actor Robert Hardy, known for roles in ""All Creatures Great and Small"" and portrayals of Winston Churchill, is selling his extensive collection of antiques in a £100,000 auction. The collection includes over 200 items, such as a diorama of the Battle of Agincourt, early Victorian furniture, a longbow, and various paintings and books. The auction, set for Saturday, is being held by Dominic Winter Auctioneers in South Cerney, Gloucestershire. Hardy, who is 89, is downsizing his home and is sad to part with his collection but hopes it brings joy to new owners."
15-2,"Veteran actor Robert Hardy, known for roles in ""All Creatures Great and Small"" and portrayals of Winston Churchill, is selling his extensive collection of antiques in a £100,000 auction. The collection includes over 200 items, such as a diorama of the Battle of Agincourt, Victorian furniture, paintings, swords, rifles, and crystal chandeliers. Hardy, who is 89, is downsizing his home and has expressed sadness at selling his collection. The auction is set to take place this Saturday at Dominic Winter Auctioneers in South Cerney, Gloucestershire."
15-3,"**Summary:**

- **Increase in Heavy Drinking:** Between 2005 and 2012, heavy drinking among Americans rose by 17.2%, with women's rates increasing more significantly.
- **Binge Drinking:** The rate of binge drinking among women increased more than seven times the rate among men.
- **Definitions:** Heavy drinking is defined as exceeding an average of one drink per day for women and two drinks per day for men. Binge drinking is four or more drinks for women and five or more drinks for men on a single occasion.
- **County-Level Data:** The study is the first to track adult drinking patterns at the county level, with significant variations across the U.S.
- **Causes:** Changes in social norms, increased alcohol advertising, and weakened alcohol control policies are cited as factors contributing to the increase in drinking.
- **Impact:** The increase in binge drinking does not surprise public health experts, and the cost of excessive drinking is estimated at over $220 billion per year."
4-0,"The Giants and Panthers played a hockey game where the Giants scored first, but the Panthers equalized. In the second period, the Giants scored twice, and the Panthers scored once. The game ended with the score 4-2 in favor of the Giants. The teams will play again on Saturday. Nottingham leads the league with 28 points, followed by Sheffield Steelers with 27, and Belfast with 25."
4-1,"Anne Rice was born in New Orleans and spent her early life there before moving to Texas and later to San Francisco. Route 495 is a 3.45-mile freeway in Hudson County, New Jersey, that connects the New Jersey Turnpike (Interstate 95) at exits 16E and 17 in Secaucus to New York State Route 495 inside the Lincoln Tunnel in Weehawken, providing access to Midtown Manhattan."
4-2,"The passage describes two films titled ""Home for the Holidays."" The first, released in 1972, is an American made-for-television horror film directed by John Llewellyn Moxey, produced by Aaron Spelling, and stars Sally Field, Eleanor Parker, Julie Harris, Jessica Walter, and Walter Brennan. The second film, released in 1995, is a comedy directed by Robert Zemeckis and stars Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Dylan McDermott, Geraldine Chaplin, Steve Guttenberg, Cynthia Stevenson, Claire Danes, Austin Pendleton, and David Strathairn."
4-3,"The passage discusses the transfer of Cameron Smith from Dundee United to St Mirren. Smith, a 21-year-old Scotland Under-21 cap, has scored five goals in his current season. He previously played for Aberdeen, where he scored four goals in 89 appearances. St Mirren's manager, Jack Ross, praises Smith as a good player and a good fit for the team. St Mirren will host Falkirk on Saturday."
4-4,"Billy Ray Cyrus is a multi-talented American country music artist, while French Montana is an American rapper. The film ""Excuse My French"" is a 2014 Egyptian comedy directed by Amr Salama, based on his experiences with religious discrimination in a public middle school. The film faced initial censorship issues but was eventually released after adjustments to the script."
7-0,"The passage discusses the campaign expenditures of various political parties in the UK for the 2014 European election. UKIP spent £2,956,737, the Conservatives £2,980,815, the Lib Dems £1,580,575, Labour £1,027,339, and the Green Party £534,249. The SNP spent £267,372. The total expenditure by the six highest-spending parties was £9,347,087. The cost per vote for each party is also provided, with UKIP spending 68p per vote, Labour 26p, Conservatives 79p, Lib Dems £1.45, and the Green Party 43p."
7-1,"The live-action adaptation of ""Beauty and the Beast"" will feature Emma Watson as Belle, Dan Stevens as the Beast, and Luke Evans as Gaston. The film will also include Dame Angela Lansbury as Mrs. Potts, Kevin Kline as Maurice, and Josh Gad as LeFou. Bill Condon will direct the movie, which begins filming in May 2017 and is set to be released in US cinemas on 17 March 2017."
7-2,"Dorothy Ann Richards was an American politician who served as the 45th Governor of Texas from 1991 to 1995. She was a Democrat and came to national attention as the state treasurer of Texas, delivering the keynote address at the 1988 Democratic National Convention. Richards was defeated for re-election in 1994 by George W. Bush. She was the second female governor of Texas and was known for her outspoken feminism and one-liners. Ann Richards, a jazz singer and wife of pianist Stan Kenton, is not related to the politician."
7-4,"Anderson, a 27-year-old centre-back, has left Barrow to join National League rivals, potentially playing against his former club on February 18. Keating, a 21-year-old striker, has joined the club after being recommended by Micky Adams, with his move subject to international clearance. The club is currently four points above the relegation zone and has won only one of their last six games."
9-0,"The passage discusses two figures named Francis I. The first, Francis I (Franz Stefan), was Holy Roman Emperor and Grand Duke of Tuscany, but his wife effectively held the real power. The second, Francis I (François Ier), was the first King of France from the Angoulême branch of the House of Valois, reigning from 1515 until his death. He was known for his involvement in wars against Charles V, forming a Franco-Ottoman alliance with Suleiman the Magnificent, and participating in the Italian War of 1536-1538 against Charles V."
9-1,"A pit crew member, Todd Phillips, was injured when he was struck by Francesco Dracone's car during the inaugural IndyCar Grand Prix of Louisiana. Phillips, a front-outside tire changer for Dayle Coyne Racing, was hit by Dracone's car as it spun while exiting the pit box. Phillips was taken to the infield care center for treatment, where he received stitches for a cut on his leg and was later released. The race was affected by poor traction due to rain, and Dracone did not finish the race, finishing in 23rd place."
9-2,"Widnes defeated Castleford 38-12 in a rugby league match. Widnes led 14-6 at half-time, with Castleford scoring two tries in the second half. Widnes scored three tries in four minutes to extend their lead, but Castleford's defense crumbled, allowing Widnes to secure the victory. Widnes moved into seventh place, while Castleford remained in sixth."
9-3,"Clarkson, a 30-year-old footballer, has rejoined Premiership Well for a second spell and is set to make his debut for St Mirren in the Championship against Alloa on Saturday. He scored nine goals at Dundee last season and has primarily been a substitute this term. Clarkson is confident in his fitness and readiness for the match, having played for the U20s and kept his match fitness up. He has made nearly 400 senior appearances and has been capped twice for Scotland. St Mirren is currently eighth in the Championship, seven points ahead of bottom side Alloa. Clarkson is eager to contribute to the team's success and help them climb the table."
9-4,"Amir Khan, a Bolton-born boxer, spent a family day at a safari park in Northern California. He posed with a rare white tiger, giraffes, and sea lions at Six Flags Discovery Kingdom. Khan, his wife Faryal Makhdoom Khan, and their daughter Lamysa enjoyed the trip. Earlier in the week, Khan announced his next fight will be against Chris Algieri on May 30 at welterweight."
16-0,"The passage discusses the upcoming Floyd Mayweather vs. Manny Pacquiao fight, which is expected to be the biggest financially and most significant of the century. It also provides a detailed account of the Sugar Ray Leonard vs. Roberto Duran trilogy, highlighting the significance of the fights and the controversies surrounding them, particularly the second fight where Duran famously quit after being frustrated by Leonard's speed and movement."
16-1,"Rory McIlroy, the world number one, believes it is ""unthinkable"" that he will not win the Masters at some point to complete his career grand slam. He considers his final-round collapse at Augusta National in 2011 as the most important day of his career, as it taught him valuable lessons. McIlroy is aiming to win his first green jacket and become the sixth player to win all four major titles. He tees off at the Arnold Palmer Invitational in Orlando on March 19 and is hoping to complete his grand slam with a victory at Augusta later this month. Despite his past struggles at Augusta, McIlroy is confident in his ability to win there and is looking forward to using the golf course as a sanctuary from the pressure and hype surrounding the event."
16-2,"Pablo Mandado and Ilze Zebolde, a Spanish-Latvian couple, have embarked on a year-long, open-ended cycling journey around the world. They started in London and have covered nearly 7,000 miles through 16 countries, including France, Spain, Italy, Slovenia, Croatia, Bosnia, Montenegro, Albania, Macedonia, Greece, and Turkey. They live on less than three euros each per day, primarily by camping, using hosting websites, and occasionally receiving food from locals. Their journey is driven by a desire to discover different parts of the planet, with no specific plans or agenda. They plan to continue their journey into Asia, across the Pacific, and eventually cycle the length of the American continent."
