source_id,summary
14-0,"Here is a concise summary of the passage:

**The Attack**: Four militants attacked Sardar Daud hospital in Kabul, Afghanistan. One attacker detonated explosives at the hospital gate, then the group opened fire on staff and patients. The attackers were killed by commandos after several hours of fighting. Over 50 people were wounded.

**Attribution**: The Islamic State (IS) claimed responsibility for the attack. The Taliban denied involvement.

**Significance**: This marks a tactical shift for IS in Afghanistan - their first direct engagement with security forces in the capital. Previously, they had targeted civilian gatherings, particularly Shia Muslims.

**Context**: IS established its presence in Afghanistan in 2015 (declaring Khorasan Province) and has carried out multiple attacks since then, including:
- July 2016: ~80 killed in Kabul rally bombing
- November 2016: 30+ killed in Kabul mosque attack
- Recent Supreme Court attack: 22 killed

**Current Situation**: IS has been primarily active in eastern Afghanistan near the Pakistan border but appears to be expanding operations. The Taliban is also conducting attacks, having recently begun their Spring offensive.

**Response**: President Ashraf Ghani condemned the hospital attack as trampling ""all human values,"" noting hospitals are considered immune sites in all religions."
14-1,"The passage discusses the 2014 Man Booker Prize shortlist and upcoming announcement. Key information includes:

**The Shortlist:**
- Six authors are nominated: Neel Mukherjee (British), Howard Jacobson (British), Ali Smith (British), Joshua Ferris (American), Karen Joy Fowler (American), and Richard Flanagan (Australian)
- This is the first year the prize is open to all English-language authors regardless of nationality

**The Novels:**
- Mukherjee's ""The Lives of Others"" (set in 1960s Calcutta) is the bookmakers' favorite at 5/2
- Jacobson's ""J"" is a futuristic love story (he previously won in 2010)
- Smith's ""How To Be Both"" features two interlinking stories that can be read in either order
- Ferris's ""To Rise Again at a Decent Hour"" follows an atheist New York dentist
- Fowler's ""We Are All Completely Beside Ourselves"" is the best-selling nominee with over 55,000 copies sold
- Flanagan's ""The Narrow Road to the Deep North"" is a WWII love story set against the Thailand-Burma Death Railway

**Additional Details:**
- The winner will be announced at London's Guildhall on Tuesday night
- The Duchess of Cornwall will present the prize
- Shortlisted authors receive £2,500 and a special edition of their book
- The shortlist announcement caused significant sales increases for all nominated books
- Some critics, including Professor David Brauner, consider it a ""weak list"""
14-2,"Mark Carney, Governor of the Bank of England, announced he would extend his term by one year until 2019, rather than leaving in 2018 as originally planned or staying until 2021. This decision surprised many who expected him to choose between the original 2018 departure date or a full eight-year term ending in 2021.

The key factor in Carney's decision was his family circumstances. In 2018, one of his four daughters will be finishing A-levels and another completing GCSEs, making it an ideal time for the family to return to Canada. Carney had taken office in 2013, before Brexit was a consideration.

The Brexit referendum result on June 23 created a dilemma for Carney - leaving in 2018 would mean departing during crucial EU exit negotiations. While he recognized the professional challenge and told colleagues he ""wanted to serve,"" he ultimately chose a compromise that would see him through the completion of the Article 50 process while allowing his family to return to Canada as planned.

Carney emphasized this was ""an entirely personal decision"" unrelated to government policy. Sources close to him dismissed suggestions of tension with Prime Minister Theresa May (who wanted him to stay until 2021) or that criticism of the Bank's pre-referendum economic forecasts influenced his decision."
14-3,"Adrian Gill, a prominent Sunday Times columnist since 1993, died after being diagnosed with cancer, which he described as the ""full English"" of cancers. The Sunday Times editor Martin Ivens called him ""a giant among journalists"" and the ""heart and soul"" of the paper.

Gill was known for dictating his copy over the phone due to dyslexia and was praised for his brilliant, fearless writing style. His final column about his diagnosis will appear in the Sunday Times.

Throughout his career, Gill courted controversy with provocative articles, including shooting a baboon in Tanzania, making derogatory comments about the Welsh, and using offensive language about Clare Balding. He was once ejected from Gordon Ramsay's restaurant.

Born in Edinburgh in 1954, Gill studied art before becoming a writer in the 1980s. He was married twice - first to Cressida Connolly, then to current Home Secretary Amber Rudd, with whom he had two children. His cancer diagnosis prompted his engagement to his partner of 23 years, Nicola Formby, with whom he had twins.

Despite his controversial reputation, colleagues and fellow journalists paid tribute to him as a brilliant writer and kind man who never produced a boring sentence in his career."
14-4,"The passage describes cyber warfare activities related to the Ukraine conflict, focusing on three main hacking groups:

**Ukrainian Cyber Troops**: Led by Kiev-based programmer Yevhen Dokukin, this pro-Ukrainian group claims to have hacked Russian interior ministry servers and police email accounts. They use DDoS attacks to disable rebel websites, disrupt separatist funding through payment systems, monitor CCTV cameras in rebel areas, and hijacked printers to print pro-Ukrainian messages. Dokukin provided hacked data to Ukraine's security service, which volunteer group Inform Napalm analyzed, finding evidence of wounded Russian military servicemen being evacuated from Ukraine.

**Cyber Berkut**: An anti-Western, pro-Russian group named after riot police, opposing what they call Kiev's ""genocide."" They hacked Ukrainian government websites during VP Biden's visit, claiming to have retrieved US military assistance documents. Other claimed activities include hacking electronic billboards to show graphic anti-Ukrainian content, disrupting election vote-counting systems, leaking defense ministry data, and blocking President Poroshenko's website.

**Anonymous International (Shaltay Boltay/Humpty Dumpty)**: A Russian group known for publishing leaked Kremlin documents, though it's unclear if they hack or receive insider information. They published a letter from a Russian fighter suggesting locals don't support separatists and leaked emails from rebel commander Igor Strelkov. Their website is blocked in Russia.

All three groups present themselves as independent activists, though the passage notes uncertainty about their actual independence from government sponsorship."
5-0,"Here's a concise summary of the passage:

James Milner, a 30-year-old former Manchester City player, has retired from international football after earning 61 caps for England since his 2009 debut. He participated in two World Cups and two European Championships, though he only played three minutes at Euro 2016. Milner wished success to manager Sam Allardyce and the England team. He also holds the record for most England Under-21 caps with 46 appearances since 2004. His only international goal came during a 5-0 win against Moldova in the 2014 World Cup qualifiers."
5-1,"Based on the passage:

Brad Wilk is a drummer best known for his work with rock bands Rage Against the Machine (1991-2000; 2007-11) and Audioslave (2001-07). He began his drumming career with Greta in 1990 and co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in August 1991. As of 2016, he plays in Prophets of Rage alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also mentions that Rage is a German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke has been appointed as Kilmarnock's permanent manager on a three-year deal. The 41-year-old initially joined the club as assistant boss to Allan Johnston last summer, but took over as interim manager when Johnston quit in early February. Since taking charge, Locke has had a successful run with only one loss in seven games. He previously managed Hearts and will hold a press conference on Friday morning to discuss his appointment."
5-3,"Based on the passage:

- Rupert Murdoch is the current chairman and acting CEO of Fox News
- James Murdoch (born December 13, 1972) is Rupert Murdoch's younger son
- James Murdoch holds Australian, British, and American citizenship
- James Murdoch is the CEO of 21st Century Fox and chairman of Sky plc
- Rupert Murdoch had full control as Chairman and CEO of News Corporation, which was the world's second-largest media conglomerate
- News Corporation split into News Corp and 21st Century Fox on June 28, 2013"
15-0,"Veteran actor Robert Hardy, 89, is auctioning off his extensive antique collection for £100,000 as he downsizes his home. The collection includes over 200 items accumulated throughout his career.

**Key items in the auction:**
- A hand-painted limewood 3D diorama of the Battle of Agincourt, commissioned by Hardy from artist L.M. Rendall in the 1960s (estimated £4,000-£6,000)
- A yew longbow with mother-of-pearl handle
- A portrait of Hardy holding a longbow (up to £2,000)
- Early Victorian furniture by Gillows of Lancaster (up to £4,000)
- Paintings, swords, flintlock rifles, silverware, crystal chandeliers, and books dating to the 17th century

**About Robert Hardy:**
- Known for playing Siegfried Farnon in ""All Creatures Great and Small"" (1978-1990)
- Frequently portrayed Winston Churchill in television dramas
- Played Cornelius Fudge in Harry Potter films
- Studied English at Oxford under J.R.R. Tolkien and C.S. Lewis
- Expert on medieval longbows and military historian who has published two books on the subject
- Worked with renowned actors including Laurence Olivier, John Gielgud, and Judi Dench

The auction of 238 lots will take place at Dominic Winter Auctioneers in South Cerney, Gloucestershire. Hardy expressed sadness about selling his treasured collection but hopes the new owners will enjoy the items as much as he has."
