source_id,summary
14-0,"
Militants from the Islamic State (IS) attacked a hospital in Afghanistan, resulting in over 50 wounded. The attack, which involved explosives and direct fire, was the first time IS fighters engaged directly with security forces in the capital. The Taliban denied involvement in the attack."
14-1,"
Mukherjee's ""The Lives of Others"" is a favorite to win the Booker Prize. The prize is open to all English-language authors, regardless of nationality. The winner will be announced at London's Guildhall. The shortlist includes authors from the UK, US, and Australia."
14-2,"
Governor Mark Carney of the Bank of England announced a decision to extend his term by one year, rather than the originally intended two years. The decision was influenced by personal circumstances, including his children's educational milestones. Carney emphasized that his decision was personal and not influenced by government policy."
14-3,"
Columnist Adrian Gill, known for his wit and fearless writing, passed away. Gill had been diagnosed with multiple cancers and had been undergoing chemotherapy. He was described as a ""giant among journalists"" and the ""heart and soul"" of the Sunday Times, where he joined in 1993. His final column, reflecting on his diagnosis, was to be featured in the Sunday Times."
14-4,"
The passage discusses the activities of various cyber groups involved in the Ukrainian conflict. Key groups mentioned are the Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International. These groups engage in cyber attacks, data breaches, and disruptions to separatist funding and communication systems."
5-0,"
The passage discusses a former Manchester City player, 30 years old, who has won 61 caps for England. He made his senior debut in 2009 and has been a part of two World Cups and two European Championships. However, he played only three minutes at Euro 2016. The passage also includes comments from the player, Milner, who expresses his wishes for the team and its future success. Additionally, Milner holds the record for the most capped England Under-21 player, with 46 caps."
5-1,"
Brad Wilk is a drummer known for his work with Rage Against the Machine, Audioslave, and Prophets of Rage. He co-founded Rage in 1991 with Tom Morello, Zack de la Rocha, and later played with bands like Greta and Audioslave. As of 2016, he was a member of Prophets of Rage, which included other artists like Commerford, Morello, Chuck D, B-Real, and DJ Lord."
5-2,"
Gary Locke has been appointed as Kilmarnock's permanent manager after a successful interim tenure. Locke signed a three-year deal and will hold a press conference on Friday morning."
5-3,"
Rupert Murdoch, the younger son of media mogul Rupert Murdoch, is the chairman and acting CEO of Fox News. He is also a key figure in the media conglomerate News Corporation, which later became 21st Century Fox and News Corp."
15-0,"
Veteran actor Robert Hardy, known for his roles in ""All Creatures Great and Small"" and as Winston Churchill, is selling his extensive collection of antiques at a £100,000 auction. The sale includes a variety of items, such as furniture, paintings, and historical artifacts. The auction is set to take place on Saturday."
15-1,"
Veteran actor Robert Hardy, known for his roles in ""All Creatures Great and Small"" and as Winston Churchill, is selling his extensive collection of antiques at a £100,000 auction. The sale includes a variety of items, such as furniture, paintings, and historical artifacts. The auction is set to take place on Saturday."
15-2,"
Veteran actor Robert Hardy, known for his roles in ""All Creatures Great and Small"" and as Winston Churchill, is selling his extensive collection of antiques at a £100,000 auction. The sale includes a variety of items, such as furniture, paintings, and historical artifacts. The auction is set to take place on Saturday."
15-3,"
A major study finds that heavy drinking among Americans has increased by 17.2% between 2005 and 2012, driven largely by rising rates among women. The study also finds that binge drinking rates among women have increased more than seven times the rate among men."
4-0,"
The Giants defeated the Panthers in a short-handed game, with key goals from Mike Forney, Mike Radja, and James Desmarais. The Giants and Panthers will play again in a double-header on Saturday night. The Nottingham team leads the league with 28 points, followed by Sheffield Steelers with 27 points, and Belfast with 25 points."
4-1,"
Anne Rice was born in New Orleans and moved to Texas and San Francisco. Route 495 is a New Jersey freeway connecting the New Jersey Turnpike to New York State Route 495 inside the Lincoln Tunnel, providing access to Midtown Manhattan."
4-2,"
""Home for the Holidays"" is a 1972 made-for-television horror film directed by John Llewellyn Moxey, produced by Aaron Spelling, and starring Sally Field and others. The film premiered on ABC on November 28, 1972. There is also a 1995 film with a different cast."
4-3,"
Smith, a 21-year-old loaned from Aberdeen to United in July, has scored five goals this season. Aberdeen debutant in 2012, Smith has scored four times in 89 appearances for Aberdeen. St Mirren's manager, Jack Ross, praised Smith as a good acquisition, a mature player, and a good fit for St Mirren. Ross also mentioned that Smith was at Dundee United previously. St Mirren is set to host Falkirk on Saturday in a Championship match."
4-4,"
Billy Ray Cyrus is a country music artist, actor, and philanthropist. French Montana's debut album is ""Excuse My French."" An Egyptian film comedy titled ""Excuse My French"" (2014) was directed by Amr Salama, based on his experiences at an Egyptian middle school. The film faced censorship issues and script adjustments to address religious discrimination."
7-0,"
The passage provides details on the campaign expenditures of various UK political parties during the 2014 European election campaign. It highlights the spending of UKIP, the Tories, the Lib Dems, Labour, the Green Party, and the SNP. The passage also notes that all but Labour spent more than they did in the 2009 European election campaign."
7-1,"
The passage announces the cast and crew for a live-action adaptation of Disney's ""Beauty and the Beast."" Emma Watson plays Belle, Dan Stevens is the Beast, and Luke Evans plays Gaston. Josh Gad is LeFou. The film is directed by Bill Condon and is set for release on March 17, 2017. Filming begins in May at Shepperton Studios."
7-2,"
Dorothy Ann Willis Richards was the 45th Governor of Texas from 1991 to 1995. She was a Democrat and gained national attention as Texas state treasurer. She was defeated for re-election in 1994 by George W. Bush. Richards was the second female governor of Texas and was known for her feminism and wit. Ann Richards, born October 1, 1935, and died April 1, 1982, was an American jazz singer and the wife of pianist Stan Kenton."
7-4,"
Anderson, a 27-year-old centre-back, has mutually terminated his contract with Barrow to join a National League rival. Anderson has played for Aldershot, Exeter, and in Italy. He is set to play against his former club on 18 February. 

Striker Keating, 21, has been recommended to Gulls boss Kevin Nicholson by ex-Port Vale manager Micky Adams. Keating has had spells with Sligo Rovers, Galway United, and Finn Harps, and his move is pending international clearance.

Kevin Nicholson, the Gulls boss, commented on Myles, a 27-year-old player, emphasizing his leadership qualities. Nicholson also discussed Ruairi, a young player, noting his hunger to prove himself.

The Gulls are currently four points above the relegation zone in the National League. They have won only one of their last six games. The passage also mentions a dedicated page for the latest football transfers."
9-0,"
Francis I was Holy Roman Emperor and Grand Duke of Tuscany, but his wife controlled the real power. He was also King of France from 1515 to 1547, known for his involvement in wars against Charles V and for forming a controversial alliance with Suleiman the Magnificent. The Italian war of 1536-1538 was a conflict between Francis I and Charles V."
9-1,"
A pit crew member, Todd Phillips, was injured by a car driven by Francesco Dracone during the inaugural Indycar Grand Prix of Louisiana. Phillips received stitches for a leg cut and was released from the infield care center. Dracone spun out on the first turn and finished 23rd in the race."
9-2,"
Widnes secured a 38-12 victory over Castleford, with Widnes' Macgraff Leuluai, Ah Van, and Chris Bridge scoring tries. Castleford's Paddy Flynn scored against his parent club, but Widnes held on to the win."
9-3,"
Clarkson, a 30-year-old footballer, has joined Premiership Well for a second spell. He is set to make his debut for St Mirren in a Championship match against Alloa. Clarkson has a history of scoring and has been training hard to be match fit for his new team."
9-4,"
Amir Khan, the Bolton-born boxer, spent a family trip to a safari park in Northern California. During the visit, Khan interacted with wildlife, including posing with giraffes and sea lions, and feeding a rare white tiger. Khan was accompanied by his wife, Faryal Makhdoom Khan, and their daughter, Lamysa. Additionally, Khan announced his next fight against Chris Algieri at welterweight on May 30."
16-0,"
The passage discusses the highly anticipated boxing match between Floyd Mayweather and Manny Pacquiao, which is expected to be the most significant and financially successful fight of all time. The passage also touches upon the historical significance of the fight between Sugar Ray Leonard and Roberto Duran, highlighting the psychological and strategic aspects of their rivalry."
16-1,"
Rory McIlroy aims to win the Masters to complete a career grand slam. He believes his collapse at Augusta National in 2011 was crucial to his development. McIlroy is also looking to win multiple Masters titles, as he has done with other majors."
16-2,"
Pablo Mandado and Ilze Zebolde are a couple cycling around the world. They quit their restaurant jobs in Manchester to pursue this dream. They aim to discover different parts of the planet, one pedal at a time. They have covered almost 7,000 miles through 16 countries. They live on a very low budget, relying on free accommodation and not needing a budget for transport."
16-3,"
Pablo Mandado and Ilze Zebolde are a couple cycling around the world. They quit their restaurant jobs in Manchester to pursue this dream. They aim to discover different parts of the planet, one pedal at a time. They have covered almost 7,000 miles through 16 countries. They live on a very low budget, relying on free accommodation and not needing a budget for transport."
