source_id,overview
13601,"Finch & Fork is a classy American restaurant and bar located at 31 W Carrillo St, Santa Barbara, CA. It serves dinner Monday–Saturday (about 5 p.m.–9/11 p.m.) and brunch only on Sunday (9 a.m.–2 p.m.). The venue offers garage, street, validated and valet parking, accepts reservations, provides free Wi-Fi, take-out, and accommodates groups; there is no outdoor seating or live music.

Recent reviewers all awarded 5 stars, praising the Sunday brunch, “mimosa madness”/bottomless mimosa deal ($14 for the first, $1 refills), and dishes such as breakfast burritos, steak-and-eggs with frites, and eggs Benedict. Service from staff (e.g., Jamie, Matthew) is described as fast, hospitable, and helpful with local tips. Ambience is consistently noted as attractive and hotel-lobby upscale, matching the business’s “classy” attribute. Pricing is viewed as good value by some and slightly overpriced by others, but overall taste, quality, and experience receive strong approval. The business holds an overall 4.0-star rating."
13603,"Tinker’s Burgers  
2275 Ortega Hill Rd, Ste C, Summerland, CA  

Type: Burgers, casual restaurant  
Hours: Mon–Sun 11:00 am–5:00 pm  

Overview  
• Menu highlights include sourdough bacon cheeseburgers, double cheeseburgers (optionally with egg), fries, corn dogs, freezes and malts.  
• Reviewers give an overall 4.0-star rating. Two 5-star reviews call the burgers and fries “excellent,” “superb,” and “the best we’ve ever had,” describing the spot as a hidden gem.  
• A 3-star review still found the food “good” but criticized 30-minute ticket times, limited ketchup, and a passive cashier, citing poor value and service as reasons not to return.  

Amenities & Setting  
• Street parking only; no valet, garage, or lot.  
• Outdoor seating available; good for groups; take-out offered.  
• No reservations and no Wi-Fi.  
• Ambience is noted as divey yet classy."
13604,"Benchmark Eatery is a casual-yet-classy American restaurant and bar at 1201 State St, Santa Barbara, CA. It serves a broad menu spanning traditional and new American dishes, breakfast & brunch items, seafood, vegetarian choices, and bar fare. The business holds an overall 4.0-star rating.

Operations & amenities
• Hours: Closed Monday; Tue–Thu & Sun 11:30 a.m.–8 p.m.; Fri–Sat 11:30 a.m.–4 p.m.  
• Seating: Indoor and patio; outdoor seating available.  
• Services: No reservations, take-out offered, free Wi-Fi, good for groups.  
• Parking: Garage, street, and lot options (no valet, no validation).  
• Atmosphere: Classified as both classy and casual; no live music.

Customer feedback (sampled)
Positive notes  
• Well-liked flatbreads, burrito, and generally enjoyable food for many guests.  
• Friendly service described as “upscale casual.”  
• Patio setting appreciated.

Critical remarks  
• Reports of order errors (e.g., unwanted tomato) and bland or unseasoned items such as grilled chicken, burgers, and onion rings.  
• Inconsistent dish preparation (Spanish soup heat level varied).  
• Some service lapses (self-requested drink refills) and concerns about freshness or after-meal stomach discomfort.  
• Indoor area occasionally noted for an unpleasant cleaning-spray odor; one diner moved outside.

Overall, Benchmark Eatery offers a varied American menu in a relaxed downtown setting with convenient parking and outdoor seating, earning mixed but generally favorable reviews that praise certain dishes while citing occasional quality and service inconsistencies."
13613,"Pizza Mizza is a casual pizza and Italian eatery in Santa Barbara, CA (overall rating 3.5 stars). It operates 11 a.m.–9 p.m. on Sunday and Monday and currently focuses on delivery, though take-out, reservations, outdoor seating, free Wi-Fi, and group seating are listed as available. On-site amenities include a parking lot; the ambience is casual.

Menu feedback highlights a wide selection of pizzas, pastas, salads, and specialty crusts such as gluten-free and cauliflower. Reviewers praise the flavor and freshness of the pizza—one calls it a favorite in town, another notes crisp crust, fresh toppings, and generous extras (ranch, cheese, peppers, plates).

Service opinions are mixed. Delivery generally arrives within about an hour and meets expectations, but multiple dine-in visits report long waits (30 minutes or more) and inattentive front-of-house staff, leading to frustration despite food quality. Management responsiveness included a bill refund in one case."
13614,"Taffy’s Pizza  
2026 De La Vina St, Santa Barbara, CA  
Category: Restaurants – Pizza  
Overall rating: 4.0/5.0 (based on supplied data)

Description  
• Casual pizzeria offering pizza, bread sticks, salads, pastas, sandwiches and a noted beer selection.  
• Menu is described as extensive, with many topping choices; staff has accommodated special-request items.  
• Services include free delivery (may require early ordering), take-out, reservations, free Wi-Fi and outdoor seating on a large patio.  
• Family-oriented features noted: small arcade room with classic games and children’s books; previous trivia nights held on the patio.  
• Parking: street and on-lot options; no garage or valet.  
• Suitable for groups.

Hours  
Tue–Sat 11 a.m.–9 p.m.; Sun 12 p.m.–8 p.m.; Mon closed.

Customer feedback highlights  
+ Pizza quality, varied menu, reasonable prices and friendly, flexible service receive strong praise, including from long-time patrons.  
– One reviewer reported refusal of an Axxess discount card and was dissatisfied with a chicken piccata order.

Takeaway  
Patrons generally regard Taffy’s Pizza as a reliable, family-friendly spot for diverse, well-liked pizza and pub-style fare, though acceptance of certain promotions may be inconsistent."
13619,"Goodland Kitchen is a casual, counter-service eatery at 231 S Magnolia Ave, Goleta, CA, open Monday–Friday, 7 a.m.–2 p.m. It falls under Food, American (New), Restaurants, Farmers Market, Local Services, Professional Services, and Shopping.

Key features
• Service options: Take-out available; no reservations.  
• Seating & ambience: Outdoor seating, casual/classy setting; suitable for groups.  
• Amenities: Street parking only; no Wi-Fi.  
• Overall rating: 3.5 stars.

Customer feedback (three recent reviews)
• Positives: Friendly and “amazing” service, convenient take-out, strong lunch lineup with praised items such as chorizo, chips, and large salads. Enthusiastic support noted after a recent reopening.  
• Negatives: One diner reported a decline in food creativity and quality—describing offerings as standard and meat-heavy, with stale bread and limited soup options; former lunch specials allegedly discontinued.

Summary
Patrons appreciate Goodland Kitchen’s welcoming staff, outdoor seating, and satisfying lunch fare, though opinions on food quality vary, with some citing notable decline from earlier standards."
13632,"Sam’s To Go is a casual sandwich shop at 315 Meigs Rd, Ste I, Santa Barbara, CA, open 10 a.m.–9 p.m. Monday–Saturday and 10 a.m.–7:30 p.m. Sunday. It offers sandwiches and American-style fare, with amenities that include lot parking, outdoor seating, free Wi-Fi, take-out service, and space for groups; reservations are not accepted.

Customer feedback averages 4.5 stars. Two recent 5-star reviews highlight fresh bread, generous “medium” portions, and flavorful options such as the #11 Italian Cold Cuts, #29 Veggie, Pastrami Avocado & Cheese, and turkey sandwiches. These reviewers describe the owners as “nice,” “funny,” and providing “excellent customer service.” A contrasting 2-star review reports a decline in sandwich quality (sloppy preparation, poor wrapping) and an unfriendly counter experience, noting dissatisfaction with staff attitude and reduced taste."
13633,"Viva Modern Mexican  
Address: 1114 State St, Santa Barbara, CA  

Overview  
• Multi-concept spot listed under Mexican, Latin American, breakfast-brunch, seafood, tapas/small plates, cocktail bars, and event-space categories; holds an overall 3.5-star rating.  
• Amenities include garage and street parking, reservations, outdoor seating, free Wi-Fi, take-out, and space suited to groups. Ambience is described as classy, with no live music.  

Customer Highlights  
• Events: Rehearsal dinner and welcome party (≈75 guests) praised for a “delicious” taco buffet, a helpful events coordinator, and attentive staff.  
• Drinks & Food: Multiple mentions of standout margarita flights, fresh margaritas, and light, flavorful salads.  
• Issues: One reviewer reported severe food poisoning that required ER care and noted a dropped plate that scattered glass and caused a cut.  

Key Takeaway  
Patrons commend Viva Modern Mexican for its event services, group-friendly setup, and signature margaritas, though an isolated account of food poisoning and a safety mishap indicate inconsistent dining experiences."
13637,"Hollister Brewing Company is a casual, brewery-focused American restaurant at 6980 Marketplace Dr, Goleta, CA. It operates daily, roughly 11:30 a.m.–7:30 p.m. (to 8 p.m. Fri–Sat). Amenities include lot parking, free Wi-Fi, outdoor seating, reservations, take-out options, and accommodation for groups.

Overall rating: 3.5 stars.

Customer feedback is mixed:
• Positive: A 4-star reviewer applauds a new chef and updated menu—especially Korean chicken wings, house-made dressings, and a wide selection of house-brewed beers—calling the change “long overdue.”  
• Negative: Two separate 1-star reviews cite unfriendly staff, management and bartenders drinking on duty, and very slow service (about 30 minutes before orders were taken), causing frustration for families with children.

Atmosphere is described as both casual and classy; music details are not provided."
13669,"Jeannine's American Bakery Restaurant  
Address: 7060 Hollister Ave, Ste 105, Goleta, CA  

Business profile  
• Category focus: Bakery, American-style restaurant, breakfast & brunch, coffee & tea.  
• Hours: Wed–Fri 7:30 am-1:30 pm; Sat–Sun 7:30 am-2:00 pm; closed Mon (0:0-0:0 entry) and no data for Tue.  
• Amenities: Parking lot (no valet), outdoor seating, free Wi-Fi, take-out available; ambience noted as “classy.”  

Ratings  
• Overall Yelp rating in data set: 4.5 stars (3 reviews shown: two 5-star, one 1-star).

Key points from recent reviews  
Strengths  
– French toast receives repeated praise and is called “delicious” and “the best thing we ordered.”  
– Other favored items include bacon (“smokey and crisp”), avocado toast, eggs with “deep orange yolks,” fresh orange juice (commended in two reviews), and matcha lattes.  
– Service is described as attentive/top-notch, and décor/ambience as cute and pleasant.  

Criticisms  
– One reviewer reports poor coffee quality, bitter chilaquiles, over-cooked eggs, an underwhelming croissant, and considers prices high ($65 for breakfast, $7 juice).  

Overall impression  
Most feedback highlights well-prepared brunch dishes, standout French toast, friendly service, and a comfortable, classy setting with outdoor seating and convenient parking. A minority view cites inconsistent food and beverage execution and value concerns."
