source_id,summary
14-0,"Four militants attacked Sardar Daud hospital in Kabul, Afghanistan, detonating explosives at the gate before opening fire on staff and patients. The attack lasted several hours before commandos killed all four attackers. More than 50 people were wounded in the assault.

The Islamic State (IS) claimed responsibility for the attack, while the Taliban denied involvement. This marked a tactical shift for IS in Afghanistan - their first direct engagement with security forces in the capital, having previously targeted civilian gatherings.

President Ashraf Ghani condemned the attack on the 400-bed hospital, calling it an assault on ""all human values."" Witnesses described attackers in white coats firing on everyone inside, including guards, patients, and doctors.

IS has been active in Afghanistan since establishing its ""Khorasan Province"" in 2015, primarily operating in eastern areas near Pakistan. The group has claimed several major attacks, including bombings that killed 80 people in July 2016 and 22 at the Supreme Court last month. The hospital attack's Taliban-like tactics suggest IS now has expanded resources and military training capabilities."
14-1,"The passage discusses the Booker Prize shortlist, with Neel Mukherjee's ""The Lives of Others"" (about 1960s Calcutta family dynamics) as the 5/2 betting favorite. This is the first year the prize is open to all English-language authors regardless of nationality. 

The six shortlisted authors include three British writers (Howard Jacobson with ""J"", Ali Smith with ""How To Be Both""), two Americans (Joshua Ferris with ""To Rise Again at a Decent Hour"", Karen Joy Fowler with ""We Are All Completely Beside Ourselves""), and one Australian (Richard Flanagan with ""The Narrow Road to the Deep North"").

Karen Joy Fowler's novel is the best-selling with over 55,000 copies sold. The shortlist announcement significantly boosted sales for all nominated books. The winner will be announced at London's Guildhall on Tuesday night, with BBC coverage. This is the prize's 46th year, with a judging panel chaired by AC Grayling. Shortlisted authors receive £2,500 and a special edition of their book."
14-2,"Bank of England Governor Mark Carney announced he would extend his tenure by just one year beyond his original 2018 departure date, surprising many who expected him to either leave as planned or stay until 2021. The decision was primarily driven by personal family considerations - specifically, his daughters would be completing their A-levels and GCSEs in 2018, making it an ideal time for the family to return to Canada. 

Carney, who took office in 2013, faced a changed landscape after the Brexit referendum in June 2016. Leaving in 2018 would mean departing during crucial EU exit negotiations. While Prime Minister Theresa May preferred he stay until 2021, she left the decision to him. Carney's compromise allows him to see through the Article 50 process (expected to complete by 2019) while honoring his family's original plans. He emphasized this was entirely a personal decision, balancing his professional obligations with family circumstances."
14-3,"Adrian Gill, a prominent Sunday Times columnist since 1993, died after being diagnosed with what he called the ""full English"" of cancers. The editor Martin Ivens described him as ""a giant among journalists"" and the ""heart and soul"" of the paper. Known for dictating his copy due to dyslexia, Gill was both celebrated for his brilliant writing style and notorious for controversial articles, including shooting a baboon in Tanzania and making offensive comments about various groups and places. Born in Edinburgh in 1954, he studied art before becoming a writer in the 1980s. He was married twice - first to Cressida Connolly, then to current Home Secretary Amber Rudd - and had four children. His cancer diagnosis prompted his engagement to Nicola Formby, his partner of 23 years. His final column about coming to terms with his diagnosis was to be published in the Sunday Times."
14-4,"The passage describes cyber warfare activities during the Ukraine-Russia conflict, focusing on three main hacker groups:

**Ukrainian Cyber Troops**: Led by programmer Yevhen Dokukin, this pro-Ukrainian group has hacked Russian interior ministry servers and police email accounts. They discovered data suggesting Russian military servicemen were wounded in Ukraine. The group uses DDoS attacks to disable rebel websites, targets separatist funding accounts, monitors hacked CCTV systems for military movements, and hijacked printers to spread pro-Ukrainian messages.

**Cyber Berkut**: A pro-Russian, anti-Western group named after riot police that opposes Ukraine's government. They hacked Ukrainian government websites during VP Biden's visit, claiming to have retrieved US military assistance documents. The group also hacked electronic billboards to display graphic anti-Ukrainian content, claims to have disrupted Ukraine's electronic voting systems, and published an alleged conversation suggesting Ukrainian forces downed flight MH17.

**Anonymous International** (Shaltay Boltay/Humpty Dumpty): A Russian activist group that publishes leaked Kremlin documents, though it's unclear whether through hacking or insider sources. They've released material about the Ukraine conflict, including a letter suggesting locals don't support separatist forces and emails from former FSB colonel Igor Girkin. Their website is blocked in Russia.

All three groups present themselves as independent activists rather than government-sponsored entities."
5-0,"The passage describes a 30-year-old former Manchester City player (Milner) who earned 61 caps for England since his 2009 debut. He participated in two World Cups and two European Championships, though he only played three minutes at Euro 2016. Milner appears to be announcing his retirement from international football, wishing manager Sam Allardyce and the team future success. He holds the record for most England Under-21 caps with 46 appearances since 2004, and scored his only international goal against Moldova in a 5-0 win during 2014 World Cup qualifying."
5-1,"Brad Wilk is a drummer best known for his work with rock bands Rage Against the Machine (1991-2000; 2007-11) and Audioslave (2001-07). He began his drumming career with Greta in 1990 before co-founding Rage Against the Machine with Tom Morello and Zack de la Rocha in August 1991. As of 2016, Wilk plays in Prophets of Rage alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also mentions a separate German heavy metal band called Rage, formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke has been appointed Kilmarnock manager on a permanent basis, signing a three-year deal. The 41-year-old former Hearts boss initially joined Kilmarnock as assistant to Allan Johnston last summer, then took over as interim manager when Johnston left in early February. Since taking charge, Locke has lost only one match in seven games. He will address the media at a press conference on Friday morning."
5-3,"Based on the passage:

Rupert Murdoch serves as chairman and acting CEO of Fox News. His younger son, James Murdoch (born December 13, 1972), is an Australian-British-American businessman who serves as CEO of 21st Century Fox and chairman of Sky plc. Rupert Murdoch held full control as Chairman and CEO of News Corporation, which was the world's second-largest media conglomerate before it split into News Corp and 21st Century Fox on June 28, 2013."
15-0,"Veteran actor Robert Hardy, 89, is auctioning his extensive antique collection for £100,000 as he downsizes his home. The sale includes over 200 items collected throughout his career, with 238 lots to be auctioned by Dominic Winter in Gloucestershire on Saturday.

Hardy, famous for playing vet Siegfried Farnon in BBC's ""All Creatures Great and Small"" (1978-1990) and for multiple portrayals of Winston Churchill, is a military historian and medieval longbow expert who studied English with J.R.R. Tolkien at Oxford. He has published two books on longbow history and advised on the Mary Rose shipwreck project.

Key items in the auction include:
- A hand-painted 3D diorama of the Battle of Agincourt commissioned by Hardy in the 1960s (estimated £4,000-6,000)
- A yew longbow with mother-of-pearl handle
- A portrait of Hardy with longbow (up to £2,000)
- Paintings, furniture, swords, flintlock rifles, silverware, crystal chandeliers, and books dating to the 17th century

Hardy's career included work with Laurence Olivier, John Gielgud, and Judi Dench as a Shakespearean specialist. He later appeared as Cornelius Fudge in the Harry Potter films. Though he retired from stage acting two years ago after a fall, he continues television work. Hardy expressed sadness about selling his ""treasured library"" but is pleased the items will bring joy to new owners."
