source_id,qa_response
14300,"Automotive technicians can be paid through various methods, including hourly rates, commission, or a combination of both, with pay rates varying depending on factors such as location, type of work, and employer. Specifically, they can be paid on a flat-rate or flag-rate basis, and their earnings can range from around $20-$23 per hour on average in certain states to $32 per hour in high-paying industries like aerospace products and parts manufacturing."
14323,"To grill a Porterhouse based on the provided passages, follow these steps:

1. Prepare the grill: 
   - Dump a chimney of lit coals into the grill (Passage 1, step 1).
   - Spread the coals into a double layer at the far side and a single layer in the center, leaving the section closest to you coal-free (Passage 1, steps 2-3).

2. Set up the grill:
   - Replace the grill grate (Passage 1, step 4).
   - If using a gas grill, set it up for three-zone grilling (Passage 1, step 5).

3. Prepare the grill grate:
   - Clean the hot grill grate with a grill brush (Passage 2, step 4).
   - Lubricate the grill grate with a grill oiler or a folded paper towel dipped in vegetable oil (Passage 2, step 4).

The passages do not provide the actual grilling steps for the Porterhouse steak. They only describe preparing the grill and the characteristics of a Porterhouse steak."
14353,"To fold a quilt, follow these steps: 
1. Lay your quilt on a flat surface.
2. Fold the lower right corner up toward the center on the bias.
3. Fold the lower left corner up toward the center on the bias.
4. Fold the top left corner down toward the center on the bias.
5. Fold the top right corner down toward the center on the bias."
14355,"The benefits of a water pick (or Water Pik) include: 

1. Helping to keep teeth, gums, mouth, and overall body healthier.
2. Eliminating germs and plaque at the gum line that are tough to get rid of with a toothbrush.
3. Massaging and stimulating soft tissue in the mouth.
4. Reducing the risk of gingivitis.
5. Cleaning better around teeth and gums.
6. Removing food from areas that brushing cannot access."
14360,"To set the default browser in Windows: 
1. Open the Settings app via Start menu or Windows + I shortcut.
2. Click System.
3. Click Default apps.
4. Scroll down to the Web browser section.
5. Click on the current default browser and select the desired browser. 

Alternatively, you can also set the default browser within the browser itself, such as in Mozilla Firefox by opening the browser, clicking the menu button, and selecting Options."
14366,"To properly dispose of a worn USA flag, you can either: 
1. Remove the blue field and burn it in a peaceful manner, then bury the ashes, before putting the rest of the flag out for collection; 
or 
2. Burn the entire flag yourself in a proper ceremony, after folding it in the customary triangle fold."
14375,"To cook brats, you can follow these steps based on the provided passages:

1. Prick the bratwurst with a fork to prevent them from exploding.
2. Combine the bratwurst, onions, and beer in a large pot. You can also add butter and seasonings like red pepper flakes, garlic powder, salt, and pepper.
3. Bring the mixture to a boil, then simmer over medium heat for 15 to 20 minutes.
4. Preheat a grill to medium-high heat and lightly oil the grate.
5. Remove the bratwurst from the beer mixture and cook on the grill for 5 to 14 minutes, turning occasionally to brown evenly.
6. Serve with the beer mixture (including the onions) as a topping or side.

These steps are derived from combining the information in Passages 1 and 2, as they both describe a similar process for cooking bratwurst. Passage 3 provides additional details about browning onions but does not give a complete cooking method on its own."
14390,"The symptoms of IBS include diarrhea, constipation, or an alternation between the two, accompanied by belly pains or cramps that worsen after meals and improve after bowel movements, as well as excessive gas or bloating. The causes are not fully understood but are believed to involve a combination of factors such as abnormal gastrointestinal tract movements, increased sensitivity to pain, abnormal nervous system signals, and food intolerances or sensitivities."
14392,"The difference between essential and nonessential amino acids is that essential amino acids cannot be made by the body and must be obtained from the diet, whereas nonessential amino acids can be made by the body from essential amino acids or by breaking down protein products."
14394,"The typical weather in Indiana is characterized by long, warm, humid, and wet summers, and chilly and windy winters, with partly cloudy skies year-round. Temperatures typically range from 22°F to 85°F."
