source_id,summary
15599,"Okay, let's tackle this summary. The user wants a concise summary covering the core pieces of information from the passage. First, I need to read through the passage carefully to identify the main points.

The key points seem to be:

1. Blue Bell shut down a plant in Broken Arrow, Oklahoma due to listeria contamination found in a serving of ice cream from there.
2. The CDC warned against consuming products from that plant, specifically mentioning 3-ounce servings with certain codes (O, P, Q, R, S, T).
3. The recall doesn't affect other products like half gallons, pints, etc.
4. This is the third action taken related to a listeria outbreak at a Kansas hospital. The contaminated cup was produced in April 2014, and samples from the hospital and plant matched genetically, but not with patient samples from Kansas.
5. In a separate Texas outbreak (2010-2014), patient samples matched the plant's listeria.
6. Five people in Kansas were infected, three died, all linked to the same hospital and had consumed Blue Bell milkshakes.
7. Blue Bell's first recall in 108 years, CEO expressed concern and commitment to quality.
8. Listeriosis details: affects vulnerable groups, symptoms, and fatality rate.

I need to make sure not to include any external info, just what's in the passage. Also, avoid extra details. Let me structure this step by step.

Start with the shutdown and reason. Mention the specific products recalled (the 3-ounce cups with those codes). Note that other products are unaffected. Then the Kansas outbreak details: 5 cases, 3 deaths, link to hospital and milkshakes. The genetic match between samples but not with patients. The Texas outbreak connection. The company's response, including the recall and CEO statement. Finally, listeriosis info from CDC.

Wait, the passage says the Kansas outbreak's listeria samples from patients didn't match the plant's, but the Texas ones did. Need to clarify that. Also, the recall in March included some products. The first recall in their history. The CDC's ongoing investigation.

Make sure to keep it concise. Avoid redundancy. Check for all key points without going into too much detail. Let me draft a summary now.
</think>

Blue Bell Creameries temporarily closed its Broken Arrow, Oklahoma, plant due to listeria contamination in ice cream linked to a Kansas hospital outbreak. The CDC warns against consuming 3-ounce servings from this plant, identified by codes O, P, Q, R, S, or T after the date, but other products (e.g., half gallons, pints) remain unaffected. The contamination traces to a 2014-produced cup, with genetic matches between hospital and plant samples, though patient samples in Kansas did not match. Five Kansas hospital patients, including three fatalities, may have contracted listeriosis from Blue Bell milkshakes. A separate Texas outbreak (2010–2014) showed patient samples matching plant-linked listeria. This is Blue Bell’s first recall in 108 years; CEO Paul Kruse emphasized prioritizing safety. Listeriosis, a severe infection, primarily risks vulnerable groups, with 16% fatality rates in reported U.S. cases annually. The CDC urges disposal of recalled products."
15601,"Okay, let's tackle this summary. The user wants a concise summary covering the core pieces of information from the provided passage. First, I need to make sure I understand the passage thoroughly.

The main points seem to be about a Rolling Stone article that was flawed due to institutional failures in reporting and editing. The article was about a gang rape at UVA, but it turned out to be inaccurate. The Columbia Journalism School review highlighted the failures in the editorial process. Rolling Stone's managing editor apologized to readers and those affected, including the fraternity and UVA.

Then there's the legal aspect. The question is whether UVA, Phi Kappa Psi, or other fraternities can sue for defamation. The passage explains the elements of libel in Virginia: publication, actionable statement (false and defamatory), and requisite intent. Since the article was presented as factual but is now considered not true, that's a key point. 

The passage also differentiates between public and private individuals. The fraternity members are private individuals, so they need to show the false statements were about them, harmed their reputation, and that Rolling Stone had some level of fault (like negligence). The Columbia report might help establish intent or negligence.

However, there are hurdles. UVA can't sue because it's a public entity. Fraternities as groups face challenges because defamation requires the statement to be ""of or concerning"" the plaintiff. Groups can't sue unless it's a small group where the defamation clearly applies to each member. Phi Kappa Psi might argue they're a small enough group, but Rolling Stone could counter that the group is too large and fluid. Other fraternities not mentioned in the story would have an even harder time.

Additionally, proving financial harm is necessary, which is tough. The case is unusual because it's not a typical defamation case, but if the fraternity members can overcome these hurdles and show damages, it might be a rare successful case.

I need to make sure the summary includes all these elements without adding external info. Let me structure it step by step: start with the Rolling Stone article's issues, the Columbia review, the apology, then the legal aspects (elements of libel, UVA's inability to sue, fraternity's challenges as groups, possible exceptions, financial harm requirement, and the uniqueness of the case). Keep it concise, maybe in a few paragraphs. Avoid any personal opinions or extra details. Check that all key points from the passage are covered without going into too much detail. Let me put that together now.
</think>

The passage discusses the potential defamation lawsuit arising from Rolling Stone's flawed 2014 article about a purported gang rape at the University of Virginia (UVA). An external review by Columbia Journalism School found institutional failures in reporting, editing, and fact-checking, leading to a retracted article. Rolling Stone apologized to affected parties, including UVA administrators, students, and the Phi Kappa Psi fraternity.  

Legally, defamation requires a false and defamatory statement published with requisite intent. While the article presented itself as factual, its inaccuracies may meet ""false statement"" criteria. However, UVA, as a public entity, cannot sue for defamation. Fraternities like Phi Kappa Psi face challenges: groups generally cannot sue unless defamatory claims target a ""comparatively small group"" where harm is imputed to individual members. Phi Kappa Psi might argue its members qualify, but Rolling Stone could counter that the fraternity’s fluid, large membership negates individual harm. Other fraternities unmentioned in the article would struggle more.  

Private individuals (fraternity members) must prove the statements caused reputational damage and demonstrate Rolling Stone’s negligence or knowledge of falsity. The Columbia report may help establish intent. However, plaintiffs must also show tangible financial harm, a high bar. While rare, the case could succeed if members overcome these hurdles, making it an unusual but plausible defamation claim."
15604,"Okay, let's tackle this summary. The user wants a concise summary covering the core pieces of information from the passage. First, I need to read through the passage carefully to identify the main points.

The author starts by mentioning their own historical significance as the first woman and person of color in the Kentucky State Senate in 1967. Then they shift to criticizing Rand Paul's presidential campaign, pointing out his questioning of voting and civil rights legislation. The key here is the contrast between the author's achievements and Paul's stance.

Next, the passage talks about Paul's campaign message of inclusion but the author dismisses it as hype. They mention Paul's attempts to position himself as a GOP minority outreach candidate but argue that his policies don't back up his words. Specific points include his opposition to the Department of Education, restrictions on women's choices, opposing protections for DREAMers, and his stance on the Civil Rights Act and voting rights.

The author also references Paul's condescending behavior at HBCUs and his dismissive remark about the Voting Rights Act by pointing out the existence of a Black president. The mention of Obama's speech at the Edmund Pettus Bridge underscores the importance of voting rights and progress. The conclusion is that Paul's views are outdated and he's unfit to lead, and the American people deserve better.

I need to make sure all these points are included concisely. Avoid any external knowledge, just stick to the passage. Let me structure it step by step: author's background, Paul's campaign and its critique, specific policy disagreements, his actions and remarks, and the final judgment. Keep it tight, maybe in a few sentences. Check for any missed core points. The main elements are the author's credentials, Paul's campaign message vs. his record, specific policies he opposes, his behavior, and the conclusion that he's unfit. That should cover it.
</think>

The author, a historic figure as the first woman and person of color in the Kentucky State Senate (1967), criticizes Rand Paul’s presidential campaign for undermining voting and civil rights. Paul positions himself as a GOP outreach candidate for minorities but faces accusations of hypocrisy, as his policies conflict with inclusive rhetoric. The author highlights Paul’s opposition to key rights, including questioning the Civil Rights Act, advocating for the elimination of the Department of Education, restricting reproductive choices, opposing DREAMer protections, and dismissing voting rights concerns by citing the existence of a Black president. His condescending approach at historically Black colleges and rejection of expanded voting protections further draw criticism. The author argues Paul’s views are outdated and incompatible with democratic progress, concluding he is unfit to lead and that Americans deserve better."
15613,"Okay, let's tackle this query. The user wants a concise summary of the provided passage, covering the core pieces of information. First, I need to make sure I understand the passage thoroughly.

The main subject is Mary Kay Letourneau Fualaau and her husband Vili Fualaau. The key points are their relationship that led to her imprisonment, their current status, and an upcoming interview. Let me break it down step by step.

Starting with the facts: Mary was a 34-year-old teacher and mother in 1996 when she had an affair with her 13-year-old student, Vili. She had his child and served over seven years in prison. Now, they're married, celebrating their 10th anniversary, and have two teen daughters. The ABC interview is coming up where they discuss their marriage, her plans to teach again, removing her sex offender status, and Vili's struggles with alcoholism and depression. Their current ages are 53 and 31.

I need to ensure all these points are included without adding anything extra. The user emphasized not to use external knowledge, so I can't mention anything beyond what's in the passage. Let me check for any details I might have missed. The passage mentions the show ""20/20"" airing the interview on Friday, and the anniversary date is May 20. Also, the reason for her prison time is their sexual relationship. 

Wait, the user wants a concise summary. I should avoid redundancy. For example, mentioning their marriage after prison and their current parent status. Also, the ABC details about the interview topics are important. Let me structure this in a clear, straightforward way without fluff. Make sure the core info is there: their past actions, current marital status, the upcoming interview, and the topics they'll discuss. 

Double-checking the ages: Mary is now 53, Vili is 31. The time served was over seven years, released in 2005, married soon after. The anniversary is their 10th, so 2015 would be the 10th, but the passage says the interview is on a Friday, but the exact year isn't given. The summary should just state the anniversary date as May 20. 

I think that's all. Let me put it together concisely, ensuring each key point is covered without adding any personal opinions or external info. Make sure the summary flows logically from past events to current status and the upcoming interview details.
</think>

Mary Kay Letourneau Fualaau and her husband Vili Fualaau, who was her 13-year-old student when their affair began in 1996, remain married and celebrate their 10th wedding anniversary on May 20. Letourneau, then a 34-year-old teacher, had his child and served over seven years in prison for their relationship. Now 53, she discusses their marriage's resilience, her desire to resume teaching, and efforts to remove her sex offender status in an upcoming ABC ""20/20"" interview. Vili, 31, addresses past struggles with alcoholism and depression, and critiques the system’s handling of his case as a minor. The couple, parents of two teen daughters, wed shortly after her 2005 release from prison."
15616,"Okay, let's tackle this query. The user wants a concise summary of the provided passage, covering the core pieces of information. First, I need to make sure I strictly use only the information given in the passage and not any external knowledge.

Starting with the main points: The passage is about Kanye West settling a lawsuit with a paparazzi photographer, Daniel Ramos, whom he assaulted. The incident happened in July 2013 at LAX. West pleaded no contest to a battery charge, leading to probation, anger management, and community service. The civil suit was settled, with the key points being the apology and the dismissal of the case. Allred mentioned the case sent a message that celebrities aren't above the law. Also, there's a mention of another incident in 2014 where West settled civilly without criminal charges.

Wait, the user wants a concise summary. I need to make sure I include all the core elements without extra details. Let me list the key points again:

- Kanye West and Daniel Ramos settled the lawsuit.
- The lawsuit was due to an assault at LAX in 2013 where West tried to take the camera.
- West pleaded no contest, leading to probation, anger management, and community service.
- The civil case was dismissed after settlement, which included an apology from West.
- Allred's statement emphasized the apology and the message about celebrities and the law.
- The settlement details weren't disclosed except the apology.
- There's a mention of another 2014 incident settled civilly without criminal charges.

I should structure the summary to hit each of these points in order. Need to avoid mentioning the video exchange unless it's crucial, but the user might consider it part of the core info since it's part of the original incident. The summary should be clear and to the point, ensuring all main facts are included without fluff. Also, check for any dates, names, and outcomes. Make sure not to include the part about apologizing to Beck and Bruno Mars since that's not related to this case. The Beverly Hills incident is mentioned as another case, so that's a core point too. Alright, putting it all together concisely.
</think>

Kanye West settled a lawsuit with photographer Daniel Ramos following a 2013 incident at Los Angeles International Airport where West assaulted Ramos and tried to seize his camera. West pleaded no contest to battery in 2014, receiving probation, anger management, and community service. The civil case, seeking damages for interference with Ramos’s work, was dismissed after a settlement including West’s apology to Ramos. A photo showed their handshake post-apology. The case highlighted that celebrities are not above the law. Separately, West settled a 2014 civil case involving an alleged assault at a Beverly Hills office without criminal charges."
15617,"Okay, let's tackle this summary. The user wants a concise summary covering the core pieces of information from the passage. First, I need to read through the passage carefully to pick out the main points.

The passage starts by mentioning that B.B. King was hospitalized for dehydration caused by his Type II diabetes. His daughter Claudette and publicist Angela Moore confirm he's better and back home. He released a statement thanking fans. Then there's some background info: his nickname, Rock and Roll Hall of Fame induction, Grammy nominations, his guitars named Lucille, some hit songs, and a previous incident in Chicago last year where he had to cancel a tour. Also, CNN contributors are mentioned at the end.

I need to make sure I don't include any extra info beyond what's here. The key points are his recent hospitalization due to dehydration from diabetes, his recovery, return home, his age (89), his musical achievements, the Lucille guitar, notable songs, and the previous health issue from last year. The CNN contributors aren't essential for the summary, so I can leave that out. Also, the part about the Gibson model becoming a custom Lucille might be a detail to include but keep it brief. The user wants it concise, so I need to prioritize the most important info: health update, his response, and his musical legacy. Let me structure that into a few sentences without any fluff.
</think>

B.B. King, the 89-year-old blues legend, was hospitalized for dehydration linked to his Type II diabetes but was discharged and resting at home, according to his daughter Claudette King and publicist Angela Moore. He thanked fans for their support, stating he felt much better. King, known as the ""King of the Blues,"" has a legacy including Rock and Roll Hall of Fame induction (1987), 30 Grammy nominations, and iconic guitars named Lucille. His hits like ""The Thrill Is Gone"" and collaborations, such as with U2, highlight his career. This incident follows a 2015 dehydration-exhaustion episode post-Chicago show that canceled his tour."
15623,"Okay, let's tackle this summary. The user wants a concise summary covering the core pieces of information from the passage. First, I need to read through the passage carefully to identify the main points.

The key elements here are the stabbing of Chris Copeland, the involvement of the Atlanta Hawks players, the location details, the arrests, and the aftermath. Let me start by noting the main event: Chris Copeland, an Indiana Pacers player, was stabbed after leaving a nightclub in New York. The incident happened near 1OAK club, but the stabbing actually occurred at Fulton Houses. The time was early Wednesday, around 4 a.m.

Next, the Atlanta Hawks players Pero Antic and Thabo Sefolosha were arrested, but they weren't involved in the stabbing. Their charges are obstruction and disorderly conduct, with Sefolosha also resisting arrest. The Hawks had just finished a game in Atlanta before this happened. The suspect was detained by Copeland's driver and is in custody, but charges are pending. 

The club's statement clarifies that the stabbing didn't happen on their premises, and they helped Copeland. Copeland and his companion Katrine Saltara were stabbed, and they left a bloody trail back to the club. The club shut down after the incident. There were three people hospitalized: Copeland, Saltara, and another woman. The injuries are detailed as knife wounds to Copeland's elbow and abdomen, stable condition. Saltara had cuts on arm, breast, and buttock, and the third woman had a stomach slash. The discrepancy in her age (23 vs 53) is mentioned but not resolved here.

The Hawks players went outside to check on their friend, got into a crowd, leading to their arrests. They plan to contest the charges. The Pacers are preparing for a game, and the NBA is looking into the incident. The Hawks are in a good playoff position, while the Pacers are on the edge of the playoffs.

I need to make sure not to include any external info, just what's in the passage. Also, keep it concise. Let me structure this step by step, ensuring all main points are covered without extra details. Check for names, charges, locations, injuries, and the involvement of the Hawks players. Avoid mentioning the media sources unless necessary. The summary should flow logically, starting with the incident, then the arrests, details of the stabbing, the club's role, the aftermath, and the teams' situations.
</think>

Chris Copeland, an Indiana Pacers player, was stabbed outside the 1OAK nightclub in New York early Wednesday, with the attack occurring near the Fulton Houses project. The suspect, detained by Copeland’s driver, remains in custody pending charges. Copeland and his companion, Katrine Saltara, suffered knife wounds (Copeland’s injuries included his left elbow and abdomen; Saltara had cuts on her arm, breast, and buttock), while a third woman was slashed in the stomach. All three were hospitalized, with Copeland in stable condition.  

Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, were arrested on obstruction, disorderly conduct, and resisting arrest charges after allegedly pushing through a crowd at the scene. They were not involved in the stabbing but faced consequences for interfering with police. The Hawks, who had just finished a game in Atlanta, denied the charges and apologized for the incident.  

The stabbing occurred after Copeland and Saltara left 1OAK, where they stayed briefly. The club confirmed the attack happened off its premises but assisted them. Surveillance did not capture the stabbing, and the venue shut down afterward. The NBA and teams are investigating, with the Pacers set to play the Knicks later that night. The Hawks, who clinched the Eastern Conference’s top seed, will not have Antic and Sefolosha in uniform for their upcoming game."
15627,"Okay, let's tackle this query. The user wants a concise summary of the provided passage, covering the core pieces of information. First, I need to make sure I strictly use only the information given in the passage and not add any external knowledge.

Starting with the main points: Selena, the Tejano star who died 20 years ago, is being brought back via a hologram-like technology. The family is involved, specifically her sister Suzette mentioned that it's not creepy but amazing. The tech is by Acrovirt LLC, using Digitized Human Essence which allows the hologram to learn and react. The project is called ""Selena the One."" They plan to release new music, collaborate with artists, and tour in 2018. Also, there's an Indiegogo campaign aiming for $500k starting April 16, and a Fiesta de la Flor event in April. They mention Michael Jackson and Tupac's holograms but note this is a step forward. The family emphasizes it's to continue her legacy, not replace her. 

I need to ensure all these points are included without adding anything else. Check for dates, names, companies, and key details. Avoid mentioning anything not in the text, like how the technology works beyond what's stated. Make sure the summary is concise but hits all the main elements: the hologram project, the company, the family's intentions, the new music plans, the campaign, the events, and the context of previous holograms. Also, note that Selena is the first Latina to use this tech. Keep it structured but in a few sentences. Let me piece this together step by step, ensuring each core point is covered without fluff.
</think>

Selena, the Tejano music icon who died 20 years ago, will be revived through a ""walking, talking, singing, and dancing digital embodiment"" called *Selena the One*, developed by her family and tech company Acrovirt LLC. The project uses ""Digitized Human Essence"" technology to create an autonomous, reactive replica of her persona, aiming to expand her legacy by releasing new music, collaborating with contemporary artists, and touring starting in 2018. The family emphasizes the hologram is not meant to replace Selena but to introduce her to new fans and continue her influence. A crowdfunding campaign (targeting $500,000 via Indiegogo) launches April 16, coinciding with a memorial event in Texas. While virtual performers like Michael Jackson and Tupac Shakur have appeared before, this marks the first use of Acrovirt’s advanced technology, with Selena being the first Latina to utilize it."
15628,"Okay, let's tackle this summary. The user wants a concise summary covering the core pieces of information from the passage. First, I need to read through the passage carefully to identify the key points.

The main event is a man getting stuck in the cargo hold of an Alaska Airlines flight. The flight was from Seattle-Tacoma to LA, Flight 448. The pilot noticed banging and suspected a person, leading to an emergency return. The man was a ramp agent from Menzies Aviation, which is a contractor. He fell asleep in the cargo hold, which is pressurized and safe, and the flight was only 14 minutes in the air. Passengers heard the banging and screams, and a federal air marshal communicated with him. The plane landed safely, surrounded by emergency vehicles. The man was checked at a hospital, passed drug tests, and was discharged. He had started his shift early, was missing during a huddle, and his coworkers thought he left. The airline is investigating. All employees have security checks. The flight eventually arrived in LA that evening.

I need to make sure I include all these points without adding anything extra. Let me check the passage again to confirm details like the flight number, airline, the contractor's name, the time he was working, and the number of passengers. Also, mention the passenger reactions and the investigation. Avoid any assumptions beyond the text. Keep it concise but comprehensive.
</think>

Alaska Airlines Flight 448, departing Seattle-Tacoma for Los Angeles, made an emergency return after a ramp agent from contractor Menzies Aviation became trapped in the pressurized cargo hold. The pilot detected unusual banging, leading to speculation of a person inside. The agent, who fell asleep during his shift (starting at 5 a.m.), was discovered after passengers reported loud noises and faint screams. A federal air marshal communicated with him mid-flight. The plane landed safely 14 minutes after takeoff, met by emergency crews. The agent, unharmed, was hospitalized briefly, passed a drug test, and was discharged. Co-workers had noticed he was missing but assumed he left work. The airline is investigating; the employee had proper security clearance. The flight later resumed and arrived in Los Angeles that evening with 170 passengers and six crew."
15634,"Okay, let's tackle this summary. The user wants a concise summary covering the core pieces of information from the passage. First, I need to read through the passage carefully to identify the main points.

The passage starts with Emy Afalava, a veteran from American Samoa, who's been denied citizenship despite being born in a U.S. territory. The key point here is his argument based on the 14th Amendment, which should grant birthright citizenship. The federal government's stance is that he's not a citizen, so he can't vote. The anniversary of American Samoa joining the U.S. is mentioned, highlighting the irony of celebrating while citizenship rights are denied.

Then there's the historical context: Dred Scott case, which denied citizenship to African-Americans, later overturned by the 14th Amendment. The passage connects this to the current issue, showing a pattern of discrimination. The Isabel Gonzalez case in 1904 is another example where Puerto Ricans were treated as non-citizens despite being in U.S. territories. The Supreme Court's racist reasoning and the lingering effects are noted here.

The summary needs to tie these historical cases to the present lawsuit by Afalava and others. The main argument is that American Samoans are the last group still denied birthright citizenship, and the D.C. Circuit's upcoming decision could change that. Also, the mention of other territories having citizenship now emphasizes that American Samoa is the exception.

I should make sure to include the key elements: Afalava's case, the 14th Amendment argument, the historical parallels with Dred Scott and Gonzalez, the federal lawsuit, and the call to end the exception. Avoid any extra details not in the passage. Keep it concise but cover all these points without going into too much depth on each case. Check that the summary flows logically from the current issue to historical context and back to the present legal action.
</think>

The passage discusses Emy Afalava, a U.S. territory-born American Samoan veteran denied U.S. citizenship despite the Fourteenth Amendment’s birthright citizenship clause, which grants citizenship to those born on U.S. soil. American Samoans are the only remaining U.S. territorial residents classified as non-citizens, despite other former territories (e.g., Puerto Rico) having attained citizenship. Afalava’s federal lawsuit challenges this exception, citing constitutional principles and historical injustices like the *Dred Scott* decision (1857), which denied Black Americans citizenship, and the *Gonzalez v. Williams* case (1904), where the Supreme Court avoided granting citizenship to Puerto Ricans due to racist assumptions about “tropical peoples.” The passage argues that these precedents, rooted in racial discrimination, contradict the 14th Amendment’s intent and modern values. A pending D.C. Circuit Court decision could resolve whether American Samoans finally gain birthright citizenship, ending a longstanding exception to a principle otherwise applied nationwide."
