source_id,summary
14-0,"Militants from the Islamic State (IS) group attacked a hospital in Afghanistan, killing over 50 people and wounding more than 50 others. The attack began when an explosive was detonated at the hospital gate, allowing militants to enter and open fire. Commandos eventually killed all four attackers after several hours of fighting. This marks a shift in IS's tactics, as they directly engaged security forces in the capital for the first time. The Taliban denied involvement. President Ashraf Ghani condemned the attack, stating that targeting a hospital violates human values."
14-1,"The passage discusses the shortlist for the 46th Booker Prize, which is open to all authors writing in English. The six shortlisted authors are:

- Neel Mukherjee for ""The Lives of Others"" (set in 1960s Calcutta)
- Howard Jacobson for ""J"" (a futuristic love story)
- Ali Smith for ""How To Be Both"" (two interlinking stories)
- Joshua Ferris for ""To Rise Again at a Decent Hour"" (about atheism)
- Karen Joy Fowler for ""We Are All Completely Beside Ourselves"" (a family story)
- Richard Flanagan for ""The Narrow Road to the Deep North"" (a love story set during WWII)

Mukherjee's book is the favorite to win, with Flanagan's as the second choice. Fowler's book is the best-selling among the shortlisted novels. The winner will be announced at London's Guildhall. The judging panel is chaired by AC Grayling."
14-2,"Mark Carney, Governor of the Bank of England, announced an unexpected decision to extend his term by one year until 2018, rather than the two years that many had anticipated. This decision was primarily influenced by personal reasons, specifically the educational milestones of his daughters in 2018. Carney felt that extending his term until 2021 would disrupt his family's plans to return to Canada. He also considered the challenges posed by the Brexit negotiations, but ultimately, his personal circumstances were the deciding factor."
14-3,"Adrian Gill, a renowned columnist for the Sunday Times, passed away after being diagnosed with multiple cancers. He was known for his distinctive writing style and wit, and was described as ""a giant among journalists"" by his colleagues. Gill had been undergoing chemotherapy and wrote about his diagnosis in his final column, which was published posthumously. He was known for his controversial statements and reviews, which often sparked outrage. Gill was born in Edinburgh in 1954 and overcame dyslexia to become a successful writer. He was married three times and had four children. His death was met with an outpouring of tributes from fellow journalists and writers."
14-4,"The passage discusses cyber warfare activities related to the Ukraine conflict, involving several groups:

1. **Ukrainian Cyber Troops**: Led by Yevhen Dokukin, they hack into Russian servers, disrupt separatist websites and funding, monitor CCTV systems, and hijack printers to print pro-Ukrainian messages. They use DDoS attacks extensively.

2. **Cyber Berkut**: An anti-Western group that targets Ukrainian government websites, electronic billboards, and vote-counting systems. They claim to have leaked sensitive documents, including those related to Malaysia Airlines flight MH17.

3. **Anonymous International (b0ltai or Shaltay Boltay)**: Known for leaking Kremlin documents, they focus on Russia's domestic affairs but also cover Ukraine. Their website is blocked in Russia.

These groups present themselves as independent activists, separate from government-sponsored entities. The Ukrainian military denies using hacked information to direct artillery fire."
5-0,"James Milner, a 30-year-old former Manchester City player, has represented England 61 times since his senior debut in 2009. He was part of England's squads for two World Cups and two European Championships, but only played three minutes at Euro 2016. Milner also holds the record for the most capped England Under-21 player, with 46 caps since 2004. He scored his only international goal in a 5-0 victory over Moldova during the 2014 FIFA World Cup qualifiers."
5-1,"Brad Wilk is a drummer known for his work with the rock bands Rage Against the Machine (1991-2000, 2007-2011) and Audioslave (2001-2007). He began his career with Greta in 1990 and co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in 1991. As of 2016, he is a member of the band Prophets of Rage. There is a separate German heavy metal band named Rage, formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke, who joined Kilmarnock as an assistant manager last summer, has been appointed as the permanent manager after a successful interim spell. He took over the team in February and has lost only one game in seven since then. Locke, 41, has signed a three-year deal and will speak at a press conference on Friday morning."
5-3,"Rupert Murdoch is the current chairman and acting CEO of Fox News. He is an Australian, British, and American businessman, and the younger son of media mogul Rupert Murdoch. Rupert Murdoch had full control as Chairman and CEO of News Corporation, which later split into News Corp and 21st Century Fox."
15-0,"Veteran actor Robert Hardy, known for roles in ""All Creatures Great and Small"" and portrayals of Winston Churchill, is auctioning off over 200 antique items from his collection to downsize his home. The auction, taking place on Saturday at Dominic Winter Auctioneers in Gloucestershire, includes items such as a diorama of the Battle of Agincourt, a longbow, furniture, paintings, and books. Hardy, an expert on the medieval longbow and military historian, studied English with J.R.R. Tolkien and C.S. Lewis. He expressed sadness about selling his collection but hopes the new owners will enjoy the items as much as he did."
15-1,"Veteran actor Robert Hardy, known for roles in ""All Creatures Great and Small"" and portrayals of Winston Churchill, is auctioning over 200 antique items from his collection to downsize his home. The auction, taking place on Saturday at Dominic Winter Auctioneers in Gloucestershire, includes items such as a diorama of the Battle of Agincourt, a longbow, furniture, paintings, and books. Hardy, an expert on the medieval longbow and military historian, studied English with J.R.R. Tolkien and C.S. Lewis. He expressed sadness about selling his collection but trusts the auctioneers to find new owners who will appreciate the items."
15-2,"Veteran actor Robert Hardy, known for roles in ""All Creatures Great and Small"" and portrayals of Winston Churchill, is auctioning off over 200 antique items from his collection to downsize his home. The auction, taking place on Saturday at Dominic Winter Auctioneers in Gloucestershire, includes items such as a diorama of the Battle of Agincourt, a longbow, furniture, paintings, and books. Hardy, an expert on the medieval longbow and military historian, studied English with J.R.R. Tolkien and C.S. Lewis. He expressed sadness about selling his collection but is entrusting the process to the auctioneers."
15-3,"The passage discusses a study on alcohol use in the U.S. from 2005 to 2012, which found a 17.2% increase in heavy drinking, largely due to rising rates among women. Heavy drinking is defined as more than one drink per day for women and two for men, while binge drinking is four or more drinks for women and five or more for men on a single occasion. The study, by the Institute for Health Metrics and Evaluation at the University of Washington, noted that women's binge drinking rates increased more than seven times the rate among men nationwide. In 2012, 8% of Americans were heavy drinkers and 18% were binge drinkers. The study also highlighted various factors contributing to the increase, including changing social norms, affordability of alcohol, increased advertising, and weakened alcohol control policies. The data was sourced from the Behavioral Risk Factor Surveillance System, an ongoing telephone survey conducted by the U.S. Centers for Disease Control."
4-0,"The passage describes a hockey match between the Giants and the Panthers. The Giants scored first, but the Panthers equalized. In the second period, both teams scored again, with the Giants leading 2-1, then 3-2, and finally 4-2. Nottingham scored one more goal, making the final score 4-3. The teams will play again on Saturday. Nottingham is currently leading the league with 28 points, followed by Sheffield Steelers with 27 points and Belfast with 25 points."
4-1,"Anne Rice was born in New Orleans and later moved to Texas and San Francisco. Route 495 is a 3.45-mile freeway in Hudson County, New Jersey, connecting the New Jersey Turnpike (Interstate 95) to New York State Route 495 inside the Lincoln Tunnel, providing access to Midtown Manhattan."
4-2,"The passage discusses two films titled ""Home for the Holidays"":

1. A 1972 American made-for-television horror film:
   - Directed by John Llewellyn Moxey
   - Produced by Aaron Spelling
   - Starring Sally Field, Eleanor Parker, Julie Harris, Jessica Walter, and Walter Brennan
   - Premiered on ABC on November 28, 1972

2. A 1995 film:
   - Starring Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Dylan McDermott, Geraldine Chaplin, Steve Guttenberg, Cynthia Stevenson, Claire Danes, Austin Pendleton, and David Strathairn"
4-3,"Smith, a 21-year-old Scotland Under-21 international, was loaned to United from the Dons in July and has scored five goals this season. He debuted for Aberdeen in 2012 and has since scored four goals in 89 appearances. St Mirren's manager, Jack Ross, praised Smith as a ""brilliant acquisition"" and a ""good, mature boy"" who will provide another attacking option. St Mirren, currently at the bottom of the Championship, is set to host Falkirk on Saturday."
4-4,"The passage discusses three topics:

1. **Billy Ray Cyrus**: An American country music singer, songwriter, actor, and philanthropist who contributed to the global popularity of country music.

2. **Excuse My French (Album)**: The debut studio album by American rapper French Montana.

3. **Excuse My French (Film)**: A 2014 Egyptian comedy film directed by Amr Salama, based on his experiences in a public middle school in Egypt. The film initially faced censorship due to its sensitive content about religious discrimination, requiring script adjustments."
7-0,"In the May election, UKIP spent £2,956,737, the Tories £2,980,815, the Lib Dems £1,580,575, and Labour £1,027,339. The Green Party spent £534,249, and the SNP £267,372. The campaign period was from 23 January to 22 May. UKIP's spending per vote was 68p, Labour 26p, the Conservatives 79p, the Lib Dems £1.45, and the Green Party 43p. The total spending by the six highest-spending parties was £9,347,087. All parties except Labour spent more than in the 2009 European election."
7-1,"The passage discusses the casting and release details of a live-action film adaptation of ""Beauty and the Beast."" Key points include:

- Emma Watson is cast as Belle.
- Dan Stevens will play the Beast.
- Luke Evans is cast as Gaston.
- Josh Gad will play LeFou.
- Emma Thompson will play Mrs. Potts.
- Kevin Kline will play Maurice.
- Bill Condon will direct the film.
- Filming begins in May at Shepperton Studios.
- The film is set to release in US cinemas on March 17, 2017."
7-2,"Dorothy Ann Willis Richards (September 1, 1933 – September 13, 2006) was an American politician who served as the 45th Governor of Texas from 1991 to 1995. She was a Democrat who gained national attention as the state treasurer of Texas when she delivered the keynote address at the 1988 Democratic National Convention. Richards was the second female governor of Texas and was known for her outspoken feminism and one-liners. She was defeated for re-election in 1994 by George W. Bush."
7-4,"Centre-back Myles Anderson, 27, has left Barrow by mutual consent to join a National League rival and could play against his former club on 18 February. He has previously played for Aldershot, Exeter, and in Italy. Striker Ruairi Keating, 21, has been signed by the Gulls, recommended by Micky Adams. Keating has played for Sligo Rovers, Galway United, and Finn Harps, and his move is subject to international clearance. The Gulls are currently four points above the relegation zone with one win in their last six games."
9-0,"The passage discusses two individuals named Francis I:

1. **Francis I, Holy Roman Emperor** (Franz Stefan, François Étienne, 1708-1765): He held the titles of Holy Roman Emperor and Grand Duke of Tuscany, but his wife held the real power in these positions.

2. **Francis I, King of France** (1494-1547): He was the first King of France from the Angoulême branch of the House of Valois, reigning from 1515 until his death. Known by several nicknames, including ""Francis of the Large Nose"" and the ""Knight-King,"" he was involved in wars against Charles V, the Holy Roman Emperor and King of Spain. After facing setbacks, he formed a controversial Franco-Ottoman alliance with Suleiman the Magnificent. The Italian War of 1536-1538 was a conflict between Francis I and Charles V."
9-1,"During the inaugural IndyCar Grand Prix of Louisiana, Todd Phillips, a tire changer for Dale Coyne Racing, was injured when he was hit by Francesco Dracone's car. Dracone, who was on lap 25 for tires and fuel, spun out and clipped Phillips' leg. Phillips received stitches for a cut on his leg and was subsequently released. Dracone did not finish the race and placed 23rd. The race was preceded by hours of rain, causing traction issues for many cars."
9-2,"Widnes defeated Castleford 38-24 in a rugby match. Widnes led 14-6 at half-time with tries from Macgraff Leuluai, Ah Van, and Chris Bridge. Paddy Flynn, on loan from Widnes to Castleford, scored two tries for Castleford. Lloyd White and Joe Mellor also scored tries for Widnes. Despite a late comeback from Castleford, Widnes secured the win. Widnes moved to seventh place, while Castleford remained in sixth."
9-3,"Clarkson, a 30-year-old footballer, rejoined Premiership Well in July and is set to debut for St Mirren against Alloa in the Championship. He scored nine goals for Dundee last season and has been maintaining his fitness by playing for the U20s. Clarkson has made nearly 400 senior appearances, including stints at Bristol City, Brentford, and Bristol Rovers, and has two caps for Scotland. St Mirren is currently eighth in the Championship, seven points above Alloa. Clarkson expressed his readiness and eagerness to contribute to the team's success."
9-4,"Amir Khan, a boxer from Bolton, spent a family day at a safari park in Northern California with his wife Faryal and daughter Lamysa. They interacted with various animals, including feeding a rare white tiger and posing with giraffes and sea lions. Earlier in the week, Khan announced his next fight against Chris Algieri on May 30, dismissing speculation about other potential opponents."
16-0,"The passage discusses significant boxing matches, with a focus on two key fights:

1. **Floyd Mayweather vs. Manny Pacquiao**: This upcoming fight is anticipated to be the biggest financially and most significant of the century. Its historical ranking will depend on the outcome.

2. **Sugar Ray Leonard vs. Roberto Duran**: This series of fights is highlighted, particularly the second fight where Duran quit after being frustrated by Leonard's speed and movement. The first fight was controversial due to disputed scoring. The second fight ended with Duran famously saying ""No Mas"" after eight rounds. This event stunned the world and took three years for Duran to rebuild his reputation. The third fight was won by Leonard by a points landslide."
