source_id,qa_response
14300,"Automotive technicians can be paid through various methods including hourly wages, commission, or a combination of both. Their pay can vary based on factors such as location, specialization, and the specific industry they work in. Additionally, whether they are entitled to overtime wages depends on where they work, how they are paid, their hourly rate, and commissions, as well as the state laws."
14323,"Based on the provided passages, here are the steps to grill a porterhouse:

1. Set up your grill for three-zone grilling (coal or gas).
2. Leave the section closest to you coal-free.
3. Replace the grill grate.
4. Clean and lubricate the hot grill grate with a grill brush and oil.
5. Grill over the hottest part of the grill (double layer of coals) for the NY Strip side and the cooler side (single layer of coals) for the filet side, ensuring even cooking around the bone."
14353,"To fold a quilt, follow these steps:
1. Lay the quilt on a flat surface.
2. Fold the lower right corner up toward the center of the quilt, ensuring the fold is on the bias.
3. Fold the lower left corner up toward the center of the quilt, ensuring the fold is on the bias.
4. Fold the top left corner down toward the center of the quilt, ensuring the fold is on the bias.
5. Fold the top right corner down toward the center of the quilt, ensuring the fold is on the bias."
14355,"The benefits of a water pick include helping to keep teeth, gums, and the overall body healthier by eliminating germs and plaque from the gum line. It can also massage and stimulate soft tissue in the mouth, reducing the risk of gingivitis, and effectively clean areas around the teeth and gums that brushing cannot reach."
14360,"To set the default web browser in Windows, follow these steps:

1. Open the Settings app via the Start menu or using the Windows + I keyboard shortcut.
2. Click on the System option.
3. Navigate to the Default apps section.
4. Scroll down to find the Web browser option.
5. Click on the current default browser to bring up a list of available browsers.
6. Select the desired browser from the list to set it as the default."
14366,"The proper way to dispose of a worn USA flag, according to the provided passages, involves either putting the flag out for collection with the blue field removed and burned, or burning the flag yourself in a proper ceremony where the flag is folded in the customary triangle fold before being burned. In both cases, the ashes should be buried."
14375,"To cook brats, follow these steps:

1. Prick the bratwurst with a fork to prevent them from exploding.
2. Place the bratwurst in a large stock pot with onions, butter, and beer.
3. Simmer over medium heat for 15 to 20 minutes.
4. Preheat a grill to medium-high heat and lightly oil the grate.
5. Cook the bratwurst on the preheated grill for 10 to 14 minutes, turning occasionally to brown evenly."
14390,"Symptoms of IBS include diarrhea, constipation, constipation alternating with diarrhea, belly pains or cramps that worsen after meals and improve after a bowel movement, and a lot of gas or bloating. Causes of IBS are believed to involve altered gastrointestinal tract motility, abnormal nervous system signals, increased sensitivity to pain, and food intolerances. The exact cause remains unknown, but it is thought to result from a combination of abnormal gastrointestinal tract movements, increased awareness of bodily functions, and a disruption in the communication between the brain and the GI tract."
14392,"Essential amino acids cannot be made by the body and must be obtained from the diet, whereas nonessential amino acids can be produced by the body from other amino acids or through the breakdown of proteins."
14394,"In Indiana, particularly in Indianapolis, the weather is characterized by hot, humid summers that can reach up to 85°F, and chilly, windy winters that can drop to as low as 22°F. It is partly cloudy year-round, and the state experiences significant precipitation, with the wettest year recorded at 57.65 inches of rain and the driest at 24.97 inches. Indiana also experiences snowfall, though specific details about snowfall amounts are not provided in the passages."
14396,"To sync an audiobook from iPhone to iTunes, first ensure the ""Manually manage music"" setting is turned on in iTunes. Then, download the audiobook from the iTunes store, select it in the Audiobooks section, connect your iPhone via USB, and wait for iTunes to sync. After the sync is complete, the audiobook will be on your iPhone. Alternatively, you can use tools like Syncios Audiobook Transfer to import and manage audiobooks between your device and iTunes."
14404,"The body systems work together through close collaboration, with each system contributing to the overall function of the body. For example, the urinary system helps clean blood by removing waste products from other systems like the skeletal, muscular, digestive, respiratory, circulatory, and nervous systems. Similarly, the respiratory system provides oxygen to all body parts and assists in removing carbon dioxide from the muscular, digestive, skeletal, circulatory, urinary, and nervous systems."
14418,"The name Teresa (and Theresa) means ""Reaper"" or ""Harvester"" from the Greek ""therizein,"" and it is associated with the island of Therasia."
14433,"Based on the provided passages, the key differences between Vietnam and India include:

1. **Education System Equity**: In Vietnam, the education system is relatively equitable, meaning poorer children receive the same quality of education as wealthier children. This contrasts with India, where the trends are less equitable, suggesting that there might be disparities in educational opportunities based on socio-economic status.

2. **Historical Relations and Support**: Historically, India supported Vietnam's independence from France and opposed American involvement in the Vietnam War. There are also strong bilateral relations between the two countries, with cultural and economic ties dating back to the 2nd century. Additionally, during the Vietnam War, India supported the North Vietnamese.

3. **Decolonization Outcomes**: Both France and the United Kingdom lost their largest colonies (Vietnam and India, respectively) around the same time post-World War II. However, the outcomes of decolonization differed; India became divided into multiple nations (Hindus, Muslims, and Sikhs), leading to significant conflicts, while Vietnam remained unified under a single government."
14445,"When an asset is discarded as per the Income Tax Act, the treatment involves reducing the block value by the scrap value of the asset in the previous year in which the asset is discarded. The assessee is entitled to claim depreciation on the residual value of the discarded asset, which is calculated as the opening written down value (WDV) of the asset less its scrap value."
