source_id,summary
14-0,"Militants armed with guns and grenades attacked Sardar Daud hospital in Afghanistan, starting with an explosion at the gate followed by gunfire on staff and patients. The assault, which began at 09:00 local time, resulted in over 50 people wounded and was claimed by the Islamic State (IS) group, though the Taliban denied involvement. Commandos killed all four attackers after several hours of combat. President Ashraf Ghani condemned the attack as a violation of human values. This incident marks a shift in IS tactics in Afghanistan, as it’s the first direct engagement with security forces in the capital, using methods similar to the Taliban. IS, active in Afghanistan since 2015, has previously targeted civilians and has struggled to expand its base beyond the eastern regions near Pakistan. The government has had limited success in dislodging IS from mountainous areas. Both IS and the Taliban have recently intensified attacks in the region."
14-1,"Mukherjee's ""The Lives of Others,"" set in 1960s Calcutta, is the favorite to win the Booker Prize with odds of 5/2, as per William Hill. This year, the prize is open to all English-language authors globally for the first time. The winner will be announced at London's Guildhall. The shortlist includes three British authors (Howard Jacobson, Ali Smith), two Americans (Joshua Ferris, Karen Joy Fowler), and one Australian (Richard Flanagan), with Flanagan's odds at 3/1. Notable works include Jacobson's futuristic ""J,"" Smith's dual-narrative ""How To Be Both,"" Ferris's atheism-focused ""To Rise Again at a Decent Hour,"" Fowler's best-selling ""We Are All Completely Beside Ourselves"" (over 55,000 copies sold), and Flanagan's WWII love story ""The Narrow Road to the Deep North."" Sales spiked for all shortlisted books after the September 9 announcement, with Mukherjee's sales jumping from 97 to 507 copies in a week. Critics, including David Brauner, have called the list weak, favoring Jacobson's ""J"" but noting potential reluctance for a repeat win. The Booker Prize, in its 46th year, is judged by a panel chaired by AC Grayling. Shortlisted authors receive £2,500 and a bound edition of their book, with the ceremony covered by BBC."
14-2,"Mark Carney, Governor of the Bank of England, decided to extend his term by one year beyond his original 2018 departure, opting for a 2019 exit instead of staying until 2021. This decision, surprising to many in the City and government, was influenced primarily by personal family considerations rather than political pressure or disillusionment with Brexit's economic impact. Carney's choice coincided with significant family milestones, as two of his daughters will be completing key educational stages in 2018, prompting a planned family return to Canada. Despite professional challenges posed by Brexit negotiations and the desire to provide market stability, Carney emphasized that his decision was personal, unrelated to government policy or economic forecasts. There was no reported tension with Prime Minister Theresa May, who supported a longer extension but left the decision to Carney. By 2019, the Article 50 process for Brexit is expected to be complete, after which a new Governor will take over."
14-3,"Adrian Gill, a prominent columnist for the Sunday Times since 1993, passed away following a battle with cancer, which he described as the ""full English"" of cancers. Diagnosed recently, Gill underwent chemotherapy and expressed a sense of luck and acceptance regarding his life and illness in his writings, including a final column set to be published posthumously. Sunday Times editor Martin Ivens and other colleagues mourned his loss, praising him as a ""giant among journalists"" with incomparable wit and fearless writing. Gill, born in Edinburgh in 1954, overcame dyslexia to build a successful career, starting with art reviews before joining the Sunday Times. His work, often controversial, sparked outrage with comments on various subjects and individuals. Tributes from peers highlighted his brilliance and unique style. Gill was married twice, first to Cressida Connolly and then to Amber Rudd, with whom he had two children before their divorce. He was engaged to Nicola Formby, his partner of 23 years and mother of his twin children, prompted by his illness."
14-4,"The passage discusses the activities of three prominent hacker groups involved in the Ukraine-Russia conflict: the Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International. The Ukrainian Cyber Troops, led by Yevhen Dokukin, are pro-Ukrainian hackers who have targeted Russian servers, rebel websites, and separatist funding through DDoS attacks and hacks into CCTV systems and network printers in eastern Ukraine and Crimea. They have provided data to Ukraine's security service and collaborated with volunteer group Inform Napalm to uncover evidence of Russian military involvement in Ukraine. On the opposing side, Cyber Berkut, an anti-Western group, aims to disrupt Ukraine's military plans, accusing Kiev of genocide under U.S. influence. They have hacked Ukrainian government websites, electronic billboards, and vote-counting systems, and leaked alleged documents related to U.S. military aid and the downing of Malaysia Airlines flight MH17, though these claims remain unverified. Lastly, Anonymous International, also known as Shaltay Boltay, focuses on leaking Kremlin documents and material related to Ukraine, though the source of their information is unclear. Their website is currently blocked in Russia."
5-0,"James Milner, a former Manchester City player aged 30, earned 61 caps for England since his debut in 2009. He participated in two World Cups and two European Championships, though he only played three minutes at Euro 2016. Milner expressed well wishes to Sam Allardyce and the England team for their future endeavors. Additionally, he is the most capped England Under-21 player with 46 caps, starting from 2004, and scored his sole international goal in a 5-0 win against Moldova during the 2014 FIFA World Cup qualifiers."
5-1,"Brad Wilk is a drummer best known for his work with the rock bands Rage Against the Machine (1991-2000, 2007-2011) and Audioslave (2001-2007). He began his career with Greta in 1990 and co-founded Rage Against the Machine in 1991 with Tom Morello and Zack de la Rocha. As of 2016, he is a member of Prophets of Rage, alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord."
5-2,"Gary Locke, previously the interim manager at Kilmarnock, has been appointed as the permanent manager with a three-year contract. Locke, who initially joined the club as an assistant to Allan Johnston last summer, assumed control of the team after Johnston's departure in early February. Since taking over, the 41-year-old has lost only one of seven games at Rugby Park. Locke, formerly with Hearts, will address the media at a press conference on Friday morning."
5-3,"Rupert Murdoch is the chairman and acting CEO of Fox News and had full control as Chairman and CEO of News Corporation, a global media holding company that split into News Corp and 21st Century Fox on June 28, 2013. His younger son, James Murdoch, born on December 13, 1972, is a businessman with Australian, British, and American citizenship, serving as the CEO of 21st Century Fox and chairman of Sky plc."
15-0,"Veteran actor Robert Hardy, known for roles in ""All Creatures Great and Small,"" as Winston Churchill in multiple productions, and as Cornelius Fudge in the Harry Potter films, is auctioning over 200 antiques in a £100,000 sale as he downsizes his home. The 89-year-old, a military historian and longbow expert who studied under J.R.R. Tolkien and C.S. Lewis at Oxford, is selling items including a hand-painted diorama of the Battle of Agincourt (estimated at £4,000-£6,000), a yew longbow with a mother-of-pearl handle, a portrait of himself with the bow (up to £2,000), early Victorian furniture by Gillows of Lancaster (up to £4,000), paintings, swords, rifles, silverware, chandeliers, and 17th-century books. The auction, comprising 238 lots, is handled by Dominic Winter Auctioneers in Gloucestershire. Hardy, who lives in the Cotswolds, expressed sadness at parting with his treasured collection but hopes the new owners will find as much joy in the items as he did. Despite retiring from stage acting after a fall two years ago, he plans to continue television work."
15-1,"Veteran actor Robert Hardy, known for roles in ""All Creatures Great and Small"" and as Winston Churchill, is auctioning over 200 antiques in a £100,000 sale as he downsizes his home. The 89-year-old, a military historian and longbow expert, is selling items including a detailed diorama of the Battle of Agincourt commissioned in the 1960s, estimated at £4,000-£6,000, a yew longbow with a mother-of-pearl handle, and a portrait of himself with the bow, expected to fetch up to £2,000. Other items include early Victorian furniture by Gillows of Lancaster, paintings, swords, flintlock rifles, silverware, crystal chandeliers, and books dating back to the 17th century. The auction, comprising 238 lots, is managed by Dominic Winter Auctioneers in Gloucestershire. Hardy, who also appeared as Cornelius Fudge in the Harry Potter films, expressed sadness at parting with his treasured collection but hopes the new owners will find as much joy in them as he did."
15-2,"Veteran actor Robert Hardy, known for roles in ""All Creatures Great and Small,"" as Winston Churchill in multiple productions, and as Cornelius Fudge in the Harry Potter films, is auctioning over 200 antiques in a £100,000 sale as he downsizes his home. The 89-year-old, a military historian and longbow expert who studied under J.R.R. Tolkien and C.S. Lewis at Oxford, is selling items including a hand-painted diorama of the Battle of Agincourt (estimated at £4,000-£6,000), a yew longbow with a mother-of-pearl handle, a portrait of himself with the bow (up to £2,000), early Victorian furniture by Gillows of Lancaster (up to £4,000), paintings, swords, rifles, silverware, chandeliers, and 17th-century books. The auction, comprising 238 lots, is managed by Dominic Winter Auctioneers in Gloucestershire. Hardy, who lives in the Cotswolds, expressed sadness at parting with his treasured collection but hopes the new owners will find as much joy in the items as he did. Despite retiring from stage acting after a fall two years ago, he plans to continue television work."
15-3,"A major study by the Institute for Health Metrics and Evaluation at the University of Washington, published in the American Journal of Public Health, reports a 17.2 percent increase in heavy drinking among Americans from 2005 to 2012, with a significant rise among women. Heavy drinking is defined by the CDC as exceeding an average of one drink per day for women and two for men over the past month, while binge drinking is consuming four or more drinks for women and five or more for men on a single occasion at least once in the past month. The study highlights that women's binge drinking rates increased over seven times faster than men's nationwide, with a notable 36 percent rise in Santa Clara County, Calif., compared to 23 percent for men. In 2012, 8 percent of Americans were heavy drinkers and 18 percent were binge drinkers. The study also notes regional variations, with the lowest binge drinking rate in Madison County, Idaho (6 percent) and the highest in Menominee, Wis. (36 percent). Factors contributing to increased drinking include changing social norms, economic affordability of alcohol, increased advertising, and relaxed alcohol control policies. Despite the rise in heavy drinking, the overall percentage of people consuming any alcohol has remained stable. The study links excessive drinking to 88,600 deaths in 2010 and an annual cost of over $220 billion."
4-0,"In a hockey match, the Giants took an early lead with a goal from player-coach Derrick Walser, but Jeff Dimmen equalized for the Panthers. In the second period, Mike Forney scored on a powerplay breakaway to make it 2-1 for the Giants, followed by Andy Bohmback tying the game. Mike Radja then scored from a tight angle, and James Desmarais extended the Giants' lead to 4-2, before David Ling scored for Nottingham, narrowing the gap. The teams will play again on Saturday night in the second game of their double-header. Nottingham leads the league with 28 points, followed by Sheffield Steelers with 27, and Belfast with 25."
4-1,"Anne Rice was born in New Orleans and lived there during her early years before relocating to Texas and then San Francisco. Route 495 is a 3.45-mile freeway in Hudson County, New Jersey, connecting the New Jersey Turnpike at exits 16E and 17 in Secaucus to New York State Route 495 inside the Lincoln Tunnel in Weehawken, facilitating access to Midtown Manhattan."
4-2,"The passage discusses two films titled ""Home for the Holidays."" The first is a 1972 American made-for-television horror film directed by John Llewellyn Moxey, produced by Aaron Spelling, and starring Sally Field, Eleanor Parker, Julie Harris, Jessica Walter, and Walter Brennan. It premiered on ABC on November 28, 1972. The second is a 1995 film starring Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Dylan McDermott, Geraldine Chaplin, Steve Guttenberg, Cynthia Stevenson, Claire Danes, Austin Pendleton, and David Strathairn."
4-3,"The passage discusses 21-year-old Scotland Under-21 player Smith, who was loaned from Aberdeen (The Dons) to Dundee United in July and has scored five goals this season. Smith debuted for Aberdeen in 2012, scoring four goals in 89 appearances. St Mirren's manager, Jack Ross, expressed excitement about acquiring Smith, highlighting his skills and maturity, and noting that he will enhance their attacking options. St Mirren, currently at the bottom of the Championship, is set to host Falkirk on Saturday."
4-4,"Billy Ray Cyrus is an American country music singer, songwriter, actor, and philanthropist who contributed to the global popularity of country music. ""Excuse My French"" is both the debut studio album by American rapper French Montana and a 2014 Egyptian comedy film directed by Amr Salama. The film, based on Salama's personal experiences in a public middle school in Egypt after returning from Saudi Arabia, addresses religious discrimination. Initially, the censorship board found the film too sensitive, leading Salama to modify the script while maintaining the core theme."
