source_id,summary
14-0,"Militants armed with guns and grenades attacked the Sardar Daud hospital in Kabul, detonating explosives at the gate before opening fire on staff and patients. Commandos landed on the hospital roof and killed all four attackers after several hours of fighting. More than 50 people were wounded in the assault. The Islamic State (IS) group claimed responsibility for the attack, while the Taliban denied any involvement.

The attack, which began at 09:00 local time, marked a change in approach for IS fighters in Afghanistan, being their first direct engagement with security forces in the capital and utilizing tactics previously associated with the Taliban, suggesting expanded resources and military training. President Ashraf Ghani condemned the attack, stating it ""trampled all human values"" and was an attack on all of Afghanistan."
14-1,"The Booker Prize winner will be announced Tuesday night in London, marking the first year the award is open to all authors writing in English, regardless of nationality. The six shortlisted authors are Mukherjee (*The Lives Of Others*), Howard Jacobson (*J*), Ali Smith (*How To Be Both*), Joshua Ferris (*To Rise Again at a Decent Hour*), Karen Joy Fowler (*We Are All Completely Beside Ourselves*), and Richard Flanagan (*The Narrow Road to the Deep North*). Mukherjee is the 5/2 favorite, followed by Flanagan at 3/1.

Fowler's *We Are All Completely Beside Ourselves* is the best-selling book on the list, and the shortlist announcement significantly boosted sales for all nominated titles. Despite this, one professor of contemporary literature criticized it as a ""weak list,"" favoring Jacobson's *J* but expressing concern about a two-time winner. This is the 46th year of the prize, with shortlisted authors each receiving £2,500 and a specially bound edition of their book. The judging panel is chaired by AC Grayling."
14-2,"Mark Carney, Governor of the Bank of England, surprised many by announcing he would extend his term by only one year, until 2019, rather than leaving in 2018 as planned or staying until 2021. This decision was primarily personal, driven by his family's desire to return to Canada in 2018 for his daughters' education. While there was speculation about political pressure or disillusionment with economic predictions, Carney stated it was an ""entirely personal decision."" Professionally, he found it difficult to leave in the middle of Brexit negotiations, but his family's plans limited his extension to one year, by which time the Article 50 process should be complete."
14-3,"Adrian Gill, a columnist for the Sunday Times, died after being diagnosed with cancer, which he described as ""the full English."" Despite his illness, he stated he did not ""feel cheated"" and felt ""very lucky"" in life.

Sunday Times editor Martin Ivens announced Gill's death, calling him a ""giant among journalists"" and the ""heart and soul"" of the paper, which he joined in 1993. Gill was known for his incomparable wit, dazzling and fearless writing, and intelligence, often dictating his copy due to dyslexia.

While popular, his articles frequently caused controversy, including shooting a baboon, making offensive comments about the Welsh, Rhyl, Norfolk, and the Isle of Man, and being censured for a comment about Clare Balding. He was also once thrown out of a Gordon Ramsay restaurant.

Born in Edinburgh in 1954, Gill overcame dyslexia to forge his writing career, starting with art reviews before joining Tatler and then the Sunday Times. He was married twice, to Cressida Connolly and then to Amber Rudd, with whom he had two children. His illness led to his engagement to his partner of 23 years, Nicola Formby, with whom he had twins."
14-4,"The passage describes several ""virtual warrior"" groups engaged in cyber warfare, capable of making documents public, blocking websites, and hijacking various digital systems. The three most prominent groups are the Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International, all claiming to be independent.

The **Ukrainian Cyber Troops**, led by Yevhen Dokukin, are pro-Ukrainian. They claim to have hacked Russian government servers and police emails, with a volunteer group using this data to find evidence of wounded Russian servicemen. They employ distributed denial-of-service (DDoS) attacks against rebel websites, target separatist funding, hack CCTV for troop monitoring, and claim to have hijacked printers for pro-Ukrainian messages. Ukrainian officials deny media suggestions that hacker-obtained data is used for artillery fire.

**Cyber Berkut** is an anti-Western group with rhetoric similar to Russian state media, aiming to thwart Ukraine's military plans. They hacked Ukrainian government websites during a US Vice-President's visit, posting anti-Biden messages, and claim to have retrieved confidential documents detailing US military assistance. They also appear to have hacked electronic billboards in Kiev and claim to have disrupted vote-counting systems, leaked defense ministry data, and blocked President Poroshenko's website. An unverified claim attributes to them a hacked Facebook conversation suggesting Ukrainian officials admitted downing MH17.

**Anonymous International** (also known as b0ltai or Shaltay Boltay) is a Russian activist group known for publishing leaked Kremlin documents, though it's unclear if these are obtained through hacking or from insiders. While primarily focusing on Russian domestic affairs, they have published material related to Ukraine, including a letter from a Russian fighter and emails from a key rebel commander. Their website is currently blocked in Russia."
5-0,"The 30-year-old former Manchester City player, Milner, earned 61 caps for England after his senior debut in 2009, participating in two World Cups and two European Championships, though he played only three minutes at Euro 2016. He stated his decision was ""common sense"" and wished success to Sam Allardyce, the players, staff, and supporters. Milner also holds the record for the most capped England Under-21 player with 46 appearances since 2004, and scored his sole international goal in England's 5-0 victory over Moldova during the 2014 Fifa World Cup qualifiers."
5-1,"Brad Wilk is a drummer best known for his work with the rock bands Rage Against the Machine (1991-2000; 2007-11) and Audioslave (2001-07). He began his career in 1990 with Greta and co-founded Rage Against the Machine in August 1991. As of 2016, he is playing in the band Prophets of Rage."
5-2,"Gary Locke has been appointed permanent manager of Kilmarnock, signing a three-year deal. He initially joined the club last summer as assistant boss to Allan Johnston, taking over as interim manager in early February when Johnston quit. Since then, the 41-year-old has lost only once in seven games."
5-3,"Rupert Murdoch is the current chairman and acting CEO of Fox News, and previously held full control as Chairman and CEO of News Corporation, which split into News Corp and 21st Century Fox on June 28, 2013. News Corporation was the world's second-largest media conglomerate. James Rupert Jacob Murdoch, Rupert's younger son, is an Australian, British, American businessman, the CEO of 21st Century Fox, and chairman of Sky plc."
15-0,"Veteran actor Robert Hardy, 89, is selling over 200 items from his extensive antique collection in a £100,000 auction to downsize his home. The collection, reflecting his keen interest in military history and medieval longbows, includes a hand-painted diorama of the Battle of Agincourt, a yew longbow, furniture, paintings, swords, rifles, silverware, crystal chandeliers, and books, some dating to the 17th century.

Hardy, known for roles in ""All Creatures Great and Small,"" playing Winston Churchill, and Cornelius Fudge in ""Harry Potter,"" commissioned the diorama himself and is an expert on the medieval longbow, having studied with J.R.R. Tolkien. The auction, featuring 238 lots, will be held this Saturday by Dominic Winter Auctioneers in Gloucestershire. Hardy expressed sadness about selling his treasured collection."
