source_id,summary
15599,"Blue Bell has temporarily closed its Broken Arrow, Oklahoma, plant due to listeria contamination found in a serving of ice cream from that location. Public health officials have warned against consuming Blue Bell products made at this plant, specifically 3-ounce servings in containers marked with certain letters after the coding date. This action follows a listeria outbreak at a Kansas hospital where Blue Bell ice cream was served, and listeria was found in a cup of ice cream from the Broken Arrow plant. While the CDC investigates the link between Blue Bell products and listeria infections in Kansas and Texas, Blue Bell has recalled products made at both the Broken Arrow plant and a plant in Texas. Five people were infected and three died in Kansas from listeria that might be linked to Blue Bell Creameries products.
"
15601,"Rolling Stone published a flawed article about a purported gang rape at the University of Virginia, which led to an apology from the magazine. The article discusses whether UVA or the Phi Kappa Psi fraternity can sue for defamation. UVA cannot sue because it is a governmental entity. While fraternities can be considered groups, individual members may sue if the defamatory language is about a comparatively small group where the defamatory part is easily imputed against all members. The article suggests that if the fraternity members can prove damages, they may have a case.
"
15604,"In 1967, the author was the first woman and person of color elected to the Kentucky State Senate. The author believes Rand Paul, who is running for president, is attempting to broaden the Republican Party, but his record of questioning civil rights and voting rights legislation suggests otherwise. The author argues that Paul's policies do not align with the needs of minority communities and that his views are outdated and disqualifying for a leader.
"
15613,"Mary Kay Letourneau Fualaau and Vili Fualaau, despite the controversial beginnings of their relationship when she was a teacher and he was her 13-year-old student, are still married and will celebrate their 10th anniversary. Letourneau served over seven years in prison for charges related to their sexual relationship. They have two teenage daughters. In an upcoming ""20/20"" interview, they will discuss their marriage, Letourneau's plans to teach again and have her status as a registered sex offender lifted, and Fualaau's struggles with alcoholism and depression.
"
15616,"Kanye West settled a lawsuit with photographer Daniel Ramos, who he assaulted at Los Angeles International Airport in July 2013. Ramos filed the suit after West attacked him and tried to take his camera. West, who had previously pleaded no contest to a misdemeanor battery charge and received probation, anger management, and community service, apologized to Ramos as part of the settlement. The details of the settlement were not disclosed.
"
15617,"B.B. King was hospitalized for dehydration caused by Type II diabetes but is now feeling better and has been released. He is resting at home with his grandchildren. King, whose hits include ""The Thrill Is Gone,"" was inducted into the Rock and Roll Hall of Fame in 1987 and has 30 Grammy nominations. He plays Gibson guitars, each named Lucille, and suffered from dehydration and exhaustion last year, forcing him to cancel his tour.
"
15623,"Indiana Pacers player Chris Copeland and a female companion were stabbed early Wednesday morning in New York City after leaving a nightclub. Two Atlanta Hawks players were arrested for obstruction and disorderly conduct after interfering with police at the scene. Copeland and his companion are in stable condition at a New York hospital. A suspect is in custody, and charges are pending.
"
15627,"Twenty years after her death, Tejano star Selena is being brought back as a ""walking, talking, singing and dancing digital embodiment"" of herself, called ""Selena the One,"" using technology from Acrovirt LLC. Her family, who says this is not meant to replace her, plans to release new music and videos, collaborate with artists, and tour in 2018. Fans can support the launch through an Indiegogo campaign.
"
15628,"Alaska Airlines Flight 448 returned to Seattle-Tacoma International Airport shortly after takeoff due to banging sounds from the cargo hold. A ramp agent from Menzies Aviation, who had fallen asleep in the cargo hold, was discovered to be the source of the noise. Passengers heard the banging and alerted the flight attendant. A federal air marshal responded by banging back and telling the person to hold on. The plane landed, surrounded by emergency vehicles, and the ramp agent was taken to a hospital as a precaution, passing a drug test and being discharged. The airline is investigating the incident, noting the employee was part of a four-person team and had been missing before departure. The flight eventually made it to Los Angeles.
"
15634,"Emy Afalava, born in American Samoa, is denied citizenship despite being subject to U.S. law and the Fourteenth Amendment. He is involved in a federal lawsuit to gain citizenship. Historically, the Dred Scott case and the case of Isabel Gonzalez, a Puerto Rican denied entry to the U.S., demonstrate instances where people on U.S. land were denied rights. American Samoans are now the only people born on U.S. soil who are not recognized as citizens.
"
15638,"Sisters Iman and Siham Hashi, known as Faarrow, are working on their debut Afro-pop album in Los Angeles. Born in Mogadishu, Somalia, they fled to Canada as refugees in 1991 and later moved to LA. They are working with Elijah Kelley on their album, which they describe as a fusion of pop, hip hop, and African percussion. In addition to their music, they work with the UNHCR, advocating for refugees and raising money through benefit concerts and their socially conscious brand, ""Wish Creatively."" They aim to inspire others and represent their generation and Somalia through their creative work.
"
15651,"Pope Francis used the word ""genocide"" to describe the killing of Armenians by Turks a century ago, during a special Mass commemorating the event. This was a sensitive issue, as previous Popes had avoided the term to avoid angering Turkey, who disputes the characterization. Francis used the term by quoting a past document from John Paul, highlighting the Vatican's value of continuity. Turkey was unhappy with Francis' statement and recalled its Vatican ambassador. Despite the controversy, Francis has been known to engage in geopolitics and speak frankly, while also emphasizing mercy.
"
15652,"During National Park Week, April 18-26, 128 national parks that normally charge a fee, including Yellowstone and Yosemite, will be free on Saturday and Sunday. The National Park Service and National Park Foundation are hosting the week, which includes events like astronomy parties and Earth Day celebrations. People are encouraged to visit FindYourPark.com and www.nationalparkweek.org for more information and to share their experiences using #FindYourPark.
"
