source_id,qa_response
14300,"Automotive technicians get paid through various compensation methods, including combinations of hourly wages and commission rates. Their pay can vary based on their specialization, employer type (auto dealer or repair shop), payment structure (commission or not), and location. Some are paid on a flat-rate or flag-rate basis and may be entitled to overtime wages depending on these factors."
14323,"To grill a porterhouse, set up your grill with a three-zone heat arrangement by spreading lit coals into a double layer on the far side, a single layer in the center, and leaving the section closest to you coal-free. Replace the grill grate, then clean and lubricate it when hot. The porterhouse, consisting of a NY Strip and filet separated by a bone, benefits from this setup to cook it just right and enhance its flavor."
14353,"To fold a quilt, lay it flat on a surface, then fold each corner toward the center of the quilt, ensuring each fold is on the bias. Start by folding the lower right corner up, then the lower left corner up, followed by the top left corner down, and finally the top right corner down."
14355,"The benefits of a Water Pik include eliminating germs and plaque that are difficult to remove with a toothbrush, massaging and stimulating soft tissue to reduce the risk of gingivitis, and cleaning areas around teeth and gums that brushing cannot reach."
14360,"To set the default browser in Windows, open the Settings app (via Start menu or Windows + I), go to System, then Default apps. Scroll to the Web browser section, click the current browser, and select your preferred browser from the list."
14366,"The proper way to dispose of a worn USA flag is to either remove the blue field and burn it peacefully, burying the ashes, or to burn the entire flag yourself in a proper ceremony after folding it in the customary triangle fold."
14375,"To cook brats, prick them with a fork to prevent bursting, then simmer them in a pot with beer, onions, butter, and seasonings over medium heat for 15 to 20 minutes. Meanwhile, preheat a grill to medium-high heat and lightly oil the grate. After simmering, grill the bratwurst for 5 to 14 minutes, turning occasionally to brown evenly. Optionally, cook or brown the onions separately before serving. Serve the brats with the beer and onion mixture as a topping or side."
14390,"Irritable bowel syndrome (IBS) is caused by a combination of abnormal gastrointestinal tract movements, increased pain sensitivity, abnormal nervous system signals, and food intolerances. Symptoms include diarrhea, constipation, alternating constipation and diarrhea, belly pains or cramps (usually in the lower abdomen, worsening after meals and improving after bowel movements), and excessive gas or bloating."
14392,"Essential amino acids cannot be made by the body and must be obtained from the diet, while nonessential amino acids can be produced by the body and do not need to be obtained from the diet."
14394,"Typical weather in Indiana, specifically Indianapolis, features long, warm, humid, and wet summers, and chilly, windy winters. Temperatures generally range from 22°F to 85°F, rarely dropping below 3°F or rising above 92°F. The weather is partly cloudy year-round, with variable precipitation including snow in winter and rain in summer."
14396,"To sync an audiobook from iPhone to iTunes, connect your iPhone to the computer and open iTunes. Select your device under Devices, then click ""Books"" or ""Audiobooks."" Check the audiobooks you want to sync, click ""Sync Audiobooks,"" choose the desired titles or ""All Audiobooks,"" and click ""Apply"" to complete the syncing process."
14404,"The body systems work together by supporting each other's functions: the respiratory system provides oxygen and removes carbon dioxide for various systems, while the urinary system cleans waste products from multiple systems, helping maintain overall body function."
14418,"The name Teresa means ""reap"" or ""harvester,"" derived from the Greek ""therizein"" meaning ""to harvest."" It is also associated with the Greek island Therasia and has roots in Spanish, Portuguese, and Italian usage. In Spanish, it is linked to two popular saints, Teresa of Avila and Therese of Lisieux."
14433,"The key differences between Vietnam and India based on the passages are:

1. Education: Vietnam's education system is relatively equitable, providing poorer children the same opportunities as wealthier ones, whereas India's education trends are more typical, initially focusing on getting children into school by improving resources and facilities.

2. Historical and political context: India supported Vietnam's independence and unification, opposing American involvement in the Vietnam War, but did not engage militarily. Both countries were major colonies of European powers (India of the UK, Vietnam of France) and gained independence around the same period, but post-independence India experienced religious divisions and conflicts, while such details are not mentioned for Vietnam.

3. Cultural links: India and Vietnam have longstanding cultural and economic ties dating back to the 2nd century, including Indian influence on Vietnamese music through the Chăm Pa kingdom."
14445,"When an asset is discarded (but not sold) as per the Income Tax Act, its scrap value is reduced from the block of assets in the previous year in which it is discarded (section 43(6)). Depreciation can be claimed on the residual value of the discarded asset (i.e., opening written down value (WDV) less scrap value) even though the asset is not used in the business in that year or subsequent years. All assets in the same class are treated as a single block for depreciation purposes."
14458,"To sew a zipper gusset:

1. Trace and cut all pattern pieces.
2. Make a few stitches near the top stop of the zipper.
3. Pin the zipper gusset to the zipper, right sides facing each other, about 1/4"" away from the center.
4. Using a zipper foot, sew close to the seam line to secure the gusset.
5. Place the zipper gusset lining on top, right side facing down, and stitch on the seam line.
6. Flip the lining to the bottom of the main zipper gusset and topstitch near the seam line.
7. Repeat for the other side of the zipper gusset.
8. Ensure the width between the gusset and zipper measures 1/2"".
9. Switch to a normal foot and stitch the seam allowance around the zipper gusset to attach the main and lining fabric together.
10. Align the zipper gusset ends to the center markings on the pencil case body and sew from marking to marking.
11. Place the lining on top with right sides facing down."
14468,"To bake (cook) hard-boiled eggs, place cold eggs in a single layer in a pan and cover with cold water by about 1 inch. Heat over high heat until the water boils, then turn off the heat, cover the pan, and let the eggs sit in the hot water for about 9 minutes (medium), 12 minutes (large), or 15 minutes (extra-large). Afterward, pour out the hot water and cool the eggs with cold water."
14470,"The drawer at the bottom of an oven stove is often a warming drawer designed to keep food warm until it is ready to be eaten, though on some models it may be used for storage."
15092,"To factory reset an HTC One VX, you can either:

1. From the phone's settings:  
- Slide open the Notifications panel, tap Storage, then Factory data reset.  
- Tap Reset phone, then Erase everything.

OR

2. Using hardware buttons:  
- Switch off the phone by holding the Power button.  
- Press and hold Volume Down + Power buttons together for a few seconds until the Bootloader Mode appears, then release.  
- Use Volume buttons to scroll to ""Factory Reset"" and press the Power button to select."
15097,"PSA levels refer to the amount of prostate-specific antigen, a protein produced by the prostate gland, measured in a man's blood (ng/mL). Elevated PSA levels may indicate prostate cancer, benign prostate conditions like prostatitis or enlarged prostate, or inflammation. Levels between 4.0 and 10.0 ng/mL suggest a possible 25% chance of prostate cancer or other prostate issues."
15103,"To make a graph for your research, first collect your data relevant to the categories you want to compare. For a bar graph, which is commonly used to compare groups or types, follow these steps: 1) Title your graph, 2) Determine the scale for the y-axis based on your data, ensuring each bar's height is proportional to its value, and 3) Use rectangular bars to represent the values for each category. You may use graph paper to help create a neat and clear graph. If your data points are few and distinctly different, consider using a pie chart as an alternative."
15108,"To change the sleep time on your computer, open the Power Options window by searching for ""Power Management Settings"" or ""Power Options"" from the Start Menu. Then, click ""Change when the computer sleeps"" on the left side, and adjust the ""Put the computer to sleep"" setting to your desired idle time before sleep or disable sleep mode."
15111,"Hugging has psychological effects such as promoting emotional intimacy and good relationships through feelings akin to a ""psychological hug,"" reducing worries about mortality, and soothing existential fears."
