source_id,qa_response
14300,"Automotive technicians are generally paid by one or more of these methods:  
• Straight hourly wages  
• Commission on the work they perform  
• Flat-rate or “flag-rate” pay (a set amount per job)  
• Hybrid systems combining hourly pay with commissions  
The exact mix—and any entitlement to overtime—depends on their employer (dealer vs. independent shop), pay plan, total earnings and the state in which they work."
14323,"Here’s how to grill a porterhouse using only the steps given:

1. Set up your heat zones.  
   - Charcoal grill: Dump a chimney of lit coals into the grill. With a garden or grill hoe, spread them in a double layer at the far side, a single layer in the center and leave the side nearest you coal-free.  
   - Gas grill: Arrange burners for three-zone grilling (high, medium, low).  

2. Replace the grill grate. When it’s hot, clean it with a grill brush and then lubricate it (for example, with a paper towel dipped in vegetable oil).

3. Grill your porterhouse. Its distinctive T-shaped bone imparts extra flavor as you cook—you’ll get a strip steak on one side of the bone and a filet on the other."
14353,"1. Lay the quilt flat on a bed, table or other flat surface.  
2. Fold the lower right corner up toward the center on the bias.  
3. Fold the lower left corner up toward the center on the bias.  
4. Fold the top left corner down toward the center on the bias.  
5. Fold the top right corner down toward the center on the bias."
14355,"Benefits of a Waterpik (from Passages 1 & 3):

• Shoots a strong stream of water at the gum line to eliminate germs and plaque that brushing alone can’t reach  
• Helps keep teeth, gums, mouth—and by extension overall health—healthier  
• Massages and stimulates soft oral tissues, which reduces the risk of gingivitis  
• Cleans around teeth and gums and removes trapped food from areas inaccessible to a toothbrush"
14360,"Open the Settings app (Start → Settings or press Windows + I), click System, then Default apps. Scroll to the “Web browser” section, click the listed browser (e.g. Edge), and pick the browser you want (for example, Google Chrome) to make it the default."
14366,"Retire a worn flag by folding it into the customary triangular fold, then burning it in a dignified ceremony. If you must turn it in for collection, first cut away the blue field, burn that portion peacefully, and bury the ashes."
14375,"Here’s a concise, passage‐based method for cooking bratwurst:

1. Prick each bratwurst with a fork.  
2. In a large pot, combine beer, sliced onions (and butter, if you like), plus seasonings (red pepper flakes, garlic powder, salt, pepper). Bring to a boil, then reduce heat and simmer for 10–20 minutes.  
3. Meanwhile, preheat an outdoor grill to medium-high and lightly oil the grate.  
4. Remove brats from the beer mixture (keep the onions and beer on low heat if you want a topping), then grill the brats 5–14 minutes, turning occasionally, until evenly browned.  
5. Serve the grilled brats with the beer-onion mixture on the side or as a topping."
14390,"Symptoms of IBS  
• Diarrhea (often violent episodes)  
• Constipation  
• Alternating constipation and diarrhea  
• Lower-belly pain or cramps that worsen after meals and ease with a bowel movement  
• Excess gas or bloating  

Causes of IBS (exact cause unknown)  
• Abnormal GI-tract movements (motility that’s too fast, too slow or too strong)  
• Disrupted brain–gut communication or abnormal nervous-system signals  
• Increased sensitivity to pain (from bowel fullness or gas)  
• Heightened awareness of bodily functions  
• Food sensitivities or intolerances (e.g., poor absorption of sugars or acids)"
14392,"Essential amino acids cannot be synthesized by the body and therefore must be obtained from the diet (adults need eight: valine, isoleucine, leucine, lysine, methionine, phenylalanine, threonine and tryptophan; histidine is also essential for infants). Nonessential amino acids can be made by the body (from essential amino acids or by breaking down proteins) and need not be supplied directly by the diet; they include alanine, asparagine, aspartic acid, glutamic acid, arginine, cysteine, glutamine, glycine, ornithine, proline, serine and tyrosine."
14394,"Indiana’s climate is characterized by long, warm, humid, and wet summers and chilly, windy winters. It’s partly cloudy year-round, with typical temperatures ranging from about 22 °F to 85 °F (rarely below 3 °F or above 92 °F). Snowfall varies by location and month, with averages tracked for total days, inches of snow, accumulation, heavy storms, and first snowfalls."
14396,"1. Open iTunes on your computer.  
2. Connect your iPhone via USB.  
3. In iTunes’ left sidebar, click your iPhone under Devices.  
4. At the top of the main window, select Books (or Audiobooks).  
5. Check “Sync Audiobooks,” then pick the titles you want (or choose “All Audiobooks”).  
6. Click Apply (or Sync) and wait for the process to finish."
14404,"The human body’s systems do not work in isolation but depend on one another to keep the body functioning:  
• The urinary system (kidneys and lower intestines) filters waste products from the blood—clearing by-products generated by the skeletal, muscular, digestive, respiratory, circulatory and nervous systems.  
• The respiratory system (nose, larynx, trachea, lungs) supplies oxygen to every tissue and removes carbon dioxide produced by the muscular, digestive, skeletal, circulatory, urinary and nervous systems.  
Together—with the skeletal, muscular, digestive, circulatory, endocrine, lymphatic, immune, reproductive and nervous systems—these processes maintain the body’s internal balance."
14418,"Teresa is ultimately of Greek origin—derived from Therasia—and in Greek (and American usage) means “reap.”  In Italian it is understood as “harvester.”  In Spanish it’s borne by two famous saints (Teresa of Ávila and Thérèse of Lisieux).  Etymologically it may come from the Greek therizein (“to harvest, harvester”) or theros (“summer”)."
14433,"Vietnam and India differ in both their education systems and colonial histories.  
1) Education: India’s early reforms focused on expanding access—building schools, training teachers and getting children into class—whereas Vietnam’s system is already relatively equitable, giving poorer and better-off children largely the same opportunities.  
2) Colonial past: India was ruled by Britain until 1947 and was partitioned along religious lines at independence; Vietnam was a French colony until 1945 and later unified."
14445,"When an asset is discarded (but not sold), section 43(6) of the Income Tax Act allows you to:  
1. Reduce the block’s written-down value (WDV) by the asset’s scrap value in the year of discard.  
2. Continue to claim depreciation on the residual WDV (opening WDV less scrap value) in that year and in subsequent years."
14458,"Here’s a concise zipper-gusset-sewing method distilled from the passages:

1. Trace your gusset pattern onto main and lining fabrics and cut out both pieces.  
2. Make a few securing stitches at the zipper’s top stop.  
3. With right sides together, pin the main gusset piece to one side of the zipper, about ¼″ from the teeth.  
4. Switch to a zipper foot and sew close to the seam line, securing the gusset to the zipper tape.  
5. Lay the gusset lining piece on top of that seam, right side down, and stitch on the same seam line.  
6. Flip the lining down beneath the main gusset and top-stitch near the seam to enclose it.  
7. Repeat steps 3–6 on the other side of the zipper. The finished gusset opening between the two gusset pieces should measure ½″.  
8. Change back to a regular presser foot and edgestitch around the gusset’s seam allowance to join main and lining neatly. Clip any curves for smooth turning.  
9. Finally, align the ends of the closed zipper-gusset assembly with the center markings on your case or garment body and sew from mark to mark. Then cover it with the case/garment lining, right sides together, and stitch in place."
14468,"1. Place cold eggs in a single layer in a saucepan and add cold water to cover by about 1 inch.  
2. Set the pan over high heat; as soon as the water comes to a boil (or just starts to simmer), turn off the heat.  
3. Cover the pan and let the eggs stand in the hot water until cooked through: about 9 minutes for medium eggs, 12 minutes for large, or 15 minutes for extra-large.  
4. Drain the hot water and run cold water over the eggs (or transfer to an ice bath) before peeling."
14470,That bottom drawer is a built-in “warming drawer” meant to keep cooked food hot (at serving temperature) until you’re ready to eat.
15092,"You can factory‐reset the HTC One VX either in software (via Settings) or via the hardware buttons:

1. Software reset (Passage 3)  
  • Back up any data you want to keep.  
  • Slide the Notifications panel open and tap Settings → Storage → Factory data reset.  
  • Tap Reset phone, then Erase everything.

2. Hardware reset (Passages 1 & 2)  
  • Power the phone fully off by holding the Power button.  
  • Press and hold Volume Down + Power together for a few seconds.  
  • When the Bootloader Mode menu appears, release both buttons.  
  • Use Volume Down to scroll to “Factory Reset” (or “Recovery Mode”), press Power to select, and follow any on-screen prompts to wipe the device."
15097,"PSA (“prostate‐specific antigen”) levels are the concentration of a prostate‐produced protein in a man’s blood, reported in nanograms per milliliter (ng/mL).  An elevated total PSA can occur with prostate cancer but also with noncancerous conditions such as prostatitis or benign prostatic enlargement.  In the 4.0–10.0 ng/mL range, there is about a 25% chance of cancer, and doctors may look at the ratio of free to total PSA to help distinguish cancer from other causes."
