source_id,summary
14-0,"Militants from the Islamic State (IS) attacked the Sardar Daud hospital in Kabul, detonating explosives at the gate and opening fire on staff and patients, resulting in over 50 injuries. Afghan commandos killed all four attackers after several hours of fighting. President Ashraf Ghani condemned the attack, emphasizing that hospitals should be immune from violence. This incident marks a shift in IS tactics, as they engaged directly with security forces for the first time in the capital, suggesting an increase in their resources and military capabilities. The attack follows a series of previous IS assaults targeting civilians, particularly Shia Muslims. The Taliban denied involvement, while Afghan officials vowed to respond to the violence. IS has been active in Afghanistan since 2015, carrying out numerous attacks, and has recently intensified its operations in both Afghanistan and Pakistan."
14-1,"Mukherjee's *The Lives Of Others*, set in 1960s Calcutta, is the favorite to win the Booker Prize, which is now open to all English-language authors. The winner will be announced at London's Guildhall. The shortlist includes former winner Howard Jacobson for *J*, Ali Smith for *How To Be Both*, Joshua Ferris for *To Rise Again at a Decent Hour*, Karen Joy Fowler for *We Are All Completely Beside Ourselves*, and Richard Flanagan for *The Narrow Road to the Deep North*. Fowler's book is the best-selling on the list, with over 55,000 copies sold. Critics have noted the shortlist's weaknesses, and there are concerns about Jacobson's chances of winning again. The judging panel is chaired by AC Grayling, and the ceremony will be broadcast on BBC News. Each shortlisted author receives £2,500 and a special edition of their book."
14-2,"Mark Carney, the Governor of the Bank of England, announced a surprising decision to extend his term by one year, rather than the expected full extension to 2021 or leaving in 2018. This choice was influenced by personal circumstances, particularly regarding his family's education, as two of his daughters will be completing significant exams in 2018. Carney emphasized that his decision was personal and not influenced by political pressure or criticism regarding the Bank's economic forecasts related to Brexit. He acknowledged the challenges of leaving during Brexit negotiations but felt that a one-year extension would allow for a smoother transition for his family and the Bank. After this extension, a new Governor will take over as the UK completes its exit from the EU."
14-3,"Adrian Gill, a prominent journalist for the Sunday Times since 1993, was diagnosed with multiple cancers and passed away recently. Despite his illness, he expressed gratitude for his life and did not feel cheated. His final column, addressing his diagnosis, is set to be published in the Sunday Times. Gill was celebrated for his exceptional writing and wit, though he often sparked controversy with his remarks. He overcame dyslexia to build a successful writing career, starting in the 1980s. Gill was married twice and had four children. His death has deeply affected colleagues, who remember him as a giant in journalism and a beloved friend."
14-4,"The passage discusses the activities of various hacker groups involved in the conflict between Ukraine and Russia. The Ukrainian Cyber Troops, led by Yevhen Dokukin, are known for hacking Russian government servers and conducting DDoS attacks on rebel websites to disrupt their operations and funding. They also monitor CCTV in rebel areas and have printed pro-Ukrainian messages using hijacked printers. In contrast, Cyber Berkut, an anti-Western group, aims to undermine Ukraine's military efforts and has hacked Ukrainian government websites, disrupted electronic voting systems, and leaked sensitive information. Anonymous International, another group, publishes leaked documents related to Russia and Ukraine, though it is unclear how they obtain their material. The passage highlights the cyber warfare tactics employed by both sides in the ongoing conflict."
5-0,"The passage discusses a former Manchester City player, aged 30, who earned 61 caps for the England national team since his debut in 2009. He participated in two World Cups and two European Championships, but only played three minutes at Euro 2016. Milner, who also holds the record for the most caps for England Under-21 with 46, scored his only international goal during a 5-0 win against Moldova in the 2014 World Cup qualifiers. He expressed his wishes for future success for Sam Allardyce, the players, staff, and supporters."
5-1,"Brad Wilk is a drummer known for his work with the rock bands Rage Against the Machine (1991-2000; 2007-2011) and Audioslave (2001-2007). He began his career in 1990 with the band Greta and co-founded Rage Against the Machine in August 1991 with Tom Morello and Zack de la Rocha. As of 2016, he is a member of the band Prophets of Rage, alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also mentions Rage, a German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke has been appointed as the permanent manager of Kilmarnock after signing a three-year deal. He initially joined the club as an assistant last summer and took over as manager in February when Allan Johnston resigned. Since his appointment, Locke has led the team to one loss in seven games. He will address the media at a press conference on Friday."
5-3,"Rupert Murdoch is the chairman and acting CEO of Fox News. He is the father of James Rupert Jacob Murdoch, an Australian, British, and American businessman. Rupert Murdoch was the CEO of 21st Century Fox and chairman of Sky plc. He had full control of News Corporation, which is now the second-largest media conglomerate in the world, along with its successors, News Corp and 21st Century Fox, following a split on June 28, 2013."
15-0,"Veteran actor Robert Hardy, known for his roles in ""All Creatures Great and Small"" and as Winston Churchill, is auctioning over 200 antiques from his collection, valued at £100,000, as he downsizes his home. The auction, taking place at Dominic Winter auctioneers in Gloucestershire, includes unique items such as a hand-painted diorama of the Battle of Agincourt, early Victorian furniture, a longbow, and various paintings and historical artifacts. At 89, Hardy, a military historian and former student of J.R.R. Tolkien, expressed sadness about selling his collection but hopes it brings joy to new owners. He has had a distinguished career in acting, including roles in the Harry Potter films, and plans to continue working in television despite retiring from stage acting due to a fall."
15-1,"Veteran actor Robert Hardy, known for his roles in ""All Creatures Great and Small"" and as Winston Churchill, is auctioning over 200 antiques from his collection, valued at £100,000, as he downsizes his home. The auction, taking place at Dominic Winter auctioneers in Gloucestershire, includes unique items such as a hand-painted diorama of the Battle of Agincourt, early Victorian furniture, a longbow, and various paintings and historical artifacts. At 89, Hardy, a military historian and former student of J.R.R. Tolkien, expressed sadness about selling his collection but hopes it brings joy to new owners. He has had a distinguished acting career, including roles in the Harry Potter films, and plans to continue working in television despite retiring from stage acting due to a fall."
15-2,"Veteran actor Robert Hardy, known for his roles in ""All Creatures Great and Small"" and as Winston Churchill, is auctioning over 200 antiques from his collection, valued at £100,000, as he downsizes his home. The auction, taking place at Dominic Winter auctioneers in Gloucestershire, includes unique items such as a hand-painted diorama of the Battle of Agincourt, early Victorian furniture, a longbow, and various paintings and historical artifacts. At 89, Hardy, a military historian and former student of J.R.R. Tolkien, expressed sadness about selling his collection but hopes it brings joy to new owners. He has had a distinguished career in acting, including roles in the Harry Potter films, and plans to continue working in television despite retiring from stage acting due to a fall."
15-3,"A major study by the Institute for Health Metrics and Evaluation at the University of Washington reveals that heavy drinking among Americans increased by 17.2% from 2005 to 2012, particularly among women. The study, published in the American Journal of Public Health, defines heavy drinking as exceeding one drink per day for women and two for men, while binge drinking is defined as four or more drinks for women and five for men on a single occasion at least once a month. Women's binge drinking rates rose significantly, with a nationwide increase more than seven times that of men. In 2012, 8% of Americans were heavy drinkers and 18% were binge drinkers. The study highlights cultural shifts, economic factors, and weakened alcohol control policies as contributors to rising drinking rates. Public health experts note that many individuals do not seek treatment for alcohol issues until facing serious consequences."
4-0,"In a recent hockey match, the Giants, led by player-coach Derrick Walser, initially took the lead, but the Panthers, with Jeff Dimmen, equalized. In the second period, Mike Forney scored a powerplay breakaway goal for a 2-1 lead, followed by Andy Bohmback's equalizer. Mike Radja and James Desmarais then scored for the Giants, making it 4-2, before Nottingham's David Ling scored again. The teams will face each other again on Saturday. Nottingham currently leads the league with 28 points, followed by Sheffield Steelers with 27 and Belfast with 25."
