source_id,qa_response
14300,"Automotive technicians get paid through various methods, including hourly wages, commission, flat-rate or flag-rate systems, or combinations of hourly and commission pay rates. The specific pay method can depend on where they work, how they are paid, and the type of work they do."
14323,"To grill a porterhouse, set up your grill for three-zone grilling by arranging lit coals into a double layer at the far side, a single layer in the center, and leaving the section closest to you coal-free. Replace the grill grate, clean it with a grill brush when hot, and lubricate it with oil before grilling."
14353,"To fold a quilt, lay it flat, then fold the lower right corner up toward the center on the bias, fold the lower left corner up toward the center on the bias, fold the top left corner down toward the center on the bias, and finally fold the top right corner down toward the center on the bias."
14355,"The benefits of a water pick include helping to keep teeth, gums, and mouth healthier by eliminating germs and plaque that are difficult to remove with a toothbrush, massaging and stimulating soft tissue to reduce the risk of gingivitis, and cleaning better around teeth and gums, especially in areas that brushing cannot access."
14360,"To set the default browser in Windows, open the Settings app, go to System > Default apps, scroll to the Web browser section, click the current browser, and select your preferred browser from the list."
14366,"The proper way to dispose of a worn USA flag is to either burn the flag yourself in a proper ceremony after folding it in the customary triangle fold, or, if putting it out for collection, first remove the blue field, burn the blue field in a peaceful manner, and bury the ashes."
14375,"To cook brats: Prick bratwurst with a fork, then simmer them with onions, butter, and beer in a large pot over medium heat for 15–20 minutes. Preheat an outdoor grill to medium-high heat, lightly oil the grate, and grill the bratwurst for 5–14 minutes, turning occasionally to brown evenly. Serve with the cooked onions and beer mixture as a topping or side."
14390,"Symptoms of IBS include diarrhea, constipation, alternating constipation and diarrhea, belly pains or cramps (usually in the lower half of the belly, worse after meals and better after a bowel movement), and a lot of gas or bloating.

The causes of IBS are unknown but are thought to involve abnormal GI tract movements, increased sensitivity to pain, abnormal nervous system signals, food intolerances, and disruption in communication between the brain and GI tract. Risk factors include abnormal movements of the colon and small intestines, hypersensitivity to pain from a full bowel or gas, and food sensitivities."
14392,"Essential amino acids cannot be made by the body and must be obtained from the diet, while nonessential amino acids can be made by the body and do not need to be obtained from the diet."
14394,"Indiana typically has long, warm, humid, and wet summers; chilly and windy winters; and is partly cloudy year round. Temperatures usually range from 22°F to 85°F. Snowfall and rain are common, with notable variations in precipitation from year to year."
14396,"To sync an audiobook from your iPhone to iTunes, connect your iPhone to your computer, open iTunes, select your device under ""Devices,"" choose ""Books"" or ""Audiobooks,"" and use the sync options to transfer audiobooks between your iPhone and iTunes. You can also import audiobooks into your iTunes library and then sync them to your device."
14404,"The body systems work together by supporting each other's functions; for example, the urinary system cleans waste from other systems, and the respiratory system provides oxygen and removes carbon dioxide for other systems. This cooperation helps keep the body functioning normally."
14418,"The name Teresa means ""harvester"" or ""reap,"" and may also be associated with ""summer."" It is derived from Greek, possibly from ""therizein"" (to harvest) or ""theros"" (summer), and is also linked to the Greek island Therasia."
14433,"The difference between Vietnam and India, based on the passages, includes that Vietnam's education system is relatively equitable, giving poorer children the same opportunities as wealthier ones, while India's trends are described as more typical and initially focused on getting children into school. Historically, India was a British colony until 1947, while Vietnam was a French colony until 1945. After decolonization, India experienced division and conflict among religious groups, whereas Vietnam's passage does not mention such internal division. Additionally, India and Vietnam have strong bilateral relations and cultural links."
14445,"When an asset is discarded but not sold, as per the Income Tax Act, the scrap value of the asset is reduced from the block of assets in the previous year in which it is discarded. Depreciation can still be claimed on the residual value of the block (i.e., opening WDV less scrap value), even if the discarded asset is not used for business in that year or subsequent years."
14458,"To sew a zipper gusset:

1. Trace and cut all pattern pieces.
2. Make a few stitches near the top stop of the zipper.
3. Pin the zipper gusset to the zipper (right sides together, 1/4″ from the center).
4. Using a zipper foot, sew near the seam line to secure.
5. Place the zipper gusset lining on top (right side down) and stitch on the seam line.
6. Flip the lining to the bottom of the main zipper gusset and topstitch near the seam line.
7. Repeat for the other side of the zipper gusset.
8. The width of the zipper between the gussets should be 1/2″.
9. Switch to a normal presser foot and stitch around the seam allowance to attach the main and lining fabrics together.
10. Place the zipper gusset on the main body, align ends to center markings, and sew from marking to marking at both ends. Place the lining on top (right side down) and sew."
14468,"The passages do not provide instructions for baking hard boiled eggs. They describe how to make hard boiled eggs by boiling them in water, not by baking."
14470,"The drawer on the bottom of an oven stove is often meant to be a warming drawer for keeping food warm, but on some models it is just for storage or, in some cases, for broiling. The intended use depends on the oven model."
15092,"To factory reset an HTC One VX:

Method 1 (via settings):
1. Slide the Notifications panel open, and tap.
2. Tap Storage > Factory data reset.
3. Tap Reset phone, then tap Erase everything.

Method 2 (hardware buttons):
1. Switch off the phone.
2. Press and hold the Volume Down and Power buttons together for a few seconds.
3. Release the buttons when Bootloader Mode appears.
4. Use the Volume Down button to scroll to ""Factory Reset"" and use the Power key to select."
15097,"PSA levels refer to the amount of prostate-specific antigen (PSA), a protein produced by the prostate gland, measured in a man’s blood. Elevated PSA levels may indicate prostate cancer, an enlarged prostate, or inflammation of the prostate. The results are usually reported as nanograms of PSA per milliliter (ng/mL) of blood."
15103,"To make a graph for your research:

1. Collect all your data.
2. Decide which type of graph fits your data (bar graph for comparing categories, line graph for trends, or pie chart for a few data points).
3. Title your graph.
4. For a bar graph, determine how high your graph needs to go and use rectangular bars to represent values for each category.
5. Use graph paper if you want to make your graph neat.
6. Make sure the y-axis has a scale, and each bar’s height is proportionate to the value it represents."
15108,"To change the sleep time on your computer, open the Power Options (search for ""Power Management Settings"" or ""power options"" in the Start Menu or taskbar), then click ""Change when the computer sleeps"" and adjust the ""Put the computer to sleep"" setting to your desired time."
15111,"Hugging has psychological effects such as reducing worry about mortality, soothing existential fears, and making individuals feel emotionally supported, similar to receiving a ""psychological hug"" through empathy and listening. Hugging also contributes to emotional intimacy and good relationships."
15112,"To cook a small prime rib roast in the oven:  
- Allow the roast to stand at room temperature for at least 1 hour.  
- Preheat the oven to either 375°F (Passage 1) or 450°F (Passages 2 and 3).  
- Season the roast with a small amount of salt and lots of fresh ground black pepper (Passages 2 and 3), or rub with House Seasoning (Passage 1).  
- Place the roast on a rack in a pan, rib side down and fatty side up (Passage 1).  
- Roast for 1 hour (Passage 1).  
- (Optional from Passage 1) Turn off the oven after roasting."
15120,"It takes 6–8 hours on low or about 5 hours (1 hour on high, then low) in a crock pot to make chicken tender. Alternatively, you can cook chicken breasts for 8 hours on low or 4 hours on high."
15130,"Leasing is a process by which a firm or individual obtains the use of certain fixed assets by paying a series of contractual, periodic payments to the owner (lessor), while the user (lessee) receives the right to use the asset under a lease contract."
15135,"Necrotizing fasciitis is caused primarily by bacteria, most commonly group A Streptococcus (Streptococcus pyogenes), but other bacteria such as staphylococcus and, rarely, fungi can also cause the condition. The infection occurs when these bacteria infect the superficial fascia, often following trauma or breaks in the skin."
15143,Elements are pure substances made of only one type of atom. Compounds are pure substances composed of two or more different elements that are chemically bonded. Mixtures are physical combinations of elements and/or compounds where the components are not chemically bonded and can be separated easily by physical methods; mixtures have variable composition and retain the properties of their constituents.
15147,"To wash wine glasses properly, wash them by hand using hot water and a small amount of mild detergent only where needed (bottom and rim). Use a stemware brush with soft-foam bristles for the inside. If residue remains, dissolve baking soda in hot water and let it stand in the glass. Rinse thoroughly and dry with a smooth lint-free cloth. Wash one glass at a time and cradle the bowl to protect the stem."
15149,"To peel potatoes fast, score the skin around the center of each potato, boil them, then plunge them into ice water. Once cooled, rub the potatoes with your hands and the skin will come off easily."
15160,"To remove oil stains from a concrete driveway, you can use products like oven cleaner, goop hand cleaner, carburetor cleaner, or a commercial-grade cleaner. First, clean the area with water (not a high-pressure hose), then apply the cleaner and scrub with a brush or broom. For fresh or small stains, the poultice method may be effective. For larger or set-in stains, use detergent with a pressure washer, keeping the nozzle at an even distance to avoid streaking."
15164,"Sausalito has an average annual rainfall of 34 inches, 0 inches of snowfall, and 256 sunny days per year. The July high is around 69°F, the January low is 43°F, the highest monthly average temperature is 58°F in September, and the lowest is 50°F in December. The climate is considered very comfortable, with a comfort index of 84 out of 100."
15175,"The FEHA covers more employees and does not distinguish between private and public employers, while the ADA applies to private employers with four to fifteen employees. Additionally, the ADA requires a disability to ""substantially limit"" a major life activity, whereas FEHA only requires that a disability ""limit"" a major life activity, which is a broader standard."
15180,"To grill pork chops, preheat an outdoor grill for medium heat and lightly oil the grate. Rinse the pork chops, sprinkle both sides with a spice mixture, and massage it in. Let them stand for 10 minutes, then grill over indirect heat until no longer pink inside, about 12 minutes per side."
