source_id,qa_response
14300,"Based on the passages, automotive technicians are paid through a wide variety of compensation methods. These include hourly pay, commission pay, combinations of hourly and commission rates, and a flat-rate or flag-rate basis."
14323,"Based on the passages, to grill a porterhouse, you should first prepare the grill. For a charcoal grill, dump a chimney of lit coals and spread them into a double layer on the far side and a single layer in the center, leaving the closest section coal-free. For a gas grill, set it up for three-zone grilling. Replace the grill grate, and once it is hot, clean it with a grill brush and lubricate it with a grill oiler or a paper towel dipped in vegetable oil."
14353,"Based on the provided passages, here are the steps to fold a quilt:

1.  Lay the quilt on a flat surface, such as a bed or table.
2.  Fold the lower right corner up toward the center of the quilt, making sure the fold is on the bias.
3.  Fold the lower left corner up toward the center, ensuring the fold is on the bias.
4.  Fold the top left corner down toward the center, making sure the fold is on the bias.
5.  Fold the top right corner down toward the center, ensuring the fold is on the bias."
14355,"Based on the provided passages, a water pick is a great oral care tool that helps maintain good oral health. Its benefits include:

*   Eliminating germs and plaque that are tough to remove with a toothbrush.
*   Massaging and stimulating soft tissue in the mouth, which helps reduce the risk of gingivitis.
*   Cleaning better around the teeth and gums by removing food from areas that brushing cannot access.
*   Contributing to healthier teeth, gums, mouth, and overall body."
14360,"Based on the provided passages, you can set the default web browser in Windows by using the Settings app.

1.  Open the Settings app via the Start menu or by using the Windows + I keyboard shortcut.
2.  Click on ""System,"" then select ""Default apps.""
3.  Scroll down to the ""Web browser"" section.
4.  Click on the current browser's entry to reveal the ""Choose an app"" menu, and then select the browser you wish to set as the default.

Alternatively, to set Mozilla Firefox as the default, you can open the Firefox browser, click the menu button (three horizontal lines), and select ""Options."" Once a default browser is set, any selected hyperlink will open in that browser."
14366,"Based on the provided passages, there are two proper ways to dispose of a worn USA flag:

1.  Remove the blue field from the flag, burn the blue field in a peaceful manner, bury the ashes, and then put the remaining part of the flag out for collection.
2.  Fold the flag in the customary triangle fold and burn it yourself in a proper ceremony."
14375,"Based on the passages, here is how to cook brats:

First, you can prick the bratwurst with a fork. Place them in a large pot with beer, onions, and optionally butter, red pepper flakes, garlic powder, salt, and pepper. Bring the mixture to a boil or simmer over medium heat for 10 to 20 minutes.

Next, preheat an outdoor grill for medium-high heat and lightly oil the grate. Remove the bratwurst from the pot and cook them on the preheated grill for 5 to 14 minutes, turning them to brown evenly. The remaining beer and onion mixture can be served as a topping or side."
14390,"Based on the passages, the exact cause of IBS is unknown but is thought to result from a combination of factors including abnormal gastrointestinal (GI) tract movements, a disruption in communication between the brain and the GI tract, abnormal nervous system signals, increased sensitivity to pain, and food sensitivities.

Symptoms of IBS can include diarrhea, constipation, constipation alternating with diarrhea, belly pains or cramps that worsen after meals and improve after a bowel movement, and a lot of gas or bloating."
14392,"Based on the provided passages, essential amino acids cannot be made by the body and must be obtained from your diet. In contrast, nonessential amino acids can be made by the body, either from essential amino acids or by breaking down protein products."
14394,"Based on the provided passages, the weather in Indiana includes long, warm, humid, and wet summers, and chilly, windy winters. It is partly cloudy year-round, and the state experiences snow. In Indianapolis, the temperature typically ranges from 22°F to 85°F."
14396,"Based on the information in the provided passages, there are no instructions on how to sync an audiobook from an iPhone to iTunes. The passages describe how to transfer audiobooks from a computer or iTunes to an iPhone."
14404,"Based on the passages, several body systems work together to keep the body functioning normally. For example, the urinary system cleans waste products from the skeletal, muscular, digestive, respiratory, circulatory, and nervous systems. The respiratory system provides oxygen for all body parts and removes carbon dioxide from the muscular, digestive, skeletal, circulatory, urinary, and nervous systems."
14418,"Based on the provided passages, the name Teresa has several meanings:

*   **Greek and American:** ""Reap; from Therasia.""
*   **Italian:** ""Harvester.""
*   **Spanish:** ""Name of two popular saints 'Teresa of Avila' and 'Therese of Lisieux'.""

The etymology is considered uncertain, but it is thought to come from the Greek ""therizein"" meaning ""to harvest, harvester"" or ""theros"" meaning ""summer."""
14433,"Based on the passages, the differences between Vietnam and India are:

*   **Education System:** Vietnam's education system is described as relatively equitable, where poorer children get the same deal as wealthier ones. In contrast, India's educational trends are considered more typical, with an early focus on resources, facilities, and getting children into school.
*   **Colonial History:** India was a colony of the United Kingdom until 1947. Vietnam was a colony of France, which lost control in 1945.
*   **Post-Colonial Situation:** After decolonization, India was divided between Hindus, Muslims, and Sikhs, which led to numerous conflicts.
*   **Historical Relations:** India supported Vietnam's independence from France and supported North Vietnam during the Vietnam War."
14445,"Based on the provided passages, when an asset is discarded under the Income Tax Act, its scrap value is reduced from the block in the year of discard. The assessee can then claim depreciation on the residual value of the asset (Opening Written Down Value less scrap value), even if the asset is not used for business in that year or subsequent years."
14458,"Based on the provided passages, here is how to sew a zipper gusset:

1.  Pin the zipper gusset to the zipper, with right sides facing each other, 1/4 inch away from the center.
2.  Using a zipper foot, sew a line near the seam line to secure the position.
3.  Place the zipper gusset lining on top with its right side facing down and stitch on the seam line.
4.  Flip the lining to the bottom of the main zipper gusset and topstitch near the seam line.
5.  Repeat this process for the other side of the zipper gusset.
6.  Stitch on the seam allowance around the zipper gusset to attach the main and lining fabrics together."
14468,"Based on the information in the provided passages, there are no instructions on how to bake a hard-boiled egg. The passages describe how to boil eggs on a stovetop using a saucepan and water."
14470,"Based on the provided passages, the function of the drawer on the bottom of an oven stove depends on the model. On some ovens, it is a ""warming drawer"" designed to keep hot foods at serving temperature. On other models, it can be used to broil food or for storage. Not all ovens have warming drawers."
15092,"Based on the provided passages, there are two ways to factory reset an HTC One VX.

**Method 1: Through the Notifications Panel**
Before you begin, be sure to back up any data you want to keep.
1.  Slide the Notifications panel open, and then tap.
2.  Tap ""Storage"" and then ""Factory data reset.""
3.  Tap ""Reset phone,"" and then tap ""Erase everything.""

**Method 2: Using Hardware Buttons**
1.  Switch off the phone.
2.  Press and hold the Volume Down and Power buttons together for a couple of seconds.
3.  When Bootloader Mode appears, release the keys.
4.  Choose ""Factory Reset"" by using the Volume Down button to scroll and the Power key to select."
15097,"Based on the passages provided, PSA levels measure the amount of prostate-specific antigen, a protein produced by the prostate gland, in a man's blood. The results are reported in nanograms per milliliter (ng/mL). Elevated PSA levels may indicate prostate cancer, a noncancerous condition such as prostatitis (inflammation of the prostate), or an enlarged prostate (benign prostate hyperplasia/BPH). For example, a level between 4.0 ng/mL and 10.0 ng/mL may indicate one of these conditions. The test was also originally approved to monitor the progression of prostate cancer in men already diagnosed with the disease."
15103,"Based on the information in the provided passages, here is how you can make a graph:

1.  **Collect your data:** The first step is to collect all of your data.
2.  **Title the graph:** You will need to give your graph a title.
3.  **Determine the scale:** Find out how high your graph needs to go. The y-axis will have a scale.
4.  **Draw the bars:** For a bar graph, use rectangular bars where the height of each bar is proportionate to the size of the category it represents.
5.  **Use graph paper:** You may use graph paper to help you make the graph."
15108,"Based on the provided passages, to change the sleep time on your computer:

1.  Click the Start Menu and enter ""Power Management Settings"" in the search field.
2.  Click ""Change Power Management settings"" to open the Power Options window.
3.  On the left side of the window, click ""Change when the computer sleeps.""
4.  Change the ""Put the computer to sleep"" entry to the desired amount of time."
15111,"Based on the provided passages, hugging can make a person feel good and give them a ""warm feeling."" Additionally, research indicates that hugs can significantly reduce the worry of mortality and help soothe an individual's existential fears, even if the hug is with an inanimate object like a teddy bear."
15112,"Based on the provided passages, here are the cooking instructions given:

One method is to let the roast stand at room temperature for at least one hour, preheat the oven to 375°F, rub the roast with House Seasoning, and place it on a rack in a pan with the rib side down and the fatty side up. Then, roast for one hour and turn off the oven.

Another method mentioned is to preheat the oven to 450°F for at least 15 minutes and season the roast with a small amount of salt and lots of fresh ground black pepper."
15120,"Based on the provided passages, you can cook chicken in a crock pot on low for 6-8 hours. Alternatively, you can cook it on high for 4 hours. Another option is to cook it on high for 1 hour, followed by about 5 hours on low."
15130,"Based on the provided passages, leasing is a process or contractual arrangement where a lessee pays a lessor for the use of an asset. The lessor is the legal owner of the asset, and the lessee is the receiver who obtains the right to use it. In exchange, the lessee makes a series of contractual, periodic, tax-deductible payments, which are called rent. Assets that are commonly leased include property, buildings, vehicles, and industrial or business equipment."
15135,"Based on the provided passages, necrotizing fasciitis is caused by bacteria in the vast majority of cases, though fungi can also rarely be a cause. Several types of bacteria can cause the infection, including group A Streptococcus (GAS), which also causes strep throat and impetigo, as well as staphylococcus and others. The infection occurs when bacteria infect the superficial fascia, a layer of connective tissue below the skin. This can happen through a prior trauma such as a cut, scrape, insect bite, burn, needle puncture, or surgical incision."
15143,"Based on the provided passages, here are the differences between elements, compounds, and mixtures:

*   **Elements** are the purest form of a chemical substance and are composed of only one type of atom.
*   **Compounds** are pure substances composed of two or more different elements.
*   **Mixtures** are a physical combination of elements or compounds. In a mixture, the components are not chemically bonded, retain their own properties, have a variable composition, and can be separated by physical means."
15147,"To wash wine glasses properly, lay a towel in the sink before filling it with hot water. Wash one glass at a time by hand, cradling the bowl to protect the stem. Use a small amount of detergent only where needed, like the bottom of the glass and the rim. For the inside, you can use a stemware brush with soft-foam bristles. For stubborn residue, dissolve a small amount of baking soda in hot water and let it sit in the glass for a few minutes. Finally, rinse thoroughly with hot water and dry with a smooth, lint-free cloth, such as microfiber or a flour sack towel."
15149,"Based on the provided passages, here is how to peel potatoes fast:

First, with a knife, make a cut around the potato, either around the center or lengthwise, trying to slice only the skin. Place the potatoes in a pot of boiling water for about 15 minutes. Then, prepare a bowl of ice water and plunge the potatoes into it for a few seconds until they are cool enough to handle. This ""shocking"" process helps release the skin. Finally, remove the potato from the water and rub it with your hands to make the skin fall off."
15160,"Based on the passages, there are several methods for removing oil stains from a concrete driveway, and the chosen process depends on the size of the spill and how long the stain has been there.

Before cleaning the stain, you should wash off any dirt and debris with water from a hose or bucket, but do not use a high-pressure hose, as it can push the oil deeper into the pavement.

Methods for removal include:
*   Applying a commercial-grade cleaner, scrubbing it with a brush or broom, and then using a pressure washer with detergent. When pressure washing, it is important to move at an even pace and keep the nozzle at a consistent distance from the concrete to avoid streaking.
*   Using products such as oven cleaner, goop hand cleaner, or carburetor cleaner.
*   Using the poultice method for fresh or small, stubborn stains."
15164,"Based on the provided passages, Sausalito's average weather includes 34 inches of rain and 0 inches of snow per year, with 56 days of measurable precipitation and 256 sunny days. The highest monthly average temperature is 58 degrees in September, and the lowest is 50 degrees in December. The July high is around 69 degrees, and the January low is 43. The most monthly precipitation occurs in January with 0 inches. Sausalito has a comfort index of 84 out of 100."
15175,"Based on the provided passages, there are two main differences between the FEHA and the ADA:

1.  **Employer Coverage:** The ADA applies to private sector employers with four to fifteen employees, while the FEHA affects more employees and does not distinguish between private and public employers.
2.  **Definition of Disability:** To qualify for a disability under the ADA, a physical or mental impairment must ""substantially limit"" a major life activity. Under the FEHA, the impairment only needs to ""limit"" a major life activity, which is a less stringent requirement."
15180,"Based on the passages, here is how to grill pork chops:

First, preheat an outdoor grill for medium heat and lightly oil the grate. Mix seasoned salt, black pepper, garlic powder, onion powder, paprika, Worcestershire sauce, and smoke flavoring. Rinse the pork chops and sprinkle the wet chops on both sides with the spice mixture. Massage the rub into the meat and allow it to stand for 10 minutes. Finally, grill the chops over indirect heat for about 12 minutes per side, until they are no longer pink inside."
15238,"Based on the passages, a visual merchandiser projects a retailer's strategy and company goals within the store. While advertising was previously the primary method to attract customers, visual merchandising now serves to influence consumer buying behavior. As one passage states, marketing may bring the consumer to the store, but it is visual merchandising that makes them buy."
15239,"Based on the provided passages, the earliest signs and symptoms of pregnancy can include a missed period, bloating, spotting, and cramping. Other signs in early pregnancy are mood swings, being unusually emotional and weepy, and feeling lightheaded or dizzy. Nausea and vomiting can also be a symptom, starting for most women around six weeks after their last period."
15254,"Based on the passages, an adverb clause modifies a verb, adjective, or another adverb, while an adjective clause modifies a noun or a pronoun. Adverb clauses are introduced by subordinate conjunctions like ""after,"" ""although,"" ""because,"" and ""if."" Adjective clauses are introduced by relative pronouns such as ""who,"" ""whose,"" ""whom,"" ""which,"" and ""that,"" or the subordinate conjunctions ""when"" and ""where."""
15269,"Based on the passages, the proper way to fertilize your grass involves several steps. First, you should know your grass type, do a pH soil test, and measure your lawn to pick the right fertilizer. Fertilize at the beginning of the growing season; for warm-season grasses, this is when the grass starts to turn green in the spring. Apply the fertilizer in a perpendicular pattern. To check if you have over-fertilized, step on the turf; if the leaf blade bounces back up, the lawn is in good shape."
15275,"Based on the passages, examples of kinetic energy include an airplane in flight, a thrown baseball, a moving car, a rolling ball, a flowing river, a running athlete, rides in an amusement park, and a satellite in orbit.

The passages mention two forms of potential energy: gravitational potential energy, which is the energy stored in an object due to its vertical position or height, and elastic potential energy."
15300,"Based on the provided passages, hiring a remodeling contractor to build a second-floor addition can cost between $100 and $300 per square foot for a typical project. The cost can increase to as high as $400 to $500 per square foot depending on the complexity, quality of materials, and local labor rates."
