source_id,qa_response
14300,"Automotive technicians get paid through various combinations of hourly and commission pay rates, which can vary depending on the type of work they specialize in and the company they work for."
14323,"The passages do not provide a direct answer on how to grill a porterhouse. However, Passage 1 and Passage 2 provide general grill setup instructions, and Passage 3 describes the characteristics of a porterhouse steak. To grill a porterhouse, you may follow the grill setup instructions in Passage 1 and Passage 2, but the actual grilling process for a porterhouse is not specified."
14353,"To fold a quilt, follow these steps: 
1. Lay the quilt on a flat surface.
2. Fold the lower right corner up toward the center, on the bias.
3. Fold the lower left corner up toward the center, on the bias.
4. Fold the top left corner down toward the center, on the bias.
5. Fold the top right corner down toward the center, on the bias."
14355,"The benefits of a water pick include: 
- Helping to keep teeth, gums, mouth, and overall body healthier
- Eliminating germs and plaque from the gum line
- Massaging and stimulating soft tissue in the mouth to reduce the risk of gingivitis
- Cleaning better around teeth and gums, removing food from areas that brushing cannot access."
14360,"To set the default browser to Windows, follow these steps: 

1. Open the Settings app (Windows + I).
2. Click on ""System"" and then ""Default apps"".
3. Scroll down to the ""Web browser"" section.
4. Click on the current browser and select the desired browser (e.g. Google Chrome, Mozilla Firefox) to set it as default."
14366,"According to the passages, there are three proper ways to dispose of a worn USA flag: 

1. Remove the blue field, burn it in a peaceful manner, and bury the ashes.
2. Burn the flag yourself in a proper ceremony, after folding it in the customary triangle fold.
 

(Note: A third method is mentioned in Passage 1, but only two methods are described in detail across the passages.)"
14375,"To cook brats, follow these steps: 

1. Combine beer, onions, and seasonings in a pot, bring to a boil, and submerge the bratwurst (Passage 1).
2. Simmer the bratwurst in the beer mixture for 10-20 minutes (Passages 1 and 2).
3. Preheat a grill to medium-high heat, lightly oil the grate, and cook the bratwurst for 5-14 minutes, turning occasionally (Passages 1 and 2). 

Note: You can also prick the bratwurst with a fork to prevent explosion (Passage 2)."
14390,"Based on the provided passages, the symptoms of IBS include: 
1. Diarrhea
2. Constipation
3. Alternating constipation and diarrhea
4. Belly pains or cramps, especially after meals
5. Gas or bloating

The causes of IBS are unknown, but possible contributing factors include:
1. Abnormal GI tract movements
2. Disrupted communication between the brain and GI tract
3. Abnormal nervous system signals
4. Increased sensitivity to pain
5. Food intolerances or sensitivities
6. Abnormal colon and small intestine movements
7. Hypersensitivity to pain from a full bowel or gas."
14392,"The difference between essential and nonessential amino acids is that essential amino acids cannot be made by the body and must be obtained from the diet, whereas nonessential amino acids can be made by the body from essential amino acids or by breaking down protein products, and do not need to be obtained from the diet."
14394,"The typical weather in Indiana is characterized by long, warm, humid, and wet summers, and chilly and windy winters, with temperatures ranging from 22°F to 85°F. The state experiences varying levels of precipitation, with an average annual range of 24.97 to 57.65 inches of rain, and significant snowfall in some areas, with a maximum recorded snowfall of 74.5 inches in one season."
14396,"To sync an audiobook from iPhone to iTunes, follow these steps: 

1. Connect your iPhone to your computer.
2. Launch iTunes on your computer.
3. Click the name of your iPhone under Devices.
4. Choose ""Books"" above the main iTunes window.
5. Select the audiobooks you want to transfer or select ""All Audiobooks"".
6. Click ""Apply"" at the bottom of the screen to finish the syncing process. 

Note: The passages do not provide explicit instructions for syncing from iPhone to iTunes, but rather from computer to iPhone. However, the steps can be inferred to be similar in reverse."
14404,"The body systems work together by each system performing a specific function that supports the others. For example, the urinary system cleans waste from other systems, while the respiratory system provides oxygen and removes carbon dioxide from other systems, indicating a cooperative and interconnected relationship among the systems to maintain overall body function."
14418,"The name Teresa means: Reap, Harvester, or Reaper, and is derived from the Greek words ""therizein"" (to harvest) or ""theros"" (summer)."
14433,"The passages suggest the following differences between Vietnam and India: 

1. Education system: Vietnam's education system is relatively equitable, whereas India's trends are more typical and focused on getting children into school.
2. Colonial history: Vietnam was colonized by France, while India was colonized by the United Kingdom.
3. Post-colonial outcome: Vietnam was unified, whereas India was divided between Hindus, Muslims, and Sikhs, resulting in numerous conflicts."
14445,"When an asset is discarded, the treatment as per the Income Tax Act is to reduce the scrap value of the asset from the block in the previous year in which the asset is discarded, as permitted by section 43(6). The assessee can claim depreciation on the residual value of the discarded asset, which is the opening WDV of the asset less the scrap value."
14458,"To sew a zipper gusset, follow these steps: 

1. Pin the zipper gusset to the zipper with right sides facing each other, 1/4"" away from the center.
2. Sew a line near the seam line to secure the position using a zipper foot.
3. Place the zipper gusset lining on top with right side facing down and stitch on the seam line.
4. Flip the lining to the bottom of the main zipper gusset and topstitch near the seam line.
5. Repeat for the other side of the zipper gusset, ensuring the width between the gusset measures 1/2"".
6. Change to a normal foot and stitch on the seam allowance around the zipper gusset to attach the main and lining fabric together."
14468,"You can't bake hard-boiled eggs. The passages provided describe how to boil eggs to make them hard-boiled, not how to bake them."
14470,"The drawer at the bottom of the oven stove is called a ""warming drawer"" and is intended to keep hot foods at serving temperature until they are ready to be eaten. However, not all ovens have this feature, and on some models, the drawer is used for storage purposes instead."
