source_id,summary
15599,"Blue Bell Creameries has halted production at its Broken Arrow, Oklahoma, plant after listeria was detected in a 3-oz ice-cream cup made there. The CDC advises consumers and institutions to avoid any Blue Bell products from this plant—specifically 3-oz cups stamped with the letters O, P, Q, R, S or T after the date code—though other Blue Bell items from different facilities are not included. The company, already recalling certain items from a Texas plant in early March, is expanding recalls and inspecting the Oklahoma facility “out of an abundance of caution.” Genetic testing shows the listeria from a Kansas hospital sample matches bacteria found in plant samples, while a separate Texas-area illness cluster (2010-2014) also matches recovered product. To date, five Kansas patients were infected and three died; four had consumed Blue Bell milkshakes. The shutdown marks Blue Bell’s first recall in its 108-year history. The CDC urges disposal of any recalled products."
15601,"A Columbia Journalism School review found that Rolling Stone’s UVA gang-rape story was marred by systemic failures in reporting, editing, oversight and fact-checking; Rolling Stone’s managing editor issued a public apology to UVA and Phi Kappa Psi.  
Whether those parties can sue for defamation depends on defamation rules: the plaintiff must show publication of a false, defamatory factual statement made with at least negligent disregard for truth and causing reputational harm.  
UVA itself cannot sue because, as a governmental entity, the government has no defamation cause of action.  
Fraternities face a “group defamation” problem—statements about a group are usually not actionable unless the group is small enough that each member is individually implicated; Phi Kappa Psi might invoke this small-group exception, while Rolling Stone would argue the fraternity’s size and changing membership defeat it.  
Individual fraternity members, treated as private persons, could potentially sue if they clear these hurdles and prove concrete damages, but such libel suits are uncommon and success would hinge on demonstrating specific financial or reputational loss."
15604,"The author, who in 1967 became the first woman and first person of color in the Kentucky State Senate, reacts to Rand Paul’s 2015 presidential announcement. Paul promises to “expand the Republican Party,” yet the author argues his record contradicts any genuine outreach: he has questioned the Civil Rights Act, suggested private businesses may discriminate, down-played the need for stronger voting-rights protections, wants to abolish the Department of Education, opposes abortion rights and DREAMer protections, and has delivered condescending speeches at historically Black colleges. The author concludes that Paul’s positions would take the country backward and make him unfit to lead."
15613,"Mary Kay Letourneau Fualaau, now 53, and her husband Vili Fualaau, 31, say they remain happily married nearly a decade after her 2005 prison release and their subsequent wedding. Letourneau, then a 34-year-old Seattle teacher and mother of four, began a 1996 sexual relationship with 13-year-old student Vili, bore his child, and served more than seven years in prison. The couple—now raising two teenage daughters—speak with Barbara Walters on ABC’s “20/20” (airing Friday) ahead of their 10th wedding anniversary on May 20. In the interview, Letourneau discusses how they make their marriage work, her wish to resume teaching, and efforts to end her registered-sex-offender status; Vili addresses his struggles with alcoholism, depression, and feeling failed by the system during his youth."
15616,"• Photographer Daniel Ramos sued Kanye West for assault and camera-grabbing at LAX on July 19, 2013.  
• West had already pleaded no contest to misdemeanor battery, receiving two years’ probation, anger-management classes, and community service.  
• Ramos, represented by Gloria Allred, sought general and punitive damages, claiming interference with his lawful work.  
• The civil case, set for trial next week, was dismissed after a confidential settlement that included West’s personal apology; a photo shows the two shaking hands.  
• Allred said the outcome affirms that celebrities “are not above the law.”  
• (Separately noted: West also settled a 2014 Beverly Hills assault allegation.)"
15617,"B.B. King, 89, was briefly hospitalized for dehydration related to his Type II diabetes but reported he was “much better” and left the hospital the same day. According to daughter Claudette King and her publicist Angela Moore, he is now at home resting with his grandchildren. No further medical details or hospital location were given. Known as the “King of the Blues,” King was inducted into the Rock and Roll Hall of Fame in 1987, holds 30 Grammy nominations, plays Gibson guitars he calls “Lucille,” and is famous for songs such as “The Thrill Is Gone,” “There Must Be a Better World Somewhere,” and “When Love Comes to Town.” He experienced a similar dehydration episode last year that ended a tour."
15623,"Indiana Pacers forward Chris Copeland and his companion Katrine Saltara were stabbed outside the 1OAK area in Manhattan around 4 a.m. Wednesday, shortly after the pair left the nightclub and walked toward their car near the Fulton Houses. A 22-year-old suspect, who never entered the club, was detained by Copeland’s driver and is in police custody; charges are pending. Copeland suffered wounds to his left elbow and abdomen and is in stable condition, while Saltara and a second woman also sustained slash injuries. Atlanta Hawks players Pero Antic and Thabo Sefolosha, who had arrived in New York after playing in Atlanta earlier that night, were arrested at the scene for obstructing governmental administration, disorderly conduct, and (for Sefolosha) resisting arrest after pushing through the crowd; police say they were not involved in the stabbing itself. Both NBA teams, along with the league, are gathering information, and neither Antic nor Sefolosha will suit up for the Hawks’ Wednesday game against the Nets."
15627,"Selena’s family is developing “Selena the One,” a full-body digital recreation of the Tejano star who was killed 20 years ago. Built by Nevada tech firm Acrovirt LLC, the project aims to create a walking, talking, singing and dancing likeness using the company’s “Digitized Human Essence” technology. Planned outcomes include new songs, videos, collaborations with current artists and a 2018 tour. Selena will be the first person to use this technology, a point her sister Suzette Quintanilla calls “amazing,” emphasizing it will extend—not replace—Selena’s legacy, which still draws 2 million Facebook followers. Funding is sought through an Indiegogo campaign launching April 16 at selenatheone.com, with a commemorative Fiesta de la Flor scheduled in Corpus Christi on April 17–18."
15628,"Alaska Airlines Flight 448 left Seattle for Los Angeles on Monday but returned after 14 minutes when the crew and passengers heard banging and faint cries from the forward cargo hold. The noise came from a Menzies Aviation ramp agent who had accidentally fallen asleep among the luggage before takeoff. The pressurized, temperature-controlled hold kept him safe, and he was hospitalized briefly and passed a drug test. His shift had begun at 5 a.m. and was to end at 2:30 p.m.; coworkers assumed he had gone home when they couldn’t find him. After the precautionary landing and investigation by emergency responders, the flight—carrying 170 passengers and six crew—later continued to Los Angeles. Alaska Airlines is investigating the incident."
15634,"Emy Afalava, born in American Samoa (a U.S. territory since 1900), has spent his life under U.S. law yet is barred from voting because the federal government says he is not a citizen. He and other American Samoans are challenging this in a pending D.C. Circuit lawsuit, citing the Fourteenth Amendment’s guarantee that anyone born “in the United States” is a citizen. Birth-on-U.S.-soil citizenship has been standard since the nation’s founding, but racist exceptions have appeared: the 1857 Dred Scott decision denied citizenship to free African-Americans; early-20th-century rulings on island territories, exemplified by Isabel Gonzalez’s Puerto Rico case, treated territorial residents as politically inferior due to alleged racial unfitness. While inhabitants of every other U.S. island territory have since gained citizenship, American Samoans remain the only Americans still denied it."
