source_id,summary
15599,"Based on the passage provided, Blue Bell has temporarily closed its manufacturing plant in Broken Arrow, Oklahoma, after listeria was found in a serving of ice cream produced there. The Centers for Disease Control and Prevention (CDC) has warned consumers not to eat 3-ounce Blue Bell products from that plant marked with the letters O, P, Q, R, S, or T.

This action is related to a listeria outbreak at a Kansas hospital where five people were infected and three died. Listeria found in an ice cream cup at the hospital and in samples from the Oklahoma plant were a genetic match to each other, but did not appear to match the listeria from the infected patients. In a separate Texas outbreak, listeria from patients did match samples from Blue Bell products. The CDC states that the investigation to determine if the illnesses are related to the ice cream is ongoing.

Blue Bell has also recalled other products made at a Texas plant. The company notes this is the first recall in its 108-year history and that it does not include half gallons, pints, or quarts."
15601,"Based on the provided passage, a review by Columbia Journalism School found that a Rolling Stone article about a purported gang rape at the University of Virginia (UVA) was an ""institutional failure"" encompassing reporting, editing, and fact-checking, leading to an apology from the magazine.

The passage then analyzes the potential for defamation lawsuits. The elements of libel in Virginia are the publication of a false and defamatory statement with requisite intent.

*   **UVA:** As a governmental entity, the university cannot sue for defamation.
*   **Phi Kappa Psi Fraternity:** A fraternity is a group, and groups generally cannot sue for defamation. However, an exception exists for a ""comparatively small group"" where the defamatory statement is imputed to all members. Phi Kappa Psi could argue this exception applies, while Rolling Stone could argue the group is too large and fluid for individual members to claim injury.
*   **Other Fraternities:** As a larger group not directly implicated, they would have a harder time bringing a lawsuit.

For a successful suit, individual members would need to prove the false statements harmed their reputation and that Rolling Stone was negligent. They would also need to show tangible damages. The passage concludes that while UVA cannot sue, the fraternity members might have a rare, successful defamation case if they can overcome these legal hurdles."
15604,"Based on the passage, the author, who was the first woman and person of color elected to the Kentucky State Senate, critiques Rand Paul's presidential campaign announcement. She argues that while Paul claims to have a message of inclusion to expand the Republican party, his record and policies contradict this. The author cites Paul's questioning of the Civil Rights Act, his desire to eliminate the Department of Education, his goal to limit women's choices, and his opposition to protections for DREAMers. She interprets his slogan ""take our country back"" as a desire to reverse decades of progress. The author also describes his outreach efforts as ""condescending"" and ""inept,"" concluding that his views are outdated, outside the mainstream, and disqualifying for a president."
15613,"Mary Kay Letourneau Fualaau and her husband, Vili Fualaau, are still together and will celebrate their 10th wedding anniversary. Their relationship began in 1996 when she was a 34-year-old teacher and he was her 13-year-old student, which led to her serving over seven years in prison. They married after her release in 2005 and have two teen daughters.

In an upcoming ABC ""20/20"" interview, Letourneau Fualaau, now 53, will discuss their marriage, her plans to teach again, and her desire to have her registered sex offender status lifted. Vili Fualaau, now 31, will discuss his experiences with alcoholism and depression and his belief that the system failed him as a minor."
15616,"Kanye West settled a civil lawsuit with photographer Daniel Ramos, whom West had assaulted at Los Angeles International Airport in July 2013. For the incident, West had previously pleaded no contest to a misdemeanor battery charge and was sentenced to two years' probation, anger management, and community service. The civil suit, filed by Ramos and his lawyer Gloria Allred, was settled before its trial date. Allred stated that the settlement details were not disclosed, but an important aspect was an apology from West to Ramos, after which the two shook hands. Allred said the case sent a message that celebrities are not above the law. The passage also notes that in a separate 2014 incident, West was accused of assault and reached a civil settlement to avoid criminal charges."
15617,"B.B. King, an 89-year-old blues legend, was hospitalized for dehydration caused by his Type II diabetes. According to his daughter, Claudette King, and a statement from King himself, he was feeling ""much better"" and was released from the hospital on a Tuesday to rest at home. The passage also notes that B.B. stands for Blues Boy, he was inducted into the Rock and Roll Hall of Fame in 1987, has 30 Grammy nominations, and names his Gibson guitars Lucille. Last year, he canceled a tour after suffering from dehydration and exhaustion."
15623,"Indiana Pacers player Chris Copeland and his companion, Katrine Saltara, were stabbed early Wednesday morning in New York. According to the 1OAK nightclub, the incident occurred down the street from their venue in front of the Fulton Houses project, not at the club itself. The club's statement says their staff assisted Copeland after he returned for help and that his driver detained the suspect, who is now in police custody. Copeland suffered knife wounds to his elbow and abdomen and is in stable condition.

Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, were arrested at the scene on charges of obstructing governmental administration and disorderly conduct. Police confirmed they were not involved in the stabbing. A 1OAK spokesperson stated the two players went outside to check on Copeland and were arrested after pushing through the crowd that had gathered."
15627,"Based on the passage, the family of Tejano star Selena is creating a ""walking, talking, singing and dancing digital embodiment"" of her, 20 years after her death. The project, called ""Selena the One,"" is being handled by the tech company Acrovirt LLC, and Selena will be the first figure to use their technology. Her sister, Suzette Quintanilla, stated the project is meant to help Selena's legacy grow and is a ""step forward"" from previous holograms of artists like Michael Jackson and Tupac Shakur. The plan is for the digital figure to release new music, collaborate with current artists, and tour in 2018. An Indiegogo campaign is being launched to raise $500,000 for the project."
15628,"A ramp agent for Menzies Aviation, a contractor for Alaska Airlines, fell asleep in the cargo hold of Flight 448 from Seattle to Los Angeles. Shortly after takeoff, the pilot and passengers heard banging and yelling coming from the cargo hold. A federal air marshal on board responded by banging back and yelling to the person.

The pilot made an emergency landing after being in the air for 14 minutes. The agent was found unharmed, as the cargo hold is pressurized and temperature-controlled. He was taken to a hospital as a precaution, passed a drug test, and was discharged. According to the airline, the man's co-workers believed he had finished his shift and gone home. The flight, with 170 passengers and six crew members, later continued on to Los Angeles."
15634,"Emy Afalava, a veteran born in the U.S. territory of American Samoa, has been denied U.S. citizenship and the right to vote. The passage argues this contradicts the Fourteenth Amendment, which grants citizenship to those born in the United States. Afalava and other American Samoans are seeking to gain citizenship through a federal lawsuit.

The passage compares their situation to historical precedents rooted in racial discrimination. These include the *Dred Scott* case, which denied citizenship to African-Americans before being overturned by the 14th Amendment, and the 1904 case of Isabel Gonzalez. In Gonzalez's case, the Supreme Court, influenced by racist views of ""tropical peoples,"" ruled that Puerto Ricans were not aliens but declined to declare them citizens. The passage concludes by stating that inhabitants of all other U.S. island territories have since become citizens, leaving American Samoans as the last group awaiting this right."
