source_id,summary
14-0,"Militants attacked the Sardar Daud hospital in Kabul, Afghanistan, using explosives and gunfire, resulting in multiple casualties. The Islamic State (IS) group claimed responsibility, while the Taliban denied involvement. Commandos killed the attackers after hours of fighting. The attack, which began at 09:00 local time, has been condemned by President Ashraf Ghani and others. This attack marks a change in approach for IS fighters, who have previously targeted civilian gatherings. IS announced its presence in Afghanistan in 2015 and has carried out multiple attacks since then.
"
14-1,"The Booker Prize, now open to all authors writing in English, will be awarded at London's Guildhall on Tuesday night. Mukherjee's ""The Lives Of Others,"" set in 1960s Calcutta, is the favorite. The shortlist includes former winner Howard Jacobson, along with Ali Smith, Joshua Ferris, Karen Joy Fowler, and Richard Flanagan. Fowler's ""We Are All Completely Beside Ourselves"" is the best-selling of the shortlisted books. The judging panel is chaired by AC Grayling. Last year's winner was Eleanor Catton for The Luminaries. The shortlisted authors will each receive £2,500 and a specially bound edition of their book.
"
14-2,"Mark Carney, the Governor of the Bank of England, surprised many by deciding to extend his term by only one year, until 2019, instead of staying until 2021 or leaving in 2018 as originally planned. This decision was primarily driven by personal reasons, specifically his daughters' education and the family's plan to return to Canada in 2018. While the Brexit negotiations influenced his decision to extend, he could only commit to one additional year due to his family's circumstances.
"
14-3,"A.A. Gill, a columnist for the Sunday Times since 1993, has died after being diagnosed with cancer last month. Gill, known for his wit and sometimes controversial writing style, was described by colleagues as a ""giant among journalists."" His final column will appear in tomorrow's Sunday Times. Gill overcame dyslexia to become a writer, starting with art reviews and later writing for Tatler. He was married twice and engaged to his partner of 23 years at the time of his death.
"
14-4,"Several independent activist groups, including the Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International, engage in cyber warfare. The Ukrainian Cyber Troops, led by Yevhen Dokukin, use DDoS attacks and hacking to disrupt separatist activities, even claiming to have provided hacked data to Ukraine's security service. Cyber Berkut, an anti-Western group, targets Ukrainian government websites and officials, claiming to thwart military plans. Anonymous International focuses on leaking documents related to Russian affairs, sometimes including information about Ukraine.
"
5-0,"James Milner, age 30 and formerly of Manchester City, retired from the England national team with 61 caps since his 2009 debut. He participated in two World Cups and two European Championships, but only played three minutes at Euro 2016. Milner also holds the record for the most caps (46) for England's Under-21 team since 2004. He scored one international goal in a 5-0 victory against Moldova during the 2014 FIFA World Cup qualifiers.
"
5-1,"Brad Wilk is a drummer known for his work with Rage Against the Machine (1991-2000; 2007-11) and Audioslave (2001-07). He began his career with Greta in 1990 and co-founded Rage Against the Machine in 1991. As of 2016, he plays in Prophets of Rage. Rage is also the name of a German heavy metal band formed in 1984.
"
5-2,"Gary Locke, who joined Kilmarnock as assistant boss last summer, has been given the permanent manager role after serving as interim manager since February. He signed a three-year deal after losing only one of seven games in his interim period.
"
5-3,"Rupert Murdoch is the current chairman and acting CEO of Fox News. He previously controlled News Corporation and its successors, News Corp and 21st Century Fox, after the company split in 2013. James Rupert Jacob Murdoch, Rupert Murdoch's son, is the CEO of 21st Century Fox and chairman of Sky plc.
"
15-0,"Actor Robert Hardy, known for roles in ""All Creatures Great and Small"" and as Winston Churchill, is auctioning off over 200 antiques from his collection to downsize his home. The auction, estimated at £100,000, includes furniture, paintings, books, military items, and a diorama of the Battle of Agincourt commissioned by Hardy. The sale is taking place this Saturday at Dominic Winter Auctioneers in Gloucestershire. Hardy, a military history enthusiast and expert on the medieval longbow, expressed sadness at selling his collection.
"
15-1,"Actor Robert Hardy, known for roles in ""All Creatures Great and Small"" and as Winston Churchill, is auctioning off over 200 antiques from his collection for £100,000 due to downsizing. The auction, held by Dominic Winter Auctioneers in Gloucestershire this Saturday, includes furniture, paintings, swords, books, and a diorama of the Battle of Agincourt commissioned by Hardy. Hardy, a military history enthusiast and expert on the medieval longbow, expressed sadness at selling his collection.
"
15-2,"Actor Robert Hardy, known for roles in ""All Creatures Great and Small"" and as Winston Churchill, is auctioning off over 200 antiques from his collection to downsize his home. The auction, estimated at £100,000, includes items reflecting his interest in military history, such as a diorama of the Battle of Agincourt, a longbow, paintings, furniture, and books. The auction is being held this Saturday by Dominic Winter Auctioneers in Gloucestershire. Hardy expresses sadness at selling his collection but hopes the new owners will find joy in the items.
"
15-3,"A study by the Institute for Health Metrics and Evaluation found that heavy drinking and binge drinking in the U.S. increased between 2005 and 2012, particularly among women. Heavy drinking is defined as more than one drink per day for women and two for men, while binge drinking is four or more drinks for women and five or more for men on a single occasion. In 2012, 8% of Americans were considered heavy drinkers and 18% were binge drinkers. This increase is attributed to changing social norms, increased alcohol advertising, and weakened alcohol control policies. About 88,600 U.S. deaths were attributed to alcohol in 2010, costing over $220 billion per year.
"
4-0,"The Giants and Panthers played a game where the Giants initially led, but the Panthers tied it. The Giants then took a 4-2 lead, but Nottingham scored again. They will play again on Saturday. Nottingham leads the league with 28 points, followed by Sheffield and Belfast.
"
4-1,"Anne Rice was born in New Orleans, lived there for a time, and later moved to Texas and San Francisco. Route 495 is a 3.45 mile freeway in Hudson County, New Jersey, connecting the New Jersey Turnpike to New York State Route 495 inside the Lincoln Tunnel, providing access to Midtown Manhattan.
"
4-2,"There are two films mentioned: ""Home for the Holidays"" (1972), a made-for-television horror film directed by John Llewellyn Moxey and produced by Aaron Spelling, starring Sally Field, Eleanor Parker, Julie Harris, Jessica Walter and Walter Brennan, which premiered on ABC on November 28, 1972, and ""Home for the Holidays"" (1995), starring Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Dylan McDermott, Geraldine Chaplin, Steve Guttenberg, Cynthia Stevenson, Claire Danes, Austin Pendleton and David Strathairn.
"
4-3,"Smith, a 21-year-old Scotland Under-21 international with five goals this season, was loaned to United in July from the Dons. He debuted for Aberdeen in 2012, scoring four goals in 89 appearances. St Mirren's manager, Jack Ross, believes Smith is a good player and a mature boy who will be a good fit for the team. St Mirren is hosting Falkirk on Saturday.
"
4-4,"Billy Ray Cyrus is a country music singer, songwriter, actor, and philanthropist who popularized country music. Excuse My French is the name of a debut album by rapper French Montana, and also the name of a 2014 Egyptian comedy film directed by Amr Salama. The film is based on Salama's experiences with religious discrimination in an Egyptian middle school and faced censorship issues.
"
7-0,"During the campaign period of January 23rd to May 22nd, UKIP spent £2,956,737, while the Tories spent £2,980,815, and Labour spent £1,027,339. The Lib Dems spent £1,580,575. UKIP's spending was 68p per vote, Labour's was 26p, the Conservatives' was 79p, and the Lib Dems' was £1.45. The Green Party spent £534,249, which was 43p per vote. The six highest-spending parties, including the SNP at £267,372, spent a total of £9,347,087. All but Labour spent more than in the 2009 election.
"
7-1,"The passage announces casting and production details for a live-action film adaptation. An actress will play Mrs. Potts, a role voiced by Angela Lansbury in the animated version, and Kevin Kline will play Maurice. Emma Watson is cast as Belle, Dan Stevens as the Beast, and Luke Evans as Gaston. Josh Gad will play LeFou. Bill Condon will direct the film, which begins filming in May at Shepperton Studios and will be released in US cinemas on March 17, 2017.
"
7-2,"Dorothy Ann Willis Richards (1933-2006) was a Democratic politician who served as the 45th Governor of Texas from 1991 to 1995. She gained national recognition as the state treasurer of Texas and was known for her feminism and one-liners. The passage also mentions Ann Richards (1935-1982), an American jazz singer and wife of Stan Kenton.
"
7-4,"Anderson, a 27-year-old centre-back, left Barrow to join a rival National League team and may play against his former club on February 18th. Striker Keating, 21, was recommended to Gulls boss Kevin Nicholson and has played for several teams, with his move pending international clearance. Nicholson describes Anderson as a leader and Keating as hungry. The Gulls are currently four points above the relegation zone, having won only one of their last six games.
"
9-0,"Francis I (born December 8, 1708, died August 18, 1765) was Holy Roman Emperor and Grand Duke of Tuscany. Francis I (born September 12, 1494, died March 31, 1547) was the first King of France from the Angoulême branch of the House of Valois, reigning from 1515 until his death. He was known as ""Francis of the Large Nose"" and the ""Knight-King."" He formed a Franco-Ottoman alliance with Suleiman the Magnificent and engaged in the Italian War of 1536-1538 against Charles V.
"
9-1,"During the IndyCar Grand Prix of Louisiana, pit crew member Todd Phillips was injured when Francesco Dracone's car spun while exiting the pit box on lap 25, clipping Phillips' leg. Phillips received treatment for a cut on his leg and was released. Dracone did not finish the race, placing 23rd. Many cars struggled with traction due to rain.
"
9-2,"Widnes defeated Castleford in a match where they initially led 14-6 at halftime with tries from Leuluai, Ah Van, and Bridge. Flynn scored twice for Castleford, once in each half. Widnes extended their lead in the second half, but Castleford fought back with tries from Patrick, Gale, and Flynn, who completed a hat-trick. Despite the late surge, Widnes held on to win, moving above Wakefield in the standings, while Castleford remained in sixth place.
"
9-3,"Clarkson, 30, joined St Mirren and could debut against Alloa on Saturday. He previously played for Premiership Well and Dundee, and has almost 400 senior appearances at club level, including time with Bristol City, Brentford, and Bristol Rovers. He stated he is fit and ready to play. St Mirren is currently eighth in the Championship, ahead of Alloa.
"
9-4,"Boxer Amir Khan, from Bolton, spent a family day at a safari park in Northern California with his wife and daughter, where he posed with giraffes and sea lions and fed a white tiger. He also announced he will fight Chris Algieri on May 30, ending speculation about fighting Kell Brook.
"
16-0,"The Mayweather vs. Pacquiao fight is considered a significant event. The writer recalls the Sugar Ray Leonard vs. Roberto Duran fights, specifically the second fight where Leonard defeated Duran after Duran quit, saying ""no mas."" This was shocking as Duran was a celebrated warrior. Duran claimed stomach cramps, but his manager cited embarrassment as the reason. Duran later regained his status by winning a title in 1983. Leonard won their third fight, but took more pride in forcing Duran to quit in their second fight.
"
16-1,"Rory McIlroy believes he will win the Masters to complete a career grand slam, joining a select group of golfers. He considers his final-round collapse at Augusta in 2011 a pivotal learning experience. McIlroy aims to use the golf course as a sanctuary from the hype surrounding Augusta.
"
16-2,"Pablo Mandado and Ilze Zebolde, after quitting their restaurant jobs in Manchester, are cycling around the world with no set plans. They have been traveling for almost a year, covering nearly 7,000 miles through 16 countries, starting in London and heading through Europe into Turkey, Georgia, and Armenia. They live on less than 3 euros each per day by camping, using hosting websites, and relying on simple foods. They plan to continue into Asia and cycle the length of the American continent.
"
16-3,"Pablo Mandado and Ilze Zebolde, after quitting their restaurant jobs in Manchester, are cycling around the world with no set plans. They started in London and have traveled through 16 countries in 356 days, covering almost 7,000 miles. They live on less than three euros each per day by camping, using hosting websites, and relying on simple foods. They are currently in Armenia and plan to continue into Asia and eventually cycle the length of the American continent.
"
16-4,"A three-bedroom apartment in Knightsbridge, London, is on the market for £575,000, a bargain price due to the lease having only three years remaining. This equates to roughly £15,000 per month, similar to local rental rates. While the property requires modernization, extending the lease could increase its value to over £6 million. Another maisonette in the same location is on the market for £595,000, also with a short lease. Experts warn that extending the lease will be very expensive, potentially costing between £3.35 and £4.5 million for a 90-year extension.
"
6-0,"Sarah Storey, a 37-year-old British Paralympian, won a world title in Nottwil, Switzerland, finishing ahead of Anna Harkowska of Poland. This win brings her total to 21 world titles across cycling and swimming. Storey, who has 22 Paralympic medals (11 gold, 8 silver, and 3 bronze), is targeting the Rio de Janeiro Games. She previously won four golds at the 2012 London Games. Storey initially competed in swimming, winning six medals at the 1992 Paralympics, before switching to cycling in 2005. She has the opportunity to win a 17th title in Saturday's road race.
"
6-1,"Chris Eubank, born Christopher Livingstone Eubanks in 1966, is a British former professional boxer who competed from 1985 to 1998. Chris Eubank Jr., born Christopher Livingstone Eubank Jr. in 1989, is a British professional boxer who has held the IBO super-middleweight title since February 2017. He was also formerly the WBA interim middleweight title in 2015, and the British middleweight title in 2016. As of May 2017, Eubank Jr. is ranked among the world's best super middleweights and middleweights by BoxRec, The Ring magazine, and the Transnational Boxing Rankings Board.
"
