source_id,overview
13601,"Finch & Fork is a restaurant and bar located at 31 W Carrillo St in Santa Barbara, CA. It is categorized as Breakfast & Brunch, American (New and Traditional), and Nightlife. The business has an overall rating of 4.0 stars.

The restaurant's hours are Monday from 5:30 PM to 11:00 PM, Tuesday through Saturday from 5:00 PM to 9:00 PM, and Sunday from 9:00 AM to 2:00 PM. It accepts reservations, offers take-out, has free WiFi, and is considered good for groups. The ambiance is described as ""classy."" Parking options include garage, street, validated, and valet. Outdoor seating is not available.

According to customer reviews, the restaurant is located in a hotel lobby and is highly recommended for its Sunday brunch. Reviewers praise the ""bottomless brunch"" mimosas, which are offered in orange, grapefruit, and cranberry flavors. Specific dishes mentioned include the breakfast burrito, steak/eggs/frites, and eggs benedict. Service is described as good, fast, and hospitable. One review noted that the food was overpriced, while another found the menu inexpensive for the quality of the ambiance."
13603,"Tinker's Burgers is a restaurant located at 2275 Ortega Hill Rd, Ste C in Summerland, CA. It is categorized as a burger restaurant and has an overall business rating of 4.0 stars. The establishment is open daily from 11:00 to 17:00.

Key attributes include the availability of outdoor seating, takeout, and street parking. The restaurant is considered good for groups but does not take reservations and does not offer WiFi. The ambience is described as both ""divey"" and ""classy.""

Customer reviews offer varied perspectives. Positive reviews praise the food as ""excellent,"" with specific mentions of the Sourdough Bacon Cheeseburger, double cheeseburger, fries, freeze, and malt. One customer described the burgers as the ""best we've ever had"" and another called the restaurant a ""hidden gem."" A critical review, while stating the food was ""good, but not above average,"" cited an excessive wait time of approximately 30 minutes and poor service from a cashier when requesting extra ketchup. This review also mentioned the corn dog as a menu item."
13604,"Based on the data provided, Benchmark Eatery is a restaurant and bar located at 1201 State St in Santa Barbara, CA, with an overall rating of 4.0 stars. Its cuisine is categorized as American (Traditional and New), Breakfast & Brunch, Seafood, and Vegetarian. The establishment is closed on Mondays.

Key attributes include the availability of outdoor seating, free Wi-Fi, and takeout. The business is considered good for groups but does not take reservations. Parking is available via garage, street, and lot. The ambiance is described as both classy and casual.

Customer reviews offer varied feedback. Positive comments praise the flatbreads and burritos, and one customer described the venue as an ""upscale casual place."" Negative feedback from one review cited bland and unseasoned food (specifically a BLAT with chicken and a burger), an incorrect order, and inattentive service. This review also mentioned an unpleasant ""musty and mildewy"" smell inside, though noted the patio is nice. Another customer mentioned that the spiciness of the Spanish soup can be inconsistent."
13613,"Based on the data provided, Pizza Mizza is an Italian restaurant specializing in pizza and food delivery services in Santa Barbara, CA. It holds an overall rating of 3.5 stars. The business is open on Mondays and Sundays from 11:00 to 21:00. It offers a parking lot, outdoor seating, free WiFi, and accepts reservations. The ambiance is described as casual, and it is considered good for groups.

Customer reviews indicate that the business may currently be operating as a delivery-only service. The menu is extensive, featuring a wide variety of pizzas, pastas, and salads, with options for cauliflower and gluten-free crusts. Reviewers praise the food quality, with one calling it their ""favorite pizza in town"" and another noting fresh ingredients and a perfectly cooked crust. A positive delivery experience included extras like ranch dressing, plates, and peppers. However, one review criticizes past in-person customer service, citing very long wait times and inattentive staff, despite stating that the food itself was excellent."
13614,"Based on the data provided, Taffy's Pizza is a restaurant located at 2026 De La Vina St in Santa Barbara, CA. It has an overall business rating of 4.0 stars. The establishment is open Tuesday through Saturday from 11:00 AM to 9:00 PM and Sunday from 12:00 PM to 8:00 PM; it is closed on Mondays. Taffy's Pizza offers a casual ambience, accepts reservations, and is considered good for groups. Services include outdoor seating, free Wi-Fi, and take-out. Parking is available on the street and in a lot.

Customer reviews highlight several key points. Positive feedback mentions that the pizza is a favorite in town and that other menu items like bread sticks, salads, pastas, and sandwiches are also well-regarded. The business is noted for its large selection of toppings and excellent customer service, with one reviewer citing an instance where the staff made a custom salad that was not on the menu. The restaurant is described as family-friendly, featuring a small arcade room and children's books. It also has a large outdoor patio that has previously hosted events.

A negative review from a first-time customer states that the business refused to accept an ""axxess card"" and specifically advises against ordering the chicken piccata."
13619,"Goodland Kitchen is located at 231 S Magnolia Ave in Goleta, CA, and is categorized as a restaurant, American (New), and farmers market, among other services. The business has an overall rating of 3.5 stars. It is open Monday through Friday from 7:00 AM to 2:00 PM.

The establishment offers outdoor seating, takeout, and is considered good for groups. It does not accept reservations or provide WiFi. Parking is available on the street. The ambience is described as both classy and casual.

According to customer reviews, the business offers takeout with friendly and amazing service. Praised menu items include the chorizo, chips, and huge salads. One review from 2020 mentioned the business had recently reopened. A review from 2019 stated that the food was no longer as interesting as it once was, describing it as ""humdrum standard food"" and noting that the bread on a BLT seemed old. This review also mentioned that lunch specials were no longer offered and soup was unavailable."
13632,"Sam's To Go is a sandwich restaurant located at 315 Meigs Rd, Ste I in Santa Barbara, CA. It is categorized as American (New) and has an overall business rating of 4.5 stars. The restaurant is open Monday through Saturday from 10:00 to 21:00 and Sunday from 10:00 to 19:30. Amenities include a parking lot, outdoor seating, free WiFi, and takeout. The business does not take reservations but is considered good for groups.

Customer reviews highlight several aspects of the business. Positive feedback mentions delicious sandwiches with fresh bread and quality ingredients, specifically noting the #11 Italian cold cuts, #29 veggie sandwich, and the Pastrami Avocado and Cheese. Customers have described the staff as ""sweet,"" ""nice and funny,"" and providing ""excellent customer service."" One review warns that the medium-sized sandwiches are very large.

Conversely, a negative review from a returning customer expressed disappointment, stating that the quality of a turkey sandwich had declined, describing it as ""sloppily made"" and ""poorly wrapped."" This review also cited a poor customer experience, describing the man behind the counter as ""cantankerous"" with a ""bad attitude."""
13633,"Viva Modern Mexican is a restaurant and event space located at 1114 State St in Santa Barbara, CA. It has an overall rating of 3.5 stars. The establishment is categorized under various cuisines, including Mexican, Peruvian, Latin American, Seafood, and Tapas/Small Plates, and also functions as a bar, venue, and event space.

Key attributes include the availability of reservations, outdoor seating, free Wi-Fi, and takeout. The restaurant is considered good for groups and has a ""classy"" ambience. Parking is available in a garage and on the street.

Customer reviews offer mixed feedback. One review from August 2019 highly recommends the venue for events, praising the upstairs space, a ""delicious"" taco buffet for a party of 75, and the helpfulness of the Events Coordinator and staff. Another review from October 2019 praised the margarita flights and fresh salads, but also indicated the business may have closed. A negative review from September 2019 reported a case of severe food poisoning requiring ER treatment and an injury from a dropped plate."
13637,"Hollister Brewing Company is a brewpub and American (Traditional) restaurant located at 6980 Marketplace Dr in Goleta, CA. The business is categorized as a restaurant, brewery, and brewpub. It operates from 11:30 AM to 7:30 PM Monday through Thursday and on Sunday, and from 11:30 AM to 8:00 PM on Friday and Saturday.

The establishment offers a parking lot, accepts reservations, and has outdoor seating. It is considered good for groups and provides free Wi-Fi and takeout services. The ambience is described as both classy and casual.

Customer reviews offer mixed feedback. One positive review praised a new chef and menu, noting that old favorites were improved and specifically mentioning that the Korean chicken wings are now juicy and flavorful. This review also highlighted the on-site brewery, full bar, and house-made dressings. Conversely, other reviews reported negative experiences. One customer cited very slow service, stating they waited 30 minutes for their order to be taken. Another review expressed a preference for the old menu and alleged that staff, including a manager, were drinking on the job and ignoring guests."
13669,"Jeannine's American Bakery Restaurant, located at 7060 Hollister Ave, Ste 105 in Goleta, CA, is a 4.5-star establishment categorized under Bakeries, Restaurants, and Breakfast & Brunch. The business is closed on Mondays and open from Wednesday to Sunday, with hours from 7:30 AM to 1:30 PM on weekdays and until 2:00 PM on weekends. It offers a parking lot, outdoor seating, free WiFi, and takeout. The ambiance is described as ""classy.""

Customer reviews are mixed. Positive feedback highlights the excellent, attentive service, ambiance, and cute decor. The French toast is mentioned as delicious in multiple reviews, along with praise for the bacon, Avo toast, and eggs. One review commended the fresh OJ. A negative review expressed disappointment, citing that the coffee was ""not great,"" the chilequiles were the ""worst"" they'd ever had, and eggs were overcooked. This customer also found the fresh OJ and croissant to be unsatisfactory, though noted the French toast was the best item ordered."
