source_id,summary
14-0,"The passage describes a violent attack on the Sardar Daud hospital in Afghanistan, where militants armed with guns and grenades entered after detonating explosives at the gate. The attackers, claimed by the Islamic State (IS) group, opened fire on staff and patients. Commandos neutralized all four attackers after several hours of combat. The Taliban denied involvement. Over 50 people were wounded, according to the defense ministry. President Ashraf Ghani condemned the attack, emphasizing the sanctity of hospitals. The assault began at 09:00 local time and marked a shift in IS tactics, as it was the first direct engagement with security forces in the capital. Previously, IS targeted civilian gatherings and the Supreme Court. The attack suggests IS has increased resources and training, potentially leading to more assaults. IS has been active in Afghanistan since 2015, primarily in the east, but has struggled to expand its influence. The government claims to have removed IS from several bases but not from mountainous areas. The operation concluded with the death of all attackers, as confirmed by the interior ministry. The attack is part of a series of IS activities in Afghanistan and Pakistan, including previous attacks in Kabul and other regions. The Taliban also continues its own attacks, having initiated a Spring offensive."
14-1,"The passage discusses the Booker Prize shortlist, highlighting Mukherjee's ""The Lives of Others"" as a favorite to win, with the prize now open to all English-language authors regardless of nationality. The winner will be announced at London's Guildhall. The shortlist includes Howard Jacobson, Ali Smith, Joshua Ferris, Karen Joy Fowler, and Richard Flanagan. Jacobson, a former winner, is nominated for ""J,"" while Mukherjee's novel is set in 1960s Calcutta. Smith's ""How To Be Both"" features interlinking stories, and Ferris's ""To Rise Again at a Decent Hour"" explores atheism. Fowler's ""We Are All Completely Beside Ourselves"" is the best-selling shortlisted novel, and Flanagan's ""The Narrow Road to the Deep North"" is set during World War Two. The announcement of the shortlist caused a sales spike for the books. The judging panel is chaired by AC Grayling, and the ceremony will be covered by the BBC. The Booker Prize, now in its 46th year, awards £2,500 and a bound book to each shortlisted author."
14-2,"Mark Carney, the Governor of the Bank of England, announced a decision to extend his term by one year, surprising many who expected him to either stay until 2021 or leave in 2018 as originally planned. This decision was influenced by personal reasons, particularly his family's educational needs in Canada. Carney's daughters were nearing the completion of their A-levels and GCSEs in 2018, prompting his choice to return home. Despite speculation about political pressure or disillusionment with the UK's economic outlook post-Brexit, Carney emphasized that his decision was personal and not influenced by government policy or criticism of the Bank's economic forecasts. He acknowledged the importance of his role and his commitment to it, but felt unable to extend beyond 2019 due to his family's plans. Theresa May, the Prime Minister, respected his decision, and Carney believed that leaving in 2019 would allow a new Governor to handle the UK's economic future post-Brexit."
14-3,"The passage discusses the life and career of Adrian Gill, a columnist for the Sunday Times, who passed away after being diagnosed with multiple cancers. Gill, known for his wit and fearless writing, was described by colleagues as a ""giant among journalists"" and the ""heart and soul"" of the paper. Despite his illness, he remained stoic and expressed gratitude for his life. His final column, reflecting on his diagnosis, was published in the Sunday Times. Tributes from colleagues highlighted his unique style and impact on journalism. Gill's career was marked by controversy due to his provocative writing, which often sparked outrage. He overcame dyslexia to become a successful writer, starting in the 1980s with art reviews. Gill was married twice, first to author Cressida Connolly and then to Amber Rudd, with whom he had two children. He was engaged to his partner of 23 years, Nicola Formby, at the time of his death. His writing style and contributions to journalism were widely recognized and celebrated by peers."
14-4,"The passage describes various groups involved in cyber warfare related to the Ukraine conflict. The Ukrainian Cyber Troops, led by Yevhen Dokukin, are known for hacking Russian servers and monitoring rebel activities in Ukraine. They use distributed denial-of-service (DDoS) attacks to disrupt rebel websites and funding. Dokukin claims to have provided hacked data to Ukraine's security services, which allegedly use it for military purposes, though officials deny this.

On the opposing side, Cyber Berkut, an anti-Western group, aims to thwart Ukraine's military plans. They hacked Ukrainian government websites during a US Vice-President's visit and claim to have disrupted Ukraine's electronic vote-counting systems. They also allegedly leaked documents suggesting Ukrainian involvement in the downing of Malaysia Airlines flight MH17.

Anonymous International, known as b0ltay or Shaltay Boltay, publishes leaked documents from the Kremlin and focuses on Russia's domestic affairs, occasionally covering Ukraine. Their website is blocked in Russia. The passage highlights the complex and ongoing cyber warfare dynamics in the Ukraine conflict."
5-0,"The passage describes James Milner, a former Manchester City player, who earned 61 caps for the England national team after his senior debut in 2009. He participated in two World Cups and two European Championships, playing only three minutes at Euro 2016. Milner holds the record for the most caps for the England Under-21 team, with 46 appearances starting in 2004. He scored his sole international goal in a 5-0 win over Moldova during the 2014 FIFA World Cup qualifiers. Milner expressed his well-wishes for success to Sam Allardyce, the players, staff, and supporters, citing a decision based on common sense."
5-1,"Brad Wilk is a drummer known for his work with the rock bands Rage Against the Machine (1991–2000, 2007–2011) and Audioslave (2001–2007). He began his career with the band Greta in 1990 and co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in August 1991. As of 2016, he is a member of Prophets of Rage, alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage incorrectly states that Rage Against the Machine is a German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner; this information does not pertain to Rage Against the Machine."
5-2,"Gary Locke, the interim manager of Kilmarnock, has been appointed as the permanent manager after signing a three-year contract. He initially joined the club as an assistant to Allan Johnston last summer and took over as manager when Johnston left at the start of February. Since assuming control, Locke has lost only once in seven games. Locke, aged 41, is set to speak at a press conference on Friday morning. He signed the deal with chairman Jim Mann at the club."
5-3,"The passage provides information about Rupert Murdoch and his family. Rupert Murdoch is the current chairman and acting CEO of Fox News. His son, James Rupert Jacob Murdoch, born on December 13, 1972, is an Australian, British, and American businessman. James is the younger son of Rupert Murdoch, who is the CEO of 21st Century Fox and chairman of Sky plc. Rupert Murdoch had full control as Chairman and CEO of News Corporation, the world's second-largest media conglomerate, and its successors, News Corp and 21st Century Fox, following the conglomerate's split on June 28, 2013."
15-0,"Veteran actor Robert Hardy is auctioning his extensive collection of antiques for £100,000 as he downsizes his home. Known for roles in ""All Creatures Great and Small"" and as Winston Churchill, Hardy is selling over 200 items, including a diorama of the Battle of Agincourt, early Victorian furniture, a longbow, and various paintings, swords, and chandeliers. The auction, conducted by Dominic Winter Auctioneers in Gloucestershire, features 238 lots, including books dating back to the 17th century. Hardy, an 89-year-old military historian and expert on the medieval longbow, studied English with J.R.R. Tolkien and has published books on the longbow's history. Despite retiring from stage acting due to a fall, Hardy plans to continue television work. He expressed sadness over parting with his collection but hopes new owners will find joy in it."
