source_id,summary
15599,"Blue Bell ice cream has temporarily shut down its manufacturing plant in Broken Arrow, Oklahoma, due to listeria contamination found in a serving of ice cream from that facility. Public health officials have advised consumers not to eat any Blue Bell-branded products made at this plant, specifically 3-ounce servings marked with the letters O, P, Q, R, S, or T behind the coding date. The Centers for Disease Control and Prevention (CDC) has not extended this warning to other Blue Bell products not made at the plant, but Blue Bell has recalled additional products as a precaution. This is the third action Blue Bell has taken in response to a listeria outbreak linked to its ice cream at a Kansas hospital. Listeria monocytogenes was found in a cup of ice cream from the Broken Arrow plant produced in April 2014, and genetic analysis showed a match between the bacteria in the hospital sample and the factory sample, though not identical to samples from patients in the Kansas outbreak. In a separate Texas outbreak, listeria samples from patients matched those from recovered samples of Blue Bell ice cream. The CDC is investigating whether these illnesses are related to Blue Bell products. In early March, Blue Bell recalled products made at a Texas plant due to the Kansas outbreak, later adding 3-ounce cup servings to the recall. Five people in Kansas were infected, with three fatalities, and at least four had consumed milkshakes made with Blue Bell ice cream. Blue Bell CEO Paul Kruse expressed devastation and commitment to improving quality and safety. The CDC advises checking freezers for recalled products and disposing of them. This is the first product recall in Blue Bell's 108-year history. Listeriosis, caused by listeria, is a serious infection affecting vulnerable populations, with symptoms including fever and muscle aches. In the U.S., it causes approximately 1,600 serious illnesses annually, with a 16% fatality rate."
15601,"The passage discusses the fallout from a flawed article published by Rolling Stone about a purported gang rape at the University of Virginia. An external review by Columbia Journalism School professors identified failures in reporting, editing, editorial supervision, and fact-checking at Rolling Stone. The magazine's managing editor, Will Dana, apologized to readers and those affected, including the Phi Kappa Psi fraternity and UVA administrators and students.

The passage then explores the potential for defamation lawsuits by UVA, Phi Kappa Psi, or other fraternities. It explains that defamation requires a false and defamatory statement with the requisite intent. Public figures face a higher burden of proof in defamation cases than private individuals. UVA, as a public university, cannot sue for defamation. The passage discusses the challenges for fraternities, which are groups, to sue for defamation, noting that statements about a group generally do not allow individual members to sue unless the group is small and the statement can be imputed to all members. Phi Kappa Psi might argue that the ""small group"" exception applies, but Rolling Stone could counter that the fraternity's membership is too large and fluid for individualized injury.

The passage concludes by noting that defamation suits are rare and typically require proof of financial harm, making the UVA case unique but potentially viable if the fraternity members can demonstrate tangible damages."
15604,"The passage discusses the author's perspective on Rand Paul's presidential campaign announcement. The author, who became the first woman and person of color elected to the Kentucky State Senate in 1967, criticizes Paul for attempting to launch his campaign on a platform that includes questioning voting and civil rights legislation. Despite Paul's claim of wanting to ""expand the Republican Party"" and appeal to minority communities, the author argues that his policies do not support this message. Paul's positions, such as opposing the Civil Rights Act, wanting to eliminate the Department of Education, limiting women's choices, and opposing protections for DREAMers, are highlighted as evidence of his lack of commitment to minority issues. The author also criticizes Paul for his dismissive remarks about the need for a robust Voting Rights Act and his condescending behavior at historically black colleges and universities. The author concludes that Paul's views are outdated and disqualifying for a presidential candidate, emphasizing the need for a leader who respects progress and democracy."
15613,"Mary Kay Letourneau Fualaau and Vili Fualaau, who began an affair in 1996 when she was a 34-year-old teacher and he was her 13-year-old student, are now happily married. Letourneau served over seven years in prison for their relationship and gave birth to Fualaau's child. They married in 2005 after her release and are celebrating their 10th wedding anniversary. They have two teenage daughters. In an upcoming ""20/20"" interview, Letourneau Fualaau discusses what makes their marriage work despite their age difference, her plans to teach again, and her desire to have her sex offender status lifted. Fualaau shares his struggles with alcoholism and depression and his belief that the system failed him as a minor. Letourneau Fualaau is now 53, and Fualaau is 31."
15616,"Kanye West settled a lawsuit with paparazzi photographer Daniel Ramos, whom he assaulted in July 2013 at Los Angeles International Airport. West had pleaded no contest to a misdemeanor battery charge for the incident, resulting in two years' probation, anger management sessions, and community service. Ramos's civil suit sought damages for interference with his lawful occupation. The case was dismissed after settlement, which included an apology from West to Ramos. The settlement details were not disclosed, but a statement from Ramos's lawyer, Gloria Allred, highlighted the apology and a handshake between West and Ramos. The incident was captured on video, showing West attempting to wrestle the camera from Ramos. Allred emphasized that the case underscored that celebrities are not above the law. Additionally, West had previously settled a separate assault accusation from January 2014."
15617,"B.B. King, the blues legend, was hospitalized for dehydration caused by his Type II diabetes but recovered quickly. His daughter, Claudette King, confirmed his improvement, and he expressed gratitude for the concern shown by fans. King left the hospital and returned home to rest and spend time with his grandchildren. Despite his condition, he remained committed to his fans, as noted by his publicist, Angela Moore. Details about his hospitalization location were not disclosed. B.B. King, known as the ""King of the Blues,"" was inducted into the Rock and Roll Hall of Fame in 1987 and has 30 Grammy nominations. He is 89 years old and has famously used Gibson guitars named Lucille. Some of his notable songs include ""The Thrill Is Gone,"" ""There Must be a Better World Somewhere,"" and ""When Love Comes to Town"" with U2. Last year, he had to cancel a tour due to dehydration and exhaustion after a Chicago show."
15623,"Chris Copeland of the Indiana Pacers was stabbed after leaving a nightclub in New York's Chelsea neighborhood early Wednesday. The incident occurred in front of the Fulton Houses, not at the club, 1OAK, where Copeland and his companion, Katrine Saltara, had been for about 10 minutes. The suspect, a 22-year-old Brooklyn man, stabbed Copeland and Saltara, and a knife was recovered. Copeland suffered a knife wound to his left elbow and abdomen, while Saltara was slashed on her arm, breast, and buttock. Another woman was also slashed in the stomach. The suspect was arrested after Copeland's driver attempted to detain him.

Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, who had just finished a game in Atlanta, were arrested on charges of obstruction and disorderly conduct after they tried to assist Copeland and were seen pushing through a crowd. They were not involved in the stabbing. The Hawks' team released a statement contesting the charges and apologizing for any negative attention caused. The Pacers and NBA are investigating the incident, and Copeland is in stable condition at a New York hospital. The Hawks are preparing for a playoff game against the Brooklyn Nets, with neither Antic nor Sefolosha expected to play. The incident was reported by local media, and police released limited information."
15627,"The passage discusses the creation of a hologram-like figure of Tejano star Selena, who died 20 years ago. Her family is developing a ""walking, talking, singing, and dancing digital embodiment"" of her, using technology from Acrovirt LLC. This project, named ""Selena the One,"" aims to allow new fans to experience Selena's persona. Suzette Quintanilla, Selena's sister, emphasized that this is not meant to replace Selena but to continue her legacy. The technology will enable the digital figure to autonomously learn and react. Selena will be the first to use this technology, and the project includes plans for new music releases, collaborations, and a 2018 tour. The family is also launching an Indiegogo campaign to support the project, with a commemorative event scheduled in Corpus Christi, Texas. The passage notes that Selena remains popular, with a significant online following. This initiative follows similar virtual performances by Michael Jackson and Tupac Shakur."
15628,"Alaska Airlines Flight 448, en route from Seattle-Tacoma International Airport to Los Angeles, had to make an emergency landing after the pilot heard unusual banging from the cargo hold. The noise was caused by a ramp agent from Menzies Aviation, a contractor for Alaska Airlines, who had fallen asleep in the pressurized and temperature-controlled cargo hold. The plane was airborne for only 14 minutes before the incident was discovered. Passengers heard the banging and subsequent screams for help, prompting a federal air marshal to respond by banging back and warning of the impending landing. The plane safely returned to Seattle, where emergency services surrounded it upon landing. The ramp agent was taken to a hospital as a precaution, passed a drug test, and was discharged. He had started his shift at 5 a.m. and was believed to have gone home before the flight departed. Alaska Airlines is investigating the incident, noting that all ramp employees undergo security checks and have badges. The flight eventually reached Los Angeles later that evening."
15634,"The passage discusses the citizenship status of Emy Afalava, a decorated veteran born in American Samoa, a U.S. territory. Despite being subject to American law his entire life, Afalava has been denied the right to vote because the federal government does not recognize him as a citizen. This situation contradicts the Fourteenth Amendment, which states that all persons born in the U.S. and subject to its jurisdiction are citizens. The passage highlights the historical context of racial discrimination in U.S. citizenship laws, referencing the Dred Scott case and the case of Isabel Gonzalez, a Puerto Rican woman denied entry to the mainland in 1904. The Supreme Court's past decisions have allowed for racial discrimination, particularly in territories like Puerto Rico and American Samoa. Afalava and other American Samoans are challenging this in a federal lawsuit, seeking recognition as U.S. citizens. The passage argues that it is time to end this injustice, as residents of other U.S. territories have already gained citizenship."
