source_id,qa_response
14300,"Based solely on the provided passages, automotive technicians get paid through:

1.  **Hourly rates:** Passages 2 and 3 explicitly mention hourly pay (e.g., ""$23.70 per hour"", ""hourly... pay rates"").
2.  **Commission-based pay:** Passages 1 and 3 explicitly mention payment via commission (e.g., ""how they are paid (commission or not)"", ""commission pay rates"").
3.  **Combinations of hourly and commission:** Passage 3 states there are ""various combinations of hourly and commission pay rates"".
4.  **Flat-rate or flag-rate systems:** Passage 1 specifically mentions mechanics and technicians paid on a ""flat-rate or flag-rate"" basis, which is a commission system based on completing jobs within a set time standard."
14323,"Based solely on the provided passages, **it is not possible to answer how to grill a porterhouse steak**.

Here's why:

1.  **Passage 1 & 2** only describe how to **set up a grill** (charcoal or gas) for three-zone grilling. They detail arranging coals and preparing the grill grate (cleaning and lubricating).
2.  **Passage 3** only describes **what a porterhouse steak is** (containing both a NY Strip and a Filet separated by a bone) and its qualities. It contains **no instructions** on how to cook it.

The passages provide **zero information** on the actual grilling process for a porterhouse steak, such as seasoning, cooking time, temperature, flipping, or determining doneness. They only cover grill setup and a definition of the cut."
14353,"Based solely on the provided passages, here is how to fold a quilt:

1.  **Lay your quilt on a bed, table, or other flat surface.** (Passage 2, Step 1)
2.  **Fold the lower right corner up toward the center of the quilt, making sure the fold is on the bias.** (Passage 2, Step 2)
3.  **Fold the lower left corner up toward the center of the quilt, making sure the fold is on the bias.** (Passage 3, Step 3)
4.  **Fold the top left corner down toward the center of the quilt, making sure the fold is on the bias.** (Passage 3, Step 4)
5.  **Fold the top right corner down toward the center of the quilt, making sure the fold is on the bias.** (Passage 3, Step 5)"
14355,"Based solely on the provided passages, the benefits of a water pick (Water Pik) are:

1.  **Eliminates germs and plaque:** It shoots a strong stream of water at the gum line to remove germs and plaque difficult to remove with a toothbrush (Passage 1).
2.  **Massages and stimulates soft tissue:** This helps reduce the risk of gingivitis (Passage 3).
3.  **Cleans better around teeth and gums:** It removes food from areas that brushing cannot access (Passage 3).
4.  **Contributes to overall body health:** It helps keep your teeth, gums, mouth, and overall body healthier (Passage 1)."
14360,"Based solely on the provided passages:

1.  **Open the Windows Settings app** (Passage 2, Step 1: Open Start menu > click Settings icon, or use Windows + I).
2.  **Click ""System""** (Passage 2, Step 2).
3.  **Click ""Default apps""** in the left pane (Passage 2, Step 3).
4.  **Scroll to the ""Web browser"" section** on the right side (Passage 2, Step 4).
5.  **Click the current browser entry** (e.g., Edge) and **select your desired browser** (e.g., Google Chrome) from the list that appears to set it as default (Passage 2, Step 5).

**Alternatively, for Firefox specifically** (Passage 3):
1.  **Open Firefox**.
2.  **Click the Firefox menu button** (three horizontal lines).
3.  **Select ""Options""** (Passage 3, Step 3). *(Note: Passage 3 does not provide the subsequent steps within the Options menu to complete setting it as default in Windows).*"
14366,"Based strictly on the provided passages, the proper ways to dispose of a worn USA flag are:

1.  **Remove the blue field, burn it peacefully, bury the ashes, and put the rest out for collection** (Passage 1).
2.  **Burn the entire flag yourself in a proper ceremony, folding it in the customary triangle fold first** (Passage 3)."
14375,"Based strictly on the provided passages, the steps to cook brats are:

1.  **Prick the bratwurst** with a fork (Passage 2).
2.  **Simmer the bratwurst in a liquid mixture** (beer, onions, and sometimes butter or seasonings) for 15-20 minutes (Passage 1, Passage 2).
3.  **Preheat a grill** to medium-high heat and lightly oil the grate (Passage 1, Passage 2).
4.  **Remove the bratwurst from the liquid mixture and grill** for 5-14 minutes, turning occasionally, until browned (Passage 1, Passage 2)."
14390,"Based strictly on the provided passages, here is the information on symptoms and causes of IBS:

**Causes:**
*   The exact cause of irritable bowel syndrome is unknown (Passage 1 & 2).
*   It is thought to result from a combination of factors, including:
    *   Abnormal gastrointestinal (GI) tract movements (too fast, too slow, or too strong) (Passage 1 & 2).
    *   Increased awareness of bodily functions / Hypersensitivity to pain from a full bowel or gas (Passage 1 & 2).
    *   A disruption in the communication between the brain and the GI tract / Abnormal nervous system signals (Passage 1 & 2).
    *   Food intolerances / sensitivities, possibly caused by poor absorption of sugars or acids in food (Passage 2).

**Symptoms:**
*   Symptoms can include (Passage 3):
    *   Diarrhea (often described as violent episodes).
    *   Constipation.
    *   Constipation alternating with diarrhea.
    *   Belly pains or cramps, usually in the lower half of the belly, that get worse after meals and feel better after a bowel movement.
    *   A lot of gas or bloating."
14392,"Based solely on the provided passages:

- **Essential amino acids** cannot be made by the body and must be obtained from the diet (Passage 3). For adults, these are valine, isoleucine, leucine, lysine, methionine, phenylalanine, threonine, and tryptophan (Passage 1). Histidine is essential only for infants (Passage 1).  
- **Nonessential amino acids** can be made by the body from essential amino acids or by breaking down protein products, so they are not required in the diet (Passages 2 and 3). Examples include alanine, asparagine, aspartic acid, glutamic acid, arginine, cysteine, glutamine, glycine, ornithine, proline, serine, and tyrosine (Passage 2).  

**Difference**: Essential amino acids must be sourced from food because the body cannot synthesize them, while nonessential amino acids can be synthesized by the body and do not need to be consumed directly."
14394,"Based solely on the provided passages, the typical weather in Indiana (specifically Indianapolis) includes:

1.  **Summers:** Long, warm, humid, and wet.
2.  **Winters:** Chilly and windy, with snowfall.
3.  **Year-round:** Partly cloudy.
4.  **Temperature range:** Typically varies from 22°F to 85°F throughout the year."
