source_id,summary
15599,"Blue Bell Creameries temporarily shut down its Broken Arrow, Oklahoma plant after listeria contamination was found in ice cream produced there. The CDC warned consumers not to eat Blue Bell products from this plant, specifically 3-ounce servings marked with letters O through T. This follows a listeria outbreak linked to a Kansas hospital where contaminated ice cream cups from the plant were recovered. Genetic testing showed a match between bacteria in the hospital and plant samples, though not identical to patient samples from the Kansas outbreak. A separate Texas outbreak showed a match between patient and product samples. Blue Bell recalled products from its Texas plant earlier and added 3-ounce cups to the recall. Five people were infected and three died in Kansas, with most having consumed Blue Bell milkshakes. The CDC continues investigating links between illnesses and Blue Bell products. This is Blue Bell’s first recall in its 108-year history. Listeriosis is a serious infection primarily affecting vulnerable populations, with significant illness and death rates annually in the U.S. Blue Bell’s CEO expressed deep concern and commitment to safety. The CDC advises discarding recalled products."
15601,"A Columbia Journalism School review found Rolling Stone's article on a purported UVA gang rape deeply flawed due to failures in reporting, editing, supervision, and fact-checking. The magazine apologized to readers and those harmed, including the Phi Kappa Psi fraternity and UVA community. Legal analysis indicates UVA, as a public university, cannot sue for defamation since government entities lack such cause of action. Fraternities face challenges suing because defamation claims require statements to be ""of or concerning"" the plaintiff; groups generally cannot sue unless the defamatory statements target a small, identifiable group. Phi Kappa Psi may argue it fits this exception, while Rolling Stone might contend the fraternity's size and changing membership negate individualized injury. Other fraternities not implicated have an even weaker case. Defamation suits require proving false, damaging statements and financial harm, making successful cases rare. If fraternity members overcome these hurdles and demonstrate damages, this could be a rare successful defamation lawsuit."
15604,"The author, the first woman and person of color elected to the Kentucky State Senate in 1967, criticizes Rand Paul's presidential campaign for claiming to promote inclusion while opposing key civil rights and voting rights protections. Despite Paul's attempts to brand himself as a minority outreach Republican, his record shows opposition to the Civil Rights Act, the Department of Education, women's reproductive choices, and protections for DREAMers. His dismissive remarks about voting rights and condescending behavior at historically black colleges reveal a lack of genuine commitment to minority issues. The author argues that Paul's views are outdated and harmful, contrasting them with President Obama's call to protect voting rights and expand democracy. Ultimately, she asserts that America deserves a leader who respects progress and the intelligence of its people, which she believes Rand Paul does not."
15613,"Mary Kay Letourneau, a former teacher who had an affair with her 13-year-old student Vili Fualaau in 1996, served over seven years in prison for their relationship. They married in 2005 after her release and are now happily together with two teenage daughters, celebrating their 10th anniversary. In an upcoming ABC ""20/20"" interview, they discuss their marriage despite their age difference, her plans to teach again and seek removal of her sex offender status, and Vili's struggles with alcoholism, depression, and his views on the system's failure. Letourneau is 53, and Vili is 31."
15616,"Kanye West settled a civil lawsuit with paparazzi photographer Daniel Ramos, whom he assaulted in July 2013 at Los Angeles International Airport. West had pleaded no contest to misdemeanor battery, receiving probation, anger management, and community service. The lawsuit, seeking damages for interference with Ramos's lawful work, was dismissed after the parties reached a settlement that included West's apology. The incident, captured on video, showed West attacking Ramos and trying to seize his camera. Ramos's lawyer emphasized that the case underscored that celebrities are not above the law. West had previously settled a separate assault claim from January 2014."
15617,"Blues legend B.B. King, aged 89, was hospitalized for dehydration caused by his Type II diabetes but has since recovered and returned home to rest with his grandchildren. His daughter Claudette King and publicist Angela Moore confirmed his improved condition. King, known as the ""King of the Blues,"" was inducted into the Rock and Roll Hall of Fame in 1987 and has 30 Grammy nominations. He is famous for hits like ""The Thrill Is Gone"" and his signature Gibson guitar named Lucille. Last year, he also experienced dehydration and exhaustion, leading to tour cancellations."
15623,"Indiana Pacers player Chris Copeland was stabbed early Wednesday near a New York nightclub after leaving with a female companion, Katrine Saltara. The stabbing occurred outside the club 1OAK, near the Fulton Houses, not on club premises. Copeland suffered knife wounds to his left elbow and abdomen and is in stable condition; Saltara and another woman were also injured. A 22-year-old suspect was arrested. Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, who had played a game earlier that night, were arrested for obstruction and disorderly conduct after trying to check on Copeland and interfering with police, though they were not involved in the stabbing. Both Hawks players will not play in their upcoming game. The incident led to the immediate closure of the club, and investigations by the NBA and involved teams are ongoing."
15627,"Selena's family is creating a digital hologram called ""Selena the One,"" a walking, talking, singing, and dancing virtual embodiment of the late Tejano star, using advanced technology by Acrovirt LLC. This project aims to introduce Selena to new fans and continue her legacy without replacing her. The hologram will release new music, collaborate with current artists, and plans to tour in 2018. An Indiegogo campaign launching April 16 seeks $500,000 to support the project. The initiative coincides with the Fiesta de la Flor tribute event in Corpus Christi, Texas, on April 17-18."
15628,"An Alaska Airlines flight from Seattle to Los Angeles made an emergency return shortly after takeoff when banging noises were heard from the cargo hold. The source was a Menzies Aviation ramp agent who had fallen asleep inside the pressurized, temperature-controlled cargo area. Passengers heard pounding and faint cries for help, prompting a federal air marshal to respond. The plane landed safely within minutes, surrounded by emergency responders. The ramp agent was unharmed, passed a drug test, and was hospitalized as a precaution. His absence had gone unnoticed until a pre-departure check. Alaska Airlines is investigating the incident; all ramp staff undergo background checks and carry security badges. The flight eventually continued to Los Angeles with 170 passengers and six crew."
15634,"Emy Afalava, born in American Samoa—a U.S. territory since 1900—is a decorated American veteran who has been denied U.S. citizenship and voting rights despite the Fourteenth Amendment granting citizenship to all born on U.S. soil. This denial reflects a historical pattern of racial discrimination in Supreme Court rulings, including the Dred Scott case and the early 20th-century Gonzalez case involving Puerto Rican citizenship. While other U.S. island territories' inhabitants have gained citizenship over the past century, American Samoans remain the last group awaiting full citizenship rights. Afalava and others are challenging this injustice in a federal lawsuit, seeking to rectify a long-standing constitutional and civil rights issue."
