source_id,summary
14-0,"# Summary of Hospital Attack in Afghanistan

Islamic State militants attacked Sardar Daud hospital in Kabul using explosives, guns, and grenades. Four attackers, who gained entry after detonating explosives at a gate, were killed by commandos after several hours of fighting. The attack resulted in multiple casualties with over 50 wounded. President Ashraf Ghani condemned the attack as trampling ""all human values."" 

This marks a tactical shift for IS in Afghanistan, as they directly engaged security forces in Kabul rather than targeting civilian gatherings. Despite government claims of rooting out IS from bases in eastern Afghanistan, the group has continued to carry out significant attacks, including a July 2016 suicide bombing that killed about 80 people and a Supreme Court attack the previous month killing 22. The Taliban denied involvement in this hospital attack."
14-1,"# Booker Prize 2014 Summary

Neel Mukherjee's ""The Lives Of Others,"" set in 1960s Calcutta, is the 5/2 favorite to win the 2014 Booker Prize. This marks the first year the prize is open to all English-language authors regardless of nationality. The shortlist includes three British writers (Howard Jacobson for ""J,"" Ali Smith for ""How To Be Both""), two Americans (Joshua Ferris for ""To Rise Again at a Decent Hour,"" Karen Joy Fowler for ""We Are All Completely Beside Ourselves""), and Australian Richard Flanagan for ""The Narrow Road to the Deep North.""

Fowler's novel is the bestseller among nominees with over 55,000 copies sold. The shortlist announcement boosted sales for all nominated books. The winner will receive £2,500 and a special edition of their book, with the announcement coming at London's Guildhall. This is the prize's 46th year, with judging chaired by AC Grayling."
14-2,"# Summary of Mark Carney's Bank of England Term Extension

Mark Carney, Governor of the Bank of England, surprised many by announcing a one-year extension to his term rather than either leaving in 2018 as originally planned or extending to 2021. This decision was primarily driven by family considerations. With two daughters finishing important educational milestones in 2018, his family planned to return to Canada that year. While Carney recognized the professional challenge of leaving during Brexit negotiations, he felt a one-year extension until 2019 would allow him to see through the Article 50 process while still accommodating his family's needs. He emphasized this was ""an entirely personal decision"" not reflecting any tension with Prime Minister Theresa May or reaction to criticism of the Bank's Brexit forecasts."
14-3,"# Summary of Adrian Gill's Death and Career

Adrian Gill, a prominent Sunday Times columnist, died after being diagnosed with what he called ""the full English"" of cancers. Known for his distinctive writing style, Gill was described by Sunday Times editor Martin Ivens as ""a giant among journalists"" and ""the heart and soul"" of the paper he joined in 1993.

Gill was renowned for his dazzling, fearless writing and for dictating his copy over the telephone due to his dyslexia. While highly respected for his eloquence, his career was marked by controversy, including offensive comments about Wales, Norfolk, and the Isle of Man, and a censured review of Clare Balding.

Born in Edinburgh in 1954, Gill overcame dyslexia to become a writer, starting with art reviews before joining Tatler and then the Sunday Times. He was previously married to Cressida Connolly and later to current Home Secretary Amber Rudd, with whom he had two children. Before his death, he became engaged to his partner of 23 years, Nicola Formby, with whom he had twins."
14-4,"# Summary of Cyber Warfare in Ukraine-Russia Conflict

The passage describes key hacker groups involved in the Ukraine-Russia conflict:

1. **Ukrainian Cyber Troops**: Led by Yevhen Dokukin, they hack Russian servers, conduct DDoS attacks against rebel websites, disrupt separatist funding, hijack CCTV systems, and remotely print pro-Ukrainian messages. They've leaked data suggesting Russian military involvement in Ukraine.

2. **Cyber Berkut**: A pro-Russian group that targets Ukrainian government websites, hacks electronic billboards, claims to have disrupted election systems, and leaks alleged Ukrainian defense data. They use anti-Western rhetoric similar to Russian state media.

3. **Anonymous International**: A Russian activist group that publishes leaked Kremlin documents, including materials about Ukraine that contradict official Russian narratives.

While Ukrainian hackers claim to provide information to Ukrainian authorities, officials deny using hacker-obtained data for military operations."
5-0,"# Summary

James Milner, a 30-year-old former Manchester City player, has retired from international football after earning 61 caps for England since his 2009 debut. He participated in four major tournaments (two World Cups and two Euros) but played minimally at Euro 2016. Upon retiring, he wished success to manager Sam Allardyce and the England team. Milner also holds the record for most England Under-21 appearances with 46 caps and scored his only international goal against Moldova during 2014 World Cup qualifying."
5-1,"Brad Wilk is a drummer who is most recognized for his work with Rage Against the Machine (1991-2000; 2007-11) and Audioslave (2001-07). His career began with the band Greta in 1990, and he co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in August 1991. As of 2016, he plays in Prophets of Rage alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also mentions that Rage is a separate German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"# Summary

Gary Locke has been appointed permanent manager of Kilmarnock on a three-year contract after serving as interim manager. Previously Hearts boss, Locke initially joined Kilmarnock as assistant to Allan Johnston last summer before taking control when Johnston left in early February. The 41-year-old has performed well as interim manager, losing only once in seven games. He will speak at a press conference on Friday morning and has already met with chairman Jim Mann to finalize the deal."
5-3,"# Summary

Rupert Murdoch is the current chairman and acting CEO of Fox News. His son, James Rupert Jacob Murdoch (born December 13, 1972), is an Australian, British, and American businessman who serves as CEO of 21st Century Fox and chairman of Sky plc. Rupert Murdoch previously had full control as Chairman and CEO of News Corporation, which was the world's second-largest media conglomerate before splitting into News Corp and 21st Century Fox on June 28, 2013."
15-0,"# Robert Hardy Selling Antique Collection

Veteran actor Robert Hardy, 89, is auctioning over 200 antique items worth approximately £100,000 after deciding to downsize his home. The collection includes:

- A hand-painted limewood diorama of the Battle of Agincourt (estimated £4,000-£6,000)
- A yew longbow with mother-of-pearl handle
- Paintings, furniture, swords, flintlock rifles, silverware, crystal chandeliers
- Rare books dating back to the 17th century

Hardy, known for roles in ""All Creatures Great and Small"" and as Winston Churchill in multiple productions, is a military historian and medieval longbow expert who studied English under J.R.R. Tolkien at Oxford. Though sad about selling his collection, he hopes the new owners will enjoy the items as much as he has. The auction will take place at Dominic Winter Auctioneers in Gloucestershire. Hardy continues to do television work despite retiring from stage acting two years ago following an injury."
