source_id,qa_response
14300,"Based on the provided passages, automotive technicians are paid using a variety of compensation methods, including various combinations of hourly rates and commission pay rates. Some technicians may also be paid on a flat-rate or flag-rate basis."
14323,"Based on the provided passages:

To prepare for grilling, set up a three-zone grill. For a charcoal grill, dump lit coals, spread them into a double layer on one side, a single layer in the center, and leave the closest section coal-free. Replace the grate. For a gas grill, set it up for three-zone grilling. Once the grate is hot, clean it with a grill brush and lubricate it with oil using a grill oiler or a folded paper towel dipped in vegetable oil. The passages describe the porterhouse as two steaks in one (NY Strip and filet) with a bone for flavor, but do not provide specific instructions on the actual cooking of the steak itself."
14353,"Based on the provided passages:

1.  Lay the quilt on a flat surface like a bed or table.
2.  Fold the lower right corner up toward the center of the quilt, ensuring the fold is on the bias.
3.  Fold the lower left corner up toward the center of the quilt, ensuring the fold is on the bias.
4.  Fold the top left corner down toward the center of the quilt, ensuring the fold is on the bias.
5.  Fold the top right corner down toward the center of the quilt, ensuring the fold is on the bias."
14355,"Based on the provided passages, the benefits of a water pick include:

*   Helping to keep teeth, gums, mouth, and overall body healthier.
*   Eliminating germs and plaque, especially those tough to remove with a toothbrush, by shooting water at the gum line.
*   Maintaining good oral health.
*   Massaging and stimulating soft tissue in the mouth, which helps reduce the risk of gingivitis.
*   Cleaning better around teeth and gums by removing food from areas that brushing cannot access."
14360,"Based on the provided passages:

To set the default web browser using Windows settings, open the Settings app (Windows + I or via the Start menu), click System, then Default apps. Scroll down to the Web browser section, click the currently listed browser, and select the browser you want to set as default from the ""Choose an app"" list.

Alternatively, for Mozilla Firefox, you can open the Firefox browser, click the menu button (three horizontal lines), and select Options to initiate the process.

Passage 1 mentions that setting the default browser in Windows 7 involves performing specific steps for the chosen browser."
14366,"Based on the provided passages, there are two described proper ways to dispose of a worn USA flag:

1.  Remove the blue field from the flag, burn the blue field peacefully, bury the ashes, and then put the remaining part of the flag out for collection.
2.  Fold the flag in the customary triangle fold and burn it yourself in a proper ceremony."
14375,"Based on the provided passages:

One method involves combining beer and onions in a pot, bringing it to a boil, submerging the bratwurst, adding seasonings (red pepper flakes, garlic powder, salt, pepper), reducing heat to medium, and cooking for 10-12 minutes. Then, remove the brats and cook them on a preheated, oiled medium-high grill for 5-10 minutes, turning once. The beer mixture can be cooked further and served alongside.

Another method suggests pricking the bratwurst first, placing them in a pot with onions, butter, and beer, and simmering over medium heat for 15-20 minutes. Then, cook the brats on a preheated, oiled medium-high grill for 10-14 minutes, turning occasionally."
14390,"Based on the provided passages:

**Causes:** The exact cause of IBS is unknown but is thought to involve a combination of factors including abnormal gastrointestinal (GI) tract movements (motility), increased sensitivity to pain or awareness of bodily functions (like a full bowel or gas), disruptions in brain-GI communication or abnormal nervous system signals, and food sensitivities or intolerances (possibly due to poor absorption).

**Symptoms:** Symptoms can include diarrhea (sometimes violent episodes), constipation, constipation alternating with diarrhea, belly pains or cramps (usually lower belly, worse after meals, better after a bowel movement), and significant gas or bloating."
14392,"Based on the provided passages, the difference is that nonessential amino acids can be made by the body, while essential amino acids cannot be made by the body and must be obtained from the diet."
14394,"Based on the provided passages, typical weather in Indianapolis, Indiana includes long, warm, humid, and wet summers, and chilly, windy winters. It is partly cloudy year-round, with temperatures typically ranging from 22°F to 85°F. Indiana also experiences snow and hot, humid weather."
14396,"Based on the provided passages, the instructions describe syncing audiobooks *from* iTunes *to* an iPhone, not the other way around. To sync audiobooks *to* your iPhone from iTunes:

1.  Connect your iPhone to the computer via USB.
2.  Launch iTunes.
3.  Select your iPhone under Devices.
4.  Choose ""Books"" (or ""Audiobooks"" in the left task pane as mentioned in Passage 2).
5.  Select ""Sync Audiobooks.""
6.  Choose either ""All Audiobooks"" or select the specific audiobooks you want to transfer.
7.  Click ""Apply"" or wait for iTunes to sync automatically.

The passages do not provide instructions for syncing audiobooks *from* an iPhone *to* iTunes."
14404,"Based on the provided passages:

Several body systems work together to keep the body functioning normally. For example, the urinary system cleans waste products from the skeletal, muscular, digestive, respiratory, circulatory, and nervous systems. The respiratory system provides oxygen for all body parts and removes carbon dioxide from the muscular, digestive, skeletal, circulatory, urinary, and nervous systems."
