source_id,summary
15599,"Blue Bell ice cream temporarily shut down its Broken Arrow, Oklahoma manufacturing plant after discovering listeria contamination in ice cream produced there. The CDC warned consumers not to eat Blue Bell products from this facility, specifically 3-ounce institutional servings marked with letters O, P, Q, R, S, or T behind the coding date.

The contamination was discovered when listeria was found in an ice cream cup from a Kansas hospital, produced at the Broken Arrow plant in April 2014. The bacteria from the hospital sample genetically matched samples from the plant, though they didn't match patient samples from the Kansas outbreak.

This is the third action Blue Bell has taken regarding a listeria outbreak at a Kansas hospital. Five people were infected and three died in Kansas, with at least four having consumed Blue Bell milkshakes before infection. A separate outbreak in Texas showed matches between patient samples and Blue Bell products.

The company recalled products from both its Texas and Oklahoma plants, marking the first recall in Blue Bell's 108-year history. The recall does not include half gallons, pints, quarts, 3-gallon containers, or other 3-ounce cups not made at the Broken Arrow plant.

Listeriosis primarily affects the elderly, pregnant women, newborns, and immunocompromised individuals, causing fever, muscle aches, and gastrointestinal symptoms. Approximately 1,600 people in the U.S. become seriously ill annually, with a 16% death rate."
15601,"Here's a concise summary of the passage:

Columbia Journalism School professors found that Rolling Stone magazine published a ""deeply flawed article"" about an alleged gang rape at the University of Virginia due to failures in reporting, editing, and fact-checking. The magazine apologized to readers, the Phi Kappa Psi fraternity, and UVA administrators and students.

The passage examines whether those affected can sue for defamation. Under Virginia law, defamation requires: (1) publication of (2) a false and defamatory statement with (3) the requisite intent. Private individuals (like fraternity members) must prove the defendant published false facts that harmed their reputation, and that the defendant knew it was false or acted negligently.

Key legal obstacles include:
- UVA cannot sue because government entities cannot bring defamation claims
- Groups generally cannot sue for defamation unless they're small enough that the defamatory statement clearly applies to all members
- Plaintiffs must show the statements were specifically about them and caused financial harm

Phi Kappa Psi may argue they qualify as a ""small group"" exception, allowing individual members to sue. However, Rolling Stone could counter that the fraternity is too large and fluid for members to claim individualized injury. Other fraternities on campus would have even less standing to sue.

The passage concludes that while defamation suits are rarely successful due to the need to prove financial damages, this case could be one of the rare exceptions if the fraternity members can overcome the preliminary legal hurdles."
15604,"The passage is written by someone who became the first woman and person of color elected to the Kentucky State Senate in 1967. The author criticizes Rand Paul's presidential campaign announcement, arguing that despite his claims of wanting to expand the Republican Party and conduct minority outreach, his actual policy positions contradict these goals.

Key criticisms include:
- Paul has questioned the Civil Rights Act and suggested private businesses have a right to discriminate
- He dismissed concerns about voting rights by noting America has an African-American president
- He wants to eliminate the Department of Education
- He opposes protections for DREAMers and seeks to limit women's choices
- His appearances at historically black colleges have been condescending

The author contrasts Paul's rhetoric of inclusion with his actual record, arguing that he would take the country backward on civil rights issues. The piece concludes that Paul's views are outdated and disqualifying for someone seeking to lead the country, and that Americans deserve better leadership that won't dismantle five decades of progress."
15613,"Here's a concise summary of the passage:

Mary Kay Letourneau Fualaau and Vili Fualaau remain married despite their controversial past. In 1996, when she was a 34-year-old married teacher with four children, she began an affair with Fualaau, her 13-year-old student in Seattle. She gave birth to his child and served over seven years in prison for charges related to their sexual relationship. 

The couple married in 2005 after her release from prison and have two teenage daughters together. They will celebrate their 10th wedding anniversary on May 20. In an upcoming ABC ""20/20"" interview with Barbara Walters, Mary Kay (now 53) discusses what makes their marriage work despite their age difference, her plans to teach again, and her intention to have her registered sex offender status lifted. Vili (now 31) talks about his struggles with alcoholism, depression, and his belief that the system failed him as a minor."
15616,"Kanye West settled a civil lawsuit with paparazzi photographer Daniel Ramos, whom he assaulted at Los Angeles International Airport in July 2013. The incident, captured on video, showed West attacking Ramos and trying to wrestle his camera away after the photographer repeatedly tried to engage him in conversation.

West had previously pleaded no contest to misdemeanor battery charges for the incident and received two years' probation, anger management sessions, and community service. Ramos, represented by attorney Gloria Allred, filed a civil suit seeking damages for interference with his lawful occupation.

The settlement, reached just before the scheduled trial, included an apology from West to Ramos, followed by a handshake between the two. The specific financial terms were not disclosed. Allred stated the case sent an important message that celebrities cannot physically attack people for asking questions. This was not West's only such incident - he was also accused of assaulting a man at a Beverly Hills chiropractor's office in January 2014, which was resolved through a civil settlement."
15617,"B.B. King, the 89-year-old blues legend, was hospitalized for dehydration caused by his Type II diabetes but recovered quickly and was released. His daughter Claudette confirmed he was ""much better,"" and King himself stated he was leaving the hospital on Tuesday. He returned home to rest with his grandchildren.

Key background information: King, whose stage name ""B.B."" stands for ""Blues Boy"" from his days as a Memphis disc jockey, is a Rock and Roll Hall of Fame inductee (1987) with 30 Grammy nominations. He's famous for naming all his Gibson guitars ""Lucille,"" with Gibson eventually creating a custom signature model for him. His notable hits include ""The Thrill Is Gone"" (his first Grammy winner in 1970), ""There Must be a Better World Somewhere,"" and ""When Love Comes to Town"" with U2. This wasn't his first health scare - he previously suffered from dehydration and exhaustion after a Chicago show the year before, which led to tour cancellations."
15623,"Here's a concise summary of the key information:

**Incident Overview:**
- Indiana Pacers player Chris Copeland was stabbed early Wednesday morning around 4 a.m. in New York City
- The stabbing occurred outside the Fulton Houses project, not at the 1OAK nightclub as initially reported
- Copeland suffered knife wounds to his left elbow and abdomen and is in stable condition

**Victims:**
- Chris Copeland (31, Indiana Pacers player)
- Katrine Saltara (female companion) - suffered cuts to arm, breast, and buttock
- A third woman was also slashed in the stomach

**Arrests:**
- A 22-year-old Brooklyn man was arrested as the stabbing suspect (charges pending)
- Atlanta Hawks players Pero Antic (32) and Thabo Sefolosha (30) were arrested for obstruction of governmental administration and disorderly conduct
- Sefolosha faces an additional charge of resisting arrest

**Context:**
- The Hawks players had just played a home game in Atlanta Tuesday night, ending around 10 p.m.
- They were reportedly trying to check on Copeland and pushed through a crowd, leading to their arrests
- Both teams had games scheduled for Wednesday night in New York
- The incident left a ""bloody trail"" between the stabbing site and the nightclub where Copeland sought help"
15627,"The passage describes plans to create a digital version of Tejano singer Selena, who died 20 years ago. Her family is working with Nevada-based tech company Acrovirt LLC to develop ""Selena the One"" - a ""walking, talking, singing and dancing digital embodiment"" of the late singer. 

Key details include:
- This will be the first use of Acrovirt's ""Digitized Human Essence"" technology, which creates an autonomous digital persona
- The digital Selena is planned to release new music, collaborate with current artists, and tour in 2018
- The project aims to help continue Selena's legacy for new fans who didn't experience her during her lifetime
- An Indiegogo campaign launching April 16 seeks to raise $500,000 to support the project
- Selena remains highly popular 20 years after being killed by her fan club president, with 2 million Facebook likes
- While other performers like Michael Jackson and Tupac have appeared as holograms, this technology represents a more advanced approach
- A commemorative festival celebrating Selena's life is scheduled for April 17-18 in Corpus Christi, Texas"
15628,"An Alaska Airlines ramp agent was discovered trapped in the cargo hold of Flight 448 shortly after takeoff from Seattle to Los Angeles on Monday. The pilot heard banging from below and returned to the airport after just 14 minutes in the air. 

The trapped worker, employed by contractor Menzies Aviation, had fallen asleep in the cargo hold. Passengers heard pounding and faint screams for help from beneath the plane, prompting them to alert flight attendants. A federal air marshal on board responded by banging back and shouting instructions to the trapped person.

The plane made an emergency landing surrounded by emergency vehicles. The ramp agent was unharmed, as the cargo hold was pressurized and temperature-controlled. He was taken to a hospital as a precaution, passed a drug test, and was released.

The employee had started work at 5 a.m. and was scheduled to finish at 2:30 p.m., just before departure. His team lead noticed him missing during a pre-departure meeting but couldn't reach him by phone, assuming he had gone home. The flight eventually continued to Los Angeles with 170 passengers and six crew members. Alaska Airlines is investigating the incident."
15634,"Here is a concise summary of the passage:

Emy Afalava, a decorated veteran born in American Samoa (a U.S. territory since 1900), is denied U.S. citizenship and voting rights despite the 14th Amendment stating that all persons born in the United States are citizens. He and other American Samoans are challenging this in a federal lawsuit before the D.C. Circuit.

The passage traces the history of citizenship denial to U.S. territory residents, starting with the Dred Scott case that denied citizenship to African Americans (later overturned by the 14th Amendment after the Civil War). It describes the 1904 case of Isabel Gonzalez, a Puerto Rican woman denied entry to mainland U.S. despite Puerto Rico being a U.S. territory. The Supreme Court ruled that territorial residents were not aliens but declined to confirm their citizenship, influenced by racist views about ""tropical peoples"" being unfit for citizenship.

The passage notes that inhabitants of all other U.S. island territories have since become citizens, leaving American Samoans as the last Americans still waiting for citizenship recognition 147 years after Dred Scott was overturned."
