source_id,qa_response
14300,"Automotive technicians are paid under a mix of compensation methods—most commonly straight hourly wages, flat- or flag-rate (piecework) pay, commission, or combinations of hourly plus commission. Their eligibility for overtime pay then hinges on that pay structure, their employer (dealership vs. independent shop) and the state’s rules."
14323,"1. Build three heat zones on your grill:  
   - For charcoal, dump a chimney of lit coals in, then use a hoe to spread them into a double layer at the back, a single layer in the middle, and leave the front zone coal-free.  
   - For gas, adjust burners so you have a high-heat zone, a medium-heat zone, and an unlit (indirect) zone.  
2. Replace the grate, let it heat until very hot, then brush it clean and oil it.  
3. Place the porterhouse on the hot zone to sear and develop flavor from the bone.  
4. When it has good color, move it to the cooler (indirect) zone to finish cooking to your desired doneness."
14353,"1. Lay your quilt flat on a bed, table, or other firm surface.  
2. Fold the lower-right corner up toward the quilt’s center, keeping the fold on the bias.  
3. Fold the lower-left corner up to the center on the bias.  
4. Fold the top-left corner down to the center on the bias.  
5. Fold the top-right corner down to the center on the bias."
14355,"Benefits of a Waterpik (from Passages 1 & 3):  
• Shoots a strong stream of water at the gum line to eliminate germs and plaque toothbrushes can miss  
• Cleans food debris from areas around teeth and gums that brushing can’t reach  
• Massages and stimulates soft tissues, helping reduce the risk of gingivitis  
• Supports overall oral health—and, by extension, healthier teeth, gums, mouth (and even overall body health)"
14360,"Open the Windows Settings app (Start → Settings or Win+I), go to System → Default apps, scroll to the “Web browser” section, click the current browser name, then choose the browser you want (for example, Google Chrome) to make it your default."
14366,"The proper way is to retire a worn U.S. flag by folding it in the customary triangular fold and then burning it in a respectful, peaceful ceremony, after which the ashes (especially of the blue field) are buried. Alternatively, you may cut off the blue field first, burn that piece alone in a peaceful manner, and then inter its ashes."
14375,"1. Prick each bratwurst with a fork.  
2. In a large pot, combine beer, sliced onions (and butter, if desired); bring to a boil, then reduce to a simmer for 10–20 minutes.  
3. Meanwhile, preheat an outdoor grill to medium-high heat and lightly oil the grate.  
4. Remove brats from the beer mixture and grill 5–14 minutes, turning occasionally, until evenly browned.  
5. Reduce the heat under the pot to low and continue cooking the onions in the beer; serve them alongside or on top of the grilled brats."
14390,"Causes (exact cause unknown; likely multifactorial)  
• Abnormal GI-tract motility (colon/small intestine moving too fast, too slow or too forcefully)  
• Disrupted brain–gut communication and abnormal nervous-system signaling  
• Visceral hypersensitivity (increased pain perception from bowel distension or gas)  
• Food intolerances or sensitivities (e.g. poor absorption of certain sugars or acids)  

Symptoms  
• Diarrhea (often in violent episodes)  
• Constipation, or alternating constipation and diarrhea  
• Lower-abdominal pain or cramps that worsen after eating and ease with a bowel movement  
• Excess gas and bloating"
14392,"Essential amino acids cannot be synthesized by the human body and therefore must be obtained from the diet, whereas nonessential amino acids can be made by the body (from essential amino acids or by breaking down proteins) and do not have to be supplied directly by food."
14394,"Summers in Indiana (e.g. Indianapolis) are long, warm, humid and wet; winters are chilly and windy; it’s partly cloudy year-round. Temperatures typically range from about 22°F to 85°F, seldom dipping below 3°F or rising above 92°F."
14396,"The provided passages only describe how to transfer or sync audiobooks from iTunes (or a PC) to an iPhone, iPad, or iPod. None of them include steps for syncing audiobooks from an iPhone back into iTunes."
14404,"The body’s eleven major systems—skeletal, muscular, digestive, respiratory, circulatory, urinary, endocrine, lymphatic, immune, reproductive and nervous—work in concert to maintain normal function. In particular:  
• The urinary system (kidneys and lower intestines) filters waste products from the blood generated by the skeletal, muscular, digestive, respiratory, circulatory and nervous systems.  
• The respiratory system (nose, larynx, trachea and lungs) delivers oxygen to—and removes carbon dioxide from—the muscular, digestive, skeletal, circulatory, urinary and nervous systems."
14418,"The name Teresa comes from the Greek Therasia/therizein, meaning “to reap” or “harvester.” In Italian it likewise means “harvester,” and in Spanish it’s borne by saints such as Teresa of Ávila and Thérèse of Lisieux."
14433,"Key differences drawn from the passages:

1. Education  
   – India’s recent reform trends are “much more typical,” concentrating first on getting children into school (building facilities, training teachers, etc.).  
   – Vietnam’s system is described as “relatively equitable,” giving poorer children the same advantages in school as better-off peers.

2. Decolonization and aftermath  
   – India won independence from Britain in 1947; its departure led to partition along Hindu-Muslim-Sikh lines and ensuing conflict.  
   – Vietnam threw off French rule around 1945; no comparable post-independence partition is mentioned."
