source_id,summary
14-0,"Militants armed with guns and grenades, claiming allegiance to the Islamic State (IS), attacked a hospital in Afghanistan, killing four attackers after a prolonged battle on the hospital roof. The Taliban denied involvement, while the IS claimed the attack. Over 50 people were wounded, and the incident is seen as a shift in IS's approach, as they now directly engage with security forces in the capital, previously targeting civilian gatherings. The attack, which began at 09:00 local time, marks a change in IS's strategy, suggesting they have gained resources and military training to expand their attacks. The government has claimed to have removed IS militants from several bases but has not yet dislodged them from mountainous areas they control. The IS-affiliated Amaq news agency shared images of the attack and the dead attackers. The Taliban has also been active in the region, carrying out attacks, including a recent suicide attack in Kabul."
14-1,"""The Booker Prize shortlist for 2013 includes Mukherjee's 'The Lives of Others', Howard Jacobson's 'J', Ali Smith's 'How To Be Both', Joshua Ferris's 'To Rise Again at a Decent Hour', Karen Joy Fowler's 'We Are All Completely Beside Ourselves', and Richard Flanagan's 'The Narrow Road to the Deep North'. The prize, open to all English-language authors, will be announced at London's Guildhall. The winner will receive £2,500 and a specially bound edition of their book. The judging panel includes AC Grayling, Sarah Churchwell, Jonathan Bate, Daniel Glaser, Alastair Niven, and Erica Wagner."""
14-2,"Mark Carney, the Governor of the Bank of England, announced a one-year extension of his term, surprising many. Initially, officials believed he had two options: stay until 2021 or leave in 2018. Carney's decision was influenced by personal reasons, including his daughters' education and the desire to return to Canada. He emphasized that his decision was entirely personal and not related to government policy. Carney's extension was also seen as a way to provide stability during the Brexit negotiations, as leaving in 2018 would have coincided with the middle of the process."
14-3,"Adrian Gill, a renowned journalist and columnist, passed away after being diagnosed with multiple types of cancer, known as the ""full English"" of cancers. Gill, who had been undergoing chemotherapy, was remembered as a giant among journalists, a witty, fearless writer, and a compassionate individual. He had a significant impact on the Sunday Times, where he joined in 1993, and was known for his unique writing style. Gill's career included controversial articles and a notable marriage to Amber Rudd, the former Home Secretary, with whom he had two children before their divorce. He later married his partner of 23 years, Nicola Formby, with whom he had two children. Gill's death has left a profound impact on the newspaper and the wider journalistic community."
14-4,"The passage discusses various groups of hackers involved in the conflict between Ukraine and Russia. The Ukrainian Cyber Troops, led by Yevhen Dokukin, are known for their DDoS attacks and have hacked into Russian servers and CCTV systems. They also target rebel accounts and have been accused of using hacked data to direct artillery fire. Cyber Berkut, an anti-Western group, aims to disrupt Ukraine's military plans and has hacked Ukrainian government websites and electronic billboards. Anonymous International, also known as b0ltai, focuses on Russian affairs but has also published documents related to Ukraine. The passage also mentions the blocking of access to Anonymous International's website in Russia."
5-0,"The former Manchester City player, now 30, has earned 61 caps for England since his debut in 2009, participating in two World Cups and two European Championships, including Euro 2016. He also holds the record for the most capped England Under-21 player with 46 caps, having scored his only international goal in a 2014 Fifa World Cup qualifiers match."
5-1,"Brad Wilk is a drummer best known for his work with Rage Against the Machine (1991-2000; 2007-11) and Audioslave (2001-07). He began his career with Greta in 1990 and co-founded Rage with Tom Morello and Zack de la Rocha in August 1991. As of 2016, Wilk is a member of Prophets of Rage, alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. Rage Against the Machine is a German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke, the interim manager of Kilmarnock, has been appointed permanently after signing a three-year deal. He joined the club as an assistant manager to Allan Johnston last summer and took over when Johnston left in February. Locke has a record of winning seven out of seven games since his appointment. He will address the press on Friday morning, and he shook hands with Chairman Jim Mann after signing the deal."
5-3,"Rupert Murdoch, the media mogul, is the chairman and acting CEO of Fox News. James Rupert Jacob Murdoch, his younger son, is an Australian, British, and American businessman. Rupert Murdoch had full control as Chairman and CEO of News Corporation, the world's second-largest media conglomerate, which split into News Corp and 21st Century Fox on June 28, 2013."
15-0,"Veteran actor Robert Hardy is auctioning off his extensive collection of over 200 antiques, including a diorama of the Battle of Agincourt, early Victorian furniture, a painting of himself with a longbow, a yew longbow, and various other items such as books, swords, and crystal chandeliers. The auction, set to take place on Saturday, is being conducted by Dominic Winter Auctioneers in South Cerney, Gloucestershire. Hardy, who is 89, is known for his roles in ""All Creatures Great and Small,"" ""Winston Churchill,"" and the ""Harry Potter"" films. He is also a military historian and has published books on the history of the longbow. The sale is a result of Hardy's decision to downsize his home."
15-1,"Veteran actor Robert Hardy is auctioning off his extensive collection of antiques, including a diorama of the Battle of Agincourt, early Victorian furniture, a painting of himself with a longbow, and various other items, in a £100,000 auction. The collection, which Hardy has amassed over his career, features over 200 items and is being sold by Dominic Winter Auctioneers in Gloucestershire. Hardy, known for his roles in ""All Creatures Great and Small"" and as Winston Churchill, is also a military historian and author. He expressed sadness at parting with his collection but wished for joy and pleasure to come to new owners. The auction includes books, paintings, and other historical items, with a total of 238 lots to be sold."
