source_id,summary
14-0,"Militants, claimed by the so-called Islamic State (IS), attacked the Sardar Daud hospital in Kabul, Afghanistan, using explosives and firearms, killing and wounding dozens. The assault began with a bomb at the hospital gate, followed by gunmen targeting staff and patients. Afghan commandos killed all four attackers after hours of fighting. This marks a shift in IS tactics, resembling Taliban methods, and suggests increased resources and training. IS has previously targeted civilians but now appears to be escalating attacks to gain attention, despite limited territorial control. Afghan leaders condemned the attack, emphasizing its violation of human values. IS has been active in Afghanistan since 2015, carrying out numerous deadly attacks, while the Taliban also continues its offensive."
14-1,"The passage discusses the 2014 Booker Prize, which is open to all English-language authors regardless of nationality for the first time. The winner will be announced at London's Guildhall, with six shortlisted authors vying for the prize. Neel Mukherjee's *The Lives of Others*, set in 1960s Calcutta, is the bookmakers' favorite, followed by Richard Flanagan's *The Narrow Road to the Deep North*. Other shortlisted works include Howard Jacobson's *J*, Ali Smith's *How To Be Both*, Joshua Ferris's *To Rise Again at a Decent Hour*, and Karen Joy Fowler's *We Are All Completely Beside Ourselves*, the best-selling book on the list. The judging panel, chaired by AC Grayling, will award the winner £50,000, while all shortlisted authors receive £2,500 and a special edition of their book. The passage also highlights debates about literary merit versus readability in the prize's selection process. Last year's winner was Eleanor Catton for *The Luminaries*."
14-2,"Mark Carney, Governor of the Bank of England, announced he would extend his term by one year, until 2019, rather than leaving in 2018 as originally planned or staying until 2021. This decision, described as a ""third way,"" was influenced by personal reasons, particularly his family's plans to return to Canada in 2018, coinciding with key educational milestones for his daughters. While some speculated political pressure or disillusionment with Brexit's economic impact played a role, Carney emphasized it was a personal decision. Professionally, he felt it was important to remain during the critical Brexit negotiations, with the Article 50 process expected to conclude by 2019, after which a new Governor would take over. Despite speculation, there was no tension with Prime Minister Theresa May, who left the decision to him."
14-3,"Adrian Gill, a renowned journalist and columnist for *The Sunday Times* since 1993, passed away after being diagnosed with multiple cancers, which he described as the ""full English"" of malignancies. Despite his illness, Gill expressed gratitude for his life and remained stoic. Known for his dazzling, fearless writing and sharp wit, he was celebrated as a ""giant among journalists"" and the ""heart and soul"" of the paper. Tributes poured in from colleagues and public figures, highlighting his brilliance, compassion, and controversial yet impactful career. Gill, who overcame dyslexia, began his writing career in the 1980s and became known for his distinctive style and provocative commentary. His personal life included two marriages, four children, and a recent engagement to his long-term partner, Nicola Formby."
14-4,"The passage discusses the activities of various hacking groups involved in the Ukraine conflict. The Ukrainian Cyber Troops, led by Yevhen Dokukin, conduct cyberattacks such as DDoS attacks, hacking CCTV systems, and disrupting separatist funding. They claim to have exposed Russian military involvement in Ukraine and use tactics like hijacking printers to spread pro-Ukrainian messages. On the opposing side, Cyber Berkut, an anti-Western group, targets Ukrainian government systems, disrupts elections, and spreads propaganda, often aligning with Russian state narratives. Another group, Anonymous International, focuses on leaking Kremlin-related documents, though its methods are unclear. These groups operate independently but play significant roles in the information and cyber warfare surrounding the conflict."
5-0,"James Milner, a former Manchester City player, earned 61 caps for England's senior team after debuting in 2009. He participated in two World Cups and two European Championships but played only three minutes at Euro 2016. Milner, who also holds the record for most England Under-21 caps with 46, scored his sole international goal during a 5-0 win over Moldova in the 2014 World Cup qualifiers. He expressed support for Sam Allardyce and the team following his decision to step back."
5-1,"Brad Wilk is a drummer best known for his work with the rock bands Rage Against the Machine (1991–2000, 2007–2011) and Audioslave (2001–2007). He began his career with the band Greta in 1990 and co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in 1991. As of 2016, he plays in the band Prophets of Rage alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. (Note: The mention of Rage as a German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner appears unrelated to Wilk.)"
5-2,"Gary Locke has been appointed as Kilmarnock's permanent manager after signing a three-year deal. Previously the assistant to Allan Johnston, Locke took over as interim manager in February following Johnston's departure. The 41-year-old has performed well, losing only once in seven games, and will address the media at a press conference on Friday."
5-3,"Rupert Murdoch is the current chairman and acting CEO of Fox News. He previously held full control as Chairman and CEO of News Corporation, which became News Corp and 21st Century Fox after a split in 2013. His younger son, James Murdoch, is a businessman and former CEO of 21st Century Fox and chairman of Sky plc."
15-0,"Veteran actor Robert Hardy, known for roles in *All Creatures Great and Small*, as Winston Churchill, and as Cornelius Fudge in the *Harry Potter* films, is auctioning his extensive collection of antiques after deciding to downsize his home. The 89-year-old military historian and expert on the medieval longbow is selling 238 items, including furniture, paintings, swords, rifles, chandeliers, and books dating back to the 17th century. Notable pieces include a diorama of the Battle of Agincourt, a yew longbow, and a portrait of Hardy holding the bow. The auction, handled by Dominic Winter Auctioneers, will take place in Gloucestershire. Hardy expressed sadness at parting with his collection but hopes the new owners will enjoy the items as much as he did. A former Shakespearean actor and friend of Richard Burton, Hardy retired from stage acting after a fall but plans to continue television work."
