source_id,summary
15599,"Blue Bell Creameries temporarily shut down its Broken Arrow, Oklahoma, plant after listeria contamination was found in ice cream produced there. The CDC warned against consuming Blue Bell products from this plant, specifically 3-ounce servings marked with certain codes, though other products are unaffected. The company recalled additional items and is investigating the contamination. This follows a Kansas hospital listeria outbreak linked to Blue Bell ice cream, where five people were infected, three of whom died. Listeria was also found in samples from the plant and matched genetically to some patient cases. Blue Bell's CEO expressed regret, emphasizing safety as a priority. This is the company's first recall in its 108-year history. Listeriosis, caused by listeria, is a serious infection primarily affecting vulnerable populations, with symptoms including fever, muscle aches, and gastrointestinal issues."
15601,"An external review by Columbia Journalism School professors found that Rolling Stone's article about an alleged gang rape at the University of Virginia was deeply flawed due to failures in reporting, editing, supervision, and fact-checking. Rolling Stone's managing editor apologized to those harmed, including the Phi Kappa Psi fraternity. Legal questions arise about whether UVA, Phi Kappa Psi, or other fraternities can sue for defamation. UVA, as a public university, cannot sue, and defamation claims by groups like fraternities face challenges, such as proving the statements were ""of or concerning"" them and demonstrating individualized harm. While individual fraternity members might argue they fall under a ""small group"" exception, Rolling Stone could counter that the group is too large and fluid. Successful defamation cases are rare and require proof of financial harm, but this case could potentially overcome those hurdles."
15604,"The author, a former Kentucky State Senator and the first woman and person of color to serve in that role, critiques Rand Paul's presidential campaign announcement. While Paul claims to promote inclusion and expand the Republican Party, the author argues his record contradicts these claims. She highlights his opposition to key civil rights and voting rights legislation, his stance against the Department of Education, women's rights, and protections for DREAMers, as well as his dismissive remarks on racial issues. The author asserts that Paul's policies and rhetoric are outdated, condescending, and harmful, concluding that he is unfit to lead the country and that Americans deserve a leader committed to progress and democracy."
15613,"Mary Kay Letourneau Fualaau and her husband, Vili Fualaau, remain happily married despite their controversial past. In 1996, Letourneau, a 34-year-old teacher, began an affair with her 13-year-old student, resulting in her imprisonment for over seven years and the birth of their first child. The couple married in 2005 after her release and now have two teenage daughters. In an upcoming ""20/20"" interview, they discuss their relationship, with Letourneau addressing their marriage, her plans to teach again, and her efforts to remove her status as a registered sex offender, while Fualaau reflects on his struggles with alcoholism, depression, and the system's failure during his youth. Letourneau is now 53, and Fualaau is 31."
15616,"Kanye West settled a lawsuit with paparazzi photographer Daniel Ramos, whom he assaulted in July 2013 at Los Angeles International Airport. West had previously pleaded no contest to a misdemeanor battery charge, receiving probation, anger management sessions, and community service. Ramos filed a civil suit seeking damages, claiming West interfered with his lawful occupation. The case was settled before trial, with West apologizing to Ramos, as confirmed by Ramos' lawyer, Gloria Allred. The incident, caught on video, showed West confronting Ramos and attempting to take his camera. Allred emphasized that the case highlighted that celebrities are not above the law."
15617,"Blues legend B.B. King, 89, was briefly hospitalized for dehydration caused by his Type II diabetes but has since recovered and returned home to rest with his family. His daughter, Claudette King, and her publicist, Angela Moore, confirmed his improved condition, with Moore praising his resilience. King expressed gratitude to fans for their support. Known for his iconic Gibson guitars named Lucille, King has had a celebrated career, including induction into the Rock and Roll Hall of Fame in 1987, 30 Grammy nominations, and hits like ""The Thrill Is Gone."" Last year, he also faced health issues that led to tour cancellations."
15623,"Indiana Pacers player Chris Copeland and his companion, Katrine Saltara, were stabbed early Wednesday near a New York nightclub, 1OAK, after a dispute with a 22-year-old man. The incident occurred away from the club, and 1OAK staff assisted Copeland after he returned seeking help. Both victims, along with another injured woman, were hospitalized, and the suspect was arrested. Atlanta Hawks players Pero Antic and Thabo Sefolosha, who were not involved in the stabbing, were arrested for obstruction and other charges after interfering with police at the scene. Copeland is in stable condition, and investigations are ongoing. Both the NBA and the Hawks are reviewing the situation."
15627,"Selena's family is creating a digital embodiment of the late Tejano star, called ""Selena the One,"" using advanced technology by Acrovirt LLC. This hologram-like figure will walk, talk, sing, and dance, aiming to introduce Selena to new fans and continue her legacy. The project, set to debut in 2018, will include new music, videos, collaborations with current artists, and a tour. The family emphasizes that this is not a replacement but a way to honor her memory. Fans can support the initiative through an Indiegogo campaign launching April 16, with a goal of $500,000. Selena remains highly popular, with millions of fans celebrating her life and legacy."
15628,"An Alaska Airlines flight from Seattle to Los Angeles made an emergency return shortly after takeoff when the pilot heard banging from the cargo hold. The noise was caused by a ramp agent from Menzies Aviation, who had fallen asleep in the hold before the flight. The cargo area was pressurized and temperature-controlled, and the plane was airborne for only 14 minutes, so the man was unharmed. Passengers reported hearing banging and faint cries for help, prompting a federal air marshal to respond. The ramp agent, who passed a drug test and was discharged from the hospital, had been missing from his team before departure, but coworkers assumed he had left after his shift. Alaska Airlines is investigating the incident, and the flight later continued to Los Angeles."
15634,"The passage discusses the case of Emy Afalava, an American Samoan and decorated veteran, who is denied U.S. citizenship despite being born in a U.S. territory and subject to American law. The Fourteenth Amendment guarantees citizenship to those born on U.S. soil, but American Samoans remain excluded due to outdated and discriminatory legal precedents. The passage highlights historical injustices, such as the Dred Scott case and the treatment of Puerto Ricans like Isabel Gonzalez, where racial biases influenced decisions about citizenship. While other U.S. island territories have since gained citizenship rights, American Samoans remain the exception. Afalava and others are now challenging this injustice in court, seeking to end this discriminatory practice."
15638,"Iman and Siham Hashi, Somali-born sisters who fled to Canada as refugees in 1991, are now based in Los Angeles working on their debut Afro-pop album as the duo Faarrow. Influenced by artists like Michael Jackson and the Spice Girls, their music blends pop, hip hop, and African percussion. Collaborating with producer Elijah Kelley, they have written and produced most of the album themselves under Warner Brothers Records. Beyond music, the sisters are active humanitarians, working with the UNHCR and running a non-profit to support Somali refugees and women through socially conscious projects like their ""Wish Creatively"" jewelry line. They aim to inspire others by pursuing their creative dreams while advocating for Somalia."
