source_id,summary
14-0,"Militants armed with guns and grenades attacked the Sardar Daud hospital after an explosive was detonated at its gate, opening fire on staff and patients. Commandos who landed on the hospital roof engaged in several hours of fighting and eventually killed all four attackers. The Islamic State group claimed responsibility, while the Taliban denied any involvement. Over 50 people were wounded in the attack, which began at 09:00 local time. President Ashraf Ghani condemned the assault, highlighting that attacking a hospital—a place immune by religious standards—was an attack on all of Afghanistan. The incident, featuring an attacker in a white coat seen firing indiscriminately, marks a shift in IS tactics in Afghanistan toward direct engagement with security forces in the capital."
14-1,"The passage details the 46th Booker Prize shortlist and betting odds ahead of the announcement at London's Guildhall on Tuesday night. For the first time ever, the prize is open to all authors writing in English regardless of nationality. Mukherjee’s The Lives of Others—a novel set in 1967 Calcutta focusing on family secrets and political activism—is the bookmakers’ favourite at 5/2, while Howard Jacobson’s J, a futuristic love story, is also a strong contender despite criticism that awarding him might repeat recent double wins. Other shortlisted titles include Ali Smith’s How To Be Both, Joshua Ferris’s To Rise Again at a Decent Hour, Karen Joy Fowler’s best-selling We Are All Completely Beside Ourselves, and Richard Flanagan’s The Narrow Road to the Deep North. The passage also notes that the announcement of the final shortlist boosted sales for all nominated books, and that the judging panel, chaired by AC Grayling, includes Sarah Churchwell, Jonathan Bate, Daniel Glaser, Alastair Niven, and Erica Wagner."
14-2,"Governor Mark Carney of the Bank of England surprised many by choosing a third option for his tenure. Instead of staying until 2021 or leaving in 2018 as originally planned, he decided to extend his term by only one year. Although this extension might seem politically awkward given the ongoing Brexit negotiations, Carney explained that his decision was entirely personal. With significant family milestones—such as his daughters completing key school exams—happen to fall in 2018, he opted for the shorter extension. He made clear that no external pressures, whether from government or past economic forecasts, influenced his decision."
14-3,"Adrian Gill, a celebrated and often controversial journalist for the Sunday Times, died on the morning his final column was to appear. Known for his fearless wit and distinctive style, Gill openly discussed his battle with multiple cancers, referring to them as the ""full English."" Despite his illness and the controversies his remarks often sparked, colleagues and former editors described him as a brilliant writer and a giant in journalism. Born in Edinburgh in 1954 and having overcome dyslexia, he began his career with art reviews before moving on to major publications. Gill was married twice—first to Cressida Connolly, then to Amber Rudd—and was engaged to his long-term partner, Nicola Formby, with whom he had twin children."
14-4,"The passage details cyber warfare actions in the Ukraine conflict carried out by several hacker groups. The Ukrainian Cyber Troops, led by Yevhen Dokukin, claim responsibility for various attacks such as hacking Russian interior ministry servers, disrupting rebel websites with DDoS attacks, hijacking public CCTV systems, and even commandeering network printers to broadcast pro-Ukrainian messages. Dokukin shared his gathered data—allegedly including evidence that wounded Russian servicemen were evacuated—with the Ukrainian security service, though he criticizes their lack of analysis. On the other side, the pro-Russian group Cyber Berkut, known for its anti-Western stance and messaging referencing figures like US Vice-President Joe Biden, has targeted Ukrainian government websites, leaked confidential documents, manipulated electronic billboards, and allegedly interfered with vote-counting systems. Additionally, the group Anonymous International, also called b0ltai, publicizes leaked Kremlin documents and covers both Russian and Ukrainian domestic matters."
5-0,"The passage highlights that the former Manchester City player, now 30, earned 61 senior caps for England since his debut in 2009. He was involved in two World Cups and two European Championships, although he only played three minutes at Euro 2016. Additionally, he set a record with 46 caps for England Under-21s since his first appearance in 2004 and scored his only international goal during a 5–0 win over Moldova in the 2014 World Cup qualifiers. He also expressed his support for Sam Allardyce, the players, staff, and supporters, noting that the decision reached was based on common sense."
5-1,"Brad Wilk is best known for drumming in Rage Against the Machine (1991–2000; 2007–2011) and Audioslave (2001–2007). He began his career as a drummer for Greta in 1990 and co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in August 1991. As of 2016, Wilk is playing in the band Prophets of Rage with Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also mentions a German heavy metal band named Rage, formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke, formerly the interim manager of Kilmarnock, has been appointed permanently on a three-year contract after a successful stint where the team lost just once in seven games. He initially joined as assistant to Allan Johnston last summer and assumed control of the team in February when his ex-teammate left. Locke, the former Hearts boss, is set to speak at a press conference on Friday morning."
5-3,"The passage explains that Rupert Murdoch serves as the chairman and acting CEO of Fox News and holds full control over his global media companies as chairman and CEO of News Corporation and its successors—News Corp and 21st Century Fox—after the conglomerate's split on June 28, 2013. It also notes that his younger son, James Rupert Jacob Murdoch (born December 13, 1972), is a businessman with Australian, British, and American ties, currently serving as the CEO of 21st Century Fox and as chairman of Sky plc."
15-0,"Veteran actor Robert Hardy, 89, known for his roles in All Creatures Great and Small and as Winston Churchill, is auctioning over 200 antiques from his extensive collection as part of a home downsize. The sale, managed by Dominic Winter in Gloucestershire, features a range of items including a detailed 3D hand-painted diorama of the Battle of Agincourt, early Victorian furniture, a yew longbow with a mother-of-pearl handle, a portrait of Hardy with his longbow, paintings, books dating back to the 17th century, and other collectibles. An accomplished military historian who studied under J.R.R. Tolkien and C.S. Lewis and is an expert on the medieval longbow, Hardy expressed sadness over parting with his treasured possessions while wishing joy to their future owners."
