source_id,overview
13601,"# Finch & Fork

## Overview
Finch & Fork is a 4-star American restaurant located at 31 W Carrillo St in Santa Barbara, CA. The establishment is situated inside a hotel lobby and offers a classy ambiance.

## Hours
- Monday: 5:30 PM - 11:00 PM
- Tuesday-Saturday: 5:00 PM - 9:00 PM
- Sunday: 9:00 AM - 2:00 PM (Brunch)

## Cuisine & Offerings
The restaurant specializes in American cuisine, both traditional and new, with breakfast, brunch, and dinner options. Their Sunday brunch is particularly popular, featuring items like breakfast burritos, eggs benedict, and steak with eggs and frites. They also offer ""Mimosa Madness"" with bottomless mimosas ($14 for the first, $1 for each additional) in various flavors including orange, grapefruit, and cranberry.

## Amenities
- Reservations accepted
- Takeout available
- Good for groups
- Free WiFi
- Parking options: garage, street, validated, and valet

## Customer Experience
Customers praise the food quality, service, and ambiance, though some note that prices can be high. The restaurant has received positive feedback for its brunch offerings and hospitable staff."
13603,"# Tinker's Burgers

Tinker's Burgers is a 4-star burger restaurant located at 2275 Ortega Hill Rd, Suite C in Summerland, CA. The establishment is open daily from 11:00 AM to 5:00 PM.

## Features
- Outdoor seating available
- Take-out service
- Good for groups
- Street parking
- No WiFi
- No reservations required
- Described as having both a ""divey"" and ""classy"" ambience

## Customer Experiences
Customers have praised Tinker's for their exceptional burgers, with specific mentions of the Sourdough Bacon Cheeseburger and double cheeseburger with egg. Some patrons have become regulars after their first visit, describing the food as ""the best burgers we've ever had.""

The menu also includes items like fries, corn dogs, freezes, and malts, which have received positive reviews. One customer referred to the restaurant as a ""hidden gem"" in Summerland.

However, some customers have reported long wait times (up to 30 minutes) for food preparation and issues with service, particularly regarding condiment requests. Value for price has been questioned by at least one reviewer."
13604,"# Benchmark Eatery

**Location:** 1201 State St, Santa Barbara, CA

**Rating:** 4.0 stars

## Overview
Benchmark Eatery is an American restaurant in downtown Santa Barbara offering traditional and new American cuisine, breakfast & brunch, and seafood options with vegetarian choices available. The establishment features both a restaurant and bar area, and can accommodate event planning services.

## Hours
- Tuesday-Thursday: 11:30 AM - 8:00 PM
- Friday-Saturday: 11:30 AM - 4:00 PM
- Sunday: 11:30 AM - 8:00 PM
- Monday: Closed

## Features
- Outdoor seating available on their patio
- Free WiFi
- Takeout options
- Good for groups
- Classy yet casual ambience
- Multiple parking options (garage, street, and lot parking)
- No reservations required

## Menu & Food
Customer reviews mention a diverse menu including:
- Flatbreads (positively reviewed)
- Clam chowder (described as thick but tasty)
- Sandwiches including BLAT with chicken
- Burgers and onion rings
- Burritos (repeatedly ordered by one reviewer)
- Spanish soup (noted to vary in spiciness)

## Customer Experience
Reviews are mixed, with some customers praising the food and atmosphere while others note issues with order accuracy and food quality. The establishment is described as an ""upscale casual place"" with a nice patio area. Service appears to be generally friendly, though some inconsistencies in attentiveness have been reported."
13613,"# Pizza Mizza - Santa Barbara, CA

**Overview:** Pizza Mizza is a 3.5-star Italian pizza restaurant in Santa Barbara, California that currently operates as a delivery-only service. They offer a wide variety of pizzas, pastas, salads, and sandwiches, including specialty options like cauliflower and gluten-free crusts.

**Hours:** Open daily from 11:00 AM to 9:00 PM (Monday through Sunday)

**Features:**
- Delivery service
- Takeout (though recent reviews indicate they may be delivery-only now)
- Casual ambience
- Free WiFi
- Good for groups
- Outdoor seating available
- Reservations accepted
- Parking lot available

**Customer Feedback:**
- Food quality is generally praised, with one reviewer calling it ""probably my favorite pizza in town""
- Menu offers extensive choices including Hawaiian pizza and various crust options
- Delivery includes extras like plates, cheese, hot peppers, and ranch dressing
- Several customers noted significant service issues, including long wait times (30+ minutes)
- Some reviewers experienced problems with staff attentiveness and food delivery delays

The restaurant appears to have transitioned from a dine-in establishment to delivery-only service, which some long-time customers found disappointing."
13614,"# Taffy's Pizza

**Location:** 2026 De La Vina St, Santa Barbara, CA

**Categories:** Restaurants, Pizza

**Rating:** 4.0 stars

## Hours
- Monday: Closed
- Tuesday-Friday: 11:00 AM - 9:00 PM
- Saturday: 11:00 AM - 9:00 PM
- Sunday: 12:00 PM - 8:00 PM

## Features
- Casual ambience
- Free WiFi
- Outdoor seating with a private patio
- Good for groups
- Takeout available
- Reservations accepted
- Parking available (street and lot)

## Menu Highlights
- Wide variety of pizza options with numerous toppings
- Breadsticks
- Salads
- Pasta dishes
- Sandwiches
- Beer selection

## Customer Experience
Taffy's Pizza is a long-established local restaurant with a family-friendly atmosphere. The establishment features a small arcade room and children's books. Pre-COVID, they hosted events like trivia nights on their outdoor patio. While most reviews praise the food quality and customer service, including free delivery, one customer reported an issue with an Axxess card not being accepted.

## Additional Notes
- Free delivery service available (calling ahead recommended)
- Family-friendly environment with arcade games"
13619,"# Goodland Kitchen

**Location:** 231 S Magnolia Ave, Goleta, CA  
**Overall Rating:** 3.5/5 stars  
**Categories:** Food, Restaurants, American (New), Farmers Market, Local Services, Professional Services, Shopping

## Hours of Operation
Monday-Friday: 7:00 AM - 2:00 PM  
Closed on weekends

## Features
- Outdoor seating available
- Takeout service
- Good for groups
- Street parking
- Classy yet casual ambience
- No WiFi
- No reservations required

## Customer Feedback
Recent reviews indicate mixed experiences. Customers praise the lunch menu, particularly noting the chorizo, chips, and large salads. The service is described as friendly and welcoming. However, some longer-term customers have noted a decline in food quality and innovation, mentioning that previously offered lunch specials are no longer available. The business reopened in late 2020 for takeout service after a temporary closure.

The establishment appears to be connected to a market next door, suggesting it's a small local business in the Goleta community."
13632,"# Sam's To Go

Sam's To Go is a sandwich restaurant located at 315 Meigs Rd, Suite I in Santa Barbara, CA. This American (New) eatery has earned a 4.5-star rating overall.

## Hours & Amenities
- Open daily: Monday-Saturday 10:00 AM-9:00 PM, Sunday 10:00 AM-7:30 PM
- Features include free WiFi, outdoor seating, takeout options, and parking lot
- Good for groups
- No reservations required

## Customer Experience
Reviews highlight the quality of their sandwiches, particularly noting the fresh bread and quality ingredients. Popular menu items mentioned include the #11 Italian cold cuts, #29 veggie sandwich, turkey sandwich, and Pastrami Avocado and Cheese sandwich. Customers should note that the medium-sized sandwiches are described as quite large.

The business appears to be run by a couple who have received mixed feedback regarding customer service - some reviewers praise their friendly and sweet demeanor, while one negative review mentions experiencing poor attitude and service. Most recent reviews are highly positive, though one customer noted a decline in sandwich quality and preparation compared to previous visits."
13633,"# Viva Modern Mexican

**Location:** 1114 State St, Santa Barbara, CA

**Overview:** Viva Modern Mexican is a versatile dining establishment with a 3.5-star rating that offers a blend of Mexican, Latin American, Peruvian, and seafood cuisine. The restaurant features tapas/small plates and serves breakfast, brunch, and cocktails.

**Amenities:**
- Classy ambience
- Outdoor seating
- Free WiFi
- Takeout available
- Reservations accepted
- Good for groups
- Parking available (garage and street)

**Notable Features:**
- Margarita flights praised for freshness and flavor
- Event hosting capabilities with upstairs space for private parties
- Taco buffet option for events
- Dedicated Events Coordinator for planning

**Customer Experiences:**
Reviews are mixed, with some customers highly praising the restaurant's event hosting services and margaritas, while one serious complaint mentioned food safety concerns. The venue appears particularly well-suited for hosting events such as rehearsal dinners and welcome parties.

Note: Based on review dates from 2019, this business may no longer be operating at this location."
13637,"# Hollister Brewing Company

Hollister Brewing Company is an American (Traditional) brewpub located at 6980 Marketplace Dr in Goleta, CA. The establishment has a 3.5-star rating overall.

## Hours of Operation
Open daily from 11:30 AM, closing at 7:30 PM Sunday through Thursday and 8:00 PM on Friday and Saturday.

## Amenities
- Lot parking available
- Accepts reservations
- Outdoor seating
- Free WiFi
- Takeout service
- Good for groups
- Ambience described as both classy and casual

## Customer Experience
Recent reviews indicate mixed experiences:
- The restaurant underwent a menu change, with some customers appreciating the updated offerings, particularly noting improved Korean chicken wings and house-made dressings
- Some customers have reported slow service, with one mentioning a 30-minute wait before orders were taken
- Concerns have been raised about staff behavior and management, with one review mentioning issues with bartenders and management

The establishment brews its own beer on-site and offers a full bar with some wine options."
13669,"# Jeannine's American Bakery Restaurant

**Location:** 7060 Hollister Ave, Ste 105, Goleta, CA

**Categories:** Bakeries, American (Traditional), Breakfast & Brunch, Coffee & Tea

**Hours:**
- Wednesday-Friday: 7:30 AM - 1:30 PM
- Saturday-Sunday: 7:30 AM - 2:00 PM
- Monday: Closed
- Tuesday: Not specified

**Features:**
- Outdoor seating available
- Free WiFi
- Takeout available
- Parking lot
- Classy ambience

Jeannine's American Bakery Restaurant is a 4.5-star establishment located in a mall in Goleta. The restaurant is particularly known for its breakfast offerings, with French toast being consistently highlighted as a standout menu item. Other popular dishes include avocado toast and the All American breakfast. The restaurant also serves fresh orange juice, coffee, and matcha lattes.

Customer experiences vary, with some praising the ""top notch"" food and service, the ""super cute"" decor, and particularly enjoying the crispy bacon and quality eggs with ""deep Orange yolks."" However, some customers have reported inconsistencies between this location and other Jeannine's locations, with occasional issues regarding coffee quality and certain menu items like chilaquiles."
