source_id,summary
14-0,"Militants armed with guns and grenades attacked Sardar Daud hospital in Kabul by detonating explosives at the gate and opening fire on staff and patients, wounding over 50 people. Afghan commandos killed all four attackers after several hours. The Islamic State (IS) group claimed responsibility, while the Taliban denied involvement. This marks the first time IS has directly engaged security forces in Kabul, previously targeting mainly civilian gatherings. The attack suggests IS now has greater resources and military training, potentially leading to more such assaults. IS has been active in Afghanistan since 2015, carrying out several deadly attacks, while the Taliban also continues its own attacks. Afghan leaders condemned the hospital attack, calling it an affront to human values."
14-1,"The passage discusses the shortlist for the Booker Prize, which, for the first time, is open to all English-language authors regardless of nationality. The favourite to win, according to bookmakers, is Mukherjee's *The Lives Of Others*, set in 1960s Calcutta. Other shortlisted authors include British writers Howard Jacobson (*J*) and Ali Smith (*How To Be Both*), Americans Joshua Ferris (*To Rise Again at a Decent Hour*) and Karen Joy Fowler (*We Are All Completely Beside Ourselves*), and Australian Richard Flanagan (*The Narrow Road to the Deep North*). Fowler's novel is the best-selling among the finalists. The winner will be announced at London's Guildhall, with the ceremony broadcast on the BBC. The judging panel is chaired by AC Grayling. Each shortlisted author receives £2,500 and a special edition of their book. The passage also notes some criticism of the shortlist and mentions last year's winner, Eleanor Catton."
14-2,"Mark Carney, Governor of the Bank of England, surprised many by choosing to extend his term by only one year, rather than staying until 2021 or leaving in 2018 as originally planned. This decision came amid Brexit negotiations and speculation about political or professional pressures. However, Carney emphasized that his choice was based on personal reasons, particularly his family's needs, as his daughters would be finishing school in 2018 and the family wished to return to Canada. He dismissed any suggestions of political tension or influence, stating the decision was entirely personal. Carney will now remain until 2019, after which a new Governor will take over as the Brexit process concludes."
14-3,"Adrian Gill, a renowned columnist and journalist for the Sunday Times since 1993, died after being diagnosed with multiple cancers, which he described as the ""full English"" of cancers. Despite his illness, Gill expressed gratitude for his life. He was widely praised by colleagues and editors for his wit, fearless writing, and unique style, though his articles often sparked controversy. Gill overcame dyslexia to build a successful career, dictating his work by phone, and was known for his sharp, sometimes provocative commentary. Born in Edinburgh in 1954, he studied art before turning to journalism. He was married twice, had four children, and was recently engaged to his long-term partner Nicola Formby. His final column about his illness was to be published posthumously."
14-4,"The passage describes the activities of prominent hacker groups involved in the Ukraine conflict: the pro-Ukrainian Ukrainian Cyber Troops, anti-Western Cyber Berkut, and Russian-focused Anonymous International. The Ukrainian Cyber Troops, led by Yevhen Dokukin, conduct hacks against Russian and separatist targets, using DDoS attacks, hacking CCTV, and disrupting rebel funding, and have leaked data suggesting Russian military involvement in Ukraine. Cyber Berkut targets Ukrainian and Western interests, hacking government websites, leaking documents, and spreading anti-Ukrainian propaganda. Anonymous International, also known as Shaltay Boltay, leaks Kremlin documents, focusing mainly on Russian domestic affairs but also releasing material related to Ukraine. The passage notes that these groups present themselves as independent activists, and there is debate over the use of hacker-obtained information by Ukrainian authorities."
5-0,"James Milner, a former Manchester City player, earned 61 caps for England's senior team after debuting in 2009. He participated in two World Cups and two European Championships, but only played three minutes at Euro 2016. Milner also holds the record for most England Under-21 caps with 46, starting in 2004. He scored his only senior international goal in a 5-0 win over Moldova during the 2014 World Cup qualifiers."
5-1,"Brad Wilk is best known as the drummer for Rage Against the Machine (1991–2000; 2007–11) and Audioslave (2001–07). He began his career with Greta in 1990 and co-founded Rage Against the Machine in 1991. As of 2016, he plays in Prophets of Rage with Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also notes that Rage is a German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke, previously interim manager at Kilmarnock, has been appointed as the club's permanent manager after signing a three-year contract. Locke, who joined as assistant to Allan Johnston last summer, took over when Johnston resigned in early February. Since then, Locke has lost only once in seven games. He will address the media at a press conference on Friday morning."
5-3,"Rupert Murdoch is the current chairman and acting CEO of Fox News. He has had full control as Chairman and CEO of News Corporation, which became News Corp and 21st Century Fox after a split in 2013. His younger son, James Murdoch, is the CEO of 21st Century Fox and chairman of Sky plc."
15-0,"Veteran actor Robert Hardy, aged 89, is auctioning his extensive collection of over 200 antiques, valued at £100,000, as he downsizes his home. Known for roles in ""All Creatures Great and Small,"" as Winston Churchill, and as Cornelius Fudge in the Harry Potter films, Hardy is also a military historian and expert on the medieval longbow. The auction, held by Dominic Winter Auctioneers in Gloucestershire, features 238 lots including a hand-painted diorama of the Battle of Agincourt, Victorian furniture, a yew longbow, paintings, swords, rifles, silverware, chandeliers, and books dating back to the 17th century. Hardy, who studied under Tolkien and C.S. Lewis at Oxford and has published books on the longbow, expressed sadness at parting with his collection but hopes new owners will enjoy the items. Despite retiring from stage acting after a fall, he plans to continue television work."
