source_id,summary
14-0,"# Summary of Hospital Attack in Afghanistan

Islamic State (IS) militants attacked Sardar Daud hospital in Afghanistan, using explosives to breach a gate before opening fire on staff and patients. Afghan commandos killed all four attackers after several hours of fighting. The attack left more than 50 people wounded, while the Taliban denied involvement. According to security analysts, this assault marks a tactical shift for IS in Afghanistan, as they directly engaged with security forces in Kabul rather than targeting civilian gatherings as in previous attacks. President Ashraf Ghani condemned the attack as trampling ""all human values."" This incident is part of IS's expanding presence in Afghanistan since declaring its ""Khorasan Province"" in 2015, following several other major attacks in the country, including bombings at a rally, a mosque, and the Supreme Court."
14-1,"# 2014 Booker Prize Shortlist Summary

Neel Mukherjee's ""The Lives Of Others,"" a story of 1960s Calcutta, is the 5/2 favorite to win the 2014 Booker Prize. This marks the first year the prize is open to all English-language authors regardless of nationality. The shortlist includes six authors: three British (including former winner Howard Jacobson for ""J""), two Americans (Joshua Ferris and Karen Joy Fowler), and one Australian (Richard Flanagan). Fowler's ""We Are All Completely Beside Ourselves"" is the bestseller among the nominees with over 55,000 copies sold. All shortlisted works experienced sales increases after the announcement. The winner will be announced at London's Guildhall, with each finalist receiving £2,500 and a special edition of their book. The judging panel is chaired by AC Grayling."
14-2,"# Mark Carney's Decision to Extend Bank of England Term by One Year

Mark Carney, Governor of the Bank of England, surprised many by announcing he would extend his tenure by just one year beyond his original 2018 end date, rather than staying until 2021 or departing as initially planned. This decision was primarily driven by family considerations - in 2018, two of his daughters will be completing important educational milestones (A-levels and GCSEs), making it an ideal time for his family to return to Canada.

From a professional standpoint, Carney recognized that departing in 2018 would place his exit in the middle of Brexit negotiations. By extending to 2019, he would remain until the Article 50 process should be complete, providing stability during this critical period while allowing a new Governor to guide Britain's economic future afterward.

Despite speculation about political tensions or reaction to Brexit criticism, those close to Carney maintain his decision was personal, though he acknowledged the role ""requires total attention and devotion"" which he intended to provide as long as possible."
14-3,"# Summary: Adrian Gill, Acclaimed Sunday Times Columnist, Dies After Cancer Diagnosis

Adrian Gill, a prominent columnist for the Sunday Times since 1993, has died following his recent diagnosis with ""the full English"" of cancers. Known for his dazzling, fearless writing style, Gill was described by Sunday Times editor Martin Ivens as ""a giant among journalists"" and ""the heart and soul"" of the paper. Despite struggling with dyslexia, which led him to dictate his articles over the telephone, Gill was celebrated for his distinctive prose, though his work often sparked controversy for its provocative comments about various groups and places. Born in Edinburgh in 1954, Gill was previously married to author Cressida Connolly and later to current Home Secretary Amber Rudd, with whom he had two children. At the time of his death, he was engaged to his partner of 23 years, Nicola Formby (whom he often called ""The Blonde"" in his restaurant reviews), with whom he had twins."
14-4,"# Summary of Cyber Warfare in the Russia-Ukraine Conflict

The passage describes three main hacker groups operating in the Russia-Ukraine conflict. The Ukrainian Cyber Troops, led by programmer Yevhen Dokukin, support Ukraine by hacking Russian government servers, using DDoS attacks against rebel websites, disrupting separatist funding channels, and accessing CCTV systems in rebel-held areas. They share obtained data with Ukrainian authorities.

On the pro-Russian side, Cyber Berkut (named after riot police used against Kiev protesters) targets Ukrainian government websites with anti-Western messaging. Their claimed activities include hacking during Biden's visit to Kiev, compromising electronic billboards, disrupting vote-counting systems, and leaking alleged documents about Ukrainian military operations.

The third group, Anonymous International (also known as ""Humpty Dumpty""), primarily publishes leaked Kremlin documents. Their Ukraine-related activities include releasing a letter from a Russian fighter suggesting locals didn't support separatists and leaking emails from a key rebel commander. Their website is blocked in Russia."
5-0,"# Summary

James Milner, a 30-year-old former Manchester City player, has retired from international football after earning 61 caps for England since his 2009 debut. Though he participated in two World Cups and two European Championships, he played only three minutes at Euro 2016. Milner also holds the record for most England Under-21 appearances with 46 caps since 2004. His only international goal came during England's 5-0 win over Moldova in the 2014 World Cup qualifiers."
5-1,"# Brad Wilk

Brad Wilk is a drummer best known for his work with the rock bands Rage Against the Machine (1991-2000; 2007-11) and Audioslave (2001-07). He began his drumming career with the band Greta in 1990 before co-founding Rage Against the Machine with Tom Morello and Zack de la Rocha in August 1991. As of 2016, Wilk performs in Prophets of Rage alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also mentions a separate German heavy metal band called Rage, formed in 1984 by Peter ""Peavy"" Wagner, which is unrelated to Wilk's band."
5-2,"# Gary Locke Appointed Permanent Kilmarnock Manager

Gary Locke has been appointed Kilmarnock's permanent manager after signing a three-year deal with the club. The 41-year-old former Hearts boss had been serving as interim manager since early February when Allan Johnston quit. Locke initially joined Kilmarnock last summer as Johnston's assistant. His permanent appointment comes after an impressive interim spell where he lost just once in seven games. Locke will address a press conference on Friday morning following his confirmation as permanent manager."
5-3,"# Summary

Rupert Murdoch serves as the current chairman and acting CEO of Fox News. His son, James Rupert Jacob Murdoch (born December 13, 1972), is an Australian, British, American businessman who is the CEO of 21st Century Fox and chairman of Sky plc. Rupert Murdoch previously had full control as Chairman and CEO of News Corporation, the world's second-largest media conglomerate, which split into News Corp and 21st Century Fox on June 28, 2013."
15-0,"# Robert Hardy's Antique Collection Auction

Veteran actor Robert Hardy, 89, is auctioning over 200 antique items worth approximately £100,000 after deciding to downsize his home. Hardy, known for his roles in ""All Creatures Great and Small,"" multiple portrayals of Winston Churchill, and as Cornelius Fudge in the Harry Potter films, is a noted military historian and medieval longbow expert who studied English under J.R.R. Tolkien.

Notable auction items include a commissioned hand-painted limewood diorama of the Battle of Agincourt (estimated £4,000-£6,000), a yew longbow with mother-of-pearl handle, furniture, weapons, silverware, chandeliers, and rare books dating back to the 17th century. The 238-lot auction will be conducted by Dominic Winter Auctioneers in Gloucestershire.

Hardy expressed sadness about parting with his treasured collection but will continue television work despite retiring from stage acting two years ago following an injury."
