source_id,qa_response
14300,"Based on the provided passages, automotive technicians can be paid in various ways, including hourly rates, commission, or a combination of both. The pay can vary depending on the state, the type of work they specialize in, and the company they work for."
14323,"Based on the provided passages, to grill a porterhouse:

1. Dump a chimney of lit coals into the grill.
2. Spread the coals into a double layer at the far side and a single layer in the center.
3. Leave the section closest to you coal-free.
4. Replace the grill grate.
5. If using a gas grill, set it up for three-zone grilling.
6. Keep the grill hot, clean, and lubricated."
14353,"Based on the provided passages, here's how to fold a quilt:

1. Lay the quilt on a flat surface.
2. Fold the lower right corner up toward the center of the quilt, ensuring the fold is on the bias.
3. Fold the lower left corner up toward the center of the quilt, ensuring the fold is on the bias.
4. Fold the top left corner down toward the center of the quilt, ensuring the fold is on the bias.
5. Fold the top right corner down toward the center of the quilt, ensuring the fold is on the bias."
14355,"Based on the provided passages, the benefits of a water pick include:

- Helping to eliminate germs and plaque that are tough to remove with a toothbrush.
- Massaging and stimulating soft tissue in the mouth to reduce the risk of gingivitis.
- Cleaning better around the teeth and gums, removing food from areas that brushing cannot access."
14360,"Based on the provided passages, to set the default browser to Windows Edge, follow these steps:

1. Open the Settings app.
2. Click on ""System"" in the left pane.
3. In the right pane, click on ""Default apps.""
4. Scroll down to the ""Web browser"" section.
5. Click on the Edge browser entry.
6. Select ""Choose an app"" and then click on ""Google Chrome"" to set it as the default browser."
14366,"The proper way to dispose of a worn USA flag is to burn it in a peaceful manner, with the ashes buried, or to fold it in the customary triangle fold and burn it in a proper ceremony."
14375,"To cook brats, follow these steps:

1. Preheat an outdoor grill for medium-high heat.
2. Lightly oil the grill grate.
3. Combine beer and onions in a large pot; bring to a boil.
4. Submerge the bratwurst in the beer mixture, add red pepper flakes, garlic powder, salt, and pepper.
5. Simmer the bratwurst in the beer mixture for 15 to 20 minutes.
6. Remove the bratwurst from the beer mixture and cook them on the preheated grill, turning once, for 5 to 10 minutes.
7. Serve the bratwurst with the beer mixture as a topping or side."
14390,"**Symptoms of IBS:**
- Diarrhea (often violent episodes)
- Constipation
- Constipation alternating with diarrhea
- Belly pains or cramps, usually in the lower half of the belly, that get worse after meals and feel better after a bowel movement
- A lot of gas or bloating

**Causes of IBS:**
- Unknown, but thought to result from a combination of abnormal GI tract movements, increased awareness of bodily functions, and a disruption in the communication between the brain and the GI tract.
- Factors include alteration in GI tract motility, abnormal nervous system signals, increased sensitivity to pain, and food intolerances.
- Risk factors include abnormal movements of the colon and small intestines, hypersensitivity to pain from a full bowel or gas, and food sensitivities."
14392,"Essential amino acids are those that the body cannot produce and must be obtained from the diet. Nonessential amino acids, on the other hand, can be synthesized by the body from other amino acids or protein breakdown."
14394,"The typical weather in Indiana is characterized by hot, humid summers and chilly, windy winters."
