source_id,summary
15599,"**Core Summary:**

Blue Bell ice cream has shut down its Broken Arrow, Oklahoma plant after listeria contamination was discovered in ice cream products. The CDC warned consumers to avoid Blue Bell 3-ounce servings from this plant (marked with letters O, P, Q, R, S, or T). 

**Key outbreak details:**
- Kansas outbreak: 5 people infected, 3 died - all hospitalized at same facility and consumed Blue Bell products
- Texas outbreak: Separate infections between 2010-2014 also linked to Blue Bell products
- Listeria found in hospital ice cream matched samples from the Oklahoma plant

**Company response:**
- Third action taken by Blue Bell related to listeria concerns
- Previously recalled products from Texas plant in March
- First recall in company's 108-year history
- Investigation ongoing to confirm if ice cream is infection source

**Health impact:**
Listeriosis primarily affects elderly, pregnant women, newborns, and immunocompromised individuals. In the US, approximately 1,600 people become seriously ill annually with a 16% fatality rate.

The recall affects only specific 3-ounce servings from the Oklahoma plant; other Blue Bell products (half gallons, pints, quarts) are not included."
15601,"**Summary:**

A Columbia Journalism School review found that Rolling Stone published a ""deeply flawed"" article about an alleged gang rape at the University of Virginia, citing failures in reporting, editing, supervision, and fact-checking. Rolling Stone apologized for the story and its impact on affected parties, including Phi Kappa Psi fraternity.

The passage analyzes potential defamation lawsuits arising from the article:

**Who Cannot Sue:**
- UVA cannot sue because, as a public university, it's a governmental entity, and governments cannot bring defamation claims under U.S. law

**Who Might Be Able to Sue:**
- Individual fraternity members could potentially sue as private individuals, needing to prove the statements were false, harmed their reputation, and that Rolling Stone acted with inadequate fact-checking
- Phi Kappa Psi might qualify under the ""small group"" exception, where defamatory statements about a small group can be imputed to individual members
- Other fraternities not specifically mentioned would face greater legal challenges

**Practical Challenges:**
Most defamation cases require proving financial damages, which is often difficult. However, the Columbia report could help establish the required intent element for a defamation claim.

The conclusion suggests that while UVA cannot sue, fraternity members might have viable defamation claims if they can overcome preliminary legal hurdles and demonstrate tangible damages."
15604,"This passage is a critique of Rand Paul's 2015 presidential campaign announcement by a Kentucky politician who was the first woman and person of color elected to the Kentucky State Senate in 1967. 

**Key points:**

- **Paul's campaign messaging**: Paul announced his presidential bid claiming to want to expand the Republican Party with an inclusive message, but the author argues this is contradicted by his record.

- **Civil rights concerns**: The author criticizes Paul for questioning landmark voting rights and civil rights legislation, including the Civil Rights Act, and for claiming private business owners have a right to discriminate.

- **Policy positions criticized**: Paul's stances include wanting to eliminate the Department of Education, limiting women's choices, opposing protections for DREAMers, and being dismissive about strengthening the Voting Rights Act.

- **Speaking engagements**: The author describes Paul's appearances at historically black colleges as condescending and lacking cultural competency.

- **Overall assessment**: The author concludes that despite Paul's attempts to position himself as the Republican who can broaden the party's appeal to minority communities, his record shows views that are ""outdated, outside of the mainstream, and disqualifying"" for presidential leadership.

The author argues that Paul's rhetoric doesn't match his policy positions and that Americans deserve better leadership."
15613,"**Summary:**

Mary Kay Letourneau Fualaau, a former teacher, and her husband Vili Fualaau began their relationship when she was 34 and he was her 13-year-old student in 1996. Their sexual relationship resulted in her serving over seven years in prison and having a child together. The couple married in 2005 after her release and now have two teenage daughters. They are approaching their 10th wedding anniversary (May 20) and will appear in an ABC ""20/20"" interview with Barbara Walters. Currently ages 53 and 31 respectively, they will discuss their marriage dynamics, her plans to return to teaching and remove her sex offender status, and his struggles with alcoholism and depression stemming from the system's handling of the situation when he was a minor."
15616,"**Summary:**

Kanye West settled a civil lawsuit with photographer Daniel Ramos after assaulting him at Los Angeles International Airport in July 2013. West had attacked Ramos and attempted to wrestle away his camera during the incident, which was caught on video. 

West previously pleaded no contest to misdemeanor battery charges and received two years' probation, anger management sessions, and community service. Ramos and his attorney Gloria Allred filed a civil suit seeking damages, claiming West interfered with the photographer's right to pursue his lawful occupation.

The case was settled before going to trial, with key terms including an apology from West to Ramos. The two men shook hands following the apology. Settlement details were not disclosed. The case was positioned as sending a message that ""celebrities are not above the law"" and cannot physically attack people for asking questions."
15617,"**Summary:**

Blues legend B.B. King, 89, was hospitalized for dehydration caused by his Type II diabetes but has since recovered and returned home. His daughter Claudette King confirmed he is ""much better"" and is now resting with his grandchildren. King released a statement thanking fans for their concerns and expressing that he was feeling better upon leaving the hospital.

The incident recalls a similar health scare last year when King suffered dehydration and exhaustion after a Chicago show, forcing him to cancel his remaining tour dates. 

B.B. King, whose name derives from ""Blues Boy"" from his Memphis DJ days, is a Rock and Roll Hall of Fame inductee (1987) with 30 Grammy nominations. He's known for his Gibson guitars, all named ""Lucille,"" and hits like ""The Thrill Is Gone"" (his first Grammy winner in 1970) and collaborations including ""When Love Comes to Town"" with U2."
15623,"**Summary:**

Chris Copeland of the Indiana Pacers was stabbed early Wednesday morning in New York City after leaving the 1OAK nightclub in Chelsea. The stabbing occurred in front of the Fulton Houses housing project where Copeland and his companion Katrine Saltara had parked their car. Both Copeland and Saltara were stabbed by a 22-year-old Brooklyn man, along with a third woman. The suspect was arrested and charges are pending.

Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, were arrested on obstruction and disorderly conduct charges (Sefolosha also faces resisting arrest) after they went outside to check on their friend Copeland and interfered with police establishing the crime scene. The Hawks players were not involved in the actual stabbing incident.

Copeland suffered knife wounds to his left elbow and abdomen and is in stable condition at a New York hospital. The Hawks players had just finished a game in Atlanta on Tuesday night before traveling to New York. Both Hawks players will miss their Wednesday night game against the Brooklyn Nets, while Copeland's Pacers are scheduled to play the New York Knicks."
15627,"**Summary:**

Selena's family is creating a hologram-like digital version of the late Tejano star, 20 years after her death, using technology from Nevada-based company Acrovirt LLC. The project, called ""Selena the One,"" will be a ""walking, talking, singing and dancing digital embodiment"" that can learn and react autonomously. 

The digital Selena is planned to release new music, collaborate with current artists, and tour in 2018. Her sister Suzette Quintanilla emphasizes this isn't meant to replace Selena but to continue her legacy for new fans who never experienced her performances. Selena will be the first to use this advanced technology, which the family considers more sophisticated than previous celebrity holograms like those of Michael Jackson and Tupac.

The family is launching a $500,000 Indiegogo crowdfunding campaign starting April 16 to support the project. Despite dying 20 years ago after being killed by her fan club president, Selena remains highly popular with 2 million Facebook followers."
15628,"**Core Summary:**

Alaska Airlines Flight 448 from Seattle to Los Angeles made an emergency return 14 minutes after takeoff on Monday when the pilot heard banging from the cargo hold. The source was a sleeping ramp agent from Menzies Aviation (an Alaska Airlines contractor) who had fallen asleep while loading baggage.

**Key Details:**
- Passengers heard pounding and faint screams for help from below
- A federal air marshal communicated with the trapped worker and coordinated the emergency response
- The agent was safe due to the pressurized, temperature-controlled cargo hold
- He was part of a 4-person baggage team whose shift ended at 2:30 PM (just before departure); coworkers assumed he had gone home when he went missing
- The agent was hospitalized as a precaution, passed a drug test, and was discharged
- After the delay, the flight with 170 passengers and 6 crew continued to Los Angeles
- Alaska Airlines is investigating the incident

The event raised passenger safety concerns, though the employee had proper security clearance and background checks."
15634,"**Summary:**

Emy Afalava, a veteran born in American Samoa (a U.S. territory since 1900), has been denied U.S. citizenship and voting rights despite being subject to American law his entire life. He and other American Samoans are pursuing a federal lawsuit in the D.C. Circuit, arguing that the 14th Amendment grants them citizenship as persons born in U.S. territory.

The passage traces a historical pattern of racially-motivated citizenship denial, beginning with the infamous Dred Scott case that denied citizenship to African Americans (later overturned by the 14th Amendment). It details the 1904 Isabel Gonzalez case, where a Puerto Rican woman was denied mainland entry despite Puerto Rico being U.S. territory. The Supreme Court at that time held racist views about ""tropical peoples"" and treated island territories as second-class, ruling that while Puerto Ricans weren't aliens, it declined to decide their citizenship status.

The passage argues this discriminatory precedent continues today, noting that while residents of all other U.S. island territories have gained citizenship over the past century, American Samoans remain the last group denied these rights. The author contends this injustice should end, especially given that such racial discrimination was supposedly repudiated after the Civil War and subsequent constitutional amendments."
