source_id,summary
14-0,"Based on the passage provided, militants armed with guns and grenades attacked the Sardar Daud hospital in Kabul. The assault began when one attacker detonated explosives at a gate, allowing the group to enter and open fire on staff and patients. After several hours, commandos landed on the hospital roof and killed all four attackers.

The Islamic State (IS) group claimed responsibility for the attack, while the Taliban denied involvement. The defence ministry reported that more than 50 people were wounded. The passage notes that this attack marks a change in approach for IS in Afghanistan, as it was the first time they directly engaged with security forces in the capital. The method used, blowing open a gate to allow gunmen entry, is described as being more commonly associated with the Taliban and suggests IS may have the resources and training to expand its attacks."
14-1,"Based on the passage, the Booker Prize is in its 46th year and, for the first time, is open to all authors writing in English regardless of nationality. The winner will be announced on Tuesday night at London's Guildhall.

The shortlist includes six authors:
*   **Mukherjee:** His book, *The Lives Of Others*, about 1960s Calcutta, is the 5/2 favorite to win.
*   **Richard Flanagan:** His novel, *The Narrow Road to the Deep North*, is second in the betting at 3/1.
*   **Howard Jacobson:** A former winner, he is nominated for his futuristic love story *J*.
*   **Ali Smith:** Nominated for *How To Be Both*, which tells two interlinking stories.
*   **Joshua Ferris:** Nominated for *To Rise Again at a Decent Hour*, about a New York dentist.
*   **Karen Joy Fowler:** Nominated for *We Are All Completely Beside Ourselves*, which is the best-selling book on the list with over 55,000 copies sold.

A professor of contemporary literature described the list as ""weak"" and suggested Howard Jacobson is unlikely to win a second time so soon. Shortlisted authors each receive £2,500. Last year's winner was Eleanor Catton for *The Luminaries*."
14-2,"Mark Carney, the Governor of the Bank of England, announced he would extend his term by one year, a ""third way"" between the two expected options of leaving in 2018 or staying until 2021. The decision was described as ""entirely personal"" and was primarily driven by family circumstances. In 2018, one of his daughters will be finishing A-levels and another her GCSEs, making it a ""perfect moment"" for his family to return to Canada. While Carney felt it would be difficult to leave in the middle of Brexit negotiations, he only felt able to extend his stay by one year. The extension to 2019 is intended to see the Article 50 process through to completion. The passage states that the decision was not influenced by political pressure or criticism of the Bank's economic forecasts."
14-3,"Based on the passage, columnist Adrian Gill died from cancer, which he had described as the ""full English."" Gill, who joined the Sunday Times in 1993, was praised by colleagues like editor Martin Ivens as a ""giant among journalists"" with an incomparable wit and dazzling writing style. His final column was about his diagnosis. Known for dictating his copy due to dyslexia, Gill's articles were often controversial, leading to outrage and censure for comments about the Welsh, Clare Balding, and his shooting of a baboon. Born in 1954, he was previously married to Cressida Connolly and Amber Rudd, with whom he had two children. Following his illness, he became engaged to his partner of 23 years, Nicola Formby, with whom he also had two children."
14-4,"Based on the passage, there are three main ""virtual warrior"" groups involved in the Ukraine conflict, all of which present themselves as independent activists:

*   **Ukrainian Cyber Troops:** A pro-Ukrainian group led by Yevhen Dokukin. Their activities include hacking Russian ministry servers, using DDoS attacks to disable rebel websites, disrupting separatist funding, hijacking CCTV systems to monitor troops, and using network printers to print pro-Ukrainian messages. Ukrainian officials deny using information from hackers to direct artillery fire.
*   **Cyber Berkut:** An anti-Western group whose rhetoric resembles Russian state media. They have hacked Ukrainian government websites and electronic billboards, and claim to have disrupted election systems, leaked Ukrainian defense ministry data, and retrieved confidential documents from a member of US Vice-President Joe Biden's team. They also allegedly hacked a Facebook conversation regarding flight MH17, a claim that was unverified.
*   **Anonymous International (Shaltay Boltay):** A Russian activist group known for publishing leaked Kremlin documents, though it is unclear if they obtain material through hacking or from insiders. While focused on Russian domestic affairs, they have released Ukraine-related material, including a letter from a Russian fighter and alleged emails from a rebel commander. Their website is blocked in Russia."
5-0,"Milner, a 30-year-old former Manchester City player, won 61 caps for England after his senior debut in 2009. He was a squad member for two World Cups and two European Championships, though he only played three minutes at Euro 2016. He scored his only international goal in a 5-0 win over Moldova during the 2014 World Cup qualifiers. Milner also holds the record for the most caps for England's Under-21 team, with 46 appearances since 2004. He described his decision as ""common sense"" and wished success to manager Sam Allardyce and the team."
5-1,"Brad Wilk is a drummer known for playing in the bands Rage Against the Machine (1991-2000; 2007-11) and Audioslave (2001-07). He started his career in 1990 with the band Greta and co-founded Rage with Tom Morello and Zack de la Rocha in August 1991. As of 2016, he plays in Prophets of Rage with Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also states that Rage is a German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke has been appointed the permanent manager of Kilmarnock, signing a three-year deal. Locke, who is 41 years old, initially joined the club as an assistant boss last summer and became the interim manager at the start of February after Allan Johnston quit. During his interim spell, he lost only one of seven games."
5-3,"Based on the passage, Rupert Murdoch is the chairman and acting CEO of Fox News. He was also the Chairman and CEO of News Corporation, which split into News Corp and 21st Century Fox on June 28, 2013, with Murdoch controlling the successor companies. His younger son, James Rupert Jacob Murdoch, is an Australian, British, and American businessman who serves as the CEO of 21st Century Fox and chairman of Sky plc."
15-0,"Veteran actor Robert Hardy, 89, is selling his collection of over 200 antiques in an auction expected to raise £100,000 because he is downsizing his home. The sale consists of 238 lots handled by Dominic Winter Auctioneers and includes items reflecting his interest in military history, such as a hand-painted diorama of the Battle of Agincourt, a yew longbow, swords, and flintlock rifles. Other items for sale are furniture, paintings, silverware, chandeliers, and books.

Hardy is known for his roles in ""All Creatures Great and Small,"" as Winston Churchill, and as Cornelius Fudge in the Harry Potter films. He is also a military historian and an expert on the medieval longbow, having studied with J.R.R. Tolkien and C.S. Lewis. He expressed sadness about selling the collection but wished the new owners joy."
