source_id,summary
15599,"Blue Bell ice cream has temporarily closed a manufacturing plant in Oklahoma after listeria contamination was found in ice cream from that facility. Public health officials, including the CDC, have warned consumers not to eat any Blue Bell products from the affected plant, which includes 3-ounce servings marked with specific letters. The company has also recalled other products and is conducting an investigation to determine if the illnesses are related to Blue Bell products. This is the third time Blue Bell has taken action due to a listeria outbreak, with five people in Kansas infected and three deaths potentially linked to the company's products. The recall does not include other sizes of Blue Bell ice cream. Listeriosis, caused by listeria, is a serious infection, particularly affecting the elderly, pregnant women, newborns, and those with weakened immune systems."
15601,"A Columbia Journalism School review found that Rolling Stone's article about a gang rape at the University of Virginia was a result of institutional failure, including poor reporting and fact-checking. The magazine's managing editor apologized, and the article's inaccuracy may lead to defamation lawsuits. However, the University of Virginia, as a public entity, cannot sue for defamation. Fraternities, like Phi Kappa Psi, may face challenges in suing due to their group nature, but could potentially argue that the defamatory statements have been imputed to individual members. Other fraternities not involved in the story are less likely to succeed in a defamation case due to the difficulty in proving individual harm. Defamation suits are rare and typically require evidence of financial harm."
15604,"The author criticizes Rand Paul for his presidential campaign, highlighting his history of opposing civil rights and voting rights legislation, and questioning his commitment to minority issues despite his claims of being a minority outreach candidate for the GOP. The author argues that Paul's views are outdated and not in line with the progress made in democracy and civil rights over the past five decades."
15613,"Mary Kay Letourneau Fualaau, a former teacher who had an affair with her 13-year-old student Vili Fualaau, served over seven years in prison. Despite their past, they are now happily married, celebrating their 10th anniversary, and have two teenage daughters. Mary Kay is planning to return to teaching and hopes to have her sex offender status lifted, while Vili discusses his struggles with alcoholism and depression, and his belief that the system failed him as a minor. Mary Kay is now 53, and Vili is 31."
15616,"Kanye West settled a lawsuit with paparazzi photographer Daniel Ramos after West assaulted him and attempted to wrestle his camera at Los Angeles International Airport in July 2013. West pleaded no contest to a misdemeanor battery charge, resulting in two years' probation, anger management, and community service. The civil suit, which sought damages for interference with Ramos' right to work, was settled to the satisfaction of both parties, with an apology from West. The settlement details were not disclosed, but a picture of West and Ramos shaking hands was released, indicating the resolution of the case. The incident was captured on video, and West had previously settled a similar incident in Beverly Hills in 2014."
15617,"B.B. King, a renowned blues musician, was hospitalized for dehydration due to his Type II diabetes. He is reportedly much better and was discharged from the hospital, where he was resting at home with his grandchildren. King, who has 30 Grammy nominations and is known for his Gibson guitar named Lucille, expressed gratitude for the concern shown by his fans. He had previously suffered from dehydration and exhaustion after a show in Chicago, which led to the cancellation of the rest of his tour. No further details about his hospitalization were provided."
15623,"Chris Copeland of the Indiana Pacers was stabbed after leaving a New York nightclub, and two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, were arrested on charges of obstruction and disorderly conduct. The Hawks were not involved in the stabbing but were arrested after allegedly interfering with police. Copeland and a female companion, Katrine Saltara, were stabbed in front of Fulton Houses, and a knife was recovered. The Hawks are preparing for a historic playoff run, while the Pacers are one game out of playoff contention."
15627,"The Selena family is creating a hologram-like figure, ""Selena the One,"" using Acrovirt LLC's technology to honor the late Tejano star Selena. This digital embodiment will be able to walk, talk, sing, and dance, and is expected to release new music, collaborate with artists, and tour in 2018. The project aims to help Selena's legacy continue and is supported by an Indiegogo campaign. Selena remains popular, with a Facebook page of 2 million likes, and her life is celebrated at the Fiesta de la Flor in Corpus Christi, Texas."
15628,"An Alaska Airlines flight from Seattle-Tacoma to Los Angeles experienced a near-miss incident when a ramp agent from Menzies Aviation, who had fallen asleep, was found in the cargo hold. The pilot reported unusual banging, which turned out to be the sleeping agent. Passengers heard pounding and faint screams, prompting a federal air marshal to intervene. The plane made an emergency landing, and the ramp agent was taken to a hospital for precautionary measures. The airline is investigating the incident, and the agent had been part of a team responsible for loading baggage onto the flight. All ramp employees undergo security checks, and the agent had a clean drug test result. The flight landed safely with 170 passengers and six crew members."
15634,"Emy Afalava, a U.S. territory-born American Samoan, is challenging his citizenship status in a federal lawsuit, as he and others are denied U.S. citizenship and voting rights despite the Fourteenth Amendment's citizenship clause. This issue is part of a historical pattern of racial discrimination in U.S. citizenship laws, as seen in the Dred Scott case and the treatment of Puerto Ricans, like Isabel Gonzalez, who were not granted full citizenship rights despite being U.S. territories."
15638,"Iman Hashi and her sister Siham, known as Faarrow, are Somali sisters who fled Mogadishu in 1991 and now reside in Los Angeles. They are working on their debut Afro-pop album, with Siham and their producer Elijah Kelley writing and producing the majority of the songs. The sisters are also involved in humanitarian work, supporting the UNHCR and running a non-profit that sells bracelets to fund projects in Kenya and Somalia. They are currently in the mixing process of their album and plan to release their first single soon."
15651,"Pope Francis faced a dilemma in addressing the Armenian Genocide, a century-old tragedy where over 1 million Armenians died at the hands of the Turks. While many historians and countries recognize it as genocide, Turkish officials dispute the term, viewing the deaths as part of a broader war. Previous popes, including John Paul II and Benedict XVI, avoided using the term ""genocide."" Francis chose to quote John Paul's document, which referred to the event as ""the first genocide of the 20th century,"" to avoid direct confrontation with Turkey, a key ally against ISIS. This approach was seen as a way to maintain continuity in the Church's stance and avoid angering Turkey, despite criticism from Turkish officials who found the Pope's comments ""unacceptable"" and ""out of touch with historical facts."" Pope Francis also encouraged priests to speak openly about their convictions, mirroring the courage of the early apostles."
