source_id,summary
14-0,"Militants attacked the Sardar Daud hospital by detonating explosives at a gate and then opening fire on staff and patients with guns and grenades. Commandos landed on the hospital roof and killed all four attackers after several hours of fighting. The Islamic State (IS) group claimed responsibility for the attack, while the Taliban denied involvement. According to the defence ministry, more than 50 people were wounded. President Ashraf Ghani condemned the attack on the 400-bed hospital. The attack signifies a change in IS tactics in Afghanistan, marking their first direct engagement with security forces in Kabul and using methods previously associated with the Taliban, suggesting potentially expanded resources and training. IS announced its presence in Afghanistan in 2015 and has previously targeted civilians and fought forces mainly in the east. Abdullah Abdullah also condemned the attack."
14-1,"This passage discusses the upcoming announcement of the 46th Booker Prize winner. It is the first year the prize is open to all authors writing in English, regardless of nationality. Neel Mukherjee's *The Lives Of Others*, set in 1960s Calcutta, is the bookmakers' favorite at 5/2 odds. The shortlist includes three British writers (Howard Jacobson, Ali Smith, and one unnamed), two Americans (Joshua Ferris, Karen Joy Fowler), and one Australian (Richard Flanagan).

Key details about some shortlisted books are provided: Jacobson's *J* is a futuristic love story; Smith's *How To Be Both* has interlinking stories; Ferris's *To Rise Again at a Decent Hour* involves atheism and online identity; Fowler's *We Are All Completely Beside Ourselves* focuses on a family with a special child; Flanagan's *The Narrow Road to the Deep North* is a WWII love story. Fowler's book is the best-selling on the list, and the shortlist announcement boosted sales for all nominees.

Criticism of the list includes Professor David Brauner calling it ""weak"" but identifying Jacobson's *J* as the strongest, though suggesting reluctance to award a recent winner again. The judging panel is chaired by AC Grayling. Last year's winner was Eleanor Catton. Shortlisted authors receive £2,500. The winner announcement will be at London's Guildhall and covered by the BBC."
14-2,"Mark Carney, the Governor of the Bank of England, surprised many by announcing he would extend his term by only one year, until 2019, rather than leaving in 2018 as originally planned or staying until 2021. This ""third way"" decision was primarily driven by personal family reasons, specifically his daughters reaching educational milestones in 2018, making it an ideal time for the family to return to Canada. While acknowledging the professional difficulty of leaving amidst Brexit negotiations in 2018, Carney felt extending by just one year was manageable. He stated the decision was ""entirely personal"" and unrelated to political pressure, government policy, or criticism of the Bank's economic forecasts. The extension aims to see through the expected completion of the Article 50 process, after which a new Governor will take over."
14-3,"Adrian Gill, a columnist for the Sunday Times since 1993, has died from cancer, which he had recently described as the ""full English."" His death was sudden, shocking colleagues. Sunday Times editor Martin Ivens called Gill a ""giant among journalists"" and the ""heart and soul"" of the paper, praising his incomparable wit and fearless writing. Gill's final column about his diagnosis will be featured in the upcoming Sunday Times. Known for dictating his copy due to dyslexia, Gill was recognized for his unique style but also generated controversy with comments about various groups and places, leading to censure and outrage. Tributes from fellow writers and editors acknowledged his brilliance and impact. Born in 1954, Gill overcame dyslexia, studied art, and began writing in the 1980s. He was previously married to Amber Rudd, with whom he had two children, and was engaged to his partner of 23 years, Nicola Formby, with whom he also had two children."
14-4,"Based on the provided passage:

Three main groups presenting themselves as independent cyber activists are involved in the Ukraine conflict: the Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International. These groups engage in activities like publicizing documents, blocking websites, and hijacking CCTVs, billboards, and printers.

The pro-Ukrainian Ukrainian Cyber Troops, led by Yevhen Dokukin, claim hacks on Russian targets, providing data allegedly showing Russian military involvement. They use DDoS attacks against rebel websites, disrupt separatist funding via electronic payments, hack CCTVs for surveillance, and hijack printers for propaganda. Ukrainian officials deny using hacker data for military targeting.

Cyber Berkut is an anti-Western group whose rhetoric resembles Russian state media. They aim to thwart Ukraine's military plans. Their claimed actions include hacking Ukrainian government websites during Joe Biden's visit, obtaining documents on US military aid, hijacking Kiev billboards to display graphic content, disrupting elections, leaking Ukrainian military data, and blocking President Poroshenko's website. They also allegedly hacked a conversation suggesting Ukrainian forces downed flight MH17, though this is unverified.

Anonymous International (Shaltay Boltay), a Russian group, primarily leaks documents related to Russian domestic affairs, though some cover Ukraine, such as a letter indicating lack of local support for separatists and alleged emails of a rebel commander. It is unclear if they obtain material via hacking or leaks. Their website is blocked in Russia."
5-0,"James Milner, aged 30 and a former Manchester City player, won 61 caps for England's senior team after his debut in 2009. He was included in squads for two World Cups and two European Championships, playing just three minutes at Euro 2016. Milner holds the record for England Under-21 caps with 46, starting in 2004. He scored his only senior international goal against Moldova during the 2014 World Cup qualifiers. He mentioned reaching a ""common sense"" decision regarding his international career and wished the England team future success."
5-1,"Brad Wilk is a drummer known for playing in Rage Against the Machine (1991-2000; 2007-11) and Audioslave (2001-07). He started his career drumming for Greta in 1990 and co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in August 1991. As of 2016, he was playing in the band Prophets of Rage with Commerford, Morello, Chuck D, B-Real, and DJ Lord. The passage also mentions a separate German heavy metal band named Rage, formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke has been appointed as Kilmarnock's permanent manager, signing a three-year deal. Locke, the former Hearts boss, initially joined Kilmarnock as assistant manager to Allan Johnston last summer. He became interim manager in early February when Johnston quit. Since taking charge, the 41-year-old has lost only one of seven games. He shook hands with chairman Jim Mann after signing the deal and will speak at a press conference on Friday morning."
5-3,"Rupert Murdoch serves as the current chairman and acting CEO of Fox News. He previously held full control as Chairman and CEO of the global media holding company News Corporation. After News Corporation split into News Corp and 21st Century Fox on June 28, 2013, Rupert Murdoch controlled both successor companies. His younger son, James Murdoch, is the chief executive officer (CEO) of 21st Century Fox and chairman of Sky plc."
15-0,"Veteran actor Robert Hardy, 89, is selling his antique collection in a £100,000 auction as he is downsizing his home. Known for roles in *All Creatures Great and Small*, playing Winston Churchill, and appearing in *Harry Potter* films, Hardy is auctioning over 200 items (238 lots) collected throughout his career. He is a military historian and an expert on the medieval longbow, having studied with J.R.R. Tolkien and C.S. Lewis.

The sale, conducted by Dominic Winter Auctioneers in Gloucestershire this Saturday, includes items reflecting his interests, such as a hand-painted 3D diorama of the Battle of Agincourt commissioned by Hardy, a pair of Victorian cabinets, a portrait of Hardy holding a longbow, swords, furniture, books dating back to the 17th century, and chandeliers. Hardy expressed sadness about selling the collection he built up due to his interest in literature and military history. He retired from stage acting two years ago after a fall but intends to continue television work."
