source_id,summary
14-0,"Militants stormed Kabul’s 400-bed Sardar Daud military hospital at about 09:00 local time, detonating explosives at the front gate before shooting staff and patients. Four gunmen—one seen wearing a white doctor’s coat—fought security forces for more than six hours until commandos who landed on the roof killed them. The assault left more than 50 people wounded; images released by IS media showed additional fatalities. Islamic State claimed responsibility while the Taliban denied involvement. Officials, including President Ashraf Ghani and Chief Executive Abdullah Abdullah, condemned the attack on a site traditionally regarded as off-limits. Analysts noted this was IS’s first direct clash with security forces in Kabul, signalling greater capability after earlier attacks on civilian targets, and warning of further high-profile assaults as IS seeks to expand beyond its eastern strongholds."
14-1,"2014 is the Man Booker Prize’s 46th year and the first in which any writer of English, no matter the nationality, can compete.  
• The six-book shortlist is:  
  – Neel Mukherjee, The Lives of Others (family and politics in 1960s Calcutta) – the 5/2 bookmakers’ favourite.  
  – Richard Flanagan, The Narrow Road to the Deep North (WWII love story set on the Thai-Burma railway) – next in the betting at 3/1.  
  – Howard Jacobson, J (futuristic love story in a society that suppresses its past).  
  – Ali Smith, How to Be Both (twin narratives: a 15th-century artist and a 1960s child).  
  – Joshua Ferris, To Rise Again at a Decent Hour (atheist New York dentist and online identity theft).  
  – Karen Joy Fowler, We Are All Completely Beside Ourselves (college student’s unusual family) – the list’s top seller with 55,000 copies; Ferris has sold just over 6,000, while Mukherjee’s weekly sales leapt from 97 to 507 after the shortlist was named.  

• Judges: chair A. C. Grayling with Sarah Churchwell, Jonathan Bate, Daniel Glaser, Alastair Niven and Erica Wagner. Each shortlisted author already receives £2,500 and a specially bound copy of their book.  

• Winner will be revealed Tuesday night at London’s Guildhall, with coverage on the BBC News Channel (from 21:30 BST) and BBC Arts; the Duchess of Cornwall will present the prize.  

• Commentator David Brauner calls the list “weak,” saying Jacobson’s J is strongest but may suffer from reluctance to grant him a second Booker so soon after Hilary Mantel’s double win.  

• Last year’s prize went to New Zealander Eleanor Catton for The Luminaries."
14-2,"• Speculation over Mark Carney’s future centred on two choices: depart as first agreed in 2018 or stay the full eight-year term to 2021.  
• Instead, the Bank of England Governor chose a “third way”: extend by just one year and leave in 2019.  
• The main motive is personal—his family, particularly two daughters finishing A-levels and GCSEs in 2018, wish to return to Canada; Carney insists the decision is “entirely personal” and not about politics, forecasts or pressure.  
• Theresa May wanted him to stay longer but left the decision to him; those close to Carney deny any tension with government or sensitivity to critics.  
• Professionally he judged it hard to exit in mid-Brexit negotiations, so the one-year extension lets him help steer the economy until Article 50 talks should be finished, after which a new Governor will take over."
14-3,"Adrian Gill, celebrated yet often controversial Sunday Times columnist, has died shortly after revealing he had the “full English” of cancers and was receiving chemotherapy. Editor Martin Ivens called him “a giant among journalists” and said Gill’s final piece, reflecting on his diagnosis, runs in tomorrow’s paper. Colleagues and peers—Jay Rayner, Tim Shipman, Stig Abell, John Witherow, Andrew Neil, Piers Morgan and others—praised his dazzling, fearless prose, noting he usually dictated copy because of dyslexia.

Born in Edinburgh in 1954, Gill studied art before turning to writing in the 1980s, joining the Sunday Times in 1993. His sharp pen drew frequent controversy—among them shooting a baboon, derogatory remarks about the Welsh, Norfolk and the Isle of Man, a slur on Clare Balding, and an ejection from a Gordon Ramsay restaurant.

Gill married author Cressida Connolly (1983) and later Amber Rudd (1991), with whom he had two children, Flora and Alistair. Illness spurred his engagement to long-time partner Nicola Formby, mother of his twins Edith and Isaac."
14-4,"The passage profiles three self-declared, non-state hacker groups active around the Ukraine conflict.

1. Ukrainian Cyber Troops – Pro-Ukrainian collective led by Kyiv programmer Yevhen Dokukin. 
   • Hacks Russian Interior Ministry servers and police email, passes 35 GB+ of data to volunteers who claim it shows wounded Russian soldiers evacuated from Ukraine.  
   • Uses DDoS attacks to disable separatist websites (“our artillery”), freezes rebels’ PayPal/WebMoney accounts, hijacks CCTV in rebel zones for troop-tracking, and commandeers network printers in eastern Ukraine and Crimea to print pro-Ukrainian messages.  
   • Media speculate the army uses their intelligence, but Ukrainian officials deny relying on unverified hacker data.

2. Cyber Berkut – Pro-Russian, anti-Western group named after former Ukrainian riot police. 
   • Says its goal is to block Kyiv’s “genocide.”  
   • Defaced Ukrainian government sites during U.S. Vice-President Joe Biden’s November visit, calling him “the fascists’ master,” and claims it stole U.S. military-aid documents from a Biden team device.  
   • Hijacked Kyiv billboards with graphic anti-government videos; claims to have disrupted Ukraine’s election vote-counting, leaked defence data on losses/desertions, blocked President Poroshenko’s site, and posted an unverified chat alleging Ukraine downed MH17.

3. Anonymous International (Shaltay Boltay/Humpty Dumpty) – Russian leak group.
   • Publishes Kremlin documents; unclear whether through hacking or insider leaks.  
   • Released a Russian fighter’s letter saying locals don’t back separatists and emails linked to ex-FSB colonel Igor Girkin (Strelkov).  
   • Its website is now blocked in Russia.

All three act outside formal state structures but operate as “virtual warriors,” exposing documents, defacing sites and disrupting digital infrastructure amid the wider Ukraine-Russia confrontation."
5-0,"James Milner, 30, formerly of Manchester City, collected 61 England senior caps after debuting in 2009. He was in two World Cup and two European Championship squads, featuring for only three minutes at Euro 2016. Milner, who holds the record 46 caps for England Under-21s (first played in 2004), scored his sole senior international goal in the 5-0 World Cup-qualifying win over Moldova in 2014. Announcing an unspecified “common-sense” decision, he wished manager Sam Allardyce, the players, staff and supporters well."
5-1,"Brad Wilk began drumming professionally with Greta in 1990, co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in August 1991, and served as that band’s drummer from 1991–2000 and 2007–2011. He also played drums for Audioslave from 2001–2007. By 2016 he was drumming in Prophets of Rage alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. (Separately, Rage is a German heavy-metal band formed in 1984 by Peter “Peavy” Wagner.)"
5-2,"Gary Locke, 41, has moved from interim to permanent manager of Kilmarnock, signing a three-year contract. Formerly Hearts boss, he became Allan Johnston’s assistant last summer and took charge when Johnston resigned in early February. Since then he has suffered just one defeat in seven matches. Locke will address the media on Friday morning, and the deal was finalized with chairman Jim Mann."
5-3,"Rupert Murdoch is the current chairman and acting CEO of Fox News. He previously held full control as Chairman and CEO of News Corporation and, after its 28 June 2013 split, of its successors News Corp and 21st Century Fox, making the conglomerate the world’s second-largest media group. His younger son, James Rupert Jacob Murdoch (born 13 December 1972), is an Australian-British-American businessman who serves as CEO of 21st Century Fox and chairman of Sky plc."
15-0,"Actor Robert Hardy, 89, is downsizing and will auction 238 lots of antiques and collectibles this Saturday at Dominic Winter Auctioneers in South Cerney, Gloucestershire, with the sale expected to raise about £100,000. The items—amassed through his lifelong interests in literature and military history—include early Victorian Gillows cabinets (est. up to £4,000), a hand-painted 3-D diorama of the 1415 Battle of Agincourt commissioned in the 1960s (est. £4,000–£6,000), a yew longbow with mother-of-pearl handle and a portrait of Hardy holding it (est. up to £2,000), plus other paintings, furniture, swords, flintlock rifles, silverware, crystal chandeliers, and books dating to the 17th century.  

Hardy—taught by J.R.R. Tolkien and C.S. Lewis at Oxford, author of two longbow histories, and consultant on the Mary Rose—gained fame as Siegfried Farnon in “All Creatures Great and Small,” frequently portrayed Winston Churchill (and also F.D. Roosevelt), and appeared as Cornelius Fudge in the Harry Potter films. After a 2013 stage fall while playing Churchill in “The Audience,” he retired from theatre but intends to keep working in television. He describes parting with his collection as “sadness,” yet hopes new owners enjoy the pieces as much as he has."
