source_id,summary
15599,"Blue Bell ice cream has temporarily closed its Broken Arrow, Oklahoma, manufacturing plant due to listeria contamination found in a serving of ice cream from that facility. The CDC has advised consumers not to eat any Blue Bell products made at this plant, particularly 3-ounce servings marked with specific letters. This is the third action taken by Blue Bell in response to listeria outbreaks linked to its products, including a recent outbreak in Kansas that resulted in five infections and three deaths. The contamination was traced back to ice cream produced in April 2014, and genetic testing showed a match between the bacteria found in the hospital and the plant. Blue Bell has recalled certain products but clarified that other ice cream varieties are not affected. The company expressed its commitment to quality and safety, and this marks its first product recall in 108 years. Listeriosis, the infection caused by listeria, primarily affects vulnerable populations and can lead to severe health issues."
15601,"An external review by Columbia Journalism School professors identified significant failures in Rolling Stone's reporting on a purported gang rape at the University of Virginia, concluding that issues spanned reporting, editing, and fact-checking. The magazine's managing editor issued an apology to those affected, including the Phi Kappa Psi fraternity. The passage discusses the potential for defamation lawsuits by UVA and the fraternity, noting that while the university cannot sue as a public entity, individual fraternity members might have a case if they can prove the statements were false and harmful. However, defamation claims are complicated by the need to show that the statements were specifically about the plaintiffs, and groups generally face challenges in suing for defamation. Phi Kappa Psi may argue for an exception due to being a small group, but Rolling Stone's defense could claim the fraternity's size dilutes individual claims. Overall, while the situation presents unique challenges, successful defamation claims are rare and require proof of financial harm."
15604,"The passage discusses the author's reaction to Rand Paul's presidential campaign announcement, highlighting their concerns about his record on voting rights and civil rights. The author, who was the first woman and person of color elected to the Kentucky State Senate, criticizes Paul's attempts to position himself as a candidate for minority outreach while failing to support policies that genuinely address the needs of minority communities. They argue that Paul's views are outdated and disqualifying for a presidential candidate, emphasizing the importance of democracy and the need for a leader who respects the progress made in civil rights over the past five decades. The author concludes that the American people deserve better leadership than what Paul offers."
15613,"Mary Kay Letourneau Fualaau, now 53, and her husband Vili Fualaau, 31, are celebrating their 10th wedding anniversary. Their relationship began in 1996 when Letourneau, a 34-year-old teacher, had an affair with her 13-year-old student, resulting in jail time for her and the birth of their child. Letourneau served over seven years in prison and married Fualaau shortly after her release in 2005. They are now parents to two teenage girls. In an upcoming interview on ABC's ""20/20,"" Letourneau discusses their marriage, her plans to teach again, and her desire to have her sex offender status lifted, while Fualaau shares his struggles with alcoholism and depression."
15616,"Kanye West has settled a lawsuit with paparazzi photographer Daniel Ramos, whom he assaulted in July 2013 at Los Angeles International Airport. West pleaded no contest to a misdemeanor battery charge and was sentenced to two years' probation, anger management, and community service. Ramos, represented by lawyer Gloria Allred, sought damages, claiming West interfered with his rights as a photographer. The case was set for trial but was dismissed after a settlement, which included an apology from West to Ramos. Allred emphasized that the case highlighted that celebrities are not above the law."
15617,"Blues legend B.B. King was hospitalized for dehydration related to his Type II diabetes but has since improved and was discharged. His daughter, Claudette King, confirmed he is now resting at home with his grandchildren. King expressed gratitude for the support he received. At 89, he is a celebrated musician with a significant legacy, including 30 Grammy nominations and induction into the Rock and Roll Hall of Fame in 1987. He is known for his custom Gibson guitar, Lucille, and hits like ""The Thrill Is Gone."" Last year, he faced similar health issues that led to tour cancellations."
15623,"Chris Copeland of the Indiana Pacers was stabbed after leaving the 1OAK nightclub in New York early Wednesday. The incident occurred outside the club, near the Fulton Houses project, and involved a dispute with a 22-year-old man who has been arrested. Copeland suffered wounds to his left elbow and abdomen and is in stable condition at a hospital. Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, were arrested for obstruction and disorderly conduct after they attempted to check on Copeland and interfered with police at the scene. The Hawks were in New York for a game against the Brooklyn Nets and will not play in uniform due to the incident. The NBA and the Hawks are investigating the situation, while Copeland's agent expressed concern for his safety."
15627,"Tejano star Selena, who passed away 20 years ago, is set to return through a hologram-like figure called ""Selena the One,"" created by her family and the tech company Acrovirt LLC. This digital embodiment will be capable of walking, talking, singing, and dancing, aiming to introduce her legacy to new fans. Her sister, Suzette Quintanilla, emphasized that the project is not about replacing Selena but enhancing her legacy. The initiative will also include new music, collaborations with current artists, and a planned tour in 2018. An Indiegogo campaign to support the project will launch on April 16, with a goal of raising $500,000. A commemorative event celebrating Selena's life, Fiesta de la Flor, is scheduled for April 17 and 18 in Corpus Christi, Texas."
15628,"A ramp agent for Menzies Aviation fell asleep in the cargo hold of Alaska Airlines Flight 448, which was en route from Seattle to Los Angeles. The pilot reported unusual banging sounds, prompting an emergency return to the airport. Passengers heard the banging and faint screams for help, leading to a federal air marshal's intervention. The ramp agent was unharmed, as the cargo hold is pressurized and temperature-controlled, and he was taken to a hospital as a precaution. Alaska Airlines is investigating the incident, which occurred shortly after the agent's shift began. The flight, carrying 170 passengers and six crew members, landed safely back in Seattle before continuing to Los Angeles."
15634,"Emy Afalava, a veteran born in American Samoa, believes he should be a U.S. citizen under the Fourteenth Amendment, which grants citizenship to those born on U.S. soil. However, he has been denied the right to vote because the federal government does not recognize him as a citizen. This situation highlights an ongoing injustice, especially as American Samoa recently marked its 115th anniversary of joining the U.S. Afalava and other American Samoans are pursuing a federal lawsuit to rectify this issue. The passage discusses historical precedents of racial discrimination in citizenship, including the Dred Scott case and the treatment of Puerto Ricans, emphasizing that all other U.S. island territories have gained citizenship, leaving American Samoans as the last group still awaiting recognition."
15638,"Iman Hashi, 25, and her sister Siham, 27, are Somali-born sisters now recording their debut album in Los Angeles under the name Faarrow. After fleeing Mogadishu due to war in 1991, they settled in Canada as refugees and developed a passion for music. Influenced by artists like Michael Jackson and the Spice Girls, they are creating a fusion sound that blends pop, hip hop, and African rhythms, working with producer Elijah Kelley. The sisters also engage in humanitarian work with the UNHCR, advocating for Somalia and supporting refugee initiatives through their non-profit and a socially conscious fashion brand called ""Wish Creatively."" They are currently finalizing their album and aim to inspire others through their music and activism."
15651,"The passage discusses the challenges faced by Pope Francis as he navigates the dual roles of spiritual leader for nearly 1 billion Catholics and head of the Vatican, a state with global diplomatic interests. It highlights a significant moment when Pope Francis addressed the Armenian genocide during a Mass commemorating its centenary. While previous popes had avoided explicitly labeling the events as genocide, Francis indirectly acknowledged it by quoting Pope John Paul II. This approach aimed to maintain continuity in church policy while also being cautious not to provoke Turkey, a key ally against ISIS. Following his comments, Turkey expressed strong discontent, recalling its ambassador and criticizing the Pope's remarks. The passage also notes Pope Francis's unique diplomatic style, which combines traditional Catholic teachings with a willingness to engage in geopolitical issues."
15652,"The United States' national parks, including iconic sites like Yosemite and Yellowstone, will be free to visit on the weekends of April 18-26 as part of National Park Week. While most of the 407 National Park Service sites are free year-round, the 128 parks that typically charge a fee will waive their charges on these days. The week features various activities, including night-time astronomy parties and family-friendly programs. For more information on park sites and activities, visitors can check FindYourPark.com and www.nationalparkweek.org, and are encouraged to share their experiences using the hashtag #FindYourPark."
15661,"A second robotic probe has been deployed at the Fukushima nuclear plant, capturing images of a strange green glow. This follows the breakdown of the first robot, which stalled after encountering an obstacle. The second robot detected lower radiation and temperature levels than expected, indicating effective cooling systems. TEPCO, the plant's operator, stated that the data collected is crucial for decommissioning efforts, which are projected to cost $50 billion and take years. The radiation levels in the damaged reactors remain too high for human entry. The green glow observed could not be seen from other angles, and the yellow discoloration noted in the images is of unknown cause."
15665,"The passage discusses the victim impact statements presented during the sentencing phase of Dzhokhar Tsarnaev's trial, following his conviction for the Boston Marathon bombings. Jurors heard emotional testimonies from survivors and family members of the deceased, highlighting the profound grief and loss caused by the attacks. Victims described horrific injuries and the chaos of the bombings, with specific accounts from individuals like Gillian Reny and Celeste Corcoran, who suffered severe physical trauma. The prosecution emphasized the personal stories of the victims, illustrating their lives before the tragedy and the lasting impact of Tsarnaev's actions. The jury must now decide whether Tsarnaev should receive the death penalty for his crimes."
15667,"The 50th Academy of Country Music Awards, held at the Dallas Cowboys stadium, featured notable performances and moments, including Eric Church and Keith Urban's powerful opening, Garth Brooks' tribute to the military, and Miranda Lambert's dominance in awards. Taylor Swift was present, singing along in the audience, while her mother made a poignant appearance. Christina Aguilera joined Rascal Flatts for a performance, and Little Big Town performed their controversial song ""Girl Crush."" However, the event had its drawbacks, such as a lengthy runtime, awkward moments with Tony Romo, and some rushed Milestone Awards. Additionally, Swift faced criticism on social media for her transition to pop music."
15670,"A Polish Prince, Jan Zylinski, has challenged British politician Nigel Farage to a duel in London's Hyde Park over Farage's immigration policy, which Zylinski claims discriminates against Poles in Britain. Farage, leader of the UK Independence Party (UKIP), argues that EU membership limits Britain's ability to control immigration. Zylinski, expressing frustration with anti-Polish sentiment, suggested a duel with swords or a televised debate as alternatives. He emphasized the positive contributions of Poles to Britain and called for an end to hostility towards them. Farage's spokesperson indicated he would not accept the duel challenge."
15673,"Seven individuals, including Illinois State University associate men's basketball coach Torrey Ward and deputy athletic director Aaron Leetch, died in a plane crash returning from the NCAA tournament final. The crash occurred near Bloomington, Illinois, about 2 miles from the Central Illinois Regional Airport. The aircraft, a Cessna 414, was returning from the championship game in Indianapolis. The Illinois State community is mourning the loss, with President Larry Dietz expressing profound sadness. Ward, a former standout player and coach, and Leetch, who held various roles in the athletics department, were both highly respected and beloved figures at the university. Athletic Director Larry Lyons emphasized the impact of their loss and the support for their families."
15683,"The passage recounts the harrowing experiences of survivors and family members affected by the Boston Marathon bombing during the sentencing phase for Dzhokhar Tsarnaev. Steve Woolfenden, who was injured while holding his son Leo, described the chaos and injuries sustained, including his own severe leg injuries and Leo's bleeding head. Other survivors, like Heather Abbott and Marc Fucarile, shared their traumatic experiences and the long-term consequences of their injuries, including amputations and ongoing pain. The prosecution aimed to portray Tsarnaev as cold-hearted, while the defense planned to highlight his difficult upbringing. The testimony also included the tragic death of 8-year-old Martin Richard, who suffered fatal injuries from the blast, with details provided by trauma surgeon Dr. David King. The jury must decide Tsarnaev's fate, whether death or life imprisonment."
15690,"Sofia Vergara is involved in a legal dispute with her ex-fiance, Nick Loeb, over two frozen embryos they created during their relationship. Loeb is suing Vergara to prevent the destruction of the embryos, which are female, and seeks to implant them in a surrogate. The lawsuit, filed anonymously to protect their privacy, claims the embryos should not be destroyed until both parties reach an agreement. Loeb has stated he does not want any financial obligations from Vergara and believes life begins at fertilization. The case raises complex legal and ethical questions about the status of embryos and parental rights, with experts noting that courts typically decide ownership in such disputes. Vergara, who is currently promoting her film ""Hot Pursuit,"" is now engaged to actor Joe Manganiello."
15693,"Sissa Abu Dahou, a 65-year-old woman from Luxor, Egypt, has dressed as a man for 43 years to support her family and avoid societal oppression. After becoming a widow at 21 while pregnant, she took on the role of breadwinner in a conservative environment where women rarely worked. Initially working as a brick maker, she later became a shoeshiner, earning respect in her community. Her daughter, Houda, credits her mother for providing a stable home and education. Dahou's determination led to recognition, including being named one of Egypt's ideal mothers by President Abdel Fattah el-Sisi. Despite societal judgment, she remains committed to her male attire, stating it allows her to protect her family and maintain dignity."
15695,"After over 35 hours of deliberation and the testimony of more than 130 witnesses, the jury in the Massachusetts murder trial of former NFL player Aaron Hernandez convicted him of first-degree murder for the 2013 shooting death of Odin Lloyd. Jury foreperson Lesa Strachan described the emotional toll of the trial, highlighting the brutality of the crime, where Lloyd was shot six times. Jurors, including Rosalie Oliver and Kelly Dorsey, emphasized that Hernandez's status as a football player did not influence their decision, focusing instead on the indifference he showed after the murder. The jurors expressed surprise at receiving congratulations after the verdict, noting the tragedy of Lloyd's death and the impact on his family, particularly his mother and young daughter. They reflected on the seriousness of their responsibility, contrasting the trial experience with portrayals in media like ""Law & Order."""
15696,"Larry Johnson recounted a terrifying experience on SkyWest Airlines Flight 5622, which made an emergency landing in Buffalo, New York, due to a reported pressurization problem. Johnson, traveling with his family, described feelings of fear and helplessness as a flight attendant requested medical assistance for a sick passenger and later announced the pressurization issue. Passengers experienced symptoms like dizziness and loss of consciousness, with three reporting fainting. Medical personnel examined 15 passengers upon landing, but no one was hospitalized. SkyWest's spokeswoman stated that maintenance found no evidence of a pressurization problem, and the airline is investigating further. A nurse on board attended to affected passengers, noting that the issue seemed to impact oxygen levels in the middle of the plane. The flight, which had 84 passengers, descended rapidly from 28,000 feet. Johnson expressed relief that the ordeal ended safely, despite the unsettling experience."
15700,"The passage discusses the trial and conviction of Aaron Hernandez, a former NFL player, for the first-degree murder of Odin Lloyd. Unlike typical defendants who express remorse or offer excuses, Hernandez displayed arrogance and bravado during the trial, which was criticized by observers. Despite his lack of a plausible alibi and emotional response, the jury found him guilty based on substantial circumstantial evidence. Hernandez was sentenced to life in prison without parole and also convicted of firearm-related charges. The passage reflects on Hernandez's troubled life, including his rise in football and subsequent legal issues, while noting that the NFL and the New England Patriots handled the situation appropriately by releasing him after the murder charges. Ultimately, it emphasizes the unpredictability of human behavior, even in seemingly successful individuals."
