source_id,summary
15599,"Blue Bell temporarily shut down its Broken Arrow, Oklahoma plant after listeria was discovered in an ice cream serving produced there. Public health officials warned consumers not to eat 3‑ounce Blue Bell cups from that plant bearing codes O, P, Q, R, S, or T, although products from other plants remain unaffected. The recall follows earlier actions related to listeria cases, including a Kansas outbreak where a cup of ice cream and additional samples from the plant tested positive for the bacteria. While there are genetic links between the factory sample and a hospital sample, they did not exactly match the listeria from patients in the Kansas outbreak. A previous Texas recall and a separate outbreak linked some listeria cases to Blue Bell products, although investigations have not confirmed the ice cream as the source of infections. The company, expressing concern and promising to uphold safety standards, has advised consumers and institutions to check freezers and discard any recalled products."
15601,"The passage explains that an external review by Columbia Journalism School professors found that Rolling Stone produced a deeply flawed article about a reported gang rape at the University of Virginia due to failures in reporting, editing, supervision, and fact-checking. The magazine has since apologized to affected readers, UVA students and administrators, and members of Phi Kappa Psi. The passage then discusses potential defamation lawsuits, outlining that a defamation claim requires publishing a false, defamatory fact intended to harm a person's reputation. It clarifies that public figures and groups typically face higher hurdles in defamation cases. Specifically, UVA cannot sue because it is a governmental entity, and while fraternities like Phi Kappa Psi are groups (which usually cannot sue for defamation), an exception might apply if the defamatory statements are clearly imputable to individual members of a small, well-defined group. The passage also notes that successful libel suits are rare because plaintiffs must demonstrate tangible financial harm."
15604,"The speaker, a trailblazer in the Kentucky State Senate as the first woman and person of color elected in 1967, criticizes Kentucky politician Rand Paul as he launches his presidential bid. Although Paul claims his campaign aims to broaden Republican appeal and promote inclusion, the speaker argues that his past positions—such as questioning landmark voting rights and civil rights legislation, opposing more robust protections for minorities and marginalized groups, and dismissing the need for a stronger Voting Rights Act—reveal outdated and disqualifying views for a national leader. The speaker concludes that the American people deserve a leader who genuinely addresses the issues of minority communities and upholds democratic principles, rejecting Rand Paul's record and rhetoric."
15613,"Mary Kay Letourneau, once a married 34‐year-old teacher and mother of four, began an illicit affair in 1996 with her 13‐year-old student, Vili Fualaau. Letourneau became pregnant with his child and later served over seven years in prison for crimes related to their sexual relationship. After her release in 2005, the couple married and went on to have two daughters; they are now happily together, with Letourneau aged 53 and Fualaau 31. They will soon share an exclusive interview on ABC’s ""20/20"" with Barbara Walters, where they discuss the reasons behind their successful marriage despite their age difference, Letourneau’s plans to resume teaching and seek removal of her registered sex offender status, and Fualaau’s experiences with alcoholism, depression, and feeling let down by the system during his youth."
15616,"Kanye West has settled a civil lawsuit with paparazzi photographer Daniel Ramos, who had filed suit after West attacked him and tried to take his camera at Los Angeles International Airport in July 2013. West, who had pleaded no contest to a misdemeanor battery charge related to the incident and received probation along with anger management and community service requirements, reached a settlement that included an apology to Ramos. The settlement, which led to the dismissal of the case that was scheduled for trial, was confirmed by Ramos’ attorney, Gloria Allred, who noted that an important aspect involved West apologizing to the photographer while a photo showed the two shaking hands."
15617,"B.B. King was hospitalized for dehydration caused by his Type II diabetes but is now feeling much better, having been discharged and returned home to rest with his grandchildren. His daughter and spokesperson confirmed his recovery, noting his commitment to his fans despite recent health challenges. The passage also highlights King's storied career, including his Rock and Roll Hall of Fame induction, 30 Grammy nominations, his signature Gibson guitars named Lucille, and some of his hit songs like “The Thrill Is Gone.”"
15623,"Chris Copeland of the Indiana Pacers was stabbed early Wednesday after leaving a popular New York nightclub in the Chelsea area. The incident occurred in front of the Fulton Houses, not at the club itself. Copeland, along with his companion Katrine Saltara, was attacked by a 22‐year‐old Brooklyn man who is now in police custody pending charges, while Copeland suffered stab wounds to his left elbow and abdomen and Saltara sustained several cuts. Two Atlanta Hawks, Pero Antic and Thabo Sefolosha, who had finished a game in Atlanta earlier and went outside to check on Copeland, were arrested on obstruction, disorderly conduct (and in Sefolosha’s case, resisting arrest) charges for interfering with officers. Both teams, as well as the NBA, are investigating the incident, and the Hawks have stated they will contest the charges and apologized for any negative attention caused."
15627,"Tejano star Selena, who passed away 20 years ago, is set to return as a digital embodiment. Her family is collaborating with Nevada-based Acrovirt LLC to create a ""Selena the One"" project—a hologram-like figure that walks, talks, sings, and dances—intended to introduce her legacy to new fans. Selena's sister emphasized that the technology isn’t meant to replace her but to enhance her lasting impact. Besides the digital revival, the family plans to release new songs and videos and possibly embark on a tour in 2018. Fans can support the initiative through an Indiegogo campaign starting April 16."
15628,"Alaska Airlines Flight 448, traveling from Seattle to Los Angeles, made an emergency landing after the pilot reported unusual banging from the cargo hold. The noise was caused by a ramp agent from Menzies Aviation who had accidentally fallen asleep while on duty. Although the incident alarmed passengers—who even heard an air marshal intervene—the cargo hold’s controlled environment kept the agent safe, and the brief 14-minute flight was completed without further danger. The agent was taken to a hospital as a precaution, passed a drug test, and the airline is currently investigating the matter."
15634,"The passage explains that Emy Afalava, a decorated American veteran born in American Samoa—a U.S. territory since 1900—has been denied citizenship rights, including the right to vote, despite being born on U.S. soil and the Constitution’s guarantee through the Fourteenth Amendment. It highlights that American Samoans, like Afalava, continue to face discrimination rooted in a long history of racially based legal decisions, referencing past cases such as Dred Scott and the Gonzalez case involving a Puerto Rican woman. Now, Afalava and other American Samoans are suing in the D.C. Circuit to finally secure the full rights of U.S. citizenship that most other island territory residents have obtained."
