source_id,qa_response
14300,"Based on the provided passages, automotive technicians get paid through various compensation methods including:

1. Hourly wages, with rates varying by geography (from about $20.50 to $23.70 per hour depending on location)
2. Commission-based payment
3. Flat-rate or flag-rate systems
4. Various combinations of hourly and commission structures

The payment structure depends on where they work (auto dealer or repair shop), and specialization can significantly impact earnings. Geographic location also affects pay rates, with Alaska offering the highest average pay at about $49,400 per year. Technicians who work in specialized industries like aerospace products can earn considerably more, averaging around $66,300 annually."
14323,"Based on the provided passages, the information about grilling a porterhouse is limited. To set up the grill: dump lit coals forming a double layer at the far side, a single layer in the center, and leave the section closest to you coal-free. Replace the grill grate. If using a gas grill, set it up for three-zone grilling. Make sure the grill is hot, clean it with a grill brush, then lubricate with a grill oiler or oiled paper towel. The passages mention that a porterhouse is like two steaks in one (NY Strip and filet) separated by a bone, which adds flavor. However, specific cooking instructions for the porterhouse itself (time, temperature, when to flip, etc.) are not provided in these passages."
14353,"# How to Fold a Quilt

Based on the provided passages, here's how to fold a quilt:

1. Lay your quilt on a bed, table or other flat surface.

2. Fold the lower right corner up toward the center of the quilt, making sure the fold is on the bias.

3. Fold the lower left corner up toward the center of the quilt, making sure the fold is on the bias.

4. Fold the top left corner down toward the center of the quilt, making sure the fold is on the bias.

5. Fold the top right corner down toward the center of the quilt, making sure the fold is on the bias.

This folding method can be used on any size quilt."
14355,"Based on the provided passages, the benefits of a water pick include:

- Helps maintain good oral health
- Eliminates germs and plaque that are difficult to remove with just a toothbrush
- Massages and stimulates soft tissue in the mouth
- Reduces the risk of gingivitis
- Cleans better around teeth and gums
- Removes food particles from areas that brushing cannot access
- Contributes to overall body health through better oral care"
14360,"# How to Set the Default Browser in Windows

Based on the provided information, here's how to set your default web browser in Windows:

1. Open the Settings app (click Settings in Start menu or press Windows + I)
2. Click ""System""
3. Select ""Default apps"" from the left sidebar
4. Scroll down to the ""Web browser"" section
5. Click on the current default browser entry
6. Select your preferred browser from the list of available options

The browser you select will now open automatically when you click on any web links."
14366,"According to the provided passages, there are two proper ways to dispose of a worn American flag:

1. Remove the blue field from the flag, burn the blue field in a peaceful manner, bury the ashes, and then put the remainder of the flag out for collection.

2. Conduct a proper ceremonial burning where the flag must be folded in the customary triangle fold before being burned.

Passage 1 mentions that there are three disposal methods, though only two are fully described in the provided passages."
14375,"# How to Cook Brats

## Beer Bath Method (Most Common):
1. Prick bratwurst with a fork to prevent them from exploding
2. Combine beer, onions, and optionally butter in a pot
3. Add bratwurst and seasonings (red pepper flakes, garlic powder, salt, pepper)
4. Simmer over medium heat for 15-20 minutes
5. Preheat grill to medium-high heat and lightly oil the grate
6. Transfer bratwurst to grill and cook for 5-14 minutes, turning occasionally until browned evenly
7. Serve with the beer and onion mixture as a topping or side

The passages suggest that cooked bratwurst can be stored in the refrigerator for up to 5 days or frozen for up to 3 months."
14390,"# Symptoms and Causes of IBS

## Causes
The exact cause of irritable bowel syndrome is unknown. It is believed to result from multiple factors:
- Abnormal gastrointestinal tract movements
- Disruption in brain-gut communication
- Increased sensitivity to pain
- Food intolerances

Risk factors include:
- Abnormal colon and small intestine movements
- Hypersensitivity to pain from fullness or gas
- Food sensitivities from poor absorption of sugars or acids

## Symptoms
People with IBS commonly experience:
- Diarrhea (sometimes described as violent episodes)
- Constipation
- Alternating constipation and diarrhea
- Belly pains or cramps (typically in the lower abdomen, worsening after meals and improving after bowel movements)
- Gas and bloating"
14392,"# Difference Between Essential and Nonessential Amino Acids

The key difference is in how the body obtains them:

- **Essential amino acids** cannot be produced by the human body and must be obtained through diet. Adults need eight essential amino acids (valine, isoleucine, leucine, lysine, methionine, phenylalanine, threonine, and tryptophan), while infants require nine (the above plus histidine).

- **Nonessential amino acids** can be synthesized by the body itself, either from essential amino acids or by breaking down protein products. These include alanine, asparagine, aspartic acid, glutamic acid, arginine, cysteine, glutamine, glycine, ornithine, proline, serine, and tyrosine.

Despite being called ""nonessential,"" both types are necessary for the body to build proteins for cell repair, growth, and maintenance."
14394,"Based on the provided passages, typical weather in Indiana, particularly Indianapolis, features long, warm, humid, and wet summers, with chilly and windy winters. The region is partly cloudy year-round. Temperatures typically range from 22°F to 85°F throughout the year, rarely dropping below 3°F or exceeding 92°F. Indiana experiences snowfall in winter, with snow occurring in Indianapolis, Fort Wayne, Gary, Michigan City, and South Bend. The state has experienced significant precipitation variations, with records showing annual rainfall between approximately 25 to 58 inches."
