source_id,summary
15599,"Blue Bell ice cream has temporarily shut down one of its manufacturing plants due to listeria contamination in a serving of ice cream from the Broken Arrow, Oklahoma, plant. The Centers for Disease Control and Prevention (CDC) has warned consumers not to eat any Blue Bell-branded products made at this plant, specifically 3-ounce servings with certain coding dates. The recall does not affect other Blue Bell products. Blue Bell is investigating the cause of the contamination and has previously recalled products from a Texas plant due to a listeria outbreak. The CDC is investigating whether the ice cream is linked to listeriosis cases in Kansas and Texas."
15601,"The passage discusses an external review by Columbia Journalism School professors that criticized Rolling Stone for a flawed article about a gang rape at the University of Virginia. The review highlighted failures in reporting, editing, and fact-checking. The managing editor of Rolling Stone apologized for the story's impact. The article then explores the potential for lawsuits for defamation by the university, fraternities, or their members. The Virginia Supreme Court's definition of defamation is outlined, and the passage discusses the challenges in proving defamation, including the need for the statement to be false, defamatory, and published with intent. The university cannot sue for defamation as it is a governmental entity. Fraternities, while not individuals, may sue if the defamatory statements are about a small group and can be imputed to individual members. The passage concludes that while the case is complex, it could potentially be successful if the fraternity members can prove financial harm."
15604,"The passage discusses the author's experience as the first woman and person of color to serve in the Kentucky State Senate in 1967. It criticizes Rand Paul's presidential campaign, noting his record of questioning landmark voting rights and civil rights legislation. The author argues that Paul's message of inclusion is hollow and that his policies do not align with his rhetoric. The author also highlights Paul's controversial views on issues such as the Civil Rights Act, the Department of Education, women's choices, and the Voting Rights Act. The author concludes that Paul's views are outdated and disqualifying for a presidential candidate, and that the American people deserve better."
15613,"Mary Kay Letourneau, a former teacher, and her husband Vili Fualaau, her former 13-year-old student, are still happily married. They wed in 2005 after Letourneau's prison release and have two teen daughters. They will celebrate their 10th wedding anniversary on May 20. Letourneau plans to teach again and have her sex offender status lifted, while Fualaau discusses his struggles with alcoholism and depression."
15616,"Kanye West settled a lawsuit with a paparazzi photographer he assaulted in 2013. The photographer, Daniel Ramos, sued West for battery, seeking damages. West pleaded no contest to a misdemeanor count of battery and was sentenced to probation, anger management, and community service. The civil case was settled, with West apologizing to Ramos. The settlement was reached before the trial, which was scheduled for the following week."
15617,"B.B. King, a legendary blues musician, was hospitalized for dehydration due to his Type II diabetes. He was released from the hospital and is resting at home with his grandchildren. King, who is 89 years old, has a history of health issues, including dehydration and exhaustion, which have previously led to tour cancellations. He is known for his signature Gibson guitar, which he named Lucille, and has won numerous awards, including 30 Grammy nominations."
15623,"Chris Copeland of the Indiana Pacers was stabbed after leaving a New York nightclub early Wednesday. Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, were arrested on charges of obstruction and disorderly conduct after interfering with police at the scene. Copeland and his companion, Katrine Saltara, were stabbed by a 22-year-old Brooklyn man. Copeland suffered knife wounds to his left elbow and abdomen, while Saltara and another woman were also injured. The Hawks are preparing for the playoffs, and the Pacers are one game out of playoff contention."
15627,"Selena, a popular Tejano singer who died 20 years ago, is being brought back as a hologram-like figure using advanced technology. Her family, including her sister Suzette Quintanilla, is creating this digital embodiment to help continue her legacy. The project, called ""Selena the One,"" will allow her to sing, dance, and interact with fans. The technology is being handled by Acrovirt LLC and is expected to release new music and go on tour in 2018. This is not the first time a performer has used holograms, but it is a significant advancement in the technology. Fans can support the project through an Indiegogo campaign."
15628,"A ramp agent from Menzies Aviation fell asleep in the cargo hold of Alaska Airlines Flight 448, causing unusual banging sounds that led to an emergency landing. The plane was in the air for only 14 minutes before returning to Seattle-Tacoma International Airport. Passengers reported hearing banging and faint screams, and a federal air marshal responded by banging back and yelling instructions. The ramp agent was taken to a hospital as a precaution but was later discharged after passing a drug test. The airline is investigating the incident."
15634,"Emy Afalava, born in American Samoa, a U.S. territory, is a decorated veteran and believes he should be a U.S. citizen. He has been denied the right to vote due to the federal government's insistence that he is not a citizen. The 14th Amendment of the Constitution states that all persons born in the U.S. and subject to its jurisdiction are citizens. Afalava and other American Samoans are seeking to right this injustice in a federal lawsuit before the D.C. Circuit. The passage highlights historical cases of racial discrimination in citizenship, including the Dred Scott case and the Gonzalez case, and argues that it's time to end this discrimination."
15638,"The passage describes Iman Hashi and her sister Siham, collectively known as Faarrow, who are Somali refugees now based in Los Angeles. They are working on their debut album, which blends Afro-pop, hip-hop, and African percussion, and have collaborated with actor and musician Elijah Kelley. The sisters also work with the UNHCR, advocating for refugees and running a socially conscious fashion brand. They are currently in the mixing process for their album and plan to release their first single soon."
15651,"Pope Francis, in a Sunday Mass in Rome, commemorating the 100th anniversary of the Armenian genocide, referred to the event as ""the first genocide of the 20th century,"" using language from a 2001 document by his predecessor, Pope John Paul II. This statement was seen as a continuation of the Vatican's stance on the issue, despite previous popes' avoidance of the term ""genocide."" Turkey recalled its ambassador to the Vatican and summoned the Vatican's ambassador in response to the Pope's remarks, expressing disapproval of the use of the term."
15652,"The passage discusses the free admission to 128 national parks in the United States during National Park Week, which runs from April 18 to April 26. This event is organized by the National Park Service and the National Park Foundation. Activities include night-time astronomy parties, Revolutionary War programs, Earth Day parties, and Junior Ranger activities. The National Park Service encourages visitors to share their experiences using the hashtag #FindYourPark and at FindYourPark.com."
15661,"A second robotic probe sent into the Fukushima nuclear plant captured images of a strange green glow and lower radiation levels than expected. The robot, deployed after the first one broke down, collected data from 11 points, completing the mission. The green glow was only visible from certain angles and its cause is unknown. The decommissioning work is estimated to cost $50 billion and will take years to complete."
15665,"The passage describes the sentencing phase of the trial of Dzhokhar Tsarnaev, the Boston Marathon bomber. Jurors are hearing testimony about the impact of Tsarnaev's actions on the victims and their families. Four people were killed and many others were injured. The testimony includes emotional accounts from family members and survivors, highlighting the physical and emotional trauma caused by the bombings. Tsarnaev's lack of remorse is emphasized, as he is described as unconcerned and unchanged despite the grief and loss he caused. The passage also mentions the graphic images and stories of survivors, such as Gillian Reny and Celeste Corcoran, who were severely injured and continue to live with the consequences of the attack."
15667,"The 2015 Academy of Country Music Awards celebrated its 50th anniversary at the Dallas Cowboys Stadium. Notable performances included Eric Church and Keith Urban's opening act, Reba McEntire's powerful vocals, and Taylor Swift singing along to country songs. Garth Brooks honored U.S. military personnel and Taylor Swift's mother Andrea Swift presented an award. Miranda Lambert won multiple awards, and Little Big Town performed ""Girl Crush"" despite controversy. The event set a Guinness World Record for the largest audience at a live TV awards show. The worst moments included Tony Romo's awkward performance, the length of the show, rushed Milestone Awards, and criticism of Taylor Swift's attendance."
15670,"A Polish prince, Jan Zylinski, challenged British politician Nigel Farage to a duel in Hyde Park over Farage's immigration policy. Zylinski, upset by Farage's criticism of Polish immigrants, offered a duel with swords or a verbal debate in a TV studio. Farage declined the duel but did not rule out a verbal debate. Zylinski highlighted Polish contributions to Britain and expressed frustration with anti-Polish sentiment."
