source_id,overview
13601,"Finch & Fork is a restaurant located at 31 W Carrillo St in Santa Barbara, CA, offering a variety of dining options including breakfast & brunch, American cuisine (both new and traditional), and nightlife. It is open from 9:00 AM to 2:00 PM on Sundays and from 5:00 PM to 11:00 PM from Monday through Saturday. The restaurant offers valet parking, street parking, garage parking, and table reservations. WiFi is available for free, and they provide takeout services and are good for groups. Finch & Fork has a classy ambiance and is known for its bottomless brunch, with one reviewer mentioning a special offer of $14 for the first mimosa and $1 for each additional mimosa. The restaurant is inside a hotel and is praised for its affordable prices, delicious food, and excellent service. Customers have given it a high rating of 4.0 stars based on their reviews."
13603,"Tinker's Burgers is a burger joint located at 2275 Ortega Hill Rd, Ste C in Summerland, CA. It operates from Monday through Sunday from 11:00 AM to 5:00 PM. The restaurant offers outdoor seating and take-out services. It has a casual ambiance and is noted for its divey atmosphere. Customers can find it convenient to park on the street. The business has a rating of 4.0 stars based on customer reviews.

Customer reviews highlight the quality of the food, particularly praising the burgers. One reviewer described the Sourdough Bacon Cheeseburger and a double cheeseburger with an egg as the best they've ever had. Another review mentions that the food was good but criticized long wait times and poor service, including difficulty getting extra condiments. Despite these issues, the restaurant received high praise for its food quality in other reviews, with one calling it a ""hidden gem."""
13604,"Benchmark Eatery is an American cuisine restaurant located at 1201 State St in Santa Barbara, CA. It offers a variety of dining experiences including breakfast, brunch, seafood, vegetarian options, and event planning services. The eatery is open from 11:30 AM to 8 PM on weekdays and from 11:30 AM to 4 PM on weekends. It has class and casual ambience, with outdoor seating available. The restaurant accepts takeout orders and has parking facilities including garage, street, and lot parking. WiFi is free, and reservations are not accepted. 

Customer reviews indicate mixed experiences. One patron praised the flatbreads and clam chowder, describing the place as an ""upscale casual"" spot. Another review, however, was highly critical, citing issues with food quality, taste, and cleanliness, leading to discomfort after consumption. A third review highlighted positive aspects like consistent burritos and a generally good experience, noting variability in the Spanish soup's spiciness."
13613,"Pizza Mizza, located in Santa Barbara, California, offers a variety of food options including pizza, pastas, and salads. Known for its extensive menu, the restaurant provides delivery services and is open from 11:00 AM to 9:00 PM on weekdays and weekends. Customers can enjoy outdoor seating and free WiFi. The establishment supports takeout, has reservations available, and caters to groups. It accepts various forms of parking, including street and lot parking.

Based on customer reviews, the restaurant has received mixed feedback. One review highlights the quality of the Hawaiian pizza, praising its fresh pineapple, ham, and perfectly crisp crust. Another review mentions the extensive menu and the prompt refund of the bill due to a significant delay in service. However, some customers have expressed disappointment with the service, citing long wait times and unresponsive staff. Despite these issues, the food quality is generally praised, with one reviewer considering it their favorite pizza in town. The overall business rating is 3.5 stars."
13614,"Taffy's Pizza, located at 2026 De La Vina St in Santa Barbara, CA, offers a variety of dining options including pizza, salads, pastas, and sandwiches. The restaurant is open from 11 AM to 9 PM from Tuesday to Friday, 11 AM to 8 PM on Saturday, and 12 PM to 8 PM on Sunday. They offer outdoor seating, free WiFi, and takeout services. Taffy's also has a casual ambiance and accepts reservations. The business parking includes street and lot parking.

Customer reviews highlight both positive and negative experiences. One review mentions issues with a pre-paid card and dissatisfaction with the chicken piccata dish. However, another review praises Taffy's as a favorite pizza place with a wide range of toppings and excellent customer service, especially noted for accommodating a request for an unavailable item. A third review commends the establishment for its long-standing quality, affordability, and family-friendly environment, including a classic arcade area. Delivery is available for a fee, though it may require advance ordering."
13619,"Goodland Kitchen is a restaurant located at 231 S Magnolia Ave in Goleta, California. It operates Monday through Friday from 7:00 AM to 2:00 PM and offers outdoor seating and takeout services. The establishment is known for its classy and casual ambiance and is noted for its friendly service. Customers appreciate the lunch menu, particularly the chorizo and large salads. Goodland Kitchen also serves as a farmers market and provides local services. Despite positive feedback about its reopening and service, some reviews indicate that the quality of food has declined, with less innovation and a focus on standard, meat-heavy dishes. The business currently holds a rating of 3.5 stars based on customer reviews."
13632,"Sam's To Go is a Sandwich shop located at 315 Meigs Rd, Ste I in Santa Barbara, CA. Open daily from 10:00 AM to 21:00 PM on weekdays and until 19:30 PM on Sundays, it offers outdoor seating and free WiFi. The restaurant also provides takeout services and is suitable for groups. Parking is available in a lot on-site. Sam's To Go has received high praise from customers, with a business star rating of 4.5. Reviews highlight the excellent quality of the sandwiches, particularly the Italian cold cuts (#11), the veggie sandwich (#29), and the Pastrami Avocado and Cheese. However, one review mentions a decline in sandwich quality and poor customer service, leading to dissatisfaction."
13633,"Viva Modern Mexican is a multi-cuisine restaurant located at 1114 State St in Santa Barbara, California. It offers a variety of dining options including breakfast, brunch, Peruvian, event planning, bars, Latin American, seafood, tapas, and Mexican cuisine. The establishment provides outdoor seating, free WiFi, and take-out services. It also has reservation capabilities and is suitable for large groups. Viva Modern Mexican has a classy ambiance and offers parking in a garage or on the street. The business has a customer satisfaction rating of 3.5 stars.

Customer reviews highlight the quality of the food, particularly praising the margarita flights and the taco buffet. However, one review mentions severe food poisoning and an incident where a dropped plate caused injury, resulting in a low rating. Another review positively describes the venue as ideal for events, commending the service and food quality."
13637,"Hollister Brewing Company is a brewery and American traditional restaurant located at 6980 Marketplace Dr in Goleta, California. Open from 11:30 AM to 9:30 PM on weekdays and until 10:00 PM on weekends, it offers outdoor seating, free WiFi, and takeout services. The establishment is known for its classiness and casual ambiance, though it does not have valet parking or a garage. Reviews indicate mixed experiences; one customer praised the new menu and improved dishes, while another complained about slow service and unfriendly staff. Parking is available in a lot."
13669,"Jeannine's American Bakery Restaurant, located at 7060 Hollister Ave, Ste 105 in Goleta, California, offers a variety of services including takeout, outdoor seating, and free WiFi. The restaurant is open from 7:30 AM to 1:30 PM on weekdays and until 2:00 PM on weekends. It has a classy ambience and is noted for its French toast, bacon, and avocado toast. However, customer reviews are mixed; some praise the quality of the food and service, while others express disappointment, particularly regarding the coffee and certain dishes like chilequiles. The establishment has received an average star rating of 4.5 from customers."
