source_id,summary
15599,"Blue Bell Creameries temporarily shut down its Broken Arrow, Oklahoma plant after discovering listeria contamination in ice cream produced there. The CDC warned consumers not to eat products from this facility, specifically 3-ounce servings marked with letters O, P, Q, R, S, or T behind the coding date. Although the contamination matched genetically between samples from the plant and a Kansas hospital, it did not match samples from infected patients in Kansas. However, a separate outbreak in Texas showed matching listeria samples between patients and Blue Bell products. Blue Bell previously recalled products from a Texas plant due to a Kansas outbreak, where five people were infected and three died after consuming milkshakes made with Blue Bell ice cream. The company emphasized that other products, such as half gallons, pints, quarts, and other 3-ounce cups, are unaffected. This is the first recall in Blue Bell's 108-year history. Listeriosis primarily affects vulnerable populations, causing serious illness and sometimes death. Investigations into the link between Blue Bell products and these illnesses are ongoing."
15601,"An external review by Columbia Journalism School professors found that Rolling Stone magazine committed significant institutional failures—including reporting, editing, supervision, and fact-checking—in publishing a flawed article alleging a gang rape at the University of Virginia (UVA). Rolling Stone's managing editor apologized to readers and those harmed, including UVA administrators, students, and Phi Kappa Psi fraternity members. Regarding potential defamation lawsuits, UVA itself cannot sue because it is a governmental entity. Individual fraternity members, considered private individuals, could potentially sue if they demonstrate the false statements harmed their reputations and that Rolling Stone acted negligently or without reasonable basis. However, defamation claims by groups are generally difficult unless the group is small enough that defamatory statements clearly implicate individual members. Phi Kappa Psi fraternity might argue it fits this ""small group"" exception, but Rolling Stone could counter that the fraternity's size and changing membership prevent individual harm. Other fraternities not directly implicated would face even greater difficulty. Successful defamation suits are rare, as plaintiffs must typically demonstrate tangible financial harm, but the UVA fraternity members' case could potentially overcome these hurdles."
15604,"The author, who became the first woman and first person of color elected to the Kentucky State Senate in 1967, criticizes Rand Paul's presidential campaign announcement. She argues that despite Paul's claims of inclusivity and minority outreach, his record contradicts these statements. Specifically, she highlights Paul's questioning of the Civil Rights Act, opposition to a robust Voting Rights Act, desire to eliminate the Department of Education, attempts to limit women's choices, and opposition to protections for DREAMers. The author asserts that Paul's positions are outdated, condescending, and harmful to the progress made over the past five decades, concluding that the American people deserve better leadership than Rand Paul offers."
15613,"Mary Kay Letourneau Fualaau, who served over seven years in prison for a sexual relationship with her then 13-year-old student, Vili Fualaau, emphasizes that they remain happily married. The couple, who married after her release in 2005, will soon celebrate their 10th wedding anniversary and have two teenage daughters. In an upcoming ABC ""20/20"" interview, Letourneau discusses their marriage, her plans to teach again, and her intention to remove her registered sex offender status. Fualaau addresses his struggles with alcoholism, depression, and his belief that the system failed him as a minor. Letourneau is now 53, and Fualaau is 31."
15616,"Kanye West has settled a civil lawsuit filed by photographer Daniel Ramos, whom he assaulted in July 2013 at Los Angeles International Airport. West previously pleaded no contest to misdemeanor battery charges, receiving probation, anger management sessions, and community service. Ramos and his lawyer, Gloria Allred, sought damages, claiming West interfered with Ramos' right to pursue his occupation. The settlement, reached just before the scheduled trial, included an apology from West to Ramos, after which the two shook hands. Details of the settlement were not disclosed. Allred emphasized the case's message that celebrities are not above the law."
15617,"Blues legend B.B. King was briefly hospitalized due to dehydration caused by his Type II diabetes but quickly recovered and returned home. His daughter confirmed his improved condition, and King himself expressed gratitude for fans' concerns. At 89, King, known as the ""King of the Blues,"" was inducted into the Rock and Roll Hall of Fame in 1987, earned 30 Grammy nominations, and famously named his Gibson guitars ""Lucille."" His notable hits include ""The Thrill Is Gone,"" ""There Must be a Better World Somewhere,"" and ""When Love Comes to Town,"" a collaboration with U2. Previously, he had experienced similar health issues, leading to canceled performances."
15623,"Chris Copeland of the Indiana Pacers was stabbed early Wednesday morning near the Fulton Houses in New York City after leaving the 1OAK nightclub with companion Katrine Saltara. Copeland sustained injuries to his abdomen and elbow, while Saltara and another woman were also injured. The suspect was arrested after Copeland's driver intervened. Two Atlanta Hawks players, Pero Antic and Thabo Sefolosha, who had played a game in Atlanta hours earlier, were arrested separately for obstructing police efforts at the crime scene, though they were not involved in the stabbing itself. Both players apologized and stated they would contest the charges. Copeland is in stable condition, and the Pacers and Hawks organizations are investigating the incident."
15627,"Twenty years after her death, Tejano star Selena is returning as a hologram-like digital figure called ""Selena the One,"" created by her family in collaboration with Nevada-based tech company Acrovirt LLC. This digital embodiment will sing, dance, and interact, aiming to introduce Selena to new fans and further her legacy. The project plans to release new music, collaborate with current artists, and tour in 2018. Selena will be the first to use Acrovirt's advanced technology, which surpasses previous hologram performances like those of Michael Jackson and Tupac Shakur. Fans can support the project through an Indiegogo campaign starting April 16, aiming to raise $500,000. Additionally, a commemorative event, Fiesta de la Flor, celebrating Selena's life, is scheduled for April 17 and 18 in Corpus Christi, Texas."
15628,"An Alaska Airlines flight from Seattle to Los Angeles had to make an emergency landing shortly after takeoff when the pilot heard banging from the cargo hold. The noise was caused by a ramp agent from Menzies Aviation who had fallen asleep inside the cargo hold. The cargo hold was pressurized and temperature-controlled, and the plane was airborne for only 14 minutes, so the employee was not in danger. Passengers heard banging and faint cries for help, prompting a federal air marshal to respond by communicating with the trapped employee. After landing safely, the employee was taken to a hospital as a precaution, passed a drug test, and was discharged. The airline is investigating the incident, noting the employee had been reported missing by coworkers who assumed he had gone home after his shift ended. The flight eventually reached Los Angeles later that evening."
15634,"Emy Afalava, a decorated American veteran born in American Samoa, a U.S. territory since 1900, has been denied U.S. citizenship and voting rights despite the Fourteenth Amendment's guarantee of citizenship to those born on U.S. soil. Afalava and other American Samoans have filed a federal lawsuit seeking citizenship rights. Historically, the U.S. Supreme Court has made racially discriminatory rulings regarding citizenship, notably in the Dred Scott case, which denied citizenship to African-Americans, and in early 20th-century cases involving Puerto Rico and other island territories, where racial prejudice influenced decisions to deny full citizenship rights. Although residents of other U.S. island territories have since gained citizenship, American Samoans remain the only group still awaiting recognition as citizens."
