source_id,summary
15599,"Blue Bell Creameries has temporarily closed its Broken Arrow, Oklahoma, plant and warned consumers not to eat any Blue Bell products made there—particularly 3-ounce ice cream servings marked with the letters O, P, Q, R, S or T—after listeria monocytogenes was found in a sample from that facility. The plant shutdown, the company says, is “out of an abundance of caution” while it investigates the contamination’s source. This is Blue Bell’s third such action following a listeria outbreak at a Kansas hospital that served its ice cream. The same strain of listeria was recovered from a hospital patient’s cup and from the factory in April 2014, though it did not exactly match samples from infected Kansas patients. In a separate Texas outbreak dating from 2010 to 2014, patient samples did match listeria in hospital-recovered cups. Investigations are ongoing to determine whether these illnesses are linked to Blue Bell products. Earlier in March, Blue Bell recalled other products from its Texas plant, later adding its 3-ounce cups. In Kansas, five hospitalized patients contracted listeriosis—four after consuming Blue Bell milkshakes—and three died. This marks the company’s first product recall in its 108-year history. The CDC advises discarding all recalled items and notes that listeriosis is a serious infection especially dangerous for the elderly, pregnant women, newborns and immunocompromised individuals."
15601,"An independent review by Columbia Journalism School faculty found that Rolling Stone’s article on an alleged UVA gang rape “deeply” failed at every level—reporting, editing, supervision, and fact-checking.  The magazine’s managing editor apologized to readers and to those harmed by the story, including members of Phi Kappa Psi and other UVA students and administrators.  

Under Virginia law (Jordan v. Kollman), a defamation claim requires publication of a false, defamatory statement with the requisite intent.  True statements and pure opinion are not actionable.  Individual fraternity members are “private persons,” so to sue they must show that Rolling Stone published false factual statements about them, that their reputations were harmed, and that the magazine knew the statements were false or acted negligently.  The Columbia report may help prove intent, but other hurdles remain.  

UVA itself cannot sue for defamation because government entities have no such cause of action.  A fraternity as a group generally cannot sue unless it qualifies under the “small‐group” exception—i.e., the defamatory statements target a limited class whose members can be individually identified.  Phi Kappa Psi might argue this point; Rolling Stone could counter that the fraternity’s membership is too large and fluid to show individualized injury.  Other fraternities not directly implicated would face even steeper obstacles.  Finally, any successful defamation suit must also demonstrate concrete financial harm, making such cases rare."
15604,"The author, who in 1967 became the first woman and first person of color elected to the Kentucky State Senate, criticizes Rand Paul’s presidential bid as disingenuous. Although his campaign claims to “expand the Republican Party” and reach minority voters, his record—questioning the Civil Rights Act, opposing stronger voting rights protections, seeking to abolish the Department of Education, limiting women’s choices, and denying DREAMers relief—shows no real commitment to minority issues. His outreach efforts have struck black audiences as condescending, and his “take our country back” rhetoric hearkens to an era before major civil rights advances. The author concludes that Paul’s outdated views and policies disqualify him from leading the nation, and that Americans deserve a leader who respects democratic progress rather than undermines it."
15613,"Mary Kay Letourneau Fualaau, now 53, and her 31-year-old husband Vili Fualaau remain happily married ten years after her release from prison. In 1996, Letourneau—a married 34-year-old teacher and mother of four in Seattle—began an affair with her 13-year-old student, gave birth to his child, and served more than seven years behind bars on related charges. The couple wed in 2005 and have two teenage daughters. On Friday, ABC’s “20/20” airs an exclusive interview for their 10th anniversary: Letourneau talks about sustaining their age-gap marriage, plans to teach again, and lifting her sex-offender status, while Vili discusses his battles with alcoholism, depression, and feeling failed by the system as a minor."
15616,"Kanye West and paparazzo Daniel Ramos have quietly settled the 2013 LAX–airport lawsuit in which West assaulted Ramos and tried to grab his camera. Ramos had sued for general and punitive damages, arguing West interfered with his right to work; West had pleaded no contest to misdemeanor battery, receiving two years’ probation, anger-management classes and community service. The case was due for trial this week, but was dismissed after the parties reached an agreement that includes a personal apology from West, captured in a photograph of the two men shaking hands. The original incident—filmed on July 19, 2013—showed Ramos urging West to talk, West refusing and accusing Ramos of trying to make him “pay…like $250,000,” then lunging at him for about 15 seconds. Lawyer Gloria Allred said the settlement “sent an important message: celebrities are not above the law.” Earlier, West also resolved a January 2014 assault claim at a Beverly Hills chiropractor’s office by settling civilly and avoiding criminal charges."
15617,"Blues legend B.B. King, 89, was briefly hospitalized for dehydration linked to his Type II diabetes but “is much better” and left the hospital to rest at home with his family, his daughter Claudette and publicist Angela Moore told the Los Angeles Times. King, who thanked fans for their concern, requires no further details on the hospital stay. Known as “Blues Boy” from his days as the Beale Street Blues Boy disc jockey, he was inducted into the Rock & Roll Hall of Fame in 1987 and has earned 30 Grammy nominations. Over the years he played Gibson guitars he nicknamed Lucille—a practice that led Gibson in the 1980s to issue a custom Lucille signature model. His best-known songs include “The Thrill Is Gone” (his first Grammy win in 1970), “There Must Be a Better World Somewhere” and “When Love Comes to Town” (with U2). Last year he also canceled the remainder of his tour after suffering dehydration and exhaustion following a Chicago performance. Reported by CNN’s Greg Botelho and Sonya Hamasaki."
15623,"Chris Copeland, a 31-year-old forward for the Indiana Pacers, was stabbed just before 4 a.m. Wednesday after leaving 1OAK, a Chelsea nightclub, with companion Katrine Saltara. Although initial reports placed the attack at the club’s door, 1OAK later clarified that it occurred several blocks away near the Fulton Houses project—beyond the venue’s surveillance—and that staff aided Copeland only after he staggered back toward the club, leaving a trail of blooded handprints. A 22-year-old Brooklyn man, who never entered 1OAK, was arrested at the scene when Copeland’s driver detained him; charges are pending. Copeland sustained knife wounds to his left elbow and abdomen and is in stable condition; Saltara and a second woman were also cut. Shortly afterward, two Atlanta Hawks players—Pero Antic and Thabo Sefolosha—were arrested nearby on obstruction and related charges after pushing through police securing the crime scene. Neither is accused of participating in the stabbing, and both plan to contest the charges. The NBA, the Hawks and the Pacers are investigating, and team officials have issued statements expressing concern and promising further updates."
15627,"Twenty years after her death, Tejano star Selena is set to return as a fully interactive digital “hologram” called Selena the One. Developed by Nevada-based Acrovirt LLC using its “Digitized Human Essence” technology, the figure will walk, talk, sing and dance autonomously. Selena’s sister, Suzette Quintanilla, stresses it isn’t meant to replace her but to introduce her to new fans and keep her legacy alive. The project will debut new songs, collaborate with current artists and aims for a 2018 tour. An Indiegogo campaign launching April 16 seeks $500,000 in funding. The announcement coincides with the April 17–18 Fiesta de la Flor in Corpus Christi, Texas."
15628,"Alaska Airlines Flight 448, bound from Seattle–Tacoma to Los Angeles, climbed for just 14 minutes Monday afternoon when the crew heard banging from the pressurized, temperature-controlled cargo hold. Air traffic control ordered an immediate return; ground crews and emergency vehicles met the jet on landing. Investigators found the noise was a Menzies Aviation ramp agent—charged with loading luggage—who’d accidentally fallen asleep inside. A federal air marshal rapped back to him and urged him to stay put until landing. The agent, who began his shift at 5 a.m. (set to end at 2:30 p.m.), was unhurt, passed a hospital drug test and was released. During pre-departure checks his team lead unsuccessfully tried to call him, and co-workers assumed he’d gone home. Alaska Airlines says it is looking into the incident; ramp staff carry security badges and undergo criminal background checks. Flight 448 later departed and reached Los Angeles Monday evening with its 170 passengers and six crew."
15634,"Emy Afalava, born in American Samoa and a decorated U.S. veteran, has lived under U.S. law his whole life yet is denied citizenship and the right to vote. Under the Fourteenth Amendment, “all persons born … in the United States … are citizens,” but the federal government treats American Samoa as an exception. Afalava and other American Samoans have sued in the D.C. Circuit to secure their birthright citizenship. Historically, the Supreme Court once denied citizenship to African-Americans in Dred Scott (later overturned by the 14th Amendment) and treated residents of newly acquired territories—like Puerto Rico in the 1904 Gonzalez case—as non-citizens, reflecting racial biases in the Insular Cases. Over the past century, inhabitants of every other U.S. territory have become citizens. American Samoans now remain the sole group born on U.S. soil still awaiting recognition as U.S. citizens."
15638,"Iman (25) and Siham (27) Hashi are Somali‐Canadian sisters who were born in Mogadishu, fled the 1991 civil war, and grew up as refugees in Canada. Now based in Los Angeles under the name Faarrow (“Faith” and “Arrow”), they’re recording their Afro-pop debut album with actor-producer Elijah Kelley. Drawing on influences from Michael Jackson and the Spice Girls to Mariah Carey and Whitney Houston, their sound blends pop, hip-hop and African percussion. They co-wrote and produced most tracks before signing with Warner Brothers, which has given them full creative control. Alongside music, they serve as UNHCR spokespeople, founded a nonprofit for refugee advocacy, perform benefit concerts, and run “Wish Creatively,” a social-enterprise jewelry line funding women’s projects in Somalia and Kenya. Their album is in its final mixing stage, with a lead single due soon."
15651,"Pope Francis, facing a high-stakes centenary Mass in Rome commemorating the 1915–1916 slaughter of Armenians, chose to call the killings “the first genocide of the 20th century” by quoting a 2001 document of Pope John Paul II. That move maintained the Vatican’s longstanding emphasis on continuity—John Paul used the term only in writing, and Benedict XVI had labeled the massacres a “great evil” without calling them genocide—while avoiding an explicit policy shift. At the same time, Francis sought to moderate Turkish anger (Turkey is a key partner against ISIS) but nonetheless provoked an official protest: Ankara recalled its ambassador to the Holy See, summoned the Vatican’s envoy, and condemned the pope’s language as “unacceptable.” The incident highlights Francis’s blend of prophetic bluntness and diplomatic caution—a style already evident in his brokering of U.S.-Cuba detente, his invitation to Israeli and Palestinian leaders, and his outspoken interventions on issues from ISIS to freedom of speech. At a morning Mass the next day, he encouraged priests to speak truthfully and courageously, echoing the early apostles."
15652,"National Park Week runs April 18–26 and waives entrance fees at the 128 fee-charging sites (including Yellowstone and Yosemite) on its weekend days—Saturday and Sunday. Most of the National Park Service’s 407 sites are already free year-round. During the week you can join astronomy nights, Revolutionary War programs, Earth Day celebrations and Junior Ranger activities at parks nationwide. For park locations and event details visit FindYourPark.com or www.nationalparkweek.org, and share your experiences with #FindYourPark."
15661,"Tokyo Electric Power Company (TEPCO) deployed a second remote-controlled, shape-shifting robot into the damaged Fukushima Daiichi reactor on April 15 after the first one stalled on April 10. The new probe, sent because workers still cannot safely enter, gathered radiation and temperature readings at all 11 planned points and found both lower than expected—signaling that cooling systems are holding—and captured images showing an unexplained green glow and yellow discoloration on a grating. TEPCO cut the first robot’s cable on April 12 after it became blocked by debris, though it had already surveyed 14 of its 18 target locations. Akira Ono, chief of the plant, called the mission “a great step forward” for obtaining data needed in the unprecedented decommissioning effort, which will cost about $50 billion and take years to complete."
15665,"The passage describes the victim-impact phase of Boston Marathon bomber Dzhokhar Tsarnaev’s trial, in which jurors, having found him guilty on all counts, must now decide between life and death. Prosecutors presented tearful testimony from survivors and families of the four people Tsarnaev killed—29-year-old Krystle Campbell, Chinese student Lingzi Lu, eight-year-old Martin Richard and MIT officer Sean Collier—emphasizing how each was beloved by family and died in agony without warning. Photographs showed happy, ordinary moments, contrasted with a defiant mug shot of Tsarnaev flipping the camera the day of his arraignment. Survivors gave harrowing accounts: high-school senior Gillian Reny described her leg shattering and blood everywhere; restaurant manager Celeste Corcoran detailed the blast, her ensuing double amputation and the chronic, burning phantom pain that makes daily life an “uphill battle.” The prosecutor argued these stories reveal both the physical brutality and emotional devastation Tsarnaev inflicted, underscoring his lack of remorse and the “very essence of terror” behind his crimes."
