source_id,summary
15599,"Blue Bell Creameries has closed its Broken Arrow, Oklahoma, plant after listeria was found in a 3-ounce cup of ice cream produced there. The CDC warns consumers not to eat any Blue Bell items from that plant—specifically 3-ounce cups marked with codes O, P, Q, R, S or T—though other Blue Bell products are not included in this warning. The company is recalling the implicated cups and had previously recalled products from a Texas facility tied to a Kansas hospital outbreak in which five people were infected and three died. Genetic tests show the listeria in ice cream from the Broken Arrow plant matches bacteria found in a Kansas hospital sample, but investigations continue to determine if the ice cream caused the illnesses. This marks Blue Bell’s first recall in its 108-year history. The CDC urges disposal of the recalled products, noting listeriosis poses serious risks, especially to vulnerable populations."
15601,"An outside investigation by Columbia Journalism School found that Rolling Stone’s article on an alleged gang rape at the University of Virginia was “deeply flawed,” citing failures in reporting, editing, supervision, and fact-checking. Rolling Stone’s managing editor publicly apologized to readers, Phi Kappa Psi, UVA administrators, and students. 

Legal analysis in the passage asks whether UVA or fraternity members could sue for defamation:

• Elements of libel under Virginia law: publication of a false, defamatory statement made with the required intent.  
• UVA, as a public (governmental) institution, cannot sue for defamation.  
• Group defamation rules bar suits by large or undefined groups; individuals can sue only if the group is “comparatively small” and the statement clearly targets each member.  
• Phi Kappa Psi might invoke this “small-group” exception, arguing the article’s claims were imputed to identifiable members, while Rolling Stone would counter that the fraternity is too large and fluid for individual injury to be presumed.  
• Other fraternities not named in the story likely have no viable claim.  

Although libel suits are rare and require proof of concrete damages, fraternity members could potentially clear the preliminary hurdles and pursue a successful claim, whereas UVA cannot."
15604,"The author—Kentucky’s first female and first non-white state senator (elected in 1967)—rebukes fellow Kentuckian Rand Paul as he launches his presidential bid. She says his pledge to “expand” and “include” minorities is belied by his record: questioning the Civil Rights Act, resisting stronger Voting Rights Act protections, suggesting private businesses may discriminate, wanting to abolish the Department of Education, limiting women’s reproductive choices, opposing protections for DREAMers, and delivering tone-deaf speeches at historically Black colleges. She argues these positions would drag the nation backward, labeling them outdated and disqualifying, and concludes that Americans deserve a leader genuinely committed to civil rights, voting access, and progress."
15613,"Mary Kay Letourneau Fualaau, formerly a 34-year-old Seattle teacher, began a sexual relationship with her 13-year-old student Vili Fualaau in 1996, bore his child, and served more than seven years in prison. After her 2005 release they married, will mark their 10th anniversary on May 20, and have two teenage daughters. Now 53 and 31, the couple tell ABC’s “20/20” they remain happy; she discusses what sustains their marriage, her wish to teach again, and hopes to end her sex-offender status, while he reflects on struggles with alcoholism, depression, and feeling the system failed him."
15616,"• Photographer Daniel Ramos sued Kanye West over a July 19, 2013 incident at Los Angeles International Airport in which West attacked him and tried to grab his camera; the altercation was recorded on video.  
• West had already pleaded no contest to misdemeanor battery for the scuffle and received two years’ probation, anger-management classes, and community service.  
• Ramos and attorney Gloria Allred sought general and punitive damages; trial was scheduled for the following week.  
• The parties settled, leading Ramos to dismiss the case. Key term disclosed: West issued a personal apology, and the two shook hands.  
• Allred said the outcome shows celebrities are not above the law."
15617,"B.B. King, 89, was briefly hospitalized for dehydration brought on by his Type II diabetes but says he is “much better” and went home Tuesday to rest with his grandchildren, according to daughter Claudette King and her publicist. He thanked fans for their concern; no other hospitalization details were given. The Rock and Roll Hall of Fame inductee—known for naming his Gibson guitars “Lucille” and for hits such as “The Thrill Is Gone,” “There Must Be a Better World Somewhere,” and “When Love Comes to Town”—previously battled dehydration and exhaustion after a Chicago show last year."
15623,"Indiana Pacers forward Chris Copeland, 31, and his companion Katrine Saltara were stabbed around 4 a.m. Wednesday on a street near the 1OAK nightclub in New York’s Chelsea district after leaving the club minutes earlier. A 22-year-old Brooklyn man — who never entered 1OAK — allegedly attacked them and another woman outside the Fulton Houses, then was detained by Copeland’s driver; a knife was recovered and charges are pending. Copeland sustained wounds to his left elbow and abdomen and is in stable condition; Saltara and the third woman received slash injuries.

Atlanta Hawks players Pero Antic, 32, and Thabo Sefolosha, 30, present to check on Copeland, were arrested for obstructing governmental administration and disorderly conduct (Sefolosha also for resisting arrest) after police said they interfered with the crime-scene setup. The Hawks and NBA are reviewing the matter; neither player will dress for Wednesday’s game against the Nets."
15627,"Selena’s family is partnering with Nevada tech firm Acrovirt LLC to create “Selena the One,” a hologram-like, interactive digital version of the Tejano star who died 20 years ago. The figure is intended to walk, talk, sing, dance, autonomously learn and react, and will be the first use of Acrovirt’s “Digitized Human Essence” technology. Plans call for the virtual Selena to release new music and videos, collaborate with current artists, and tour in 2018. An Indiegogo campaign at www.selenatheone.com launches April 16 to raise $500,000 for development. The project seeks to extend her legacy—already evident in her 2 million-like Facebook page—and coincides with the Fiesta de la Flor celebration in Corpus Christi on April 17–18."
15628,"Shortly after Alaska Airlines Flight 448 left Seattle for Los Angeles on Monday, the pilot heard banging from the cargo hold and returned to the airport. The noise came from a Menzies Aviation ramp agent who had accidentally fallen asleep in the pressurized, temperature-controlled hold while loading luggage. Passengers heard pounding and faint cries; a federal air marshal responded before the 14-minute flight ended in an emergency landing. The agent, whose shift had been due to end just before departure, was hospitalized as a precaution, passed a drug test, and was released. Alaska Airlines is investigating; the rescheduled flight later reached Los Angeles."
15634,"Emy Afalava, a decorated veteran born in the U.S. territory of American Samoa, is barred from voting because the federal government claims he is not a U.S. citizen. He and other Samoans are challenging this in a pending D.C. Circuit lawsuit, arguing that the Fourteenth Amendment guarantees citizenship to all persons born on U.S. soil. The denial echoes past race-based exclusions: the Dred Scott decision that stripped free Black people of citizenship until reversed by the Fourteenth Amendment, and the early-1900s Isabel Gonzalez case, in which the Supreme Court refused to confirm Puerto Ricans as citizens while labeling island peoples racially inferior. Although residents of every other U.S. island territory have since gained citizenship, American Samoans remain the only Americans still denied it."
