source_id,qa_response
14300,"Automotive technicians can get paid through various methods, including hourly wages, commission, or a combination of both. The specific pay rate can vary based on factors such as the type of work, the location, and the employer."
14323,"To grill a porterhouse, follow these steps based on the provided passages:

1. Set up the grill for three-zone grilling, with a double layer of coals at the far side, a single layer in the center, and the section closest to you coal-free.
2. Clean the hot grill grate with a grill brush.
3. Lubricate the grill grate with a grill oiler or a folded paper towel dipped in vegetable oil."
14353,The passages do not provide instructions on how to fold a quilt.
14355,"Based on the provided passages, the benefits of a water pick are:

- Helps eliminate germs and plaque that are tough to remove with a toothbrush.
- Massages and stimulates soft tissue in the mouth, helping to reduce the risk of gingivitis.
- Cleans better around the teeth and gums, removing food from areas that brushing cannot access."
14360,"To set the default browser to Windows, follow these steps based on the provided passages:

For Windows 7:
- Decide which browser you want to be your default.
- Follow the respective steps for the chosen browser as explained in the document from the CMU Help Desk.

For Windows 10 or later:
- Open the Settings app (via Start menu or Windows + I keyboard shortcut).
- Click on ""System.""
- Click on ""Default apps.""
- In the ""Web browser"" section, click on the current default browser (e.g., Edge) and select the desired browser (e.g., Google Chrome) to set it as the default."
14366,"The proper way to dispose of a worn USA flag, according to the provided passages, is to burn it in a peaceful manner. If you are disposing of it yourself, you should fold the flag in the customary triangle fold and burn it in a proper ceremony. Alternatively, you can put the flag out for collection after removing the blue field, which should then be burned and the ashes buried."
14375,"To cook brats, follow these steps:

1. Prick the bratwurst with a fork to prevent them from exploding.
2. Preheat an outdoor grill for medium-high heat and lightly oil the grate.
3. Combine beer and onions in a large pot, add the bratwurst, and simmer for 15 to 20 minutes.
4. Cook the bratwurst on the preheated grill for 10 to 14 minutes, turning occasionally to brown evenly."
14390,"**Symptoms of IBS:**
- Diarrhea (often severe)
- Constipation
- Alternating diarrhea and constipation
- Belly pains or cramps that worsen after meals and improve after a bowel movement
- Excess gas or bloating

**Causes of IBS:**
- Abnormal gastrointestinal (GI) tract movements
- Increased awareness of bodily functions
- Disruption in communication between the brain and the GI tract
- Abnormal nervous system signals
- Increased sensitivity to pain
- Food intolerances
- Abnormal movements of the colon and small intestines (too fast, too slow, or too strong)
- Hypersensitivity to pain from a full bowel or gas"
14392,"Essential amino acids cannot be made by the body and must be obtained from the diet. Nonessential amino acids can be made by the body from essential amino acids or by breaking down protein products, so they do not need to be obtained from the diet."
14394,"Based on the provided passages, the typical weather in Indiana, specifically in Indianapolis, is characterized by:

- Long, warm, humid, and wet summers.
- Chilly and windy winters.
- Temperatures typically ranging from 22°F to 85°F throughout the year.
- Snowfall and snow accumulation, with varying amounts depending on the location and year.
- Significant rainfall, with the wettest year recording 57.65 inches and the driest year recording 24.97 inches."
14396,"To sync an audiobook from an iPhone to iTunes, follow these steps:

1. Connect your iPhone to your computer using a USB cable.
2. Launch iTunes on your computer.
3. Click on the name of your iPhone under Devices in the left column.
4. Choose ""Books"" above the main iTunes window.
5. Select the audiobooks you want to transfer.
6. Click ""Sync Audiobooks"" and choose the audiobooks you want to transfer or select ""All Audiobooks"" to transfer all of them to the iPhone.
7. Click ""Apply"" at the bottom of the screen to finish the syncing process."
14404,"The body systems work together in the following ways:

- The urinary system cleans waste products from the skeletal, muscular, digestive, respiratory, circulatory, and nervous systems.
- The respiratory system provides oxygen to all body parts and removes carbon dioxide from the muscular, digestive, skeletal, circulatory, urinary, and nervous systems."
14418,"The name Teresa means ""Reap"" or ""Harvester"" in Greek, American, and Italian. In Spanish, it refers to the names of two popular saints, 'Teresa of Avila' and 'Therese of Lisieux'."
