source_id,summary
15599,"The passage describes a recent listeria outbreak at Blue Bell Ice Cream Company in Broken Arrow, Oklahoma. The company has temporarily closed one of its manufacturing plants due to a listeria contamination incident. The outbreak occurred when a 3-ounce serving of Blue Bell ice cream from the Broken Arrow plant was contaminated with listeria. The company has recalled other Blue Bell ice cream products as well. The outbreak has led to several deaths and cases of severe illness among patients."
15601,"A major academic study found that Rolling Stone failed to publish a properly reported story about a alleged gang rape at the University of Virginia. The Columbia Journal Review concluded that the failure included reporting, editing, editorial supervision, and fact-checking. The article was criticized as being flawed due to its lack of proper investigation and reporting. The article was published after the university had already released a statement denying the allegations. The article was later retracted by Rolling Stone. The university and Phi Kappa Psi are currently seeking legal action against Rolling Stone."
15604,"Rand Paul is trying to run for president of the United States, but his campaign announcement message is about expanding the Republican Party rather than addressing voter concerns related to voting rights and civil rights legislation."
15613,"The passage describes the divorce of Mary Kay Letourneau Fualaau and Vili Fualaau, who were married in 1996. They had a daughter together before becoming pregnant with another child. In 2005, they got divorced. Letuauen has been married to Vili since then, and they are now the parents of two teenage girls. The couple has been separated for over seven years, and they plan to get back together."
15616,"The passage describes Kanye West settling a lawsuit with a paparazzi photographer who assaulted him in July 2013 at Los Angeles International Airport. The photographer, Daniel Ramos, filed a civil suit against West after West attempted to wrestle his camera from him during the altercation. West pleaded guilty to a misdemeanor count of battery over the scuffle and received a two-year probation sentence along with anger management and community service. Ramos and his lawyer, Gloria Allred, sought general and punitive damages in the civil suit. The case was set for trial next week, but Ramos' side filed a dismissal due to the settlement being satisfactory to both parties. The incident was captured on video, including the exchange between West and Ramos. The original incident was caught on video, showing West moving through a group of paparazzi while Ramos shouted out ""Kanye! Kanye! Talk to me, Kanye!"" and West advancing toward him. West retreated after about 15 seconds of scuffling with Ramos. The case sent an important message to celebrities, stating that they are not above the law and should not be subjected to physical attacks."
15617,"B.B. King, a legendary blues musician, was hospitalized due to dehydration caused by type II diabetes. Despite the illness, King remains well and is returning home to rest. His daughter, Claudette King, thanked those concerned about his health. King, who uses Gibson guitars since the 1980s, has made Lucille his signature model. He has performed with various Gibson guitars throughout his career, including Lucille. In 1980, King created a custom-made Lucille model for his last gig, which became known as Lucille."
15623,"The passage describes a stabbing incident involving Chris Copeland of the Indiana Pacers in New York City. Two Atlanta Hawks, who had just finished a home game hours earlier, were also arrested in connection with the incident. The incident took place in front of the Fulton Houses project, which is part of the 10Oak club in New York City. The stabbing occurred shortly after 4:00 AM, and the club later confirmed that the stabbing occurred in front of the Fulton Houses project. The incident resulted in the death of Chris Copeland, who was stabbed and killed by a 22-year-old Brooklyn man. The Hawks were not involved in the stabbing incident, but were arrested on obstruction and other charges later."
15627,"The passage describes Selena Quintanilla, the former Mexican-American singer-songwriter who passed away 20 years ago, returning to public view through a holographic figure created using advanced technology. This technology allows individuals to have a personal, fully-realized representation of their favorite artist, including their voice, appearance, and personality. The technology is being developed by Acrovirt LLC, a Nevada-based tech company, and will be used to create a ""Selena the One"" digital avatar. The project is expected to include new music, collaborations with current artists, and tours. The family plans to expand the legacy of Selena Quintanilla, with the creation of a new figure that will be a virtual representation of her. The technology is set to become a significant part of Selena's legacy, as it allows fans to connect with her through a digital avatar."
15628,"The passage describes a series of events involving a passenger on an airplane who fell asleep while attempting to load luggage. The incident occurred during a routine check-in process, where the passenger was reportedly falling asleep while waiting for their turn to board the plane. Upon discovering the passenger had fallen asleep, the airline attempted to wake him up by calling the cargo hold and sending a text message to his cell phone. However, the passenger remained unresponsive, leading to the subsequent emergency landing of the aircraft. The incident has raised concerns about the safety of such operations and the potential risks associated with sleeping while handling heavy equipment."
15634,"The passage discusses the ongoing struggle for American citizenship among American Samoans, who were born on U.S. soil but were denied the right to vote due to the U.S. Supreme Court's interpretation of the Fourteenth Amendment. The passage explains how the U.S. Supreme Court ruled in favor of Puerto Rico, labeling its residents as undesirable aliens and preventing them from entering the mainland. However, the passage also notes that the U.S. Supreme Court has upheld the Dred Scott case, allowing African-Americans to remain citizens despite being born on U.S. soil. The passage concludes by calling for the immediate recognition of American citizenship for all U.S. island territories, including Puerto Rico."
