source_id,overview
13601,"Finch & Fork is a restaurant located at 31 W Carrillo St in Santa Barbara, CA, offering Breakfast & Brunch, American (New) and American (Traditional) cuisine, as well as Nightlife and Bar services. It operates from 5:30 PM to 11:00 PM on Mondays, 5:00 PM to 9:00 PM Tuesday through Saturday, and 9:00 AM to 2:00 PM on Sundays. The restaurant offers garage, street, validated, and valet parking. Reservations and takeout are available, and it's suitable for groups. The restaurant has free WiFi and a classy ambiance.

Customer reviews indicate a generally positive experience, with praise for the food quality, service, and ambiance, particularly the bottomless brunch option. One review mentioned that the restaurant is located in a hotel lobby. A few reviewers highlighted specific servers (Jamie and Matthew) for their excellent service. One review noted that the food was overpriced.
"
13603,"Tinker's Burgers is a burger restaurant located at 2275 Ortega Hill Rd, Ste C in Summerland, CA. It is open daily from 11:00 to 17:00. The restaurant offers outdoor seating, takeout, and is good for groups. It has a ""divey"" yet ""classy"" ambience, does not offer WiFi, and does not take reservations. Street parking is available.

Customer reviews indicate a generally positive experience, with some considering the burgers to be among the best they've had. One reviewer mentioned becoming a regular. However, one review noted long wait times, issues with service (specifically regarding ketchup), and a perceived lack of value for the price. Overall, the food quality seems to be a highlight, with the double cheeseburger and fries receiving specific praise.
"
13604,"Benchmark Eatery is an American restaurant located at 1201 State St in Santa Barbara, CA, offering a diverse menu including American (Traditional), American (New), Breakfast & Brunch, Seafood, and Vegetarian options. It also functions as a nightlife spot and venue for event planning. The restaurant offers free WiFi, outdoor seating, and takeout. It is suitable for groups and has a classy yet casual ambiance. Parking options include a garage, street parking, and a lot. The restaurant is open from 11:30 to 8:00 PM Tuesday, Wednesday, Thursday and Sunday, and from 11:30 to 4:00 PM Friday and Saturday.

Customer reviews indicate mixed experiences. One customer enjoyed the flatbreads and clam chowder, describing the place as friendly and upscale casual. Another customer reported a negative experience, citing issues with food preparation, blandness, and poor service, and also mentioned a strange smell inside the restaurant. A third customer enjoyed their meals, particularly the burrito, but noted inconsistency in the spiciness of the Spanish soup.
"
13613,"Pizza Mizza is an Italian restaurant located in Santa Barbara, CA, specializing in pizza and offering food delivery services. The restaurant provides a casual ambience with outdoor seating, free WiFi, and is suitable for groups. They offer takeout and accept reservations. Parking is available in a lot.

Customer reviews indicate mixed experiences. While the food, particularly the pizza, is considered good by some, others describe it as average. One reviewer praised the fresh ingredients and the availability of cauliflower and gluten-free crust options, as well as the generous provision of condiments. However, there are complaints about slow service and inattentive staff, with one customer detailing a long wait time and a lack of concern from the staff, despite the food eventually being refunded due to the delay. Another review mentions that the restaurant is only doing delivery now.
"
13614,"Taffy's Pizza, located at 2026 De La Vina St in Santa Barbara, CA, is a restaurant specializing in pizza. It is open Tuesday through Saturday from 11:00 to 21:00, and Sunday from 12:00 to 20:00, but closed on Mondays. The restaurant offers free WiFi, outdoor seating, and is suitable for groups. Reservations and takeout are available. The ambience is casual. Parking options include street parking and a lot.

Customer reviews indicate a generally positive experience, with some customers having visited for many years. One review mentions a large selection of pizza toppings, sandwiches, salads, and good customer service. Another review highlights the arcade and family-friendly atmosphere. However, one customer reported a negative experience regarding the acceptance of a discount card.
"
13619,"Goodland Kitchen is an American (New) restaurant located at 231 S Magnolia Ave, Goleta, CA. It is categorized under Food, Local Services, Farmers Market, Professional Services, Restaurants, and Shopping. The restaurant is open Monday through Friday from 7:00 to 14:00.

The restaurant offers takeout and outdoor seating. WiFi is not available. It is suitable for groups. The ambience is described as classy and casual.

Based on reviews, customers have experienced both positive and negative changes. Recent reviews from late 2020 mention friendly service, a great lunch menu with good chorizo and salads, and express support for the reopened business. However, a review from 2019 indicates a decline in food quality and innovation, with the removal of lunch specials and the use of seemingly old bread.
"
13632,"Sam's To Go is a sandwich restaurant located at 315 Meigs Rd, Ste I in Santa Barbara, CA. It is categorized as serving sandwiches and American (New) cuisine. The restaurant is open daily, from 10:00 to 21:00 Monday through Saturday, and from 10:00 to 19:30 on Sunday.

The restaurant offers takeout, outdoor seating, and free WiFi. It is suitable for groups and does not take reservations. Parking is available in a lot.

Customer reviews indicate a generally positive experience, with praise for the delicious sandwiches, fresh ingredients, and friendly service. However, one review mentioned a decline in sandwich quality and poor customer service.
"
13633,"Viva Modern Mexican is a restaurant located at 1114 State St in Santa Barbara, CA, offering Mexican, Latin American, Peruvian, and Seafood cuisine, along with breakfast & brunch options and tapas/small plates. It also functions as a venue and event space, providing event planning services and operating as a cocktail bar with nightlife. The restaurant is considered classy and offers free WiFi, outdoor seating, and takeout. It is suitable for groups and accepts reservations. Parking options include a garage and street parking.

Customer reviews are mixed. One reviewer praised the margaritas and salads, expressing sadness over a potential closure. Another reviewer reported a severe case of food poisoning and an injury due to broken glass. However, another reviewer highly recommends the restaurant for events, particularly praising the taco buffet, the upstairs space, and the event coordinator.
"
13637,"Hollister Brewing Company is a brewpub located at 6980 Marketplace Dr in Goleta, CA, offering American (Traditional) cuisine. It is open daily from 11:30 to either 19:30 or 20:00. The restaurant offers reservations, outdoor seating, free WiFi, takeout, and is good for groups. The ambience is described as classy and casual. Parking is available in a lot.

Based on the provided reviews, customer experiences appear mixed. One reviewer expressed disappointment with the staff's friendliness and observed unprofessional behavior. Another reviewer was excited about the new chef and menu, praising the improved food quality and flavor, particularly the Korean chicken wings. A third reviewer reported very slow service and long wait times for food.
"
13669,"Jeannine's American Bakery Restaurant is located at 7060 Hollister Ave, Ste 105 in Goleta, CA. It is categorized as a bakery, restaurant, and a spot for American (Traditional), Breakfast & Brunch, Coffee & Tea. The restaurant is open Wednesday through Sunday, with varying hours. It is closed on Mondays. The restaurant offers free WiFi, outdoor seating, and takeout. Parking is available in a lot. The ambience is described as classy.

Customer reviews are mixed. One customer expressed disappointment with the coffee, chilequiles, overcooked eggs, and croissant, and found the orange juice not tasty. However, they did enjoy the French toast. Other customers had positive experiences, praising the food, service, and ambiance. The French toast, orange juice, and bacon were specifically highlighted as delicious.
"
