source_id,summary
14-0,"Militants stormed Kabul’s 400-bed Sardar Daud military hospital at 09:00 local time, blowing open the gate, then shooting staff and patients with guns and grenades. Afghan special-forces commandos landed on the roof and, after more than six hours of fighting, killed all four attackers. The so-called Islamic State (IS) claimed responsibility; the Taliban denied involvement. The defence ministry reported more than 50 wounded (fatalities were not specified). President Ashraf Ghani and de-facto deputy Abdullah Abdullah condemned the assault, calling it an attack on all Afghans and vowing retribution. Analysts note this is IS’s first direct clash with security forces in Kabul, using Taliban-style tactics that suggest increased resources and training, raising fears of further such operations. IS has mounted several high-profile Kabul attacks since 2015, while the Taliban also continues its own offensive."
14-1,"The 46th Man Booker Prize, now open to all English-language authors, will be decided Tuesday at London’s Guildhall. Six novels are shortlisted:

• Neel Mukherjee – The Lives of Others (5/2 favourite with William Hill; Calcutta family drama, 1967)  
• Howard Jacobson – J (futuristic love story; Jacobson won in 2010)  
• Ali Smith – How to Be Both (dual narrative, Renaissance Italy / 1960s child)  
• Joshua Ferris – To Rise Again at a Decent Hour (atheist New York dentist; ~6,000 sales)  
• Karen Joy Fowler – We Are All Completely Beside Ourselves (family tale; best-seller with 55,000 copies)  
• Richard Flanagan – The Narrow Road to the Deep North (WWII Thailand-Burma railway; 3/1 second favourite)

Fowler’s novel leads sales; Mukherjee’s showed the biggest post-shortlist surge. Critics call the list “weak,” though some rate Jacobson’s J the strongest book. Judges are chaired by A. C. Grayling with Sarah Churchwell, Jonathan Bate, Daniel Glaser, Alastair Niven and Erica Wagner. Each shortlisted author gets £2,500 and a special edition; the winner will be announced on BBC News Channel and BBC Arts."
14-2,"Bank of England Governor Mark Carney, expected either to leave in 2018 or stay until 2021, chose a “third way”: he will extend his term by just one year, finishing in 2019.  
He says the decision is entirely personal, driven mainly by family considerations—two of his four daughters reach key exam stages in 2018 and the family wishes to return to Canada then. Carney felt it would be hard to depart in the midst of Brexit talks, so the extra year should see the Article 50 process largely completed. Those around him deny any tension with Prime Minister Theresa May or that criticism of the Bank’s pre-referendum forecasts influenced him; the government left the timing up to him."
14-3,"AA Gill, the acclaimed but often controversial Sunday Times columnist and critic, has died shortly after revealing he had multiple cancers he called the “full English.” Sunday Times editor Martin Ivens hailed him as “a giant among journalists,” noting his final piece on facing the disease will appear tomorrow. Born in Edinburgh in 1954, Gill overcame severe dyslexia, studied art, and began writing in the 1980s before joining the Sunday Times in 1993, where his dazzling, fearless prose and telephone-dictated copy made him a distinctive voice. Tributes from figures such as Jay Rayner, Tim Shipman, and former editors John Witherow and Andrew Neil praised his brilliance. Gill’s sharp writing also drew frequent controversy, including remarks about the Welsh, the Isle of Man, and shooting a baboon. He was previously married to author Cressida Connolly and to future Home Secretary Amber Rudd (with whom he had two children), and was recently engaged to long-time partner Nicola Formby, mother of their twins."
14-4,"The passage profiles three self-declared activist hacking groups active around the Ukraine-Russia conflict.

1. Ukrainian Cyber Troops
   • Led by Kyiv programmer Yevhen Dokukin.  
   • Tactics: hacks Russian servers and email accounts, hands data to Ukraine’s security service; conducts DDoS attacks on separatist sites; blocks rebel PayPal/WebMoney accounts; taps public CCTV in rebel areas; hijacks network printers for pro-Ukrainian messages.  
   • Inform Napalm analysed 35 GB of their leaks, allegedly showing wounded Russian soldiers in Ukraine.  
   • Officials deny using their intelligence for artillery targeting.

2. Cyber Berkut
   • Pro-Russian, anti-Western group named after Ukraine’s former riot police.  
   • Aims to hinder Kyiv’s military actions and claims to fight “genocide” by the West.  
   • Actions: defaced Ukrainian government sites during U.S. Vice-President Biden’s visit; says it stole documents on U.S. military aid; hijacked Kyiv billboards with anti-government videos; claims to have disrupted election vote-counting, leaked defence data, blocked President Poroshenko’s site, and posted an unverified chat blaming Ukraine for MH17.

3. Anonymous International (aka b0ltai/Shaltay Boltay)
   • Russian activist outfit known for leaking Kremlin documents.  
   • Source of materials (hacking vs. insider leaks) unclear.  
   • Publishes mainly on Russian domestic issues but has posted Ukraine-related items, including a fighter’s letter doubting local support for separatists and alleged emails of ex-FSB colonel Igor Girkin.  
   • Its website is currently blocked in Russia.

Overall, these groups publicize hacked data, deface or disable online resources, and wage information warfare on opposing sides of the Ukraine conflict while professing independence from state sponsors."
5-0,"The 30-year-old former Manchester City player earned 61 England caps after debuting in 2009, featured in two World Cups and two European Championships (playing only three minutes at Euro 2016), and scored his sole senior international goal in a 5-0 World Cup-qualifying win over Moldova. He also set the England Under-21 record with 46 caps (first appearance in 2004) and, commenting on his decision, wished manager Sam Allardyce, the squad and supporters well, calling it “common sense.”"
5-1,"Brad Wilk is a drummer who began with Greta in 1990, co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in 1991 (playing with the group in 1991-2000 and 2007-11), and also played in Audioslave from 2001-07. As of 2016 he performs in Prophets of Rage alongside Commerford, Morello, Chuck D, B-Real, and DJ Lord. Separately, Rage is a German heavy-metal band founded in 1984 by Peter “Peavy” Wagner."
5-2,"Gary Locke, 41, has signed a three-year contract to become Kilmarnock’s permanent manager. Previously Allan Johnston’s assistant, he took over as interim boss when Johnston resigned in early February and has since suffered just one defeat in seven matches. Locke will discuss the appointment at a Friday press conference, and he formalized the deal with a handshake alongside chairman Jim Mann."
5-3,"Rupert Murdoch currently serves as chairman and acting CEO of Fox News and, following the 28 June 2013 split of News Corporation, retained full control as chairman and CEO of its successors, News Corp and 21st Century Fox—the world’s second-largest media conglomerate. His younger son, James Rupert Jacob Murdoch (born 13 December 1972), is CEO of 21st Century Fox and chairman of Sky plc."
15-0,"Veteran British actor Robert Hardy, 89, is downsizing his Cotswolds home and has consigned his personal collection of antiques to a £100,000 sale at Dominic Winter Auctioneers in South Cerney, Gloucestershire, this Saturday. The 238-lot auction features more than 200 pieces he amassed through a lifelong interest in literature and military history, including:  
• an L.M. Rendall hand-painted 3-D diorama of the 1415 Battle of Agincourt (£4,000–£6,000);  
• a yew longbow with mother-of-pearl handle and a portrait of Hardy holding it (together up to £2,000);  
• early-Victorian Gillows cabinets (to £4,000);  
• additional paintings, furniture, swords, flintlock rifles, silver, crystal chandeliers, and books dating to the 17th century.  

Hardy—taught by J.R.R. Tolkien and C.S. Lewis at Oxford, author of two longbow histories, and an adviser on the Mary Rose—expressed sadness at parting with his “treasured library,” wishing buyers equal enjoyment.  

Acting highlights: Siegfried Farnon in “All Creatures Great and Small,” frequent portrayals of Winston Churchill and Franklin D. Roosevelt, and Cornelius Fudge in the “Harry Potter” films. A fall ended his stage work two years ago, but he intends to keep acting on television."
