source_id,qa_response
14300,"Automotive technicians are compensated through several methods: they may earn a straight hourly wage, be paid on commission (often tied to the work they complete), receive flat- or flag-rate pay for each job, or work under combinations of hourly and commission structures."
14323,"1. Start charcoal: pour a chimney of lit coals into the grill.  
2. Arrange heat zones: push coals into a double layer at the far side, a single layer in the center, and leave the section closest to you without coals (three-zone setup; do the same on a gas grill).  
3. Put the grill grate back on.  
4. When the grate is hot, brush it clean and oil it.  
5. Place the porterhouse—NY strip on one side of the bone, filet on the other—over the appropriate heat zones and grill."
14353,"Lay the quilt on a flat surface, then:

1. Fold the lower right corner up to the center on the bias.  
2. Fold the lower left corner up to the center on the bias.  
3. Fold the top left corner down to the center on the bias.  
4. Fold the top right corner down to the center on the bias."
14355,"A Water Pik shoots a focused water stream that:
• Removes food, plaque and germs from spots a toothbrush can’t reach.  
• Massages and stimulates gum tissue, lowering the risk of gingivitis.  
• Helps keep teeth, gums, and mouth overall healthier."
14360,"In Windows, set your default browser by:
1. Open Settings (Start menu → Settings or press Windows + I).
2. Select System.
3. Choose Default apps in the left pane.
4. Under Web browser, click the current browser name.
5. Pick the browser you want (e.g., Chrome or Firefox)."
14366,"Dispose of a worn U.S. flag by burning it respectfully: either (a) cut off the blue field, burn that portion peacefully and bury the ashes, or (b) fold the whole flag into the traditional triangle and burn it in a proper retirement ceremony."
14375,"Prick the bratwurst, then simmer them 15–20 min in a pot of beer, onions (plus butter/seasonings) over medium heat. Pre-heat and lightly oil a medium-high grill, move the brats to the grill, and cook 5–10 (up to 14) min, turning once or occasionally until evenly browned. Serve with the beer-onion mixture."
14390,"Symptoms  
• Diarrhea (sometimes severe)  
• Constipation  
• Alternating constipation and diarrhea  
• Belly pain or cramps—usually low in the abdomen, worse after meals, eased by a bowel movement  
• Excess gas / bloating  

Likely causes (exact cause unknown)  
• Abnormal or altered movements of the colon and small intestine  
• Disrupted communication or abnormal nerve signals between the brain and GI tract  
• Increased sensitivity to pain or fullness in the bowel  
• Food intolerances/sensitivities due to poor absorption of certain sugars or acids"
14392,"Essential amino acids cannot be made by the body and therefore must be obtained through your diet; nonessential amino acids can be synthesized by the body, so you do not have to get them from food."
14394,"Indiana typically has long, warm, humid, wet summers and chilly, windy winters with partly-cloudy skies year-round. Temperatures usually range from about 22 °F in winter to 85 °F in summer, seldom dropping below 3 °F or topping 92 °F, and the state sees regular snowfall and rainfall."
14396,"1. Add or download the audiobook so it appears in iTunes → Audiobooks.  
2. Connect the iPhone to the computer and open iTunes.  
3. In iTunes, select the iPhone under Devices, then open the Books/Audiobooks tab (or turn on “Manually manage music”).  
4. Check “Sync Audiobooks,” pick the desired titles (or drag them if managing manually).  
5. Click Apply/Sync and wait for the process to finish—the audiobook is now synced between iTunes and the iPhone."
14404,"Body systems act cooperatively: all eleven major systems (skeletal, muscular, digestive, respiratory, circulatory, urinary, endocrine, lymphatic, immune, reproductive, nervous) interact to keep the body functioning. For example, the urinary system filters wastes generated by several other systems, while the respiratory system supplies those same systems with oxygen and removes their carbon-dioxide waste."
14418,"Teresa means “harvester” or “reaper,” deriving from the Greek Therasia."
