source_id,summary
14-0,"A militant attack occurred at a hospital in Afghanistan where four attackers, armed with guns and grenades, entered after detonating explosives. Commandos killed all four attackers after a prolonged fight. The Islamic State (IS) claimed responsibility, while the Taliban denied involvement. Over 50 people were injured, and the attack marked a shift in IS tactics, involving direct engagement with security forces rather than targeting civilians. The incident highlighted the ongoing conflict in Afghanistan, with IS expanding its operations and facing challenges in establishing a broader presence."
14-1,"The 2015 Booker Prize shortlist includes six novels: Mukherjee's ""The Lives of Others,"" Jacobson's ""J,"" Smith's ""How To Be Both,"" Ferris's ""To Rise Again at a Decent Hour,"" Fowler's ""We Are All Completely Beside Ourselves,"" and Flanagan's ""The Narrow Road to the Deep North."" ""We Are All Completely Beside Ourselves"" is the most popular, having sold over 55,000 copies since its publication. The winner will be announced at London's Guildhall on Tuesday. The prize is open to all English-language authors, unlike previous years. Notable nominees include Howard Jacobson, Ali Smith, Joshua Ferris, Karen Joy Fowler, and Richard Flanagan. The winner is expected to be announced on September 9th."
14-2,"Mark Carney, Governor of the Bank of England, decided to extend his term by one year instead of the usual eight years. This decision was influenced by personal considerations, particularly the need to support his children's education. His daughters will finish their A-levels and GCSEs in 2018, coinciding with his original retirement date. Despite facing pressure to extend his term due to Brexit uncertainties, Carney felt compelled to leave in 2019 to ensure his family could return to Canada for their education."
14-3,"The article discusses the passing of Adrian Gill, a columnist for the Sunday Times, who had been battling multiple cancers. Gill, known for his controversial yet witty writing, passed away after a period of chemotherapy. His final column addressed his battle with cancer. Gill was highly regarded by his colleagues, including Martin Ivens, who called him a ""giant among journalists"" and ""the heart and soul of the paper."" The article highlights Gill's diverse career, from art reviews to his work for Tatler and the Sunday Times. It also mentions his controversial comments and actions, such as shooting a baboon in Tanzania and describing the Welsh as ""dark, ugly little trolls."" Gill's personal life included marriages and divorces, and he was engaged to Nicola Formby at the time of his death. His passing left a significant impact on the Sunday Times community, with many expressing their sorrow and admiration for his work and character."
14-4,"The passage discusses various hacker groups involved in the Ukrainian conflict, including the Ukrainian Cyber Troops, Cyber Berkut, and Anonymous International. Key points include:

- The Ukrainian Cyber Troops, led by Yevhen Dokukin, conduct DDoS attacks and hack into rebel websites, CCTV systems, and electronic payment systems.
- They claim to have hacked Russian interior ministry servers and email accounts, revealing information about Russian military involvement in evacuating wounded soldiers.
- Cyber Berkut, an anti-Western group, targets Ukrainian government websites and leaks classified documents, accusing Kiev of genocide.
- Anonymous International publishes leaked documents from the Kremlin and has focused on both Russian and Ukrainian domestic affairs.
- These groups use various tactics to disrupt each other's operations and influence the conflict narrative."
5-0,"The passage discusses a 30-year-old former Manchester City player who has made 61 senior England appearances since debuting in 2009. He participated in two World Cups and two European Championships but did not play in Euro 2016. The player holds the record for the most capped England Under-21 player with 46 appearances, starting in 2004. His only international goal came in a 2014 FIFA World Cup qualifier against Moldova. The text also mentions that the author wishes success to Sam Allardyce and others in their future endeavors."
5-1,"Brad Wilk is a drummer who was part of the rock bands Rage Against the Machine from 1991 to 2000 and again from 2007 to 2011, and Audioslave from 2001 to 2007. He began his career in 1990 with Greta and co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in 1991. As of 2016, Wilk is a member of the band Prophets of Rage, alongside Dave Grohl, Tom Morello, Chuck D, and DJ Lord. Rage Against the Machine is a rock band formed in Germany in 1984 by Peter ""Peavy"" Wagner."
5-2,"Gary Locke, the former Hearts boss, was appointed as the permanent manager of Kilmarnock after a successful interim period. He took over as manager in February when Allan Johnston resigned. Locke has led the team for seven games without a loss and will speak at a press conference on Friday. He signed a three-year contract with the club."
5-3,"Rupert Murdoch serves as the chairman and acting CEO of Fox News. He is the younger son of media mogul Rupert Murdoch, who is the CEO of 21st Century Fox and chairman of Sky plc. Rupert Murdoch previously held full control as Chairman and CEO of global media holding company News Corporation, which has since split into News Corp and 21st Century Fox, making it the world's second-largest media conglomerate."
15-0,"Robert Hardy, an 89-year-old veteran actor best known for roles in ""All Creatures Great and Small"" and Churchill biopics, is auctioning off his extensive collection of over 200 antiques, including a 3D diorama of the Battle of Agincourt, a longbow, and portraits, at Dominic Winter Auctioneers in Gloucestershire. The collection includes items such as furniture, swords, rifles, silverware, and crystal chandeliers. Hardy, a keen military historian and Tolkien scholar, amassed these items over his career, focusing on classic literature and military history. He plans to sell the collection to ease his move to a smaller home, expressing mixed emotions about the sale but hoping the new owners will enjoy the items as much as he has."
15-1,"Robert Hardy, an 89-year-old veteran actor best known for roles in ""All Creatures Great and Small"" and as Winston Churchill, is auctioning off his extensive collection of over 200 antiques, including a 3D diorama of the Battle of Agincourt, a longbow, and portraits, at Dominic Winter Auctioneers in South Cerney, Gloucestershire. The sale includes items such as furniture, swords, flintlock rifles, silverware, and crystal chandeliers. Hardy, a keen military historian and expert on the medieval longbow, has amassed these items over his career, influenced by his studies under J.R.R. Tolkien and C.S. Lewis at Oxford University. He plans to downsize his home and is sad to part with his collection but hopes the new owners will find joy and pleasure in the items."
15-2,"Robert Hardy, an 89-year-old veteran actor best known for roles in ""All Creatures Great and Small"" and Churchill biopics, is auctioning off his extensive collection of over 200 antiques, including a 3D diorama of the Battle of Agincourt, a longbow, and portraits, at Dominic Winter Auctioneers in Gloucestershire. The collection includes items such as furniture, swords, rifles, silverware, and crystal chandeliers, with an estimated value ranging from £4,000 to £6,000 for the 3D diorama. Hardy, a keen military historian and Tolkien scholar, amassed these items over his career, studying English at Oxford with J.R.R. Tolkien and publishing books on the history of the longbow. He plans to sell his collection due to downsizing his home, expressing mixed emotions about the sale but hoping future owners will enjoy the items as much as he has."
15-3,"The study by the Institute for Health Metrics and Evaluation at the University of Washington reveals that heavy drinking among Americans, especially women, has significantly increased by 17.2% between 2005 and 2012. This rise is attributed to changing social norms, with women increasingly engaging in binge drinking, which has seen a 36% increase in Santa Clara County, California, compared to 23% among men. The Centers for Disease Control and Prevention define heavy drinking as consuming more than one drink per day for women and two for men, while binge drinking involves four or more drinks for women and five or more for men on a single occasion. Despite this increase, the overall percentage of people drinking any alcohol remains relatively stable. The study also notes that excessive drinking led to approximately 88,600 U.S. deaths in 2010 and costs around $220 billion annually. Public health experts suggest that changes in social norms, affordability, and advertising contribute to the rise in binge drinking, particularly in affluent areas."
4-0,"The Giants and the Panthers played an uneven game where Jeff Dimmen equalized for the Panthers after Derrick Walser coached the Giants short-handed. Mike Forney gave the Giants a 2-1 lead with a powerplay goal, but Andy Bohmback tied it at 2-2. Mike Radja and James Desmarais scored to give the Giants a 4-2 lead. Despite this, David Ling scored for Nottingham to make it 4-3. Nottingham leads the league with 28 points, followed by Sheffield Steelers on 27 and Belfast with 25 points. They will play another match on Saturday night."
4-1,"Anne Rice was born in New Orleans and moved from there to Texas and then to San Francisco. Route 495 is a 3.45 mile long freeway in Hudson County, New Jersey, connecting the New Jersey Turnpike at Secaucus to New York State Route 495 inside the Lincoln Tunnel, offering access to Midtown Manhattan."
4-2,"""Home for the Holidays"" was a 1972 American horror film directed by John Llewellyn Moxey, produced by Aaron Spelling, and starred Sally Field, Eleanor Parker, Julie Harris, Jessica Walter, and Walter Brennan. It premiered on ABC on November 28, 1972. A later remake from 1995 featured Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Dylan McDermott, Geraldine Chaplin, Steve Guttenberg, Cynthia Stevenson, Claire Danes, Austin Pendleton, and David Strathairn."
4-3,"The passage discusses a loan move where Smith, 21 years old, has scored five goals for United since July. Smith previously played for Aberdeen, making his debut in 2012 and scoring four times in 89 appearances. Jack Ross, St Mirren's manager, praises Smith as a good player and a mature individual, describing him as an acquisition that provides additional attacking options for the team. The passage also mentions that St Mirren will play against Falkirk in a Championship match on Saturday."
4-4,"Billy Ray Cyrus is a multi-talented artist known for country music, including his role in making it a global phenomenon. ""Excuse My French"" is the debut studio album by American rapper French Montana. ""Excuse My French"" is also a 2014 Egyptian comedy film directed by Amr Salama, which deals with religious discrimination at a public middle school in Egypt. Initially rejected due to censorship concerns, the film had to be revised to maintain its original concept."
7-0,"The passage discusses the campaign expenditures of various political parties in the European elections held in May. UKIP spent £2,956,737, equating to 68p per vote; the Conservatives spent £2,980,815 (79p per vote); the Liberal Democrats spent £1,580,575 (£1.45 per vote), losing all but one of their MEPs; Labour spent £1,027,339 (26p per vote). The Green Party spent £534,249 (43p per vote) and the SNP spent £267,372. The total expenditure by the six highest-spending parties was £9,347,087, with all parties except Labour spending more than in the previous election."
7-1,"The upcoming film features Dame Angela Lansbury as Mrs. Potts in the animated role from 1991. Kevin Kline will portray Maurice, Belle's father. Emma Watson will play Belle, while Dan Stevens will take on the role of the Beast. Luke Evans will play Gaston, with Josh Gad voicing LeFou. The film is set for release on March 17, 2017. Filming began at Shepperton Studios in May, directed by Bill Condon, known for his work on Dreamgirls and Twilight."
7-2,"The passage provides biographical information about two individuals named Dorothy Ann Willis Richards and Ann Richards. Dorothy Ann Willis Richards was an American politician who served as the 45th Governor of Texas from 1991 to 1995, initially as a Democrat and later defeated in re-election. She gained prominence as the state treasurer of Texas and delivered the keynote address at the 1988 Democratic National Convention. Richards was known for her outspoken feminism and memorable one-liners. Ann Richards, born October 1, 1935, and died April 1, 1982, was an American jazz singer and the wife of pianist Stan Kenton."
7-4,"Anderson, 27, a centre-back from Barrow, has left his contract with the club void to join National League rival team. Keating, 21, a striker recommended by former Port Vale manager Micky Adams, is joining the team. Nicholson, the Gulls' boss, believes Keating has the stature and leadership qualities needed. Myles, 27, a striker, has been recommended by Nicholson and is expected to lead the team. The Gulls are currently in the relegation zone and have lost six of their last seven matches."
9-0,"The passage contains two individuals named Francis I. The first, born on December 8, 1708, died on August 18, 1765, was Holy Roman Emperor and Grand Duke of Tuscany, although his wife held the actual power. The second, born on September 12, 1494, died on March 31, 1547, was the first King of France from the Angoulême branch of the House of Valois, ruling from 1515 until his death. This king was also known by various nicknames including ""Francis of the Large Nose,"" ""the Grand Colas,"" and ""the Knight-King."" He was involved in conflicts with the Holy Roman Emperor and King of Spain Charles V, forming an alliance with Sultan Suleiman the Magnificent during the Italian War of 1536-1538."
9-1,"A pit crew member, Todd Phillips, a front-outside tire changer for Dayle Coyne Racing, was injured when struck by Francesco Dracone's car during the inaugural IndyCar Grand Prix of Louisiana. Dracone, who came in on lap 25 for tires and fuel, spun while exiting his pit box, hitting Phillips' leg. Phillips was treated at the infield care center and released after receiving stitches for a cut on his leg. The race faced issues with traction due to prolonged rain before the start. Dracone did not finish the race, finishing 23rd. Dracone, an Italian driver aged 19, spun out on Turn One during the event."
9-2,"The passage describes a rugby league match where Widnes Vikings secured a victory over Castleford Tigers. Widnes led 14-6 at halftime thanks to tries by Macgraff Leuluai, Ah Van, and Chris Bridge. In the second half, Widnes scored more tries, including those by Lloyd White and Joe Mellor, increasing their lead to 38-12. Despite Castleford scoring three tries in quick succession (by Larne Patrick, Luke Gale, and Paddy Flynn), Widnes managed to hold on. The game was close, with Castleford nearly securing a comeback through Gale and Flynn. However, Widnes maintained their lead, moving above Wakefield into seventh place, while Castleford remained in sixth, one point ahead of Widnes."
