source_id,summary
14-0,"Four gunmen attacked Kabul’s 400-bed Sardar Daud military hospital at 09:00 local time by detonating explosives at the gate and then firing on staff and patients with guns and grenades. Afghan special-forces commandos landed on the roof and killed all four assailants after more than six hours of fighting; over 50 people were wounded. The so-called Islamic State (IS) claimed responsibility while the Taliban denied involvement. President Ashraf Ghani and de-facto deputy Abdullah Abdullah condemned the assault, calling it an affront to basic human values. Analysts note this is IS’s first direct armed clash with security forces in Kabul—using a gate-breach tactic typical of the Taliban—signaling increased resources and the potential for more such operations after earlier IS attacks on civilian targets and previous bombings that killed dozens in the capital."
14-1,"Man Booker Prize 2014  
• First year the award is open to any English-language author, regardless of nationality; winner to be announced Tuesday at London’s Guildhall and broadcast by BBC.  

Shortlist (6 novels)  
1. Neel Mukherjee – The Lives of Others (1960s Calcutta family amid political unrest); bookmakers’ favourite at 5/2.  
2. Richard Flanagan – The Narrow Road to the Deep North (WWII Thailand-Burma railway love story); 3/1 second favourite; sole Commonwealth author outside UK.  
3. Howard Jacobson – J (futuristic society that suppresses its past); Jacobson won in 2010.  
4. Ali Smith – How To Be Both (dual narrative: 15th-century artist and 1960s child); Smith’s third shortlist appearance.  
5. Joshua Ferris – To Rise Again at a Decent Hour (atheist New York dentist faces online identity theft).  
6. Karen Joy Fowler – We Are All Completely Beside Ourselves (college student narrates unusual family story); best-selling of the six (55,000 copies).  

Sales uptick followed 9 Sept shortlist announcement; Mukherjee’s weekly sales rose from 97 to 507.  

Commentary  
• Academic David Brauner calls the list “weak,” rates Jacobson’s book highest but doubts a second win for him.  
• Debate continues over literary merit vs. readability.  

Prize details  
• 46th year of Booker.  
• Judges: chair A.C. Grayling with Sarah Churchwell, Jonathan Bate, Daniel Glaser, Alastair Niven, Erica Wagner.  
• Each shortlisted author receives £2,500 and a specially bound copy.  
• 2013 winner: New Zealander Eleanor Catton for The Luminaries (youngest ever winner at 28)."
14-2,"Bank of England Governor Mark Carney, due to step down in 2018 or potentially stay until 2021, announced a compromise: he will extend his term by only one extra year. He says the choice is driven purely by personal factors—chiefly his family’s wish to return to Canada after two of his daughters finish major exams in 2018—rather than political pressure or criticism of the Bank’s pre-referendum Brexit forecasts. Professionally, the extra year prevents him from quitting during the core Brexit negotiations, giving markets some continuity until the Article 50 process should be finished, after which a new governor can take over. Downing Street accepted that the decision was entirely his."
14-3,"Adrian “A.A.” Gill, renowned Sunday Times columnist, has died from what he called the “full English” of cancers. Announcing the death, editor Martin Ivens praised him as the paper’s “heart and soul” and “a giant among journalists”; Gill’s final column on his illness appears in tomorrow’s edition.  

Born in Edinburgh in 1954, Gill overcame dyslexia, studied art, and began writing in the 1980s before joining the Sunday Times in 1993, dictating his copy by phone. Celebrated for dazzling, fearless prose, he was also notorious for provocative pieces—among them shooting a baboon in Tanzania, insulting the Welsh, and calling Clare Balding “a dyke on a bike,” actions that drew repeated criticism.  

Tributes flowed from colleagues including Jay Rayner, Tim Shipman, Stig Abell, John Witherow, Andrew Neil, and Piers Morgan, who hailed both his talent and his generosity.  

Gill’s personal life included marriages to author Cressida Connolly (1983) and future Home Secretary Amber Rudd (1991), with whom he had two children, Flora and Alistair. Illness prompted his recent engagement to long-term partner Nicola Formby, mother of their twins Edith and Isaac."
14-4,"The passage profiles three activist hacking collectives active around the Russia-Ukraine conflict.

1. Ukrainian Cyber Troops  
   • Led by Kiev programmer Yevhen Dokukin.  
   • Operations: hacked two Russian interior-ministry servers and a Rostov-region police e-mail; gave 35 GB of data to volunteers who say it shows wounded Russian soldiers evacuated from Ukraine.  
   • Tactics: heavy use of DDoS (“their artillery”) to knock rebel sites offline; freeze separatist PayPal/WebMoney accounts; tap rebel-area CCTV for troop movements; commandeer printers in eastern Ukraine and Crimea to print pro-Ukrainian slogans insulting Vladimir Putin.  
   • Media reports link their intelligence to Ukrainian artillery, but officials deny using unverified hacker data.

2. Cyber Berkut (pro-Russian, anti-Western)  
   • Name echoes Yanukovych-era riot police; says it seeks to block Kyiv’s “genocide.”  
   • Actions: during U.S. Vice-President Joe Biden’s November visit, defaced Ukrainian government sites with “Joseph Biden is the fascists’ master” and claim to have stolen U.S. aid documents from a staffer’s device.  
   • Other exploits: hacked Kiev billboards to air a “war criminals” video; says it disrupted October parliamentary vote-counting, leaked defence-ministry data on losses/desertions, blocked President Poroshenko’s site, and published an unverified Facebook chat implying Ukraine downed MH17.

3. Anonymous International (Russian, aka b0ltai/Shaltay Boltay)  
   • Publishes leaked Kremlin materials; source unclear (hacks vs. insiders).  
   • Ukraine-related leaks: a November letter from a Russian fighter stating locals do not back separatists, and May emails to/from former FSB colonel Igor Girkin (Strelkov), then a key rebel commander.  
   • Its website is now blocked in Russia.

Collectively, these groups expose documents, disable websites, hijack devices (CCTV, billboards, printers) and wage information warfare, while claiming independence from state security agencies."
5-0,"James Milner, 30, earned 61 senior England caps after debuting in 2009, going to two World Cups and two European Championships but appearing for only three minutes at Euro 2016. He called his recent decision “common sense” and wished Sam Allardyce, the team and supporters well. Milner holds the England Under-21 appearance record with 46 caps (first in 2004) and scored his lone senior international goal in a 5-0 win over Moldova during the 2014 World Cup qualifiers."
5-1,"Brad Wilk is a drummer who first played with Greta in 1990, co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in 1991, and served as that band’s drummer from 1991–2000 and 2007–2011. He was also the drummer for Audioslave from 2001–2007. As of 2016, Wilk performs in Prophets of Rage with Commerford, Morello, Chuck D, B-Real, and DJ Lord. Separately, Rage is a German heavy-metal band formed in 1984 by Peter “Peavy” Wagner."
5-2,"• Gary Locke, 41, has been appointed Kilmarnock’s permanent manager on a three-year contract.  
• Previously Allan Johnston’s assistant, Locke took charge when Johnston resigned in early February.  
• Since then he has suffered just one defeat in seven matches.  
• The former Hearts boss will speak at a press conference on Friday; his appointment was confirmed with chairman Jim Mann."
5-3,"Rupert Murdoch is the chairman and acting CEO of Fox News and, since the 28 June 2013 split of News Corporation, has retained full control as chairman and CEO of News Corp and 21st Century Fox. His younger son, James Rupert Jacob Murdoch (born 13 December 1972), an Australian-British-American businessman, is the CEO of 21st Century Fox and chairman of Sky plc."
15-0,"Actor Robert Hardy, 89, is auctioning his personal collection of antiques this Saturday at Dominic Winter Auctioneers in South Cerney, Gloucestershire. The sale—expected to realise around £100,000—comprises 238 lots built up over his career, reflecting his passions for literature and military history. Items include:

• A hand-painted limewood 3-D diorama of the 1415 Battle of Agincourt by L. M. Rendall (estimate £4,000–£6,000)  
• A yew longbow with mother-of-pearl handle and a related portrait of Hardy (together up to £2,000)  
• Early Victorian Gillows of Lancaster cabinets (to £4,000)  
• Paintings, swords, flintlock rifles, silverware, crystal chandeliers and dozens of books dating to the 17th century.

Hardy—best known for All Creatures Great and Small, multiple portrayals of Winston Churchill, and his role as Cornelius Fudge in the Harry Potter films—studied under J. R. R. Tolkien and C. S. Lewis at Oxford, has written two books on the longbow, and served as an expert on the Mary Rose project. Downsizing from his Cotswolds home, he says parting with the collection is “sadness” but hopes new owners gain as much pleasure as he did. Though a fall ended his stage work two years ago, he intends to remain active in television."
