source_id,qa_response
14300,"Automotive technicians are paid through various compensation methods, including hourly wages, commission, or a combination of both, depending on factors such as their specialization and workplace."
14323,"To grill a porterhouse, set up your grill for three-zone grilling by arranging coals in a double layer on one side, a single layer in the center, and leaving the section closest to you coal-free. Replace the grill grate, clean it when hot, and lubricate it with oil."
14353,"To fold a quilt, lay it flat on a surface and fold each corner (lower right, lower left, top left, and top right) toward the center, ensuring each fold is on the bias."
14355,"A water pick helps maintain oral health by removing germs, plaque, and food from areas brushing can't reach, reducing the risk of gingivitis, and massaging and stimulating soft tissue in the mouth."
14360,"To set the default browser in Windows, open the Settings app, go to System > Default apps, scroll to the Web browser section, and select your desired browser."
14366,"The proper way to dispose of a worn USA flag is to burn it in a peaceful manner, either after removing the blue field and burying the ashes, or through a proper ceremony where the flag is folded in the customary triangle fold."
14375,"To cook brats, prick them with a fork, then simmer in a pot with beer, onions, and butter for 15-20 minutes over medium heat. Preheat a grill to medium-high heat, lightly oil the grate, and grill the brats for 5-14 minutes, turning occasionally to brown evenly. Optionally, cook onions separately as a topping."
14390,"The symptoms of IBS include diarrhea, constipation, alternating diarrhea and constipation, belly pain or cramps (usually in the lower abdomen, worsening after meals and improving after bowel movements), gas, and bloating. The causes are unknown but are thought to involve abnormal GI tract movements, increased pain sensitivity, disrupted brain-GI communication, food intolerances, and abnormal nervous system signals."
14392,"The difference between essential and nonessential amino acids is that essential amino acids cannot be made by the body and must be obtained from the diet, while nonessential amino acids can be made by the body."
14394,"Indiana typically experiences long, warm, humid, and wet summers, and chilly, windy winters. The weather is partly cloudy year-round, with temperatures ranging from 22°F to 85°F."
14396,"To sync an audiobook from iPhone to iTunes, connect your iPhone to your computer, launch iTunes, and select your device under ""Devices."" Click ""Books"" or ""Audiobooks,"" choose the audiobooks you want to transfer, and click ""Sync"" or ""Apply"" to complete the process."
14404,"The body systems work together by supporting each other’s functions. For example, the urinary system cleans waste from other systems, while the respiratory system provides oxygen and removes carbon dioxide for various systems, ensuring overall functionality and balance."
