source_id,summary
14-0,"Here is a concise summary of the passage:

A militant attack occurred at the Sardar Daud hospital in Kabul, Afghanistan, where four attackers armed with guns and grenades gained entry after one detonated explosives at the gate. The attackers, affiliated with the Islamic State (IS) group, were killed by commandos after a several-hour battle. The attack resulted in over 50 injuries and claimed the lives of four people. The Taliban denied involvement, while the IS group claimed responsibility for the attack. This marks a change in the IS group's approach, as they previously targeted civilian gatherings and have now engaged directly with security forces in the capital. The attack highlights the growing threat of extremist groups in Afghanistan, with the IS group and Taliban both carrying out attacks in the country."
14-1,"Here is a concise summary of the passage:

The 46th Booker Prize is to be awarded to the best novel written in English, regardless of nationality. The shortlist includes authors from the UK, US, Australia, and others. The top contenders are Mukherjee's ""The Lives of Others"" and Jacobson's ""J"", with Jacobson being a former Booker winner. Other notable authors on the list include Ali Smith, Joshua Ferris, Karen Joy Fowler, and Richard Flanagan. Fowler's ""We Are All Completely Beside Ourselves"" is the best-selling book on the list, with over 55,000 copies sold since its publication. The winner will be announced at London's Guildhall on Tuesday night, with coverage on the BBC News Channel."
14-2,"Here is a concise summary of the passage:

Mark Carney, the Governor of the Bank of England, surprised many by announcing a one-year extension of his term, rather than leaving in 2018 as originally planned. The decision was reportedly personal, driven by his family's desire to return to Canada, where his daughters will be finishing their education. Carney stated that he intended to give the role ""total attention and devotion"" for as long as he could, and that his decision was not influenced by government pressure or criticism of the Bank's economic forecasts. The extension will allow Carney to remain in the UK until 2021, providing greater certainty for markets during the Brexit negotiations."
14-3,"Here is a concise summary of the passage:

Adrian Gill, a renowned journalist and writer, has passed away after being diagnosed with cancer. Gill, who was the editor of the Sunday Times from 1993 to 2012, was known for his wit, intelligence, and fearless writing style. He had been undergoing chemotherapy and had written about his illness in a column. Tributes have poured in from writers, broadcasters, and journalists, including Jay Rayner, Tim Shipman, and John Witherow, who praised Gill's unique writing style and his impact on the Sunday Times. Gill's writing often caused controversy, but he was also known for his compassion and intelligence. He had overcome dyslexia to forge a career as a writer and had been married twice, with two children from each marriage."
14-4,"Here is a concise summary of the passage:

The Ukrainian Cyber Troops, led by Yevhen Dokukin, are a group of hackers who claim to be independent activists. They have been involved in various cyber attacks against Russian and separatist targets, including:

- Hijacking CCTV cameras, electronic billboards, and network printers
- Conducting distributed denial-of-service (DDoS) attacks
- Targeting rebel websites and accounts in electronic payment systems
- Hacking into public CCTV systems to monitor troop and military hardware movement
- Printing pro-Ukrainian messages and insults against Russian President Vladimir Putin

Another group, Cyber Berkut, is an anti-Western group that accuses Ukraine of unleashing a ""genocide"" at America's behest. They have also conducted various cyber attacks, including hacking into Ukrainian government websites and leaking confidential documents.

A third group, Anonymous International, is a Russian activist group that publishes leaked documents from the Kremlin. Their methods and sources are unclear, but they focus on Russia's domestic affairs and have also covered Ukraine.

These groups have been involved in various activities, including disrupting separatist funding, targeting rebel websites, and leaking sensitive information."
5-0,"Here is a concise summary of the passage:

Philippa Milner, a 30-year-old former Manchester City player, won 61 caps for England, playing in two World Cups and two European Championships. She also holds the record for the most capped England Under-21 player with 46 caps. Milner scored her only international goal in a 2014 World Cup qualifier against Moldova."
5-1,"Here is a concise summary of the passage:

Brad Wilk is a drummer known for his work with Rage Against the Machine (1991-2000, 2007-2011) and Audioslave (2001-2007). He started his career with the band Greta in 1990 and co-founded Rage with Tom Morello and Zack de la Rocha in 1991. As of 2016, Wilk is also a member of the band Prophets of Rage, alongside other notable musicians."
5-2,"Here is a concise summary of the passage:

Gary Locke, Kilmarnock's interim manager, has been appointed as the club's permanent manager on a three-year deal. Locke took over as interim manager in February after his predecessor left, and has since led the team to a successful run, losing only once in seven games."
5-3,"Here is a concise summary of the passage:

Rupert Murdoch is the chairman and acting CEO of Fox News. He is the son of media mogul Rupert Murdoch, who is the CEO of 21st Century Fox and chairman of Sky plc. Rupert Murdoch's father, also named Rupert, had control of News Corporation, the world's second-largest media conglomerate, after it split into News Corp and 21st Century Fox in 2013."
15-0,"Here is a concise summary of the passage:

Veteran actor Robert Hardy, 89, is selling his extensive collection of antiques, valued at £100,000, due to downsizing his home. The collection includes over 200 items, such as a hand-painted diorama of the Battle of Agincourt, a pair of early Victorian furniture, and a longbow made from yew with a mother-of-pearl handle. Hardy, a keen military historian and expert on the medieval longbow, has also published two books on the subject. The auction, featuring dozens of books, paintings, furniture, and other antiques, will take place on Saturday at Dominic Winter Auctioneers in Gloucestershire. Hardy expressed sadness at selling his collection but hopes that the new owners will find joy and pleasure in the items."
15-1,"Here is a concise summary of the passage:

Veteran actor Robert Hardy, 89, is selling his extensive collection of antiques, valued at £100,000, due to downsizing his home. The collection includes over 200 items, such as a hand-painted diorama of the Battle of Agincourt, a pair of early Victorian furniture, and a longbow made from yew with a mother-of-pearl handle. Hardy, a keen military historian and expert on the medieval longbow, has also published two books on the subject. The auction, featuring dozens of books, paintings, furniture, and other antiques, will take place on Saturday at Dominic Winter Auctioneers in Gloucestershire. Hardy expressed sadness at selling his collection but hopes that the new owners will find joy and pleasure in the items."
15-2,"Here is a concise summary of the passage:

Veteran actor Robert Hardy, 89, is selling his extensive collection of antiques, valued at £100,000, due to downsizing his home. The collection includes over 200 items, such as a hand-painted diorama of the Battle of Agincourt, a pair of early Victorian furniture, and a longbow made from yew with a mother-of-pearl handle. Hardy, a keen military historian and expert on the medieval longbow, has also published two books on the subject. The auction, featuring dozens of books, paintings, furniture, and other antiques, will take place on Saturday at Dominic Winter Auctioneers in Gloucestershire. Hardy expressed sadness at selling his collection but hopes that the new owners will find joy and pleasure in the items."
