source_id,qa_response
14300,"Automotive technicians are paid through various methods, including hourly rates, commission-based pay, or combinations of hourly and commission pay rates. Some technicians are paid on a flat-rate or flag-rate system."
14323,The passages do not provide specific instructions on grilling a porterhouse steak.
14353,"To fold a quilt, lay it flat and fold each corner toward the center, ensuring each fold is made on the bias. Specifically, fold the lower right corner up, then the lower left corner up, followed by folding the top left corner down, and finally the top right corner down, all toward the center."
14355,"Benefits of a water pick include eliminating germs and plaque difficult to remove with a toothbrush, massaging and stimulating soft tissue to reduce gingivitis risk, and effectively cleaning around teeth and gums by removing food from areas brushing cannot reach."
14360,"To set the default browser in Windows, open the Settings app (Windows + I), click ""System,"" select ""Default apps,"" scroll down to the ""Web browser"" section, click the current browser entry, and choose your preferred browser from the list."
14366,"The proper ways to dispose of a worn USA flag are either to remove and burn the blue field separately in a peaceful manner and bury the ashes, or to burn the entire flag yourself in a proper ceremony after folding it in the customary triangle fold."
14375,"To cook brats, first prick them with a fork, then simmer them in a pot with beer, onions, butter, and seasonings over medium heat for 15-20 minutes. After simmering, grill the bratwurst on a preheated, lightly oiled grill at medium-high heat for 5-14 minutes, turning occasionally to brown evenly. Serve with cooked onions as a topping or side."
14390,"Symptoms of IBS include diarrhea, constipation, alternating diarrhea and constipation, belly pains or cramps (usually in the lower half of the belly, worsening after meals and improving after bowel movements), and gas or bloating. The exact cause is unknown, but possible factors include abnormal gastrointestinal tract movements, abnormal nervous system signals, increased sensitivity to pain, disrupted brain-GI tract communication, and food sensitivities or intolerances."
14392,"Essential amino acids cannot be made by the body and must be obtained from the diet, whereas nonessential amino acids can be produced by the body and do not need to be obtained through dietary sources."
14394,"Indiana typically experiences long, warm, humid, and wet summers, and chilly, windy winters, with temperatures generally ranging from 22°F to 85°F. The weather is partly cloudy year-round."
14396,"To sync an audiobook from your iPhone to iTunes, follow these steps:

1. Launch iTunes on your computer and connect your iPhone via USB cable.
2. Click the name of your iPhone under ""Devices"" in the left column.
3. Select ""Books"" above the main iTunes window.
4. Click ""Sync Audiobooks,"" then select the audiobooks you want to transfer or choose ""All Audiobooks.""
5. Click ""Apply"" at the bottom of the screen to complete the syncing process."
14404,"The body systems work together by performing interconnected functions: the urinary system cleans waste products from other systems, and the respiratory system provides oxygen and removes carbon dioxide from various systems, helping maintain normal body function."
14418,"The name Teresa is of Greek origin and means ""reap,"" ""harvester,"" or ""to harvest."" It may also derive from the Greek word ""theros,"" meaning ""summer,"" or from ""Therasia,"" the name of a Greek island."
14433,"Vietnam and India differ in their educational equity and historical colonial experiences. Vietnam's education system is relatively equitable, providing poorer children similar opportunities as wealthier ones, whereas India's education trends are more typical, initially focusing on resources and facilities. Historically, India was colonized by the United Kingdom and gained independence in 1947, while Vietnam was colonized by France and gained independence shortly after World War II in 1945."
14445,"As per the Income Tax Act, when an asset is discarded but not sold, its scrap value is reduced from the block of assets in the year of discard. The assessee can claim depreciation on the residual value (opening Written Down Value minus scrap value) of the discarded asset, even if it is no longer used for business purposes."
14458,"To sew a zipper gusset, first pin the zipper gusset to the zipper with right sides facing, sew near the seam line using a zipper foot, then place the gusset lining right side down on top and stitch on the seam line. Flip the lining down and top stitch near the seam line. Repeat for the other side. Finally, stitch around the seam allowance to attach the main and lining fabrics together."
14468,The provided passages do not contain information on how to bake hard boiled eggs.
14470,"The drawer at the bottom of an oven stove can serve as a warming drawer to keep food warm until ready to eat, but on some oven models, it is intended for storage purposes instead."
15092,"To factory reset an HTC One VX, you can follow these steps:

Method 1 (via Bootloader Mode):
1. Switch off the device.
2. Press and hold the Volume Down and Power buttons simultaneously for a few seconds.
3. Release the buttons when the Bootloader Mode menu appears.
4. Use the Volume Down button to scroll and select ""Factory Reset"" using the Power button.

Method 2 (via Settings menu):
1. Slide open the Notifications panel.
2. Tap Storage, then select Factory data reset.
3. Tap Reset phone, then tap Erase everything.

Make sure to back up any important data before performing the reset."
