source_id,summary
15599,"
Blue Bell ice cream temporarily shut down a manufacturing plant in Oklahoma after discovering listeria contamination in a serving of ice cream. The recall affects specific products from the plant, and the Centers for Disease Control and Prevention (CDC) warned consumers not to eat these products. The company is investigating the cause of contamination and has shut down the facility as a precaution."
15601,"
The Columbia Journalism School review found institutional failures at Rolling Stone, leading to a flawed article about a gang rape at the University of Virginia. The article's inaccuracies and the resulting damage to the reputation of the fraternity and its members are discussed. The passage also examines the legal implications of defamation suits, including the challenges faced by private individuals in proving defamation."
15604,"
The passage discusses the author's disbelief in Rand Paul's presidential campaign message of inclusion. The author criticizes Paul's record on civil rights, voting rights, and discrimination. The author argues that Paul's views are outdated and disqualify him from leading the country."
15613,"
Mary Kay Letourneau, a former teacher and mother of four, began a relationship with her 13-year-old student, Vili Fualaau. Their relationship led to Letourneau's imprisonment for more than seven years. Despite the controversy, Letourneau and Fualaau have been married since 2005 and have two teen daughters. An ABC ""20/20"" interview with the couple will air, where they discuss their marriage, Letourneau's plans to teach again, and her intention to have her status as a registered sex offender lifted. Vili Fualaau also discusses his personal struggles with alcoholism, depression, and the belief that the system failed him as a minor."
15616,"
Kanye West settled a lawsuit with paparazzi photographer Daniel Ramos, who West had assaulted. West pleaded no contest and was sentenced to probation, anger management, and community service. Ramos and his lawyer, Gloria Allred, sought damages, and the case was settled to the satisfaction of the parties."
15617,"
B.B. King was hospitalized for dehydration due to his Type II diabetes. Despite the hospitalization, King was soon released and was resting at home with his grandchildren. King expressed gratitude to his fans and shared his improved condition."
15623,"
Chris Copeland of the Indiana Pacers was stabbed outside a New York nightclub. Two Atlanta Hawks players were among those arrested for obstruction and disorderly conduct. The incident did not involve the nightclub or its immediate surroundings."
15627,"
Selena, the Tejano star who died 20 years ago, is set to return through a hologram-like figure. The singer's family is involved in creating this digital embodiment. The project, called ""Selena the One,"" is set to release new music, collaborate with current artists, and potentially go on tour in 2018."
15628,"
An Alaska Airlines flight from Seattle to Los Angeles experienced an emergency landing after a ramp agent fell asleep in the cargo hold, causing unusual noises. The ramp agent was not in danger and was discharged after passing a drug test. The airline is investigating the incident."
15634,"
Emy Afalava, a decorated veteran born in American Samoa, is seeking citizenship despite being subject to American law his entire life. The Fourteenth Amendment, which guarantees citizenship to those born in the United States, supports Afalava's claim. However, Afalava has been denied the right to vote due to the federal government's insistence that he is not a citizen."
15638,"
The sisters Iman and Siham Hashi, known as Faarrow, are Somali refugees born in Mogadishu. They fled to Canada and discovered a passion for music during their teens. They are currently working on their debut album in Los Angeles, with influences ranging from Michael Jackson to the Spice Girls. They are also involved in humanitarian work with the UNHCR, and have started a socially conscious brand called ""Wish Creatively."""
15651,"
The passage discusses the challenges and responsibilities of being the Pope, particularly focusing on Pope Francis's handling of the Armenian genocide issue. The passage highlights the Vatican's history of navigating between spiritual and worldly concerns, and the complexities involved in Pope Francis's decision to address the genocide."
15652,"
The passage discusses the free admission to 128 national parks in the U.S. during National Park Week (April 18-26). The National Park Service and the National Park Foundation host the event, which includes various programs and activities. The passage also encourages visitors to share their experiences using the hashtag #FindYourPark."
15661,"
TEPCO deployed a second robotic probe into the Fukushima nuclear plant to assess damage. The robot captured images of a green glow, indicating cooling systems were working. TEPCO aims to decommission the plant, a process expected to cost $50 billion and take years to complete."
15665,"
The passage describes the aftermath of the Boston Marathon bombing, focusing on the impact on the victims and their families. The passage includes emotional testimony from survivors and family members of the deceased, highlighting the physical and emotional trauma caused by the bombings."
15667,"
The 2015 ACM Awards celebrated its 50th anniversary at the Dallas Cowboys stadium. The event featured a record-breaking audience, performances by artists like Eric Church, Keith Urban, Reba McEntire, Taylor Swift, Garth Brooks, and Miranda Lambert. The event also included controversial moments, such as Little Big Town's ""Girl Crush"" and Taylor Swift's pop music transition."
